,PCG
2016-07-01,61.44643783569336
2016-07-05,62.27174377441406
2016-07-06,62.751556396484375
2016-07-07,61.80150604248047
2016-07-08,62.21415710449219
2016-07-11,62.11819839477539
2016-07-12,61.129756927490234
2016-07-13,61.955055236816406
2016-07-14,61.60957336425781
2016-07-15,62.01263427734375
2016-07-18,61.91666030883789
2016-07-19,61.81110763549805
2016-07-20,61.66716003417969
2016-07-21,61.571197509765625
2016-07-22,62.396480560302734
2016-07-25,62.31011962890625
2016-07-26,61.571197509765625
2016-07-27,61.36966323852539
2016-07-28,61.177734375
2016-07-29,61.36006546020508
2016-08-01,61.56159591674805
2016-08-02,61.734336853027344
2016-08-03,61.94545364379883
2016-08-04,61.907073974609375
2016-08-05,61.32168960571289
2016-08-08,60.94741439819336
2016-08-09,60.89943313598633
2016-08-10,61.04338836669922
2016-08-11,61.494415283203125
2016-08-12,61.53281784057617
2016-08-15,60.88983917236328
2016-08-16,60.11252212524414
2016-08-17,61.11055374145508
2016-08-18,62.540435791015625
2016-08-19,62.175777435302734
2016-08-22,62.079811096191406
2016-08-23,61.27369689941406
2016-08-24,61.12015151977539
2016-08-25,60.8802375793457
2016-08-26,59.59430694580078
2016-08-29,59.843814849853516
2016-08-30,59.37359619140625
2016-08-31,59.44076156616211
2016-09-01,59.31600570678711
2016-09-02,59.83422088623047
2016-09-06,60.448402404785156
2016-09-07,60.362030029296875
2016-09-08,60.54436111450195
2016-09-09,58.37555694580078
2016-09-12,59.066497802734375
2016-09-13,58.3659553527832
2016-09-14,58.95133972167969
2016-09-15,59.34480285644531
2016-09-16,59.90140151977539
2016-09-19,60.14130783081055
2016-09-20,60.02615737915039
2016-09-21,61.13934326171875
2016-09-22,61.43684005737305
2016-09-23,61.60957336425781
2016-09-26,61.32168960571289
2016-09-27,60.314048767089844
2016-09-28,60.33339309692383
2016-09-29,59.73373794555664
2016-09-30,59.163089752197266
2016-10-03,58.18622970581055
2016-10-04,56.890193939208984
2016-10-05,56.822486877441406
2016-10-06,57.073951721191406
2016-10-07,57.37378692626953
2016-10-10,57.51887130737305
2016-10-11,56.890193939208984
2016-10-12,57.36412048339844
2016-10-13,58.38933563232422
2016-10-14,57.838035583496094
2016-10-17,58.418357849121094
2016-10-18,58.930965423583984
2016-10-19,58.892276763916016
2016-10-20,58.84392166137695
2016-10-21,58.33131408691406
2016-10-24,58.524742126464844
2016-10-25,58.79555892944336
2016-10-26,58.92129135131836
2016-10-27,58.70851516723633
2016-10-28,58.98899841308594
2016-10-31,60.0819206237793
2016-11-01,59.201778411865234
2016-11-02,58.28295135498047
2016-11-03,58.22491455078125
2016-11-04,57.86705780029297
2016-11-07,59.085716247558594
2016-11-08,59.985206604003906
2016-11-09,57.46083068847656
2016-11-10,56.5806884765625
2016-11-11,56.56134796142578
2016-11-14,56.24217987060547
2016-11-15,57.161006927490234
2016-11-16,56.7838020324707
2016-11-17,56.74510955810547
2016-11-18,56.464630126953125
2016-11-21,57.21903991699219
2016-11-22,57.37378692626953
2016-11-23,56.7838020324707
2016-11-25,57.34477233886719
2016-11-28,58.74720001220703
2016-11-29,58.47638702392578
2016-11-30,56.870845794677734
2016-12-01,56.135780334472656
2016-12-02,56.36790466308594
2016-12-05,56.464630126953125
2016-12-06,56.464630126953125
2016-12-07,56.870845794677734
2016-12-08,57.248046875
2016-12-09,57.38346481323242
2016-12-12,57.85737991333008
2016-12-13,58.60211944580078
2016-12-14,57.547882080078125
2016-12-15,58.04115295410156
2016-12-16,59.037357330322266
2016-12-19,58.8245735168457
2016-12-20,59.12440490722656
2016-12-21,59.11472702026367
2016-12-22,59.26947784423828
2016-12-23,59.18244171142578
2016-12-27,59.17276382446289
2016-12-28,58.57801055908203
2016-12-29,59.56276321411133
2016-12-30,59.250762939453125
2017-01-03,58.86075973510742
2017-01-04,59.07526779174805
2017-01-05,59.026512145996094
2017-01-06,59.68951416015625
2017-01-09,58.79251480102539
2017-01-10,58.56826400756836
2017-01-11,59.35801315307617
2017-01-12,59.09476089477539
2017-01-13,59.065513610839844
2017-01-17,60.235511779785156
2017-01-18,59.92351150512695
2017-01-19,59.572513580322266
2017-01-20,59.82601547241211
2017-01-23,59.465267181396484
2017-01-24,59.36776351928711
2017-01-25,59.31901550292969
2017-01-26,59.24101257324219
2017-01-27,59.10451126098633
2017-01-30,59.065513610839844
2017-01-31,60.34276580810547
2017-02-01,59.36776351928711
2017-02-02,60.40126419067383
2017-02-03,60.05026626586914
2017-02-06,60.08926010131836
2017-02-07,60.28425979614258
2017-02-08,61.59075927734375
2017-02-09,61.31775665283203
2017-02-10,61.766265869140625
2017-02-13,62.09776306152344
2017-02-14,61.73701477050781
2017-02-15,61.366512298583984
2017-02-16,61.80526351928711
2017-02-17,62.3220100402832
2017-02-21,63.024017333984375
2017-02-22,63.141014099121094
2017-02-23,63.7747688293457
2017-02-24,64.67176818847656
2017-02-27,64.4670181274414
2017-02-28,65.08125305175781
2017-03-01,64.2037582397461
2017-03-02,64.52552032470703
2017-03-03,64.41826629638672
2017-03-06,64.11601257324219
2017-03-07,64.603515625
2017-03-08,63.53102111816406
2017-03-09,63.50176239013672
2017-03-10,63.989253997802734
2017-03-13,64.10626983642578
2017-03-14,64.02826690673828
2017-03-15,65.19827270507812
2017-03-16,64.36951446533203
2017-03-17,64.9252700805664
2017-03-20,64.50602722167969
2017-03-21,65.62725830078125
2017-03-22,65.77352142333984
2017-03-23,65.85151672363281
2017-03-24,66.16352081298828
2017-03-27,65.51026916503906
2017-03-28,65.65650939941406
2017-03-29,65.44044494628906
2017-03-30,65.17526245117188
2017-03-31,65.17526245117188
2017-04-03,65.35204315185547
2017-04-04,65.72525787353516
2017-04-05,66.27527618408203
2017-04-06,66.15740966796875
