,GPN
2017-04-26,78.38434600830078
2017-04-27,78.91387176513672
2017-04-28,78.71168518066406
2017-05-01,78.46138763427734
2017-05-02,78.6731948852539
2017-05-03,78.07630920410156
2017-05-04,82.92838287353516
2017-05-05,82.86100769042969
2017-05-08,83.31346893310547
2017-05-09,84.01624298095703
2017-05-10,84.51687622070312
2017-05-11,84.95972442626953
2017-05-12,84.46871948242188
2017-05-15,86.10533142089844
2017-05-16,86.02832794189453
2017-05-17,84.81529998779297
2017-05-18,85.46031951904297
2017-05-19,86.6829605102539
2017-05-22,88.30995178222656
2017-05-23,87.80936431884766
2017-05-24,89.06089782714844
2017-05-25,88.92609405517578
2017-05-26,88.42548370361328
2017-05-30,88.55065155029297
2017-05-31,88.1944580078125
2017-06-01,89.83106231689453
2017-06-02,88.94535827636719
2017-06-05,88.3003158569336
2017-06-06,88.80094909667969
2017-06-07,88.82310485839844
2017-06-08,87.69657135009766
2017-06-09,85.79010009765625
2017-06-12,86.17524719238281
2017-06-13,87.42698669433594
2017-06-14,87.04180908203125
2017-06-15,86.98405456542969
2017-06-16,86.22340393066406
2017-06-19,86.41596984863281
2017-06-20,85.79973602294922
2017-06-21,86.28116607666016
2017-06-22,87.11884307861328
2017-06-23,87.86985778808594
2017-06-26,86.89738464355469
2017-06-27,86.52186584472656
2017-06-28,88.46683502197266
2017-06-29,87.05145263671875
2017-06-30,86.96479797363281
2017-07-03,86.70482635498047
2017-07-05,86.54114532470703
2017-07-06,85.12574768066406
2017-07-07,85.68421936035156
2017-07-10,85.3568344116211
2017-07-11,85.02945709228516
2017-07-12,86.83965301513672
2017-07-13,87.3114242553711
2017-07-14,88.44757843017578
2017-07-17,87.9758071899414
2017-07-18,88.30315399169922
2017-07-19,89.35267639160156
2017-07-20,90.13258361816406
2017-07-21,90.29629516601562
2017-07-24,91.27837371826172
2017-07-25,91.4805908203125
2017-07-26,91.75980377197266
2017-07-27,91.10507202148438
2017-07-28,91.00877380371094
2017-07-31,90.86434936523438
2017-08-01,91.96199035644531
2017-08-02,91.8656997680664
2017-08-03,91.61539459228516
2017-08-04,94.08990478515625
2017-08-07,93.16557312011719
2017-08-08,93.34851837158203
2017-08-09,92.45306396484375
2017-08-10,90.16146087646484
2017-08-11,89.84373474121094
2017-08-14,90.97026062011719
2017-08-15,90.81619262695312
2017-08-16,91.08580780029297
2017-08-17,90.19036102294922
2017-08-18,90.27701568603516
2017-08-21,91.05690002441406
2017-08-22,92.28937530517578
2017-08-23,91.06654357910156
2017-08-24,90.75843048095703
2017-08-25,89.8822250366211
2017-08-28,90.3829345703125
2017-08-29,90.49846649169922
2017-08-30,91.00877380371094
2017-08-31,91.94274139404297
2017-09-01,91.97161102294922
2017-09-05,91.32652282714844
2017-09-06,91.2494888305664
2017-09-07,92.42414855957031
2017-09-08,91.55762481689453
2017-09-11,92.91520690917969
2017-09-12,94.4365234375
2017-09-13,93.76254272460938
2017-09-14,93.43511962890625
2017-09-15,93.94548034667969
2017-09-18,93.39659881591797
2017-09-19,92.52033996582031
2017-09-20,92.07737731933594
2017-09-21,92.77069091796875
2017-09-22,92.26994323730469
2017-09-25,90.70995330810547
2017-09-26,90.85443115234375
2017-09-27,90.97959899902344
2017-09-28,90.45962524414062
2017-09-29,91.50923156738281
2017-10-02,92.56846618652344
2017-10-03,93.04033660888672
2017-10-04,92.84773254394531
2017-10-05,93.2040023803711
2017-10-06,93.35810852050781
2017-10-09,94.51362609863281
2017-10-10,94.86992645263672
2017-10-11,95.3995590209961
2017-10-12,95.3899154663086
2017-10-13,95.94844818115234
2017-10-16,95.65953063964844
2017-10-17,94.06104278564453
2017-10-18,93.28106689453125
2017-10-19,93.22327423095703
2017-10-20,93.5699462890625
2017-10-23,93.8299331665039
2017-10-24,94.11881256103516
2017-10-25,95.83287811279297
2017-10-26,96.68025970458984
2017-10-27,97.80693817138672
2017-10-30,98.10543823242188
2017-10-31,100.0987319946289
2017-11-01,98.7506103515625
2017-11-02,99.00096130371094
2017-11-03,99.77133178710938
2017-11-06,100.40689849853516
2017-11-07,100.05060577392578
2017-11-08,97.88395690917969
2017-11-09,95.64026641845703
2017-11-10,95.18769836425781
2017-11-13,95.90990447998047
2017-11-14,97.58544921875
2017-11-15,95.70769500732422
2017-11-16,96.50694274902344
2017-11-17,96.32400512695312
2017-11-20,97.33506774902344
2017-11-21,99.38616943359375
2017-11-22,98.63507080078125
2017-11-24,99.63652801513672
2017-11-27,100.04095458984375
2017-11-28,99.71356964111328
2017-11-29,95.29364013671875
2017-11-30,96.83434295654297
2017-12-01,97.01730346679688
2017-12-04,92.40476989746094
2017-12-05,93.04994201660156
2017-12-06,93.5892105102539
2017-12-07,95.5151138305664
2017-12-08,95.68844604492188
2017-12-11,96.50694274902344
2017-12-12,96.42992401123047
2017-12-13,95.67879486083984
2017-12-14,95.8617935180664
2017-12-15,97.10413360595703
2017-12-18,97.61454010009766
2017-12-19,98.92427825927734
2017-12-20,97.96122741699219
2017-12-21,96.66112518310547
2017-12-22,96.6515121459961
2017-12-26,97.0078125
2017-12-27,96.62258911132812
2017-12-28,96.61295318603516
2017-12-29,96.53589630126953
2018-01-02,95.88104248046875
2018-01-03,97.95157623291016
2018-01-04,99.8199234008789
2018-01-05,99.7332534790039
2018-01-08,100.33033752441406
2018-01-09,100.93705749511719
2018-01-10,99.74285125732422
2018-01-11,100.15699005126953
2018-01-12,99.44435119628906
2018-01-16,100.73480987548828
2018-01-17,101.89047241210938
2018-01-18,102.25642395019531
2018-01-19,104.01881408691406
2018-01-22,105.06851959228516
2018-01-23,105.8293228149414
2018-01-24,108.02509307861328
2018-01-25,108.05398559570312
2018-01-26,109.07479858398438
2018-01-29,108.2658462524414
2018-01-30,107.26426696777344
2018-01-31,107.64948272705078
2018-02-01,107.46649932861328
2018-02-02,104.70255279541016
2018-02-05,101.10077667236328
2018-02-06,102.09270477294922
2018-02-07,102.3912353515625
2018-02-08,96.87296295166016
2018-02-09,100.08954620361328
2018-02-12,102.46829986572266
2018-02-13,102.90166473388672
2018-02-14,103.60469055175781
2018-02-15,108.19844818115234
2018-02-16,110.12451934814453
2018-02-20,110.490478515625
2018-02-21,108.09249877929688
2018-02-22,107.88064575195312
2018-02-23,110.23046875
2018-02-26,110.46158599853516
2018-02-27,109.98004913330078
2018-02-28,109.20000457763672
2018-03-01,107.33167266845703
2018-03-02,109.25777435302734
2018-03-05,109.52743530273438
2018-03-06,109.96080780029297
2018-03-07,110.08602142333984
2018-03-08,110.29786682128906
2018-03-09,112.8884506225586
2018-03-12,113.4759292602539
2018-03-13,112.9173583984375
2018-03-14,113.5240707397461
2018-03-15,113.85154724121094
2018-03-16,113.65892028808594
2018-03-19,112.25275421142578
2018-03-20,113.3603515625
2018-03-21,112.23348236083984
2018-03-22,109.32483673095703
2018-03-23,107.08074951171875
2018-03-26,110.19165802001953
2018-03-27,107.02296447753906
2018-03-28,106.02130126953125
2018-03-29,107.40821838378906
2018-04-02,105.16413879394531
2018-04-03,105.6071548461914
2018-04-04,106.34878540039062
2018-04-05,107.26374816894531
2018-04-06,104.75958251953125
2018-04-09,104.48030090332031
2018-04-10,106.60881042480469
2018-04-11,104.69217681884766
2018-04-12,105.52049255371094
2018-04-13,105.87684631347656
2018-04-16,106.3680191040039
2018-04-17,107.7838363647461
2018-04-18,108.40985870361328
2018-04-19,108.1979751586914
2018-04-20,107.17705535888672
2018-04-23,106.18502807617188
2018-04-24,105.6071548461914
2018-04-25,105.4915771484375
2018-04-26,108.02460479736328
2018-04-27,107.0036849975586
2018-04-30,108.88180541992188
2018-05-01,109.15147399902344
2018-05-02,108.41948699951172
2018-05-03,109.17072296142578
2018-05-04,108.68917846679688
2018-05-07,109.45967864990234
2018-05-08,109.75823974609375
2018-05-09,110.3746337890625
2018-05-10,111.72303771972656
2018-05-11,111.8482437133789
2018-05-14,110.66358184814453
2018-05-15,110.27833557128906
2018-05-16,110.92363739013672
2018-05-17,109.64266204833984
2018-05-18,109.56562042236328
2018-05-21,109.4885482788086
2018-05-22,107.79345703125
2018-05-23,107.91867065429688
2018-05-24,108.71806335449219
2018-05-25,107.5912094116211
2018-05-29,105.30858612060547
2018-05-30,107.40821838378906
2018-05-31,107.06147766113281
2018-06-01,109.21888732910156
2018-06-04,111.11626434326172
2018-06-05,110.82732391357422
2018-06-06,113.6203842163086
2018-06-07,112.65727233886719
2018-06-08,112.76321411132812
2018-06-11,112.52241516113281
2018-06-12,114.09233093261719
2018-06-13,114.1115951538086
2018-06-14,113.41806030273438
2018-06-15,113.17727661132812
2018-06-18,112.84016418457031
2018-06-19,111.90583801269531
2018-06-20,112.599365234375
2018-06-21,110.48028564453125
2018-06-22,110.19132232666016
2018-06-25,106.7526626586914
2018-06-26,106.45406341552734
2018-06-27,104.77808380126953
2018-06-28,105.94357299804688
2018-06-29,107.38836669921875
2018-07-02,108.27454376220703
2018-07-03,107.01271057128906
2018-07-05,107.96629333496094
2018-07-06,108.60202026367188
2018-07-09,108.82355499267578
2018-07-10,109.42073822021484
2018-07-11,112.12740325927734
2018-07-12,113.35066986083984
2018-07-13,113.61072540283203
2018-07-16,112.69566345214844
2018-07-17,113.6010971069336
2018-07-18,113.94783782958984
2018-07-19,112.77273559570312
2018-07-20,112.81126403808594
2018-07-23,113.47586822509766
2018-07-24,111.16416931152344
2018-07-25,113.4951400756836
2018-07-26,113.35066986083984
2018-07-27,111.01005554199219
2018-07-30,108.13005065917969
2018-07-31,108.42863464355469
2018-08-01,107.7833023071289
2018-08-02,114.79546356201172
2018-08-03,114.40055084228516
2018-08-06,114.08271026611328
2018-08-07,113.71665954589844
2018-08-08,111.89620971679688
2018-08-09,112.31999969482422
2018-08-10,111.86731719970703
2018-08-13,112.63786315917969
2018-08-14,113.99602508544922
2018-08-15,112.6186294555664
2018-08-16,113.67814636230469
2018-08-17,114.3042221069336
2018-08-20,114.90142822265625
2018-08-21,114.65098571777344
2018-08-22,115.91279602050781
2018-08-23,115.95132446289062
2018-08-24,117.65621948242188
2018-08-27,118.69647979736328
2018-08-28,119.79454040527344
2018-08-29,120.41099548339844
2018-08-30,119.12030029296875
2018-08-31,119.996826171875
2018-09-04,120.8926010131836
2018-09-05,119.13954162597656
2018-09-06,119.7078628540039
2018-09-07,119.17809295654297
2018-09-10,120.96002960205078
2018-09-11,122.144775390625
2018-09-12,123.24282836914062
2018-09-13,123.61849212646484
2018-09-14,123.86896514892578
2018-09-17,122.30845642089844
2018-09-18,123.83042907714844
2018-09-19,122.16392517089844
2018-09-20,122.48181915283203
2018-09-21,122.52035522460938
2018-09-24,122.61669158935547
2018-09-25,123.16576385498047
2018-09-26,122.44332122802734
2018-09-27,122.05799865722656
2018-09-28,122.72264099121094
2018-10-01,121.87494659423828
2018-10-02,121.0947036743164
2018-10-03,120.88277435302734
2018-10-04,117.60760498046875
2018-10-05,117.3282699584961
2018-10-08,113.53289031982422
2018-10-09,113.31134033203125
2018-10-10,108.95729064941406
2018-10-11,108.63941955566406
2018-10-12,113.05125427246094
2018-10-15,111.21139526367188
2018-10-16,115.48838806152344
2018-10-17,115.48838806152344
2018-10-18,113.60997009277344
2018-10-19,112.22285461425781
2018-10-22,112.54071807861328
2018-10-23,110.72012329101562
2018-10-24,106.337158203125
2018-10-25,109.9494857788086
2018-10-26,107.92658996582031
2018-10-29,104.84405517578125
2018-10-30,106.59724426269531
2018-10-31,110.03617858886719
2018-11-01,110.55634307861328
2018-11-02,110.36369323730469
2018-11-05,107.49309539794922
2018-11-06,108.0132827758789
2018-11-07,110.81644439697266
2018-11-08,109.5352554321289
2018-11-09,108.05181884765625
2018-11-12,105.2486343383789
2018-11-13,104.57435607910156
2018-11-14,103.36060333251953
2018-11-15,105.40276336669922
2018-11-16,105.6628646850586
2018-11-19,100.54782104492188
2018-11-20,99.35332489013672
2018-11-21,100.05652618408203
2018-11-23,99.34370422363281
2018-11-26,102.52253723144531
2018-11-27,102.15648651123047
2018-11-28,106.9825668334961
2018-11-29,106.6839370727539
2018-11-30,107.70503234863281
2018-12-03,108.67794799804688
2018-12-04,103.06196594238281
2018-12-06,102.41657257080078
2018-12-07,100.02762603759766
2018-12-10,99.97948455810547
2018-12-11,99.21846008300781
2018-12-12,100.52851867675781
2018-12-13,99.96978759765625
2018-12-14,97.87924194335938
2018-12-17,95.98140716552734
2018-12-18,97.43609619140625
2018-12-19,97.62876892089844
2018-12-20,95.23960876464844
2018-12-21,92.74445343017578
2018-12-24,91.87739562988281
2018-12-26,97.7251205444336
2018-12-27,98.96786499023438
2018-12-28,98.78483581542969
2018-12-31,99.35323333740234
2019-01-02,98.29351043701172
2019-01-03,95.10475158691406
2019-01-04,98.98714447021484
2019-01-07,101.05839538574219
2019-01-08,103.72695922851562
2019-01-09,105.24908447265625
2019-01-10,106.21247100830078
2019-01-11,106.73271179199219
2019-01-14,106.01016235351562
2019-01-15,107.90802001953125
2019-01-16,108.77507019042969
2019-01-17,109.27601623535156
2019-01-18,110.3935317993164
2019-01-22,108.5631103515625
2019-01-23,107.20475769042969
2019-01-24,108.11996459960938
2019-01-25,109.08335876464844
2019-01-28,107.56121826171875
2019-01-29,106.64599609375
2019-01-30,109.516845703125
2019-01-31,108.16812896728516
2019-02-01,109.59393310546875
2019-02-04,110.90412902832031
2019-02-05,111.07752990722656
2019-02-06,110.13341522216797
2019-02-07,108.86175537109375
2019-02-08,110.69217681884766
2019-02-11,111.77115631103516
2019-02-12,113.11990356445312
2019-02-13,118.25471496582031
2019-02-14,117.09864807128906
2019-02-15,118.78457641601562
2019-02-19,119.81536865234375
2019-02-20,121.327880859375
2019-02-21,121.98297119140625
2019-02-22,123.05233001708984
2019-02-25,123.52438354492188
2019-02-26,123.69779205322266
2019-02-27,124.54557800292969
2019-02-28,125.60529327392578
2019-03-01,126.67467498779297
2019-03-04,125.75942993164062
2019-03-05,125.18138885498047
2019-03-06,124.80570220947266
2019-03-07,125.11396026611328
2019-03-08,125.54747772216797
2019-03-11,127.05998229980469
2019-03-12,127.05998229980469
2019-03-13,128.12930297851562
2019-03-14,127.51271057128906
2019-03-15,129.21804809570312
2019-03-18,129.1409454345703
2019-03-19,129.43966674804688
2019-03-20,128.48577880859375
2019-03-21,131.17381286621094
2019-03-22,129.1024169921875
2019-03-25,128.04261779785156
2019-03-26,129.76715087890625
2019-03-27,129.09275817871094
2019-03-28,130.21034240722656
2019-03-29,131.53028869628906
2019-04-01,133.59210205078125
2019-04-02,133.72698974609375
2019-04-03,132.76353454589844
2019-04-04,130.7306671142578
2019-04-05,131.8964080810547
2019-04-08,131.6363067626953
2019-04-09,131.6844940185547
2019-04-10,132.04092407226562
2019-04-11,132.0602264404297
2019-04-12,134.05453491210938
2019-04-15,133.25489807128906
2019-04-16,133.7462615966797
2019-04-17,133.5728302001953
2019-04-18,134.56517028808594
2019-04-22,135.44190979003906
2019-04-23,138.45748901367188
2019-04-24,137.66751098632812
2019-04-25,138.18777465820312
2019-04-26,139.59437561035156
2019-04-29,140.06649780273438
2019-04-30,140.73130798339844
2019-05-01,138.81402587890625
2019-05-02,139.0548553466797
2019-05-03,140.56748962402344
2019-05-06,141.9355926513672
2019-05-07,138.9296112060547
2019-05-08,139.7870635986328
2019-05-09,140.73130798339844
2019-05-10,141.5213165283203
2019-05-13,138.3515625
2019-05-14,141.4249725341797
2019-05-15,142.80267333984375
2019-05-16,145.866455078125
2019-05-17,144.33457946777344
2019-05-20,143.11099243164062
2019-05-21,144.98974609375
2019-05-22,145.11497497558594
2019-05-23,142.5521697998047
2019-05-24,147.83192443847656
2019-05-28,143.4289093017578
2019-05-29,142.2727813720703
2019-05-30,147.3405303955078
2019-05-31,148.4099578857422
2019-06-03,143.4289093017578
2019-06-04,147.5813751220703
2019-06-05,151.33883666992188
2019-06-06,152.03256225585938
2019-06-07,155.0288848876953
2019-06-10,154.58567810058594
2019-06-11,153.1309051513672
2019-06-12,152.89967346191406
2019-06-13,152.3986358642578
2019-06-14,153.01527404785156
2019-06-17,153.9884796142578
2019-06-18,152.99600219726562
2019-06-19,155.02899169921875
2019-06-20,155.85763549804688
2019-06-21,155.1638946533203
2019-06-24,154.33526611328125
2019-06-25,152.06141662597656
2019-06-26,152.8515167236328
2019-06-27,153.90170288085938
2019-06-28,154.287109375
2019-07-01,156.7151641845703
2019-07-02,156.11778259277344
2019-07-03,157.04273986816406
2019-07-05,156.56100463867188
2019-07-08,157.05239868164062
2019-07-09,158.76744079589844
2019-07-10,157.90029907226562
2019-07-11,158.1411590576172
2019-07-12,158.2278289794922
2019-07-15,159.88511657714844
2019-07-16,158.71923828125
2019-07-17,159.07574462890625
2019-07-18,161.21478271484375
2019-07-19,158.71923828125
2019-07-22,157.25474548339844
2019-07-23,158.6807098388672
2019-07-24,155.98289489746094
2019-07-25,159.29737854003906
2019-07-26,163.4501190185547
2019-07-29,165.194091796875
2019-07-30,161.2532958984375
2019-07-31,161.79283142089844
2019-08-01,158.88304138183594
2019-08-02,155.58782958984375
2019-08-05,147.9761199951172
2019-08-06,148.77586364746094
2019-08-07,152.1095428466797
2019-08-08,154.5279998779297
2019-08-09,154.22927856445312
2019-08-12,150.4427490234375
2019-08-13,152.99600219726562
2019-08-14,148.33262634277344
2019-08-15,150.62579345703125
2019-08-16,151.9939422607422
2019-08-19,153.66079711914062
2019-08-20,155.279541015625
2019-08-21,156.65736389160156
2019-08-22,156.34906005859375
2019-08-23,152.24447631835938
2019-08-26,154.18113708496094
2019-08-27,156.3008270263672
2019-08-28,157.46673583984375
2019-08-29,159.5575714111328
2019-08-30,159.9236602783203
2019-09-03,161.1473388671875
2019-09-04,163.65243530273438
2019-09-05,168.4603729248047
2019-09-06,168.0074920654297
2019-09-09,164.5677947998047
2019-09-10,159.22991943359375
2019-09-11,159.60574340820312
2019-09-12,161.9086151123047
2019-09-13,161.41720581054688
2019-09-16,160.02969360351562
2019-09-17,157.77496337890625
2019-09-18,158.3626708984375
2019-09-19,156.7535400390625
2019-09-20,155.73211669921875
2019-09-23,153.8435516357422
2019-09-24,154.7300262451172
2019-09-25,154.7396697998047
2019-09-26,154.1904296875
2019-09-27,151.12628173828125
2019-09-30,153.20761108398438
2019-10-01,152.3596649169922
2019-10-02,151.058837890625
2019-10-03,152.78363037109375
2019-10-04,154.98057556152344
2019-10-07,154.3638916015625
2019-10-08,151.781494140625
2019-10-09,155.22145080566406
2019-10-10,155.26962280273438
2019-10-11,156.9848175048828
2019-10-14,158.1603546142578
2019-10-15,158.85411071777344
2019-10-16,158.7673797607422
2019-10-17,157.2931671142578
2019-10-18,154.2964324951172
2019-10-21,155.4720001220703
2019-10-22,149.47860717773438
2019-10-23,150.57705688476562
2019-10-24,155.36598205566406
2019-10-25,155.46234130859375
2019-10-28,156.291015625
2019-10-29,157.25457763671875
2019-10-30,159.50929260253906
2019-10-31,163.01670837402344
2019-11-01,166.07122802734375
2019-11-04,163.10342407226562
2019-11-05,160.4633026123047
2019-11-06,160.9739532470703
2019-11-07,162.8336639404297
2019-11-08,164.057373046875
2019-11-11,165.724365234375
2019-11-12,165.59912109375
2019-11-13,167.2563934326172
2019-11-14,171.0336456298828
2019-11-15,172.70062255859375
2019-11-18,173.08599853515625
2019-11-19,175.0998992919922
2019-11-20,173.9339599609375
2019-11-21,171.89120483398438
