,TECH
2020-05-07,64.65608978271484
2020-05-08,66.45439910888672
2020-05-11,68.68018341064453
2020-05-12,67.04893493652344
2020-05-13,64.32441711425781
2020-05-14,64.37847137451172
2020-05-15,65.67071533203125
2020-05-18,65.54295349121094
2020-05-19,63.88713073730469
2020-05-20,66.27259826660156
2020-05-21,65.53314971923828
2020-05-22,65.4471664428711
2020-05-26,64.03453826904297
2020-05-27,63.204158782958984
2020-05-28,63.481773376464844
2020-05-29,65.05406188964844
2020-06-01,64.38094329833984
2020-06-02,64.81824493408203
2020-06-03,63.73481750488281
2020-06-04,62.044586181640625
2020-06-05,63.0346565246582
2020-06-08,62.646488189697266
2020-06-09,62.034759521484375
2020-06-10,64.36620330810547
2020-06-11,59.460113525390625
2020-06-12,60.36910629272461
2020-06-15,62.48926544189453
2020-06-16,61.63185501098633
2020-06-17,62.739845275878906
2020-06-18,62.37624740600586
2020-06-19,63.312252044677734
2020-06-22,64.42271423339844
2020-06-23,64.331787109375
2020-06-24,62.034759521484375
2020-06-25,63.4498405456543
2020-06-26,63.002708435058594
2020-06-29,62.35413360595703
2020-06-30,64.87472534179688
2020-07-01,65.35135650634766
2020-07-02,66.13011169433594
2020-07-06,66.29471588134766
2020-07-07,65.53314971923828
2020-07-08,67.31671905517578
2020-07-09,68.14217376708984
2020-07-10,66.92118072509766
2020-07-13,64.64381408691406
2020-07-14,65.51348114013672
2020-07-15,67.3879623413086
2020-07-16,66.98751831054688
2020-07-17,68.72931671142578
2020-07-20,69.51549530029297
2020-07-21,68.04145812988281
2020-07-22,67.78840637207031
2020-07-23,67.1717758178711
2020-07-24,66.3487548828125
2020-07-27,68.00214385986328
2020-07-28,66.49861907958984
2020-07-29,67.40025329589844
2020-07-30,68.01934051513672
2020-07-31,67.5992431640625
2020-08-03,68.51068878173828
2020-08-04,68.02427673339844
2020-08-05,65.80828094482422
2020-08-06,65.48399353027344
2020-08-07,65.28992462158203
2020-08-10,63.358924865722656
2020-08-11,64.32199096679688
2020-08-12,64.71504211425781
2020-08-13,65.42012023925781
2020-08-14,64.1279067993164
2020-08-17,64.61983489990234
2020-08-18,64.55096435546875
2020-08-19,63.96555709838867
2020-08-20,63.56951904296875
2020-08-21,63.41703414916992
2020-08-24,61.57468032836914
2020-08-25,61.71980285644531
2020-08-26,62.17485427856445
2020-08-27,62.24126052856445
2020-08-28,62.24126052856445
2020-08-31,62.83653259277344
2020-09-01,63.323551177978516
2020-09-02,64.33942413330078
2020-09-03,61.65584945678711
2020-09-04,60.563724517822266
2020-09-08,60.396461486816406
2020-09-09,61.50088882446289
2020-09-10,60.58833312988281
2020-09-11,59.956172943115234
2020-09-14,60.83921432495117
2020-09-15,60.4136848449707
2020-09-16,60.16525650024414
2020-09-17,60.320213317871094
2020-09-18,59.993064880371094
2020-09-21,58.468021392822266
2020-09-22,59.830726623535156
2020-09-23,59.76923751831055
2020-09-24,57.120094299316406
2020-09-25,59.461753845214844
2020-09-28,59.95370864868164
2020-09-29,60.69654846191406
2020-09-30,60.935142517089844
2020-10-01,61.17620086669922
2020-10-02,60.73098373413086
2020-10-05,62.02726364135742
2020-10-06,63.016082763671875
2020-10-07,64.9223861694336
2020-10-08,64.42059326171875
2020-10-09,65.20280456542969
2020-10-12,66.05387115478516
2020-10-13,66.30968475341797
2020-10-14,66.1350326538086
2020-10-15,65.32086181640625
2020-10-16,65.34791564941406
2020-10-19,65.07979583740234
2020-10-20,65.05767059326172
2020-10-21,64.3959732055664
2020-10-22,66.32936096191406
2020-10-23,66.0341796875
2020-10-26,65.07242584228516
2020-10-27,65.47827911376953
2020-10-28,63.375205993652344
2020-10-29,62.89310073852539
2020-10-30,62.08629608154297
2020-11-02,63.9532470703125
2020-11-03,65.51273345947266
2020-11-04,65.71442413330078
2020-11-05,74.92367553710938
2020-11-06,74.39974975585938
2020-11-09,74.82530975341797
2020-11-10,73.86109161376953
2020-11-11,75.37875366210938
2020-11-12,74.66048431396484
2020-11-13,74.57185363769531
2020-11-16,74.57432556152344
2020-11-17,75.77347564697266
2020-11-18,74.10401916503906
2020-11-19,74.42658996582031
2020-11-20,75.07662200927734
2020-11-23,74.79100036621094
2020-11-24,74.56446838378906
2020-11-25,74.30101013183594
2020-11-27,73.29145812988281
2020-11-30,74.68511199951172
2020-12-01,75.08647918701172
2020-12-02,73.4588851928711
2020-12-03,73.61153411865234
2020-12-04,75.49029541015625
2020-12-07,75.82271575927734
2020-12-08,76.04927062988281
2020-12-09,74.27391052246094
2020-12-10,75.15050506591797
2020-12-11,75.0914077758789
2020-12-14,75.45830535888672
2020-12-15,75.88182067871094
2020-12-16,74.61370086669922
2020-12-17,76.2733383178711
2020-12-18,78.85385131835938
2020-12-21,79.25521850585938
2020-12-22,78.93264770507812
2020-12-23,78.80953979492188
2020-12-24,79.19366455078125
2020-12-28,77.75813293457031
2020-12-29,77.54143524169922
2020-12-30,78.05360412597656
2020-12-31,78.19147491455078
2021-01-04,77.47001647949219
2021-01-05,78.0560531616211
2021-01-06,81.48116302490234
2021-01-07,82.69757843017578
2021-01-08,81.13892364501953
2021-01-11,82.4439468383789
2021-01-12,82.24449157714844
2021-01-13,81.39990234375
2021-01-14,83.02998352050781
2021-01-15,85.6178970336914
2021-01-19,86.62005615234375
2021-01-20,87.82415008544922
2021-01-21,87.58037567138672
2021-01-22,87.80445861816406
2021-01-25,86.7825698852539
2021-01-26,83.80314636230469
2021-01-27,78.40816497802734
2021-01-28,79.41527557373047
