,CHRW
2017-05-05,60.6596794128418
2017-05-08,59.09669876098633
2017-05-09,58.60050582885742
2017-05-10,58.029869079589844
2017-05-11,57.707340240478516
2017-05-12,57.35173797607422
2017-05-15,57.45097732543945
2017-05-16,57.5584831237793
2017-05-17,56.10298538208008
2017-05-18,56.28491973876953
2017-05-19,55.70602798461914
2017-05-22,56.30147933959961
2017-05-23,56.516483306884766
2017-05-24,56.54957580566406
2017-05-25,56.160884857177734
2017-05-26,55.44139862060547
2017-05-30,55.631595611572266
2017-05-31,55.789798736572266
2017-06-01,56.26436233520508
2017-06-02,56.297645568847656
2017-06-05,55.99791717529297
2017-06-06,55.881385803222656
2017-06-07,55.972965240478516
2017-06-08,55.7564811706543
2017-06-09,56.49747085571289
2017-06-12,57.296722412109375
2017-06-13,57.521507263183594
2017-06-14,56.480812072753906
2017-06-15,57.821231842041016
2017-06-16,58.31245040893555
2017-06-19,58.36238098144531
2017-06-20,56.947052001953125
2017-06-21,55.92298889160156
2017-06-22,56.03123474121094
2017-06-23,55.773136138916016
2017-06-26,56.26436233520508
2017-06-27,56.05622482299805
2017-06-28,56.05622482299805
2017-06-29,56.239383697509766
2017-06-30,57.18017578125
2017-07-03,58.34574890136719
2017-07-05,57.24677658081055
2017-07-06,56.34760665893555
2017-07-07,56.589046478271484
2017-07-10,56.80550765991211
2017-07-11,57.113548278808594
2017-07-12,57.33835220336914
2017-07-13,57.24677658081055
2017-07-14,57.829559326171875
2017-07-17,57.3549919128418
2017-07-18,57.862857818603516
2017-07-19,57.188499450683594
2017-07-20,54.12468338012695
2017-07-21,54.58259201049805
2017-07-24,54.63254165649414
2017-07-25,54.8906364440918
2017-07-26,54.87398147583008
2017-07-27,54.49932098388672
2017-07-28,54.324493408203125
2017-07-31,54.624210357666016
2017-08-01,54.09969711303711
2017-08-02,54.624210357666016
2017-08-03,54.699127197265625
2017-08-04,55.96462631225586
2017-08-07,55.39849090576172
2017-08-08,55.573326110839844
2017-08-09,55.0571403503418
2017-08-10,55.040489196777344
2017-08-11,54.6408576965332
2017-08-14,55.89801788330078
2017-08-15,56.63066101074219
2017-08-16,56.62236022949219
2017-08-17,55.68988800048828
2017-08-18,55.598297119140625
