,AMP
2016-11-30,96.6876220703125
2016-12-01,97.39026641845703
2016-12-02,96.06114959716797
2016-12-05,97.0431900024414
2016-12-06,97.52571105957031
2016-12-07,98.84638977050781
2016-12-08,100.6580581665039
2016-12-09,100.37867736816406
2016-12-12,97.66117858886719
2016-12-13,97.25482177734375
2016-12-14,95.60400390625
2016-12-15,96.84846496582031
2016-12-16,94.58808898925781
2016-12-19,94.31719970703125
2016-12-20,96.06962585449219
2016-12-21,95.5870590209961
2016-12-22,94.613525390625
2016-12-23,94.75743103027344
2016-12-27,95.0960693359375
2016-12-28,93.81769561767578
2016-12-29,93.05577850341797
2016-12-30,93.9192886352539
2017-01-03,94.6896743774414
2017-01-04,97.52571105957031
2017-01-05,96.28971099853516
2017-01-06,97.91514587402344
2017-01-09,97.52571105957031
2017-01-10,97.12784576416016
2017-01-11,97.40718841552734
2017-01-12,97.4325942993164
2017-01-13,97.58496856689453
2017-01-17,94.43572235107422
2017-01-18,96.01033782958984
2017-01-19,95.64633178710938
2017-01-20,95.70557403564453
2017-01-23,95.54473114013672
2017-01-24,96.77226257324219
2017-01-25,99.00723266601562
2017-01-26,97.25482177734375
2017-01-27,96.00188446044922
2017-01-30,95.71403503417969
2017-01-31,95.04524230957031
2017-02-01,95.7309799194336
2017-02-02,99.81147003173828
2017-02-03,102.65596771240234
2017-02-06,104.44225311279297
2017-02-07,104.28141784667969
2017-02-08,102.92688751220703
2017-02-09,105.39720916748047
2017-02-10,105.89126586914062
2017-02-13,107.45863342285156
2017-02-14,108.87266540527344
2017-02-15,109.77560424804688
2017-02-16,110.02264404296875
2017-02-17,109.87783813476562
2017-02-21,111.39410400390625
2017-02-22,111.3174057006836
2017-02-23,111.14706420898438
2017-02-24,110.59339904785156
2017-02-27,111.68373107910156
2017-02-28,112.01594543457031
2017-03-01,114.38404846191406
2017-03-02,112.10114288330078
2017-03-03,113.34483337402344
2017-03-06,112.80812072753906
2017-03-07,112.59516906738281
2017-03-08,112.91886901855469
2017-03-09,113.05519104003906
2017-03-10,112.52703857421875
2017-03-13,112.94445037841797
2017-03-14,112.7911148071289
2017-03-15,113.86441802978516
2017-03-16,114.65662384033203
2017-03-17,112.19482421875
2017-03-20,111.15557098388672
2017-03-21,107.22013092041016
2017-03-22,106.65791320800781
2017-03-23,107.04122924804688
2017-03-24,106.70049285888672
2017-03-27,106.71753692626953
2017-03-28,109.34117889404297
2017-03-29,108.52342987060547
2017-03-30,110.44855499267578
2017-03-31,110.46559143066406
2017-04-03,110.37191772460938
2017-04-04,109.80117797851562
2017-04-05,109.05156707763672
2017-04-06,110.49114990234375
2017-04-07,110.14189910888672
2017-04-10,110.20153045654297
2017-04-11,110.14189910888672
2017-04-12,108.6426773071289
2017-04-13,107.52676391601562
2017-04-17,108.82156372070312
2017-04-18,107.8504867553711
2017-04-19,108.0975112915039
2017-04-20,110.37191772460938
2017-04-21,109.4093246459961
2017-04-24,112.32256317138672
2017-04-25,111.48779296875
2017-04-26,109.88636016845703
2017-04-27,109.42637634277344
2017-04-28,108.90675354003906
2017-05-01,109.72449493408203
2017-05-02,109.98006439208984
2017-05-03,109.90339660644531
2017-05-04,109.82623291015625
2017-05-05,110.44351959228516
2017-05-08,110.0663070678711
2017-05-09,110.52067565917969
2017-05-10,110.67498779296875
2017-05-11,109.38899993896484
2017-05-12,108.13725280761719
2017-05-15,110.40064239501953
2017-05-16,111.38661193847656
2017-05-17,105.74524688720703
2017-05-18,106.67119598388672
2017-05-19,107.88005828857422
2017-05-22,107.26275634765625
2017-05-23,105.43659973144531
2017-05-24,104.43353271484375
2017-05-25,105.11939239501953
2017-05-26,104.85362243652344
2017-05-30,103.82479858398438
2017-05-31,103.55902862548828
2017-06-01,105.56520080566406
2017-06-02,105.17082977294922
2017-06-05,104.77644348144531
2017-06-06,103.67046356201172
2017-06-07,104.55354309082031
2017-06-08,105.67666625976562
2017-06-09,108.44589233398438
2017-06-12,109.25182342529297
2017-06-13,109.09746551513672
2017-06-14,109.5947265625
2017-06-15,111.1208267211914
2017-06-16,111.75526428222656
2017-06-19,113.27275848388672
2017-06-20,112.03816223144531
2017-06-21,109.94627380371094
2017-06-22,108.32585144042969
2017-06-23,107.6399917602539
2017-06-26,108.18871307373047
2017-06-27,107.84574890136719
2017-06-28,110.0920181274414
2017-06-29,109.75765991210938
2017-06-30,109.13178253173828
2017-07-03,111.57523345947266
2017-07-05,112.42400360107422
2017-07-06,110.7264404296875
2017-07-07,112.57831573486328
2017-07-10,113.89863586425781
2017-07-11,112.68976593017578
2017-07-12,114.29300689697266
2017-07-13,115.0474624633789
2017-07-14,115.5190200805664
2017-07-17,115.50186920166016
2017-07-18,115.37324523925781
2017-07-19,116.63356018066406
2017-07-20,117.27654266357422
2017-07-21,116.89079284667969
2017-07-24,117.9367446899414
2017-07-25,119.03414154052734
2017-07-26,124.01534271240234
2017-07-27,122.17205810546875
2017-07-28,123.8438491821289
2017-07-31,124.21253967285156
2017-08-01,125.10416412353516
2017-08-02,124.7612533569336
2017-08-03,126.10636901855469
2017-08-04,127.47735595703125
2017-08-07,127.00311279296875
2017-08-08,128.30516052246094
2017-08-09,127.57217407226562
2017-08-10,123.98517608642578
2017-08-11,123.61444091796875
2017-08-14,125.14923095703125
2017-08-15,124.94227600097656
2017-08-16,123.61444091796875
2017-08-17,119.6307601928711
2017-08-18,119.68248748779297
2017-08-21,118.52706909179688
2017-08-22,119.67383575439453
2017-08-23,119.43244171142578
2017-08-24,119.33756256103516
2017-08-25,119.51861572265625
2017-08-28,118.777099609375
2017-08-29,118.45804595947266
2017-08-30,118.3028793334961
2017-08-31,119.43244171142578
2017-09-01,120.56201934814453
2017-09-05,116.98358154296875
2017-09-06,116.49209594726562
2017-09-07,113.95706939697266
2017-09-08,114.48300170898438
2017-09-11,117.7337875366211
2017-09-12,118.68224334716797
2017-09-13,118.69949340820312
2017-09-14,119.86354064941406
2017-09-15,120.59646606445312
