,VICI
2021-02-17,22.27586555480957
2021-02-18,22.12088966369629
2021-02-19,22.806049346923828
2021-02-22,23.173099517822266
2021-02-23,23.083372116088867
2021-02-24,23.23019218444824
2021-02-25,23.001808166503903
2021-02-26,23.246505737304688
2021-03-01,23.54830741882324
2021-03-02,23.23019218444824
2021-03-03,23.809316635131836
2021-03-04,23.36885643005371
2021-03-05,23.833786010742188
2021-03-08,23.27913475036621
2021-03-09,23.44226455688477
2021-03-10,23.466737747192383
2021-03-11,23.295446395874023
2021-03-12,23.262819290161133
2021-03-15,23.540142059326172
2021-03-16,22.92839813232422
2021-03-17,23.646183013916016
2021-03-18,22.83051490783691
2021-03-19,22.86314582824707
2021-03-22,23.001808166503903
2021-03-23,22.716325759887695
2021-03-24,22.22930908203125
2021-03-25,22.526470184326172
2021-03-26,22.81537628173828
2021-03-29,22.922685623168945
2021-03-30,23.28588104248047
2021-03-31,23.310644149780273
2021-04-01,23.80591583251953
2021-04-05,23.921476364135746
2021-04-06,24.004016876220703
2021-04-07,24.06180000305176
2021-04-08,24.03704071044922
2021-04-09,23.68209457397461
2021-04-12,23.640825271606445
2021-04-13,24.28467559814453
2021-04-14,23.79765892028809
2021-04-15,24.309438705444336
2021-04-16,24.71390914916992
2021-04-19,24.656126022338867
2021-04-20,24.887250900268555
2021-04-21,25.20092010498047
2021-04-22,25.25044822692871
2021-04-23,25.423789978027344
2021-04-26,25.514589309692383
2021-04-27,25.704442977905273
2021-04-28,25.97684097290039
2021-04-29,26.21622085571289
2021-04-30,26.16669464111328
2021-05-03,26.45560073852539
2021-05-04,26.158443450927734
2021-05-05,25.762222290039062
2021-05-06,25.48157501220703
2021-05-07,25.919057846069336
2021-05-10,25.820009231567383
2021-05-11,25.308229446411133
2021-05-12,24.47452735900879
2021-05-13,24.829465866088867
2021-05-14,25.48157501220703
2021-05-17,25.745718002319336
2021-05-18,25.423789978027344
2021-05-19,25.324737548828125
2021-05-20,25.753971099853516
2021-05-21,25.580625534057617
2021-05-24,25.910802841186523
2021-05-25,25.877788543701172
2021-05-26,25.919057846069336
2021-05-27,25.489824295043945
2021-05-28,25.69618797302246
2021-06-01,26.141931533813477
2021-06-02,26.240985870361328
2021-06-03,26.19971466064453
2021-06-04,26.240985870361328
2021-06-07,26.65370750427246
2021-06-08,27.35533905029297
2021-06-09,26.95087242126465
2021-06-10,27.09945297241211
2021-06-11,27.074687957763672
2021-06-14,27.091197967529297
2021-06-15,26.93436050415039
2021-06-16,26.94261360168457
2021-06-17,26.686729431152344
2021-06-18,25.762222290039062
2021-06-21,26.4390926361084
2021-06-22,26.331787109375
2021-06-23,26.13994789123535
2021-06-24,25.948110580444336
2021-06-25,26.590349197387695
2021-06-28,26.12326431274414
2021-06-29,25.889719009399418
2021-06-30,25.873043060302734
2021-07-01,25.91474342346191
2021-07-02,25.931427001953125
2021-07-06,25.781288146972656
2021-07-07,25.689542770385746
2021-07-08,25.606138229370117
2021-07-09,26.223352432250977
2021-07-12,26.573665618896484
2021-07-13,26.098243713378903
2021-07-14,26.081560134887695
2021-07-15,26.164966583251953
2021-07-16,25.97313117980957
2021-07-19,25.3392333984375
2021-07-20,26.41518783569336
2021-07-21,26.707117080688477
2021-07-22,26.348461151123047
2021-07-23,26.657073974609375
2021-07-26,26.315101623535156
2021-07-27,26.47357749938965
2021-07-28,26.248376846313477
2021-07-29,25.8480167388916
2021-07-30,26.014835357666016
2021-08-02,25.597795486450195
2021-08-03,25.23914337158203
2021-08-04,25.17241668701172
2021-08-05,25.54775047302246
2021-08-06,25.347572326660156
2021-08-09,25.197437286376953
2021-08-10,24.84712791442871
2021-08-11,25.30586814880371
2021-08-12,25.20577812194824
2021-08-13,25.047304153442383
2021-08-16,25.06398582458496
2021-08-17,24.930532455444336
2021-08-18,24.78039932250977
2021-08-19,24.413406372070312
2021-08-20,24.43842887878418
2021-08-23,24.53017807006836
2021-08-24,24.580223083496097
2021-08-25,24.772062301635746
2021-08-26,25.047304153442383
2021-08-27,25.45600700378418
2021-08-30,25.64784240722656
2021-08-31,25.781288146972656
2021-09-01,26.156627655029297
2021-09-02,26.423534393310547
2021-09-03,26.7154598236084
2021-09-07,26.34012794494629
2021-09-08,26.481916427612305
2021-09-09,24.92219352722168
2021-09-10,24.79707908630371
2021-09-13,24.980579376220703
2021-09-14,24.955556869506836
2021-09-15,25.13071060180664
2021-09-16,25.022279739379883
2021-09-17,24.66362953186035
2021-09-20,24.546855926513672
