,MMC
2020-02-11,110.01647186279297
2020-02-12,110.5751724243164
2020-02-13,111.1524887084961
2020-02-14,110.60311126708984
2020-02-18,111.22698974609375
2020-02-19,110.32376861572266
2020-02-20,109.0201416015625
2020-02-21,108.34038543701172
2020-02-24,105.5282974243164
2020-02-25,103.46112823486328
2020-02-26,104.83921813964844
2020-02-27,99.5223159790039
2020-02-28,97.36202239990234
2020-03-02,100.57453155517578
2020-03-03,99.18708038330078
2020-03-04,102.98621368408203
2020-03-05,99.22433471679688
2020-03-06,98.39559936523438
2020-03-09,93.00418853759766
2020-03-10,95.99320220947266
2020-03-11,92.13822174072266
2020-03-12,86.59782409667969
2020-03-13,91.84957122802734
2020-03-16,81.81166076660156
2020-03-17,85.57354736328125
2020-03-18,75.2469711303711
2020-03-19,73.58953094482422
2020-03-20,74.3716812133789
2020-03-23,71.4106216430664
2020-03-24,80.9456787109375
2020-03-25,80.88050079345703
2020-03-26,79.94935607910156
2020-03-27,79.56753540039062
2020-03-30,83.38532257080078
2020-03-31,80.50801849365234
2020-04-01,76.3736801147461
2020-04-02,77.05343627929688
2020-04-03,74.39962005615234
2020-04-06,81.31815338134766
2020-04-07,81.80956268310547
2020-04-08,87.62236785888672
2020-04-09,90.43045806884766
2020-04-13,88.94217681884766
2020-04-14,93.07945251464844
2020-04-15,90.1402816772461
2020-04-16,91.00143432617188
2020-04-17,92.23699188232422
2020-04-20,89.63482666015625
2020-04-21,86.77054595947266
2020-04-22,88.06230163574219
2020-04-23,86.66758728027344
2020-04-24,87.32282257080078
2020-04-27,88.64261627197266
2020-04-28,87.29473876953125
2020-04-29,88.5677490234375
2020-04-30,91.10440063476562
2020-05-01,90.88911437988281
2020-05-04,92.42420196533203
2020-05-05,93.84699249267578
2020-05-06,92.55525970458984
2020-05-07,95.14807891845703
2020-05-08,97.32904815673828
2020-05-11,97.4320068359375
2020-05-12,97.62857818603516
2020-05-13,98.37740325927734
2020-05-14,99.31343078613281
2020-05-15,97.78770446777344
2020-05-18,100.1558837890625
2020-05-19,98.77989959716797
2020-05-20,97.32904815673828
2020-05-21,97.85322570800781
2020-05-22,97.81578063964844
2020-05-26,98.98583221435547
2020-05-27,99.18240356445312
2020-05-28,99.77208709716797
2020-05-29,99.14495086669922
2020-06-01,99.87506103515625
2020-06-02,101.11063385009766
2020-06-03,102.24322509765625
2020-06-04,101.76585388183594
2020-06-05,104.35868835449219
2020-06-08,104.2837905883789
2020-06-09,103.37583923339844
2020-06-10,103.0762939453125
2020-06-11,97.56305694580078
2020-06-12,97.66600036621094
2020-06-15,99.21984100341797
2020-06-16,100.50221252441406
2020-06-17,101.59737396240234
2020-06-18,101.48503875732422
2020-06-19,96.95463562011719
2020-06-22,98.80797576904297
2020-06-23,98.99518585205078
2020-06-24,97.28221893310547
2020-06-25,100.13714599609375
2020-06-26,98.0497817993164
2020-06-29,98.54589080810547
2020-06-30,100.50221252441406
2020-07-01,100.65196228027344
