,ETR
2019-01-15,29.84200668334961
2019-01-16,29.75934410095215
2019-01-17,29.63191032409668
2019-01-18,29.721454620361328
2019-01-22,29.84890365600586
2019-01-23,30.265666961669922
2019-01-24,30.527429580688477
2019-01-25,30.000450134277344
2019-01-28,29.79723358154297
2019-01-29,29.828227996826172
2019-01-30,30.003894805908203
2019-01-31,30.72032356262207
2019-02-01,30.596324920654297
2019-02-04,30.72032356262207
2019-02-05,30.72032356262207
2019-02-06,30.84432601928711
2019-02-07,31.092308044433594
2019-02-08,31.28175926208496
2019-02-11,31.20597267150879
2019-02-12,31.2955322265625
2019-02-13,31.408010482788086
2019-02-14,31.523996353149414
2019-02-15,31.583738327026367
2019-02-19,31.650527954101562
2019-02-20,32.068782806396484
2019-02-21,32.051212310791016
2019-02-22,32.60654067993164
2019-02-25,32.49407196044922
2019-02-26,32.581947326660156
2019-02-27,32.497589111328125
2019-02-28,32.803367614746094
2019-03-01,32.7752571105957
2019-03-04,32.56085205078125
2019-03-05,32.39565658569336
2019-03-06,32.36753845214844
2019-03-07,32.381591796875
2019-03-08,32.508121490478516
2019-03-11,33.02479553222656
2019-03-12,33.351680755615234
2019-03-13,33.39384841918945
2019-03-14,33.36925506591797
2019-03-15,33.27083969116211
2019-03-18,33.211090087890625
2019-03-19,32.75065231323242
2019-03-20,32.887725830078125
2019-03-21,33.37276077270508
2019-03-22,33.78398513793945
2019-03-25,33.67854690551758
2019-03-26,33.92106628417969
2019-03-27,33.727760314941406
2019-03-28,33.41142654418945
2019-03-29,33.61176681518555
2019-04-01,33.1653938293457
2019-04-02,33.08455276489258
2019-04-03,33.05643844604492
2019-04-04,32.901790618896484
2019-04-05,33.204063415527344
2019-04-08,33.15836715698242
2019-04-09,33.288414001464844
2019-04-10,33.24623107910156
2019-04-11,33.39736557006836
2019-04-12,33.474693298339844
2019-04-15,33.40790939331055
2019-04-16,32.8244514465332
2019-04-17,32.65223693847656
2019-04-18,32.84906005859375
2019-04-22,32.912322998046875
2019-04-23,33.1442985534668
2019-04-24,33.26380157470703
2019-04-25,33.464149475097656
2019-04-26,33.4360237121582
2019-04-29,33.39033508300781
2019-04-30,34.05814743041992
2019-05-01,33.70314025878906
2019-05-02,33.81914138793945
2019-05-03,33.96324157714844
2019-05-06,33.81562042236328
2019-05-07,33.92106628417969
2019-05-08,33.75627899169922
2019-05-09,33.78493118286133
2019-05-10,34.508567810058594
2019-05-13,34.91695022583008
2019-05-14,34.56589126586914
2019-05-15,34.494232177734375
2019-05-16,34.71635437011719
2019-05-17,35.06740951538086
2019-05-20,35.088905334472656
2019-05-21,34.992183685302734
2019-05-22,35.2823486328125
2019-05-23,35.59042739868164
2019-05-24,35.461456298828125
2019-05-28,34.7235107421875
2019-05-29,34.26854705810547
2019-05-30,34.44767761230469
2019-05-31,34.77366638183594
