,WM
2022-11-01,151.02081298828125
2022-11-02,149.76651000976562
2022-11-03,151.60940551757812
2022-11-04,150.29713439941406
2022-11-07,151.8216552734375
2022-11-08,154.0311737060547
2022-11-09,152.64178466796875
2022-11-10,155.55569458007812
2022-11-11,152.60317993164062
2022-11-14,152.05323791503906
2022-11-15,151.57078552246094
2022-11-16,152.52603149414062
2022-11-17,153.50050354003906
2022-11-18,155.51708984375
2022-11-21,157.08016967773438
2022-11-22,157.5047149658203
2022-11-23,158.2476348876953
2022-11-25,158.68186950683594
2022-11-28,158.80728149414062
2022-11-29,159.2800750732422
2022-11-30,161.82730102539062
2022-12-01,162.5537872314453
2022-12-02,164.48133850097656
2022-12-05,162.52471923828125
2022-12-06,160.3647003173828
2022-12-07,160.0256805419922
2022-12-08,160.8005828857422
2022-12-09,161.59486389160156
2022-12-12,161.5561065673828
2022-12-13,161.51734924316406
2022-12-14,161.31393432617188
2022-12-15,158.24339294433594
2022-12-16,156.71299743652344
2022-12-19,152.64480590820312
2022-12-20,152.83848571777344
2022-12-21,154.27210998535156
2022-12-22,152.7803955078125
2022-12-23,154.2139892578125
2022-12-27,154.49485778808594
2022-12-28,152.4316864013672
2022-12-29,153.88461303710938
2022-12-30,151.95709228515625
2023-01-03,152.1023712158203
2023-01-04,151.98614501953125
2023-01-05,149.05120849609375
2023-01-06,154.4851837158203
2023-01-09,153.27438354492188
2023-01-10,150.0489044189453
2023-01-11,152.06362915039062
2023-01-12,147.8888702392578
2023-01-13,149.3514862060547
2023-01-17,149.5258331298828
2023-01-18,146.1647186279297
2023-01-19,145.76760864257812
2023-01-20,147.28834533691406
2023-01-23,147.87918090820312
2023-01-24,147.4917449951172
2023-01-25,148.3053741455078
2023-01-26,147.7145233154297
2023-01-27,147.82107543945312
2023-01-30,148.2957000732422
2023-01-31,149.8745574951172
2023-02-01,149.56460571289062
2023-02-02,145.622314453125
2023-02-03,146.31971740722656
2023-02-06,147.0558624267578
2023-02-07,146.58123779296875
2023-02-08,146.1259765625
2023-02-09,147.50143432617188
2023-02-10,149.23524475097656
2023-02-13,147.9857177734375
2023-02-14,146.59091186523438
2023-02-15,147.36582946777344
2023-02-16,147.4917449951172
2023-02-17,150.05859375
2023-02-21,147.75326538085938
2023-02-22,147.3755340576172
2023-02-23,146.24221801757812
2023-02-24,146.56185913085938
2023-02-27,146.32940673828125
2023-02-28,145.0605010986328
2023-03-01,144.1597137451172
2023-03-02,145.29295349121094
2023-03-03,145.37046813964844
2023-03-06,146.038818359375
2023-03-07,144.71180725097656
2023-03-08,145.1960906982422
2023-03-09,146.57798767089844
2023-03-10,145.32261657714844
2023-03-13,147.1813507080078
2023-03-14,150.21766662597656
2023-03-15,150.89886474609375
2023-03-16,151.43406677246094
2023-03-17,149.0401153564453
2023-03-20,150.71395874023438
2023-03-21,150.36363220214844
2023-03-22,148.00857543945312
2023-03-23,146.65585327148438
2023-03-24,150.31497192382812
2023-03-27,149.4585723876953
2023-03-28,150.66531372070312
2023-03-29,152.82571411132812
2023-03-30,157.1952362060547
2023-03-31,158.79122924804688
2023-04-03,159.47242736816406
2023-04-04,159.1415557861328
2023-04-05,158.45062255859375
2023-04-06,159.26806640625
2023-04-10,157.92507934570312
2023-04-11,158.7620391845703
2023-04-12,161.05868530273438
2023-04-13,162.37245178222656
2023-04-14,160.86407470703125
2023-04-17,160.96136474609375
2023-04-18,160.94192504882812
2023-04-19,160.66941833496094
2023-04-20,161.25331115722656
2023-04-21,160.7180938720703
2023-04-24,161.22410583496094
2023-04-25,161.12681579589844
2023-04-26,159.21942138671875
2023-04-27,157.29254150390625
2023-04-28,161.5939178466797
2023-05-01,162.31407165527344
2023-05-02,162.23622131347656
2023-05-03,162.82986450195312
2023-05-04,163.30670166015625
2023-05-05,163.91006469726562
2023-05-08,164.4939422607422
2023-05-09,164.9124298095703
2023-05-10,165.97315979003906
2023-05-11,165.62283325195312
2023-05-12,164.6983184814453
2023-05-15,164.0560302734375
2023-05-16,163.22885131835938
2023-05-17,162.24594116210938
2023-05-18,160.57208251953125
2023-05-19,160.92245483398438
2023-05-22,159.89088439941406
2023-05-23,158.41168212890625
2023-05-24,158.2559814453125
2023-05-25,157.5358428955078
2023-05-26,156.95193481445312
2023-05-30,157.80833435058594
2023-05-31,157.5747528076172
2023-06-01,159.11904907226562
2023-06-02,161.230224609375
2023-06-05,161.0151824951172
2023-06-06,159.0017547607422
2023-06-07,157.8972930908203
2023-06-08,158.90399169921875
2023-06-09,159.0017547607422
2023-06-12,159.2265625
2023-06-13,158.4348907470703
2023-06-14,158.7476043701172
2023-06-15,160.4873809814453
2023-06-16,161.29859924316406
2023-06-20,161.13246154785156
2023-06-21,161.73843383789062
2023-06-22,163.13607788085938
2023-06-23,161.845947265625
2023-06-26,162.969970703125
2023-06-27,164.96380615234375
2023-06-28,163.68345642089844
2023-06-29,165.77505493164062
2023-06-30,169.4989013671875
2023-07-03,167.5245819091797
2023-07-05,167.1824951171875
2023-07-06,167.48548889160156
2023-07-07,166.16600036621094
2023-07-10,167.2606964111328
2023-07-11,166.3712615966797
2023-07-12,165.35476684570312
2023-07-13,164.53378295898438
2023-07-14,164.748779296875
2023-07-17,163.96688842773438
2023-07-18,162.8428955078125
2023-07-19,162.9308624267578
2023-07-20,168.01327514648438
2023-07-21,168.5117645263672
2023-07-24,167.91555786132812
2023-07-25,167.86668395996094
2023-07-26,161.21063232421875
2023-07-27,160.26258850097656
2023-07-28,159.25587463378906
2023-07-31,160.08663940429688
2023-08-01,158.83558654785156
2023-08-02,159.7250213623047
2023-08-03,157.30108642578125
2023-08-04,156.80259704589844
2023-08-07,157.6040802001953
2023-08-08,156.18685913085938
2023-08-09,157.8484344482422
2023-08-10,156.21620178222656
2023-08-11,157.30108642578125
2023-08-14,157.09584045410156
2023-08-15,155.37562561035156
2023-08-16,156.4019012451172
2023-08-17,154.906494140625
2023-08-18,155.27789306640625
2023-08-21,155.27789306640625
2023-08-22,154.55462646484375
2023-08-23,154.79898071289062
2023-08-24,153.72384643554688
2023-08-25,154.75009155273438
2023-08-28,154.368896484375
2023-08-29,154.55462646484375
2023-08-30,155.0335235595703
2023-08-31,153.23516845703125
2023-09-01,153.45994567871094
