,XOM
2016-06-07,62.25679397583008
2016-06-08,62.31169509887695
2016-06-09,62.229339599609375
2016-06-10,61.755775451660156
2016-06-13,62.17441177368164
2016-06-14,62.06462478637695
2016-06-15,61.879295349121094
2016-06-16,62.606807708740234
2016-06-17,62.26363754272461
2016-06-20,62.538185119628906
2016-06-21,62.819580078125
2016-06-22,62.5724983215332
2016-06-23,63.00489807128906
2016-06-24,61.350826263427734
2016-06-27,60.987064361572266
2016-06-28,62.39405822753906
2016-06-29,63.45785903930664
2016-06-30,64.33634948730469
2016-07-01,64.40498352050781
2016-07-05,63.842201232910156
2016-07-06,64.5765609741211
2016-07-07,63.801025390625
2016-07-08,64.19908905029297
2016-07-11,64.43929290771484
2016-07-12,65.16680908203125
2016-07-13,65.11878204345703
2016-07-14,65.16680908203125
2016-07-15,65.28350067138672
2016-07-18,65.07759857177734
2016-07-19,64.83736419677734
2016-07-20,64.46676635742188
2016-07-21,64.411865234375
2016-07-22,64.52166748046875
2016-07-25,63.279415130615234
2016-07-26,62.819580078125
2016-07-27,62.39405822753906
2016-07-28,61.90675354003906
2016-07-29,61.048858642578125
2016-08-01,58.9280891418457
2016-08-02,59.73796844482422
2016-08-03,60.04679489135742
2016-08-04,60.03994369506836
2016-08-05,60.09486389160156
2016-08-08,60.80177307128906
2016-08-09,60.87726974487305
2016-08-10,59.81130599975586
2016-08-11,60.02588653564453
2016-08-12,60.80805969238281
2016-08-15,60.780357360839844
2016-08-16,60.85650634765625
2016-08-17,60.98799514770508
2016-08-18,61.54175567626953
2016-08-19,60.7734489440918
2016-08-22,60.90494155883789
2016-08-23,60.71806716918945
2016-08-24,60.925724029541016
2016-08-25,60.53810119628906
2016-08-26,60.40657424926758
2016-08-29,60.801116943359375
2016-08-30,60.57961654663086
2016-08-31,60.31658935546875
2016-09-01,60.10894012451172
2016-09-02,60.510406494140625
2016-09-06,61.30640411376953
2016-09-07,61.0780143737793
2016-09-08,61.638675689697266
2016-09-09,60.10894012451172
2016-09-12,60.42042541503906
2016-09-13,58.980682373046875
2016-09-14,58.55845642089844
2016-09-15,58.89070510864258
2016-09-16,58.163902282714844
2016-09-19,58.02549362182617
2016-09-20,57.13258361816406
2016-09-21,57.65861511230469
2016-09-22,57.82474899291992
2016-09-23,57.76244354248047
2016-09-26,57.49250793457031
2016-09-27,57.61709213256836
2016-09-28,60.15047836303711
2016-09-29,59.84593200683594
2016-09-30,60.41350173950195
2016-10-03,60.25431442260742
2016-10-04,59.700557708740234
2016-10-05,60.21970748901367
2016-10-06,60.24738311767578
2016-10-07,60.039737701416016
2016-10-10,61.216461181640625
2016-10-11,60.73191833496094
2016-10-12,60.309661865234375
2016-10-13,59.91514205932617
2016-10-14,59.90129852294922
2016-10-17,59.90129852294922
2016-10-18,60.060489654541016
2016-10-19,60.33736038208008
2016-10-20,60.36505126953125
2016-10-21,59.956668853759766
2016-10-24,60.15740966796875
2016-10-25,60.02588653564453
2016-10-26,60.281986236572266
2016-10-27,60.16433334350586
2016-10-28,58.68305969238281
2016-10-31,57.6724853515625
2016-11-01,57.900901794433594
2016-11-02,57.76244354248047
2016-11-03,57.90781784057617
2016-11-04,57.845516204833984
2016-11-07,59.146820068359375
2016-11-08,59.572776794433594
2016-11-09,60.22919464111328
2016-11-10,60.7878532409668
2016-11-11,59.82417678833008
2016-11-14,59.55183410644531
2016-11-15,60.627235412597656
2016-11-16,59.88005065917969
2016-11-17,59.516910552978516
2016-11-18,59.55183410644531
2016-11-21,60.396793365478516
2016-11-22,60.529449462890625
2016-11-23,60.697078704833984
2016-11-25,60.83673095703125
2016-11-28,60.3828239440918
2016-11-29,59.98480224609375
2016-11-30,60.96241760253906
2016-12-01,60.92052459716797
2016-12-02,60.780860900878906
2016-12-05,61.088111877441406
2016-12-06,61.14399719238281
2016-12-07,61.50011444091797
2016-12-08,61.67470169067383
2016-12-09,62.149539947509766
2016-12-12,63.532203674316406
2016-12-13,64.64949035644531
2016-12-14,63.25288772583008
2016-12-15,63.46934127807617
2016-12-16,63.67189025878906
2016-12-19,63.14113998413086
2016-12-20,63.148128509521484
2016-12-21,63.04338836669922
2016-12-22,63.45537185668945
2016-12-23,63.343666076660156
2016-12-27,63.37157440185547
2016-12-28,63.057369232177734
2016-12-29,63.092254638671875
2016-12-30,63.029415130615234
2017-01-03,63.46934127807617
2017-01-04,62.77103042602539
2017-01-05,61.83530807495117
2017-01-06,61.80038833618164
2017-01-09,60.780860900878906
2017-01-10,60.0057487487793
2017-01-11,60.62023162841797
2017-01-12,60.29203796386719
2017-01-13,60.299034118652344
2017-01-17,61.004337310791016
