,NTAP
2018-10-08,67.45282745361328
2018-10-09,67.14962768554688
2018-10-10,63.70499038696289
2018-10-11,62.290061950683594
2018-10-12,64.78302001953125
2018-10-15,63.443904876708984
2018-10-16,65.6252212524414
2018-10-17,66.5937728881836
2018-10-18,65.72628784179688
2018-10-19,65.33045196533203
2018-10-22,67.64654541015625
2018-10-23,65.17887878417969
2018-10-24,62.4921760559082
2018-10-25,64.21031188964844
2018-10-26,60.48775100708008
2018-10-29,60.563533782958984
2018-10-30,64.47982025146484
2018-10-31,66.10529327392578
2018-11-01,66.94750213623047
2018-11-02,66.45903015136719
2018-11-05,67.47810363769531
2018-11-06,67.64654541015625
2018-11-07,69.75205993652344
2018-11-08,69.76890563964844
2018-11-09,68.7751235961914
2018-11-12,66.42532348632812
2018-11-13,66.44218444824219
2018-11-14,65.71788024902344
2018-11-15,58.011634826660156
2018-11-16,60.555110931396484
2018-11-19,56.66408157348633
2018-11-20,56.99254608154297
2018-11-21,55.51026153564453
2018-11-23,55.29969787597656
2018-11-26,57.0683479309082
2018-11-27,56.655662536621094
2018-11-28,58.51695251464844
2018-11-29,56.7651481628418
2018-11-30,56.31878662109375
2018-12-03,58.89596176147461
2018-12-04,57.24523162841797
2018-12-06,57.67473602294922
2018-12-07,54.230098724365234
2018-12-10,55.27442932128906
2018-12-11,54.070064544677734
2018-12-12,54.499603271484375
2018-12-13,52.83201599121094
2018-12-14,51.73714065551758
2018-12-17,50.20431900024414
2018-12-18,52.24246597290039
2018-12-19,50.00217819213867
2018-12-20,48.730438232421875
2018-12-21,47.79558181762695
2018-12-24,46.170108795166016
2018-12-26,48.73886489868164
2018-12-27,50.02745056152344
2018-12-28,49.766357421875
2018-12-31,50.25484085083008
2019-01-02,50.81913375854492
2019-01-03,48.73345947265625
2019-01-04,50.38674545288086
2019-01-07,50.132389068603516
2019-01-08,49.74237823486328
2019-01-09,51.031089782714844
2019-01-10,52.10784149169922
2019-01-11,52.26892852783203
2019-01-14,51.91282653808594
2019-01-15,52.95566940307617
2019-01-16,52.65045166015625
2019-01-17,52.49783706665039
2019-01-18,53.396549224853516
2019-01-22,52.11631774902344
2019-01-23,51.8195686340332
2019-01-24,52.54023361206055
2019-01-25,54.03240966796875
2019-01-28,53.591548919677734
2019-01-29,53.06588363647461
2019-01-30,53.73568344116211
2019-01-31,54.06632995605469
2019-02-01,55.787437438964844
2019-02-04,56.915042877197266
2019-02-05,57.35591506958008
2019-02-06,57.788330078125
2019-02-07,56.79636001586914
2019-02-08,55.95700454711914
2019-02-11,55.897647857666016
2019-02-12,56.92352294921875
2019-02-13,57.10158920288086
2019-02-14,53.97306823730469
2019-02-15,54.286766052246094
2019-02-19,54.473289489746094
2019-02-20,55.33808517456055
2019-02-21,55.48222351074219
2019-02-22,55.97395324707031
2019-02-25,55.95700454711914
2019-02-26,56.601356506347656
2019-02-27,56.02482986450195
2019-02-28,55.27873611450195
2019-03-01,56.14352798461914
2019-03-04,54.72764205932617
2019-03-05,54.85481643676758
2019-03-06,54.210453033447266
2019-03-07,53.80350875854492
2019-03-08,53.5745849609375
2019-03-11,55.32960891723633
2019-03-12,55.48222351074219
2019-03-13,55.59243392944336
2019-03-14,55.73655700683594
2019-03-15,57.70353317260742
2019-03-18,56.7285270690918
2019-03-19,56.465694427490234
2019-03-20,57.28810119628906
2019-03-21,58.93290328979492
2019-03-22,56.669185638427734
2019-03-25,56.69462203979492
2019-03-26,57.33897018432617
2019-03-27,56.94896697998047
2019-03-28,57.13548278808594
2019-03-29,58.78874206542969
2019-04-01,59.6705207824707
2019-04-02,59.9926872253418
2019-04-03,61.391605377197266
2019-04-04,60.94829177856445
2019-04-05,61.5109748840332
2019-04-08,62.21004867553711
2019-04-09,62.04806900024414
2019-04-10,63.301300048828125
2019-04-11,64.35845947265625
2019-04-12,64.47782135009766
2019-04-15,64.92967224121094
