,LDOS
2021-03-30,91.81893920898438
2021-03-31,91.44851684570312
2021-04-01,91.60997772216797
2021-04-05,94.9058609008789
2021-04-06,94.71590423583984
2021-04-07,93.58560943603516
2021-04-08,95.3047866821289
2021-04-09,95.6087417602539
2021-04-12,95.51374053955078
2021-04-13,94.55442810058594
2021-04-14,95.0863265991211
2021-04-15,96.04564666748047
2021-04-16,96.1311264038086
2021-04-19,96.39707946777344
2021-04-20,96.43506622314453
2021-04-21,96.32109832763672
2021-04-22,96.20711517333984
2021-04-23,95.6087417602539
2021-04-26,94.84886169433594
2021-04-27,95.23828125
2021-04-28,94.18399047851562
2021-04-29,95.76068878173828
2021-04-30,96.19761657714844
2021-05-03,98.49616241455078
2021-05-04,99.54096221923828
2021-05-05,98.50567626953125
2021-05-06,98.68614196777344
2021-05-07,98.80960083007812
2021-05-10,99.23703002929688
2021-05-11,99.427001953125
2021-05-12,96.3780746459961
2021-05-13,98.25872039794922
2021-05-14,98.19221496582031
2021-05-17,98.19221496582031
2021-05-18,97.8407974243164
2021-05-19,96.96694946289062
2021-05-20,97.5843505859375
2021-05-21,97.5843505859375
2021-05-24,97.78379821777344
2021-05-25,97.2234115600586
2021-05-26,97.4418716430664
2021-05-27,97.74581909179688
2021-05-28,97.5938491821289
2021-06-01,98.02127075195312
2021-06-02,98.49616241455078
2021-06-03,98.34419250488281
2021-06-04,99.03755950927734
2021-06-07,99.18953704833984
2021-06-08,99.64545440673828
2021-06-09,99.66444396972656
2021-06-10,101.32662963867188
2021-06-11,101.52606964111328
2021-06-14,101.66901397705078
2021-06-15,102.10733032226562
2021-06-16,100.897216796875
2021-06-17,100.90673828125
2021-06-18,98.56272888183594
2021-06-21,100.82099151611328
2021-06-22,100.46843719482422
2021-06-23,98.65802001953125
2021-06-24,98.21017456054688
2021-06-25,98.34358215332031
2021-06-28,97.29544067382812
2021-06-29,96.17108917236328
2021-06-30,96.33304595947266
2021-07-01,98.17205047607422
2021-07-02,97.72422790527344
2021-07-06,96.60938262939453
2021-07-07,99.08679962158203
2021-07-08,98.83905792236328
2021-07-09,99.89672088623047
2021-07-12,100.13493347167969
2021-07-13,99.79190063476562
2021-07-14,99.6108627319336
2021-07-15,100.47795104980469
2021-07-16,101.2688217163086
2021-07-19,98.38168334960938
2021-07-20,100.00153350830078
2021-07-21,100.66852569580078
2021-07-22,100.24927520751953
2021-07-23,101.40221405029297
2021-07-26,101.44033813476562
2021-07-27,101.72618103027344
2021-07-28,101.50704193115234
2021-07-29,101.92628479003906
2021-07-30,101.40221405029297
2021-08-02,102.05970001220703
2021-08-03,90.89229583740234
2021-08-04,90.02521514892578
2021-08-05,89.80603790283203
2021-08-06,89.92992401123047
2021-08-09,89.29151916503906
2021-08-10,90.1109619140625
2021-08-11,91.82608795166016
2021-08-12,91.36870574951172
2021-08-13,91.13050079345703
2021-08-16,93.2744140625
2021-08-17,94.17961883544922
2021-08-18,92.0738296508789
2021-08-19,92.11193084716797
2021-08-20,91.76892852783203
2021-08-23,91.80704498291016
2021-08-24,92.17864990234375
2021-08-25,93.00762176513672
2021-08-26,93.2744140625
2021-08-27,93.57933807373047
2021-08-30,93.43638610839844
2021-08-31,93.48404693603516
2021-09-01,93.15055084228516
2021-09-02,94.48453521728516
2021-09-03,94.35112762451172
2021-09-07,93.09337615966797
2021-09-08,94.246337890625
2021-09-09,94.38924407958984
2021-09-10,92.65505981445312
2021-09-13,93.60791015625
2021-09-14,90.48063659667969
2021-09-15,90.0311508178711
2021-09-16,87.98455047607422
2021-09-17,87.80284881591797
2021-09-20,88.20452117919922
2021-09-21,86.93257904052734
2021-09-22,88.18539428710938
2021-09-23,88.96958923339844
2021-09-24,90.61453247070312
2021-09-27,92.39334106445312
2021-09-28,92.34552764892578
2021-09-29,93.67485809326172
2021-09-30,91.9343032836914
2021-10-01,93.17754364013672
2021-10-04,93.58878326416016
2021-10-05,92.21163940429688
2021-10-06,92.70894622802734
2021-10-07,93.22537994384766
2021-10-08,94.56427001953125
2021-10-11,93.42620849609375
2021-10-12,93.97132873535156
2021-10-13,93.93306732177734
2021-10-14,95.1380844116211
2021-10-15,95.91272735595703
2021-10-18,95.33891296386719
2021-10-19,95.33891296386719
2021-10-20,95.9318618774414
2021-10-21,97.00298309326172
2021-10-22,97.58635711669922
2021-10-25,97.40463256835938
2021-10-26,96.59173583984375
2021-10-27,94.65035247802734
2021-10-28,94.21997833251953
2021-10-29,95.61626434326172
2021-11-01,96.73519897460938
2021-11-02,93.88526153564453
2021-11-03,90.92056274414062
2021-11-04,90.63365173339844
2021-11-05,90.5571517944336
2021-11-08,91.6378173828125
2021-11-09,90.26067352294922
2021-11-10,89.91638946533203
2021-11-11,88.43404388427734
2021-11-12,89.48602294921875
2021-11-15,90.16503143310547
2021-11-16,89.76336669921875
2021-11-17,89.66773223876953
2021-11-18,87.19078063964844
2021-11-19,88.02281188964844
2021-11-22,89.31388854980469
2021-11-23,89.21825408935547
2021-11-24,89.03653717041016
2021-11-26,87.18121337890625
2021-11-29,86.59783935546875
2021-11-30,84.07307434082031
2021-12-01,83.6427001953125
2021-12-02,85.67017364501953
2021-12-03,84.73296356201172
2021-12-06,86.43524932861328
2021-12-07,85.89970397949219
2021-12-08,86.5309066772461
2021-12-09,84.69470977783203
2021-12-10,84.2547607421875
2021-12-13,85.73712921142578
2021-12-14,84.75769805908203
2021-12-15,84.26801300048828
2021-12-16,85.47785186767578
2021-12-17,83.27898406982422
2021-12-20,81.08009338378906
2021-12-21,82.99093627929688
2021-12-22,82.97171020507812
2021-12-23,83.87430572509766
2021-12-27,84.37362670898438
2021-12-28,84.74811553955078
2021-12-29,84.84412384033203
2021-12-30,85.32423400878906
2021-12-31,85.3626480102539
2022-01-03,86.66851806640625
2022-01-04,88.22406005859375
2022-01-05,87.91678619384766
2022-01-06,87.35028076171875
2022-01-07,87.86878967285156
2022-01-10,86.14041137695312
2022-01-11,87.1966323852539
2022-01-12,86.23643493652344
2022-01-13,88.80020141601562
2022-01-14,90.3269271850586
2022-01-18,89.51073455810547
2022-01-19,89.9044418334961
2022-01-20,89.35711669921875
2022-01-21,88.51212310791016
2022-01-24,89.33792114257812
2022-01-25,89.60676574707031
2022-01-26,90.05806732177734
2022-01-27,85.09378051757812
2022-01-28,83.53823852539062
2022-01-31,85.89075469970703
2022-02-01,85.0457763671875
2022-02-02,86.40926361083984
2022-02-03,86.39967346191406
2022-02-04,85.52587127685547
2022-02-07,85.05537414550781
2022-02-08,82.99093627929688
2022-02-09,84.9113540649414
2022-02-10,84.27759552001953
2022-02-11,85.44905853271484
2022-02-14,83.88392639160156
2022-02-15,81.1377182006836
2022-02-16,85.1898193359375
2022-02-17,88.15685272216797
2022-02-18,89.3091049194336
2022-02-22,87.08141326904297
2022-02-23,87.4271011352539
2022-02-24,91.68081665039062
2022-02-25,93.28437042236328
2022-02-28,97.78775787353516
2022-03-01,100.58197021484375
2022-03-02,99.90021514892578
2022-03-03,100.8988265991211
2022-03-04,103.4241943359375
2022-03-07,102.6080093383789
2022-03-08,98.13343811035156
2022-03-09,98.79598236083984
2022-03-10,98.92080688476562
2022-03-11,97.91259002685547
2022-03-14,98.72201538085938
2022-03-15,100.18669891357422
2022-03-16,98.34620666503906
2022-03-17,100.20597076416016
2022-03-18,101.64175415039062
2022-03-21,102.49937438964844
2022-03-22,102.54754638671875
2022-03-23,102.94264221191406
2022-03-24,103.6268081665039
2022-03-25,104.58078002929688
2022-03-28,105.08185577392578
2022-03-29,103.4533462524414
2022-03-30,104.47478485107422
2022-03-31,104.08932495117188
2022-04-01,104.3591537475586
2022-04-04,103.32807922363281
2022-04-05,103.29917907714844
2022-04-06,103.56898498535156
2022-04-07,104.13750457763672
2022-04-08,104.0604248046875
2022-04-11,104.23387145996094
2022-04-12,104.3591537475586
2022-04-13,104.77349090576172
2022-04-14,105.09147644042969
2022-04-18,105.28421783447266
2022-04-19,105.6214828491211
2022-04-20,105.87200927734375
2022-04-21,105.7853012084961
2022-04-22,104.31097412109375
2022-04-25,103.270263671875
2022-04-26,102.7499008178711
2022-04-27,102.37410736083984
2022-04-28,101.2081298828125
2022-04-29,99.74343872070312
2022-05-02,99.74343872070312
2022-05-03,98.78946685791016
2022-05-04,100.96723175048828
2022-05-05,100.27342224121094
2022-05-06,99.45436096191406
2022-05-09,95.76372528076172
2022-05-10,97.5464096069336
2022-05-11,97.52713012695312
2022-05-12,96.9104232788086
2022-05-13,97.94148254394531
2022-05-16,99.44471740722656
2022-05-17,100.60104370117188
2022-05-18,97.98966217041016
2022-05-19,97.82583618164062
2022-05-20,96.93932342529297
2022-05-23,98.14382934570312
2022-05-24,98.25949096679688
2022-05-25,98.6641845703125
2022-05-26,99.85906982421875
2022-05-27,101.526123046875
2022-05-31,100.69741821289062
2022-06-01,100.92868041992188
2022-06-02,101.80557250976562
2022-06-03,101.93083953857422
2022-06-06,102.06575012207031
2022-06-07,103.17390441894531
2022-06-08,100.12889862060547
2022-06-09,99.08819580078125
2022-06-10,97.05496215820312
2022-06-13,95.78300476074219
2022-06-14,94.69017791748047
2022-06-15,95.54122924804688
2022-06-16,92.2240219116211
2022-06-17,91.05382537841797
2022-06-21,93.71337127685547
2022-06-22,94.23561096191406
2022-06-23,94.33232879638672
2022-06-24,98.22981262207031
2022-06-27,98.3458480834961
2022-06-28,95.99577331542969
2022-06-29,96.08281707763672
2022-06-30,97.39807891845703
2022-07-01,99.08086395263672
2022-07-05,96.30523681640625
2022-07-06,97.9493408203125
2022-07-07,98.18144226074219
2022-07-08,98.287841796875
2022-07-11,97.87195587158203
2022-07-12,96.52767944335938
2022-07-13,95.7346420288086
2022-07-14,94.98029327392578
2022-07-15,95.44451904296875
2022-07-18,94.6611557006836
2022-07-19,96.85650634765625
2022-07-20,96.74044036865234
2022-07-21,97.57215881347656
2022-07-22,98.11373901367188
2022-07-25,99.56440734863281
2022-07-26,100.10599517822266
2022-07-27,99.85454559326172
2022-07-28,102.3884048461914
2022-07-29,103.4812240600586
2022-08-01,101.69207000732422
2022-08-02,97.1756591796875
2022-08-03,96.65340423583984
2022-08-04,96.04412841796875
2022-08-05,97.24335479736328
2022-08-08,95.11569213867188
2022-08-09,94.89327239990234
2022-08-10,95.39614868164062
2022-08-11,94.93195343017578
2022-08-12,96.76945495605469
2022-08-15,97.6495361328125
2022-08-16,97.89131164550781
2022-08-17,97.8236083984375
2022-08-18,98.24913024902344
2022-08-19,99.20658874511719
2022-08-22,97.32070922851562
2022-08-23,96.95320129394531
2022-08-24,96.30523681640625
2022-08-25,96.45996856689453
2022-08-26,94.00350189208984
2022-08-29,94.03253173828125
2022-08-30,92.65922546386719
2022-08-31,91.9242172241211
2022-09-01,91.93389892578125
2022-09-02,90.62828063964844
2022-09-06,90.52189636230469
2022-09-07,91.88553619384766
2022-09-08,91.45999908447266
2022-09-09,92.54316711425781
2022-09-12,93.08475494384766
2022-09-13,89.6998519897461
2022-09-14,90.23384094238281
2022-09-15,89.70956420898438
2022-09-16,90.57363891601562
2022-09-19,90.48626708984375
2022-09-20,90.39889526367188
2022-09-21,89.16586303710938
2022-09-22,88.03964233398438
2022-09-23,86.10759735107422
2022-09-26,85.8163070678711
2022-09-27,85.6318588256836
2022-09-28,86.3405990600586
2022-09-29,85.5347671508789
2022-09-30,84.92311096191406
2022-10-03,88.14643859863281
2022-10-04,90.6416015625
2022-10-05,89.78723907470703
2022-10-06,88.96197509765625
2022-10-07,88.78722381591797
2022-10-10,89.21440887451172
2022-10-11,88.61247253417969
2022-10-12,86.85517120361328
2022-10-13,88.45711517333984
2022-10-14,86.12700653076172
2022-10-17,88.47652435302734
2022-10-18,91.00083923339844
2022-10-19,90.4765625
2022-10-20,90.63190460205078
2022-10-21,92.61249542236328
2022-10-24,93.28240966796875
2022-10-25,94.47660827636719
2022-10-26,94.67076873779297
2022-10-27,96.26301574707031
2022-10-28,98.77760314941406
2022-10-31,98.63196563720703
2022-11-01,100.53489685058594
2022-11-02,101.32131958007812
2022-11-03,103.57376098632812
2022-11-04,102.68054962158203
2022-11-07,104.69027709960938
2022-11-08,105.46698760986328
2022-11-09,103.69998168945312
2022-11-10,104.10775756835938
2022-11-11,100.3698501586914
2022-11-14,101.13685607910156
2022-11-15,101.64171600341797
2022-11-16,102.92327117919922
2022-11-17,102.1854019165039
2022-11-18,103.20484161376953
2022-11-21,104.54466247558594
2022-11-22,104.34077453613281
2022-11-23,104.39900970458984
2022-11-25,105.71942138671875
2022-11-28,104.96212005615234
2022-11-29,105.34076690673828
2022-11-30,106.14661407470703
2022-12-01,106.42816925048828
2022-12-02,107.27281951904297
2022-12-05,106.45729064941406
2022-12-06,106.30194091796875
2022-12-07,105.34076690673828
2022-12-08,105.90390014648438
2022-12-09,103.73881530761719
2022-12-12,104.64173889160156
2022-12-13,103.4378433227539
2022-12-14,104.0418472290039
2022-12-15,102.56108093261719
2022-12-16,102.083740234375
2022-12-19,101.75251770019531
2022-12-20,101.7232894897461
2022-12-21,103.09687042236328
2022-12-22,102.07398986816406
2022-12-23,102.45392608642578
2022-12-27,103.17481994628906
2022-12-28,101.44078826904297
2022-12-29,102.31755065917969
2022-12-30,102.47341918945312
2023-01-03,102.00579833984375
2023-01-04,101.6745834350586
2023-01-05,101.32388305664062
2023-01-06,102.2396011352539
2023-01-09,97.73892211914062
2023-01-10,97.39795684814453
2023-01-11,97.05699920654297
2023-01-12,96.16075897216797
2023-01-13,95.81005096435547
2023-01-17,95.31322479248047
2023-01-18,93.07261657714844
2023-01-19,92.12767791748047
2023-01-20,93.5792007446289
2023-01-23,93.8812026977539
2023-01-24,94.78717803955078
2023-01-25,95.61521911621094
2023-01-26,95.25477600097656
2023-01-27,93.99808502197266
2023-01-30,94.79690551757812
2023-01-31,96.28739929199219
2023-02-01,95.3034896850586
2023-02-02,95.4009017944336
2023-02-03,95.52753448486328
2023-02-06,95.80030822753906
2023-02-07,96.44326782226562
2023-02-08,96.40428924560547
2023-02-09,95.42037963867188
2023-02-10,98.21627044677734
2023-02-13,98.1091079711914
2023-02-14,92.79011535644531
2023-02-15,95.41065216064453
2023-02-16,96.86215209960938
2023-02-17,98.62542724609375
2023-02-21,97.42718505859375
2023-02-22,97.5538330078125
2023-02-23,96.99855041503906
2023-02-24,96.7160415649414
2023-02-27,94.97225952148438
2023-02-28,94.5631103515625
2023-03-01,94.16370391845703
2023-03-02,94.44621276855469
2023-03-03,94.78717803955078
2023-03-06,94.44621276855469
2023-03-07,94.02729797363281
2023-03-08,91.63084411621094
2023-03-09,90.34493255615234
2023-03-10,90.11112976074219
2023-03-13,89.84810638427734
2023-03-14,91.21729278564453
2023-03-15,90.2784194946289
2023-03-16,90.48379516601562
2023-03-17,88.46914672851562
2023-03-20,89.56449127197266
2023-03-21,90.60115814208984
2023-03-22,89.3004379272461
2023-03-23,88.2930908203125
2023-03-24,89.368896484375
2023-03-27,89.368896484375
2023-03-28,89.09505462646484
2023-03-29,89.42757415771484
2023-03-30,89.57426452636719
2023-03-31,90.03392791748047
2023-04-03,91.14883422851562
2023-04-04,89.57426452636719
2023-04-05,89.49603271484375
2023-04-06,89.39823150634766
2023-04-10,90.5620346069336
2023-04-11,90.24907684326172
2023-04-12,90.64028930664062
2023-04-13,90.73808288574219
2023-04-14,89.88722229003906
2023-04-17,91.04125213623047
2023-04-18,91.01191711425781
2023-04-19,90.40556335449219
2023-04-20,90.52291870117188
2023-04-21,89.73074340820312
2023-04-24,89.3591079711914
2023-04-25,89.39823150634766
2023-04-26,87.49114990234375
2023-04-27,90.03392791748047
2023-04-28,91.20751953125
2023-05-01,92.24417114257812
2023-05-02,78.83592987060547
2023-05-03,79.10974884033203
2023-05-04,77.70144653320312
2023-05-05,79.05107879638672
2023-05-08,77.32981872558594
2023-05-09,78.52295684814453
2023-05-10,78.29801940917969
2023-05-11,76.54741668701172
2023-05-12,77.17333221435547
2023-05-15,76.5963134765625
2023-05-16,75.22712707519531
2023-05-17,76.82125854492188
2023-05-18,77.18310546875
2023-05-19,76.674560546875
2023-05-22,78.2491226196289
2023-05-23,79.29557800292969
2023-05-24,78.87503814697266
2023-05-25,77.54497528076172
2023-05-26,78.5327377319336
2023-05-30,77.4960708618164
2023-05-31,76.342041015625
2023-06-01,76.7430191040039
2023-06-02,79.6965560913086
2023-06-05,78.88481903076172
2023-06-06,79.54006958007812
2023-06-07,80.87992095947266
2023-06-08,80.73322296142578
2023-06-09,81.0853042602539
2023-06-12,82.19043731689453
2023-06-13,81.89702606201172
2023-06-14,81.55326080322266
2023-06-15,83.72395324707031
2023-06-16,84.36239624023438
2023-06-20,83.67485046386719
2023-06-21,84.93207550048828
2023-06-22,84.47044372558594
2023-06-23,83.21319580078125
2023-06-26,84.42131805419922
2023-06-27,84.89279174804688
2023-06-28,85.12852478027344
2023-06-29,86.21878814697266
2023-06-30,86.90633392333984
2023-07-03,86.8473892211914
2023-07-05,87.07330322265625
2023-07-06,86.8670425415039
2023-07-07,86.47415924072266
2023-07-10,86.4643325805664
2023-07-11,87.91802215576172
2023-07-12,87.54476165771484
2023-07-13,88.2716064453125
2023-07-14,88.2323226928711
2023-07-17,88.87076568603516
2023-07-18,88.7430648803711
2023-07-19,88.93951416015625
2023-07-20,89.73509979248047
2023-07-21,89.68599700927734
2023-07-24,89.80386352539062
2023-07-25,90.56999206542969
2023-07-26,92.01384735107422
2023-07-27,90.52088165283203
2023-07-28,92.08260345458984
2023-07-31,91.86651611328125
2023-08-01,98.20178985595703
2023-08-02,96.79722595214844
2023-08-03,96.64990234375
2023-08-04,95.37301635742188
2023-08-07,95.89359283447266
2023-08-08,95.27479553222656
2023-08-09,95.82483673095703
2023-08-10,95.59892272949219
2023-08-11,95.92304992675781
2023-08-14,96.42398071289062
2023-08-15,95.86412048339844
2023-08-16,95.06852722167969
2023-08-17,94.59706115722656
2023-08-18,94.39080047607422
2023-08-21,94.75422668457031
2023-08-22,93.69342803955078
2023-08-23,93.80147552490234
2023-08-24,94.69529724121094
2023-08-25,94.08631896972656
2023-08-28,95.13728332519531
2023-08-29,95.10781860351562
2023-08-30,96.21772003173828
2023-08-31,95.77571868896484
2023-09-01,97.08206939697266
2023-09-05,95.72660827636719
2023-09-06,94.79352569580078
2023-09-07,94.03720092773438
2023-09-08,94.09613800048828
2023-09-11,94.19436645507812
2023-09-12,94.07649230957031
2023-09-13,93.33983612060547
2023-09-14,93.79337310791016
2023-09-15,92.71868896484375
2023-09-18,92.25528717041016
2023-09-19,92.37361145019531
2023-09-20,92.5313491821289
2023-09-21,91.10173797607422
2023-09-22,89.84957885742188
2023-09-25,90.07633972167969
2023-09-26,89.7016830444336
2023-09-27,90.69749450683594
2023-09-28,90.84538269042969
2023-09-29,90.86510467529297
2023-10-02,91.8904800415039
2023-10-03,91.34822082519531
2023-10-04,90.04676818847656
2023-10-05,89.17913055419922
2023-10-06,89.7016830444336
2023-10-09,93.08348846435547
2023-10-10,92.96517181396484
2023-10-11,94.29619598388672
2023-10-12,93.18208312988281
2023-10-13,93.55674743652344
2023-10-16,94.06944274902344
2023-10-17,94.12859344482422
2023-10-18,92.94544982910156
2023-10-19,92.09754943847656
2023-10-20,91.4073715209961
2023-10-23,90.58902740478516
2023-10-24,89.73126220703125
2023-10-25,90.03690338134766
2023-10-26,90.7763671875
2023-10-27,89.21856689453125
2023-10-30,90.50029754638672
2023-10-31,97.72731018066406
2023-11-01,99.75836944580078
2023-11-02,101.73025512695312
2023-11-03,102.47958374023438
2023-11-06,101.86829376220703
2023-11-07,101.36546325683594
2023-11-08,101.56265258789062
2023-11-09,101.06968688964844
2023-11-10,102.0950698852539
2023-11-13,102.94298553466797
2023-11-14,103.5049819946289
2023-11-15,103.4852523803711
2023-11-16,103.19932556152344
2023-11-17,103.78104400634766
2023-11-20,104.4317626953125
2023-11-21,104.1852798461914
2023-11-22,104.8261489868164
2023-11-24,105.25996398925781
2023-11-27,105.25011444091797
2023-11-28,104.84585571289062
2023-11-29,104.72755432128906
2023-11-30,105.81209564208984
2023-12-01,107.40933227539062
2023-12-04,109.73619079589844
2023-12-05,108.4544448852539
2023-12-06,108.15864562988281
2023-12-07,107.15298461914062
2023-12-08,106.96565246582031
2023-12-11,106.7881851196289
2023-12-12,107.47836303710938
2023-12-13,108.63191223144531
2023-12-14,107.53372192382812
2023-12-15,106.40584564208984
2023-12-18,106.74223327636719
2023-12-19,106.56414794921875
2023-12-20,104.75360870361328
