,DTE
2022-03-30,120.75540161132812
2022-03-31,120.43656921386719
2022-04-01,122.9234619140625
2022-04-04,121.73014068603516
2022-04-05,122.33132934570312
2022-04-06,125.35568237304688
2022-04-07,124.18968200683594
2022-04-08,125.11884307861328
2022-04-11,124.6724853515625
2022-04-12,125.57432556152344
2022-04-13,124.46299743652344
2022-04-14,124.95488739013672
2022-04-18,124.95488739013672
2022-04-19,125.50145721435547
2022-04-20,126.7312240600586
2022-04-21,125.96601104736328
2022-04-22,124.62694549560547
2022-04-25,123.61578369140625
2022-04-26,122.54084777832031
2022-04-27,122.40421295166016
2022-04-28,123.45179748535156
2022-04-29,119.37075805664062
2022-05-02,117.27557373046875
2022-05-03,118.06809997558594
2022-05-04,119.11568450927734
2022-05-05,117.35757446289062
2022-05-06,118.13187408447266
2022-05-09,117.98612976074219
2022-05-10,116.97498321533203
2022-05-11,118.52357482910156
2022-05-12,117.24826049804688
2022-05-13,118.25028991699219
2022-05-16,118.76042938232422
2022-05-17,118.06809997558594
2022-05-18,116.88386535644531
2022-05-19,117.34846496582031
2022-05-20,117.25735473632812
2022-05-23,119.14302062988281
2022-05-24,122.19469451904297
2022-05-25,121.17444610595703
2022-05-26,121.32929229736328
2022-05-27,122.34046173095703
2022-05-31,120.89205169677734
2022-06-01,120.75540161132812
2022-06-02,120.96493530273438
2022-06-03,120.32725524902344
2022-06-06,120.7645263671875
2022-06-07,122.11270904541016
2022-06-08,119.6987075805664
2022-06-09,117.0022964477539
2022-06-10,116.14599609375
2022-06-13,111.14488983154297
2022-06-14,108.50313568115234
2022-06-15,108.59423828125
2022-06-16,107.02027130126953
2022-06-17,106.20347595214844
2022-06-21,107.5066909790039
2022-06-22,108.20418548583984
2022-06-23,110.47106170654297
2022-06-24,112.80217742919922
2022-06-27,114.12374877929688
2022-06-28,114.93138885498047
2022-06-29,115.68394470214844
2022-06-30,116.3263931274414
2022-07-01,118.53819274902344
2022-07-05,113.97691345214844
2022-07-06,115.784912109375
2022-07-07,115.03233337402344
2022-07-08,114.5826416015625
2022-07-11,115.6380615234375
2022-07-12,114.91303253173828
2022-07-13,114.27059936523438
2022-07-14,114.27059936523438
2022-07-15,114.885498046875
2022-07-18,113.49967956542969
2022-07-19,113.88512420654297
2022-07-20,111.47142028808594
2022-07-21,111.52647399902344
2022-07-22,113.5730972290039
2022-07-25,114.63770294189453
2022-07-26,115.86750030517578
2022-07-27,116.22542572021484
2022-07-28,118.58407592773438
2022-07-29,119.58445739746094
