,AWK
2021-01-08,146.64833068847656
2021-01-11,146.3307342529297
2021-01-12,145.94772338867188
2021-01-13,149.1799774169922
2021-01-14,147.60122680664062
2021-01-15,149.20802307128906
2021-01-19,148.7876434326172
2021-01-20,152.64581298828125
2021-01-21,150.31033325195312
2021-01-22,150.3197021484375
2021-01-25,150.59996032714844
2021-01-26,148.82498168945312
2021-01-27,146.4054718017578
2021-01-28,149.27337646484375
2021-01-29,148.55410766601562
2021-02-01,150.88958740234375
2021-02-02,152.5710906982422
2021-02-03,153.30909729003906
2021-02-04,153.22499084472656
2021-02-05,154.6685028076172
2021-02-08,152.0533447265625
2021-02-09,153.19691467285156
2021-02-10,154.4810028076172
2021-02-11,154.49977111816406
2021-02-12,151.55657958984375
2021-02-16,151.444091796875
2021-02-17,150.70358276367188
2021-02-18,150.1130828857422
2021-02-19,146.8418426513672
2021-02-22,142.2957763671875
2021-02-23,143.55178833007812
2021-02-24,140.54296875
2021-02-25,136.512451171875
2021-02-26,132.98809814453125
2021-03-01,134.98458862304688
2021-03-02,130.8884735107422
2021-03-03,123.84916687011719
2021-03-04,126.51117706298828
2021-03-05,127.4859848022461
2021-03-08,125.4801025390625
2021-03-09,128.25460815429688
2021-03-10,127.83280944824219
2021-03-11,128.45140075683594
2021-03-12,130.41046142578125
2021-03-15,131.51649475097656
2021-03-16,132.31321716308594
2021-03-17,130.64480590820312
2021-03-18,130.28860473632812
2021-03-19,129.688720703125
2021-03-22,131.27276611328125
2021-03-23,135.1157989501953
2021-03-24,135.82823181152344
2021-03-25,136.10940551757812
2021-03-26,137.14984130859375
2021-03-29,138.6402130126953
2021-03-30,137.64662170410156
2021-03-31,140.52420043945312
2021-04-01,141.15219116210938
2021-04-05,142.50196838378906
2021-04-06,143.22372436523438
2021-04-07,143.34555053710938
2021-04-08,142.18328857421875
2021-04-09,142.1739044189453
2021-04-12,142.7081756591797
2021-04-13,145.67015075683594
2021-04-14,147.2823486328125
2021-04-15,149.18515014648438
2021-04-16,150.0849609375
2021-04-19,148.77273559570312
2021-04-20,151.2003631591797
2021-04-21,150.90980529785156
2021-04-22,151.3128662109375
2021-04-23,149.37257385253906
2021-04-26,147.82601928710938
2021-04-27,145.3795928955078
2021-04-28,144.66722106933594
2021-04-29,144.7609100341797
2021-04-30,146.21380615234375
2021-05-03,145.75450134277344
