,MSCI
2017-11-29,119.29521179199219
2017-11-30,120.20116424560547
2017-12-01,120.43467712402344
2017-12-04,119.1457748413086
2017-12-05,119.88362884521484
2017-12-06,119.54739379882812
2017-12-07,119.7435302734375
2017-12-08,119.27655029296875
2017-12-11,119.86493682861328
2017-12-12,119.54739379882812
2017-12-13,118.88428497314453
2017-12-14,119.12712860107422
2017-12-15,119.48201751708984
2017-12-18,118.87492370605469
2017-12-19,118.58541870117188
2017-12-20,119.69682312011719
2017-12-21,120.12644958496094
2017-12-22,119.85560607910156
2017-12-26,117.3058853149414
2017-12-27,117.1844711303711
2017-12-28,118.03436279296875
2017-12-29,118.18382263183594
2018-01-02,119.24855041503906
2018-01-03,121.06043243408203
2018-01-04,122.9656982421875
2018-01-05,124.24525451660156
2018-01-08,124.41336059570312
2018-01-09,125.24459075927734
2018-01-10,124.917724609375
2018-01-11,125.86096954345703
2018-01-12,126.9163589477539
2018-01-16,125.45939636230469
2018-01-17,126.83230590820312
2018-01-18,127.78497314453125
2018-01-19,129.1205291748047
2018-01-22,130.07315063476562
2018-01-23,130.84840393066406
2018-01-24,128.95240783691406
2018-01-25,128.75624084472656
2018-01-26,131.28733825683594
2018-01-29,128.93373107910156
2018-01-30,129.16720581054688
2018-01-31,130.03579711914062
2018-02-01,136.6575927734375
2018-02-02,133.11788940429688
2018-02-05,126.72026062011719
2018-02-06,129.71827697753906
2018-02-07,130.53082275390625
2018-02-08,124.97369384765625
2018-02-09,127.46739959716797
2018-02-12,128.4480743408203
2018-02-13,131.30601501464844
2018-02-14,136.03184509277344
2018-02-15,138.80361938476562
2018-02-16,135.779052734375
2018-02-20,135.19845581054688
2018-02-21,133.70956420898438
2018-02-22,133.7845001220703
2018-02-23,135.76962280273438
2018-02-26,135.23590087890625
2018-02-27,133.75634765625
2018-02-28,132.5203399658203
2018-03-01,133.5784912109375
2018-03-02,134.20587158203125
2018-03-05,136.64990234375
2018-03-06,139.51531982421875
2018-03-07,138.86920166015625
2018-03-08,141.004150390625
2018-03-09,143.38265991210938
2018-03-12,144.25355529785156
2018-03-13,141.99679565429688
2018-03-14,144.60934448242188
2018-03-15,145.09629821777344
2018-03-16,145.1243438720703
2018-03-19,145.49887084960938
2018-03-20,148.02723693847656
2018-03-21,148.1957550048828
2018-03-22,146.2012176513672
2018-03-23,144.27224731445312
2018-03-26,148.57969665527344
2018-03-27,144.244140625
2018-03-28,140.97605895996094
2018-03-29,139.96473693847656
2018-04-02,136.6592559814453
2018-04-03,136.44387817382812
2018-04-04,137.37094116210938
2018-04-05,137.19296264648438
2018-04-06,134.8894805908203
2018-04-09,137.30538940429688
2018-04-10,139.57144165039062
2018-04-11,138.82232666015625
2018-04-12,139.80560302734375
2018-04-13,138.22308349609375
2018-04-16,139.69322204589844
2018-04-17,140.57342529296875
2018-04-18,140.86373901367188
2018-04-19,140.46109008789062
2018-04-20,140.0771484375
2018-04-23,140.46109008789062
2018-04-24,138.2979736328125
2018-04-25,139.7213134765625
2018-04-26,140.08651733398438
2018-04-27,140.64834594726562
2018-04-30,140.30186462402344
2018-05-01,141.07911682128906
2018-05-02,140.87306213378906
2018-05-03,139.7119598388672
2018-05-04,142.4556121826172
2018-05-07,145.06822204589844
2018-05-08,145.4334259033203
2018-05-09,146.66946411132812
2018-05-10,149.6846923828125
2018-05-11,150.73342895507812
2018-05-14,150.330810546875
2018-05-15,148.61717224121094
2018-05-16,148.25198364257812
2018-05-17,147.1443328857422
2018-05-18,146.61871337890625
2018-05-21,148.2989044189453
2018-05-22,146.928466796875
2018-05-23,148.64620971679688
2018-05-24,149.36900329589844
2018-05-25,149.56614685058594
2018-05-29,149.1343231201172
2018-05-30,152.05355834960938
2018-05-31,152.59799194335938
2018-06-01,153.37705993652344
2018-06-04,153.45213317871094
2018-06-05,153.66806030273438
2018-06-06,155.30130004882812
2018-06-07,155.08544921875
2018-06-08,156.08981323242188
2018-06-11,156.2775421142578
2018-06-12,159.3282012939453
2018-06-13,161.63731384277344
2018-06-14,161.77809143066406
2018-06-15,162.15350341796875
2018-06-18,161.0552978515625
2018-06-19,161.2242431640625
2018-06-20,161.17733764648438
2018-06-21,160.28558349609375
2018-06-22,160.16363525390625
2018-06-25,158.22056579589844
2018-06-26,156.12730407714844
2018-06-27,153.5178680419922
2018-06-28,154.5128631591797
2018-06-29,155.2825164794922
2018-07-02,156.8876495361328
2018-07-03,155.5641326904297
2018-07-05,154.79444885253906
2018-07-06,156.39016723632812
2018-07-09,158.295654296875
2018-07-10,158.38011169433594
2018-07-11,158.89639282226562
2018-07-12,158.8776092529297
2018-07-13,159.17800903320312
2018-07-16,160.11659240722656
2018-07-17,160.26686096191406
2018-07-18,161.0083770751953
2018-07-19,160.2198486328125
2018-07-20,160.49212646484375
2018-07-23,162.660400390625
2018-07-24,161.99398803710938
2018-07-25,165.43885803222656
2018-07-26,163.1110076904297
2018-07-27,161.04592895507812
2018-07-30,157.22555541992188
2018-07-31,155.99594116210938
2018-08-01,153.00161743164062
2018-08-02,159.84442138671875
2018-08-03,156.5872802734375
2018-08-06,159.7317352294922
2018-08-07,162.2567596435547
2018-08-08,162.0972137451172
2018-08-09,162.54779052734375
2018-08-10,162.5102081298828
2018-08-13,162.01271057128906
2018-08-14,164.67857360839844
2018-08-15,162.9607696533203
2018-08-16,163.7989959716797
2018-08-17,163.1962432861328
2018-08-20,164.0344696044922
2018-08-21,163.4410858154297
2018-08-22,163.06436157226562
2018-08-23,163.0172576904297
2018-08-24,163.8931884765625
2018-08-27,164.7595977783203
2018-08-28,166.85047912597656
2018-08-29,167.70750427246094
2018-08-30,167.3119354248047
2018-08-31,169.77003479003906
2018-09-04,171.6254119873047
2018-09-05,168.1313018798828
2018-09-06,168.8094024658203
2018-09-07,168.7529296875
2018-09-10,167.74514770507812
2018-09-11,167.1330108642578
2018-09-12,166.25711059570312
2018-09-13,170.03372192382812
2018-09-14,171.57827758789062
2018-09-17,167.5850830078125
2018-09-18,167.84873962402344
2018-09-19,164.3734893798828
2018-09-20,166.05935668945312
2018-09-21,166.0310821533203
2018-09-24,167.6792449951172
2018-09-25,168.4891815185547
2018-09-26,168.36676025390625
2018-09-27,168.23486328125
2018-09-28,167.08592224121094
2018-10-01,169.3368377685547
2018-10-02,166.66207885742188
2018-10-03,166.96347045898438
2018-10-04,162.48049926757812
2018-10-05,160.64395141601562
2018-10-08,158.05398559570312
2018-10-09,157.24400329589844
2018-10-10,147.71290588378906
2018-10-11,142.76841735839844
2018-10-12,145.0758819580078
2018-10-15,142.42941284179688
2018-10-16,147.15728759765625
2018-10-17,148.1273651123047
2018-10-18,144.802734375
