,PSX
2019-05-20,67.3204116821289
2019-05-21,68.6266860961914
2019-05-22,68.1806411743164
2019-05-23,65.5282974243164
2019-05-24,66.06192016601562
2019-05-28,65.72742462158203
2019-05-29,65.91059112548828
2019-05-30,65.36101531982422
2019-05-31,64.35743713378906
2019-06-03,65.4725341796875
2019-06-04,67.00181579589844
2019-06-05,67.56733703613281
2019-06-06,67.62308502197266
2019-06-07,68.11689758300781
2019-06-10,68.41960144042969
2019-06-11,67.47175598144531
2019-06-12,66.30884552001953
2019-06-13,67.89391326904297
2019-06-14,68.17268371582031
2019-06-17,68.42756652832031
2019-06-18,69.13645935058594
2019-06-19,69.77362060546875
2019-06-20,72.34635162353516
2019-06-21,72.14720916748047
2019-06-24,71.49410247802734
2019-06-25,71.54986572265625
2019-06-26,73.88359832763672
2019-06-27,73.0791244506836
2019-06-28,74.50487518310547
2019-07-01,74.9190444946289
2019-07-02,76.24125671386719
2019-07-03,77.27670288085938
2019-07-05,77.10147857666016
2019-07-08,77.2289047241211
2019-07-09,77.83425903320312
2019-07-10,78.14488983154297
2019-07-11,79.32371520996094
2019-07-12,79.91313171386719
2019-07-15,80.45475006103516
2019-07-16,80.74945831298828
2019-07-17,80.279541015625
2019-07-18,81.1795654296875
2019-07-19,81.21143341064453
2019-07-22,81.68135833740234
2019-07-23,81.4981460571289
2019-07-24,81.57782745361328
2019-07-25,80.90079498291016
2019-07-26,81.4981460571289
2019-07-29,81.88844299316406
2019-07-30,82.5256576538086
2019-07-31,81.6893081665039
2019-08-01,81.23531341552734
2019-08-02,79.26795959472656
2019-08-05,76.17752075195312
2019-08-06,77.58734893798828
2019-08-07,77.52362060546875
2019-08-08,80.21578979492188
2019-08-09,80.00074768066406
2019-08-12,78.30419158935547
2019-08-13,79.44319915771484
2019-08-14,77.68292236328125
2019-08-15,77.63513946533203
2019-08-16,78.71835327148438
2019-08-19,79.38553619384766
2019-08-20,79.32125091552734
2019-08-21,79.81961059570312
2019-08-22,79.14439392089844
2019-08-23,76.50785827636719
2019-08-26,77.41616821289062
2019-08-27,75.97733306884766
2019-08-28,77.30364227294922
