,USB
2022-05-02,43.246490478515625
2022-05-03,43.795372009277344
2022-05-04,44.73377990722656
2022-05-05,43.591758728027344
2022-05-06,43.63602066040039
2022-05-09,43.7688102722168
2022-05-10,43.6979866027832
2022-05-11,42.90122604370117
2022-05-12,43.01631546020508
2022-05-13,43.025169372558594
2022-05-16,42.7330207824707
2022-05-17,43.95471954345703
2022-05-18,43.467811584472656
2022-05-19,43.591758728027344
2022-05-20,43.5651969909668
2022-05-23,44.92854309082031
2022-05-24,45.18527603149414
2022-05-25,45.31806945800781
2022-05-26,46.159095764160156
2022-05-27,46.477806091308594
2022-05-31,46.982421875
2022-06-01,45.81383514404297
2022-06-02,46.19451141357422
2022-06-03,45.9820442199707
2022-06-06,46.2564811706543
2022-06-07,46.53092575073242
2022-06-08,45.89350891113281
2022-06-09,44.556724548339844
2022-06-10,43.131404876708984
2022-06-13,41.66181945800781
2022-06-14,40.475528717041016
2022-06-15,41.0421142578125
2022-06-16,40.201087951660156
2022-06-17,40.201087951660156
2022-06-21,41.015560150146484
2022-06-22,41.166053771972656
2022-06-23,40.475528717041016
2022-06-24,42.069053649902344
2022-06-27,41.83002471923828
2022-06-28,41.51131820678711
2022-06-29,41.23415756225586
2022-06-30,41.144752502441406
2022-07-01,41.65437316894531
2022-07-05,41.53813934326172
2022-07-06,41.57389831542969
2022-07-07,41.80635452270508
2022-07-08,41.60072708129883
2022-07-11,41.43979263305664
2022-07-12,41.30567932128906
2022-07-13,40.51891326904297
2022-07-14,39.56226348876953
2022-07-15,41.6364860534668
2022-07-18,41.73483657836914
2022-07-19,42.43220520019531
2022-07-20,42.06563186645508
2022-07-21,42.566314697265625
2022-07-22,42.65571975708008
2022-07-25,42.9597053527832
2022-07-26,42.39643478393555
2022-07-27,43.102752685546875
2022-07-28,41.23415756225586
2022-07-29,42.199745178222656
2022-08-01,42.47691345214844
2022-08-02,41.95835494995117
2022-08-03,42.61101150512695
2022-08-04,42.08352279663086
2022-08-05,42.36962127685547
2022-08-08,41.97623825073242
2022-08-09,42.18186950683594
2022-08-10,42.798770904541016
2022-08-11,43.30838394165039
2022-08-12,43.60342788696289
2022-08-15,43.88058853149414
2022-08-16,44.07727813720703
2022-08-17,43.83587646484375
2022-08-18,43.8180046081543
2022-08-19,43.46037673950195
2022-08-22,42.557373046875
2022-08-23,42.38749313354492
2022-08-24,42.19080352783203
2022-08-25,42.70042419433594
2022-08-26,41.56496047973633
2022-08-29,41.216278076171875
2022-08-30,41.04640579223633
2022-08-31,40.77819061279297
2022-09-01,41.01063919067383
2022-09-02,40.72454833984375
2022-09-06,40.51891326904297
2022-09-07,41.04640579223633
2022-09-08,42.06563186645508
2022-09-09,42.539493560791016
2022-09-12,42.521610260009766
2022-09-13,40.39373779296875
2022-09-14,40.32221221923828
2022-09-15,41.01063919067383
2022-09-16,41.01063919067383
2022-09-19,41.260990142822266
2022-09-20,40.22386932373047
2022-09-21,39.27616500854492
2022-09-22,38.47150421142578
2022-09-23,37.65790557861328
2022-09-26,36.710208892822266
2022-09-27,36.62079620361328
2022-09-28,37.03206253051758
2022-09-29,36.84210968017578
2022-09-30,36.47125244140625
2022-10-03,37.601932525634766
2022-10-04,38.56074905395508
2022-10-05,38.17179870605469
2022-10-06,37.15870666503906
2022-10-07,36.362709045410156
2022-10-10,36.02802658081055
2022-10-11,35.08729553222656
2022-10-12,35.37675094604492
2022-10-13,37.421024322509766
2022-10-14,38.6783447265625
2022-10-17,38.569793701171875
2022-10-18,38.71452331542969
2022-10-19,37.3215217590332
2022-10-20,36.19084167480469
2022-10-21,36.64311599731445
2022-10-24,37.20393371582031
2022-10-25,37.99992370605469
2022-10-26,38.34365463256836
2022-10-27,38.06325149536133
2022-10-28,38.768795013427734
2022-10-31,38.39793395996094
2022-11-01,38.78688049316406
2022-11-02,37.764747619628906
2022-11-03,37.538612365722656
2022-11-04,38.741661071777344
2022-11-07,39.37483596801758
2022-11-08,39.95375061035156
2022-11-09,39.112525939941406
2022-11-10,40.58692932128906
2022-11-11,40.63215637207031
2022-11-14,39.6642951965332
2022-11-15,39.5919303894043
2022-11-16,38.83211898803711
2022-11-17,38.68738555908203
2022-11-18,39.239158630371094
2022-11-21,39.248199462890625
2022-11-22,39.718563079833984
2022-11-23,39.89947509765625
2022-11-25,40.03515625
2022-11-28,39.56479263305664
2022-11-29,40.33366394042969
2022-11-30,41.05729293823242
2022-12-01,41.0211067199707
2022-12-02,41.28342819213867
2022-12-05,39.718563079833984
2022-12-06,38.84115982055664
2022-12-07,39.4019775390625
2022-12-08,39.4019775390625
2022-12-09,38.994930267333984
2022-12-12,39.3115234375
2022-12-13,40.02611541748047
2022-12-14,39.157752990722656
2022-12-15,38.750701904296875
2022-12-16,38.12657165527344
2022-12-19,37.94566345214844
2022-12-20,37.92757034301758
2022-12-21,38.63311004638672
2022-12-22,38.75974655151367
2022-12-23,39.07633972167969
2022-12-27,39.48338317871094
2022-12-28,39.21201705932617
2022-12-29,39.85228729248047
2022-12-30,39.888877868652344
