,INTU
2021-01-19,376.1288757324219
2021-01-20,380.5355224609375
2021-01-21,373.002197265625
2021-01-22,366.2603454589844
2021-01-25,365.849853515625
2021-01-26,366.2114562988281
2021-01-27,354.789306640625
2021-01-28,361.47259521484375
2021-01-29,352.952392578125
2021-02-01,365.0194091796875
2021-02-02,375.3081359863281
2021-02-03,371.4389343261719
2021-02-04,383.7305908203125
2021-02-05,380.457275390625
2021-02-08,380.80908203125
2021-02-09,382.5776062011719
2021-02-10,388.18603515625
2021-02-11,399.4519348144531
2021-02-12,404.50341796875
2021-02-16,412.5838317871094
2021-02-17,406.2817077636719
2021-02-18,405.8713073730469
2021-02-19,401.92388916015625
2021-02-22,392.3484191894531
2021-02-23,389.94482421875
2021-02-24,403.71197509765625
2021-02-25,379.08941650390625
2021-02-26,381.19989013671875
2021-03-01,397.0971374511719
2021-03-02,392.5439453125
2021-03-03,379.80267333984375
2021-03-04,367.70635986328125
2021-03-05,373.4516906738281
2021-03-08,361.9318542480469
2021-03-09,375.7673034667969
2021-03-10,374.0476989746094
2021-03-11,390.0231018066406
2021-03-12,386.8768005371094
2021-03-15,387.7464294433594
2021-03-16,386.35894775390625
2021-03-17,382.7437744140625
2021-03-18,365.4005432128906
2021-03-19,372.54302978515625
2021-03-22,374.2431335449219
2021-03-23,374.4189453125
2021-03-24,368.6444091796875
2021-03-25,363.8566589355469
2021-03-26,367.95068359375
2021-03-29,366.0355224609375
2021-03-30,365.09759521484375
2021-03-31,374.2821044921875
2021-04-01,386.1733093261719
2021-04-05,392.92498779296875
2021-04-06,392.0065002441406
2021-04-07,391.8598937988281
2021-04-08,401.8946228027344
2021-04-09,408.6265563964844
2021-04-12,406.9827575683594
2021-04-13,409.9280090332031
2021-04-14,402.44256591796875
2021-04-15,408.57763671875
2021-04-16,406.8751525878906
2021-04-19,393.6361083984375
2021-04-20,396.6498718261719
2021-04-21,400.1528625488281
2021-04-22,398.0295715332031
2021-04-23,405.9945373535156
2021-04-26,409.2919616699219
2021-04-27,407.1686706542969
2021-04-28,406.8554992675781
2021-04-29,407.197998046875
2021-04-30,403.2937927246094
2021-05-03,402.491455078125
2021-05-04,389.0666198730469
