,NXPI
2017-05-24,98.22303009033203
2017-05-25,98.17754364013672
2017-05-26,98.22303009033203
2017-05-30,98.350341796875
2017-05-31,99.95103454589844
2017-06-01,99.42353820800781
2017-06-02,99.2688980102539
2017-06-05,99.33258819580078
2017-06-06,98.9960708618164
2017-06-07,99.323486328125
2017-06-08,99.34169006347656
2017-06-09,98.75052642822266
2017-06-12,98.42310333251953
2017-06-13,99.2325210571289
2017-06-14,99.37804412841797
2017-06-15,99.13249206542969
2017-06-16,99.21434783935547
2017-06-19,99.2688980102539
2017-06-20,99.13249206542969
2017-06-21,99.28709411621094
2017-06-22,99.58721923828125
2017-06-23,100.02376556396484
2017-06-26,99.79640197753906
2017-06-27,99.60542297363281
2017-06-28,99.95103454589844
2017-06-29,99.49629974365234
2017-06-30,99.54175567626953
2017-07-03,99.37804412841797
2017-07-05,99.31437683105469
2017-07-06,99.36894989013672
2017-07-07,99.2325210571289
2017-07-10,99.42353820800781
2017-07-11,99.35985565185547
2017-07-12,99.28709411621094
2017-07-13,99.323486328125
2017-07-14,99.49629974365234
2017-07-17,99.54175567626953
2017-07-18,99.55084991455078
2017-07-19,99.67816925048828
2017-07-20,99.77822875976562
2017-07-21,99.91463470458984
2017-07-24,99.6326904296875
2017-07-25,99.77822875976562
2017-07-26,99.9782943725586
2017-07-27,100.35118103027344
2017-07-28,100.24205017089844
2017-07-31,100.34209442138672
2017-08-01,101.04236602783203
2017-08-02,100.84230041503906
2017-08-03,100.64222717285156
2017-08-04,102.24287414550781
2017-08-07,102.73400115966797
2017-08-08,102.75220489501953
2017-08-09,102.85224914550781
2017-08-10,101.97005462646484
2017-08-11,102.04278564453125
2017-08-14,102.3338394165039
2017-08-15,102.61576080322266
2017-08-16,102.57939910888672
2017-08-17,102.2883529663086
2017-08-18,102.2701644897461
2017-08-21,102.17923736572266
2017-08-22,102.17923736572266
2017-08-23,102.1337661743164
2017-08-24,101.87000274658203
2017-08-25,102.07009887695312
2017-08-28,102.37930297851562
2017-08-29,102.14283752441406
2017-08-30,102.2247085571289
2017-08-31,102.73400115966797
2017-09-01,102.67943572998047
2017-09-05,102.24287414550781
2017-09-06,102.00642395019531
2017-09-07,102.46115112304688
2017-09-08,102.1337661743164
2017-09-11,102.36113739013672
2017-09-12,102.57028198242188
2017-09-13,102.4338607788086
2017-09-14,102.2247085571289
2017-09-15,102.62486267089844
2017-09-18,102.76127624511719
2017-09-19,102.69763946533203
2017-09-20,102.36113739013672
2017-09-21,102.51573181152344
2017-09-22,102.44296264648438
2017-09-25,102.24287414550781
2017-09-26,102.1974105834961
2017-09-27,102.52482604980469
2017-09-28,102.65215301513672
2017-09-29,102.85224914550781
2017-10-02,102.8795166015625
2017-10-03,103.09778594970703
2017-10-04,103.4161148071289
2017-10-05,103.3888168334961
2017-10-06,103.6343765258789
2017-10-09,104.15277862548828
2017-10-10,104.5893325805664
2017-10-11,105.00767517089844
2017-10-12,104.75304412841797
2017-10-13,104.74394989013672
2017-10-16,104.53474426269531
2017-10-17,104.7257308959961
2017-10-18,104.91674041748047
2017-10-19,105.03496551513672
2017-10-20,105.38965606689453
2017-10-23,105.86258697509766
2017-10-24,106.21727752685547
2017-10-25,105.94445037841797
2017-10-26,106.06266784667969
2017-10-27,106.3446044921875
2017-10-30,106.16268920898438
2017-10-31,106.4537582397461
2017-11-01,106.68112182617188
2017-11-02,106.82662963867188
2017-11-03,104.6075210571289
2017-11-06,106.15361785888672
2017-11-07,106.09904479980469
2017-11-08,105.80803680419922
2017-11-09,104.87126159667969
2017-11-10,105.54426574707031
2017-11-13,105.18048095703125
2017-11-14,105.04405212402344
2017-11-15,104.5893325805664
2017-11-16,104.76211547851562
2017-11-17,105.04405212402344
2017-11-20,104.75304412841797
2017-11-21,104.88034057617188
2017-11-22,104.7257308959961
2017-11-24,104.27100372314453
2017-11-27,104.16188049316406
2017-11-28,103.48886108398438
2017-11-29,102.77039337158203
2017-11-30,103.12507629394531
2017-12-01,104.38923645019531
2017-12-04,103.56163024902344
2017-12-05,103.45249938964844
2017-12-06,103.97997283935547
2017-12-07,104.70755767822266
2017-12-08,104.85307312011719
2017-12-11,105.35327911376953
2017-12-12,105.17139434814453
2017-12-13,105.55335998535156
2017-12-14,105.38965606689453
2017-12-15,105.81710815429688
2017-12-18,106.21727752685547
2017-12-19,105.90805053710938
2017-12-20,106.17182159423828
2017-12-21,106.13542938232422
2017-12-22,106.13542938232422
2017-12-26,106.01719665527344
2017-12-27,106.12635040283203
2017-12-28,106.39009857177734
2017-12-29,106.49011993408203
2018-01-02,107.27225494384766
2018-01-03,107.3905258178711
2018-01-04,107.19950866699219
2018-01-05,107.36321258544922
2018-01-08,107.57240295410156
2018-01-09,107.72699737548828
2018-01-10,108.36363220214844
2018-01-11,108.4545669555664
2018-01-12,108.75470733642578
2018-01-16,108.59101104736328
2018-01-17,108.53642272949219
2018-01-18,109.13670349121094
2018-01-19,109.54593658447266
2018-01-22,110.1189193725586
2018-01-23,109.90975189208984
2018-01-24,109.5550537109375
2018-01-25,109.31858825683594
2018-01-26,109.44590759277344
2018-01-29,109.63690948486328
2018-01-30,109.32767486572266
2018-01-31,109.42771911621094
2018-02-01,110.31900787353516
2018-02-02,109.7005844116211
2018-02-05,107.49055480957031
2018-02-06,107.45416259765625
2018-02-07,105.87169647216797
2018-02-08,105.44425201416016
2018-02-09,105.29871368408203
2018-02-12,105.98991394042969
2018-02-13,105.6806869506836
2018-02-14,104.48018646240234
2018-02-15,106.33551788330078
2018-02-16,107.77247619628906
2018-02-20,114.19334411621094
2018-02-21,114.229736328125
2018-02-22,114.32978057861328
2018-02-23,114.08422088623047
2018-02-26,113.19292449951172
2018-02-27,113.36573791503906
2018-02-28,113.37482452392578
2018-03-01,112.5654067993164
2018-03-02,112.8564224243164
2018-03-05,113.48395538330078
2018-03-06,113.13835144042969
2018-03-07,112.57450866699219
2018-03-08,112.50174713134766
2018-03-09,112.48355865478516
2018-03-12,112.42897033691406
2018-03-13,111.5285873413086
2018-03-14,111.22846984863281
2018-03-15,110.84649658203125
2018-03-16,111.18299865722656
2018-03-19,111.5285873413086
2018-03-20,111.9560546875
2018-03-21,110.91926574707031
2018-03-22,109.97340393066406
2018-03-23,109.30948638916016
2018-03-26,110.60093688964844
2018-03-27,110.51909637451172
2018-03-28,105.7352523803711
2018-03-29,106.40827178955078
2018-04-02,104.78943634033203
2018-04-03,105.87169647216797
2018-04-04,104.98038482666016
2018-04-05,104.38923645019531
2018-04-06,103.43431091308594
2018-04-09,103.98907470703125
2018-04-10,106.05358123779297
2018-04-11,105.38965606689453
