,MSI
2020-08-24,145.24293518066406
2020-08-25,146.0070037841797
2020-08-26,144.63917541503906
2020-08-27,143.20533752441406
2020-08-28,144.8750457763672
2020-08-31,145.9787139892578
2020-09-01,145.05426025390625
2020-09-02,148.18606567382812
2020-09-03,144.81838989257812
2020-09-04,144.36563110351562
2020-09-08,143.8468017578125
2020-09-09,144.86558532714844
2020-09-10,141.81866455078125
2020-09-11,145.13916015625
2020-09-14,147.7725372314453
2020-09-15,148.5303192138672
2020-09-16,148.80503845214844
2020-09-17,149.83755493164062
2020-09-18,149.0134735107422
2020-09-21,144.52345275878906
2020-09-22,148.97555541992188
2020-09-23,144.17294311523438
2020-09-24,143.68984985351562
2020-09-25,145.8779754638672
2020-09-28,148.3693084716797
2020-09-29,149.3354949951172
2020-09-30,148.539794921875
2020-10-01,148.52084350585938
2020-10-02,148.634521484375
2020-10-05,149.20291137695312
2020-10-06,148.68191528320312
2020-10-07,151.85525512695312
2020-10-08,154.1855010986328
2020-10-09,157.98397827148438
2020-10-12,159.4522705078125
2020-10-13,157.4724884033203
2020-10-14,158.1166229248047
2020-10-15,162.54031372070312
2020-10-16,161.8961639404297
2020-10-19,161.18576049804688
2020-10-20,159.9921417236328
2020-10-21,161.49827575683594
2020-10-22,160.14376831054688
2020-10-23,165.5620880126953
2020-10-26,163.21287536621094
2020-10-27,163.26971435546875
2020-10-28,155.8147735595703
2020-10-29,154.29916381835938
2020-10-30,149.72389221191406
2020-11-02,154.84857177734375
2020-11-03,157.2451171875
2020-11-04,151.8741912841797
2020-11-05,152.3667755126953
2020-11-06,155.8052978515625
2020-11-09,161.2804412841797
2020-11-10,158.00294494628906
2020-11-11,160.77842712402344
2020-11-12,158.69444274902344
2020-11-13,161.50778198242188
2020-11-16,164.7284698486328
2020-11-17,160.6268310546875
2020-11-18,158.61862182617188
2020-11-19,160.23849487304688
2020-11-20,158.47654724121094
2020-11-23,160.44688415527344
2020-11-24,162.80552673339844
2020-11-25,163.0518035888672
2020-11-27,164.3116912841797
2020-11-30,162.4834747314453
2020-12-01,161.50778198242188
2020-12-02,162.0382843017578
2020-12-03,162.0950927734375
2020-12-04,161.41307067871094
2020-12-07,161.4699249267578
2020-12-08,163.3833770751953
2020-12-09,163.78121948242188
2020-12-10,162.7960662841797
2020-12-11,159.5185546875
2020-12-14,157.83477783203125
2020-12-15,159.84197998046875
2020-12-16,158.7860870361328
2020-12-17,161.38304138183594
2020-12-18,161.9633026123047
2020-12-21,157.1688995361328
2020-12-22,159.29022216796875
2020-12-23,160.3937225341797
2020-12-24,160.26055908203125
2020-12-28,161.1547393798828
2020-12-29,158.80514526367188
2020-12-30,158.84315490722656
2020-12-31,161.77308654785156
2021-01-04,159.33782958984375
2021-01-05,158.4911651611328
2021-01-06,162.36285400390625
2021-01-07,162.74337768554688
2021-01-08,166.0442657470703
2021-01-11,165.2261962890625
2021-01-12,165.7493896484375
2021-01-13,165.60670471191406
2021-01-14,165.0168914794922
2021-01-15,165.09303283691406
2021-01-19,163.39974975585938
2021-01-20,164.4936981201172
2021-01-21,163.89442443847656
2021-01-22,165.24520874023438
2021-01-25,165.25469970703125
2021-01-26,164.13221740722656
2021-01-27,163.18093872070312
2021-01-28,161.55426025390625
2021-01-29,159.38539123535156
2021-02-01,166.09182739257812
2021-02-02,170.06813049316406
2021-02-03,170.6769561767578
2021-02-04,173.33099365234375
2021-02-05,173.21685791015625
2021-02-08,173.64491271972656
2021-02-09,174.19664001464844
2021-02-10,174.38690185546875
2021-02-11,172.9314422607422
2021-02-12,172.24656677246094
2021-02-16,174.41546630859375
2021-02-17,172.9314422607422
2021-02-18,174.0444793701172
2021-02-19,173.8446807861328
2021-02-22,171.7519073486328
2021-02-23,169.84934997558594
2021-02-24,172.256103515625
2021-02-25,171.7233428955078
2021-02-26,166.92892456054688
2021-03-01,173.55931091308594
2021-03-02,171.0764923095703
2021-03-03,169.64007568359375
2021-03-04,166.38673400878906
2021-03-05,170.15374755859375
2021-03-08,170.47720336914062
2021-03-09,168.40342712402344
2021-03-10,169.0978546142578
2021-03-11,169.830322265625
2021-03-12,171.06234741210938
2021-03-15,173.6792449951172
2021-03-16,174.28094482421875
2021-03-17,173.19219970703125
2021-03-18,173.259033203125
2021-03-19,174.9877166748047
2021-03-22,177.36581420898438
2021-03-23,175.61805725097656
2021-03-24,172.90567016601562
2021-03-25,175.81861877441406
2021-03-26,181.08103942871094
2021-03-29,180.3933868408203
2021-03-30,178.22535705566406
2021-03-31,179.60069274902344
2021-04-01,179.89674377441406
2021-04-05,182.7428741455078
2021-04-06,180.22149658203125
2021-04-07,181.3961944580078
2021-04-08,181.9024658203125
2021-04-09,182.47543334960938
2021-04-12,179.35235595703125
2021-04-13,180.0209503173828
2021-04-14,178.93214416503906
2021-04-15,179.71527099609375
2021-04-16,180.12599182128906
2021-04-19,179.22824096679688
2021-04-20,176.94558715820312
2021-04-21,178.10122680664062
2021-04-22,179.00852966308594
2021-04-23,181.44395446777344
2021-04-26,181.65408325195312
2021-04-27,181.22430419921875
2021-04-28,180.12599182128906
2021-04-29,180.7276611328125
2021-04-30,179.83944702148438
2021-05-03,180.27877807617188
2021-05-04,178.17764282226562
2021-05-05,177.41355895996094
2021-05-06,179.58157348632812
2021-05-07,190.12551879882812
2021-05-10,191.4053192138672
2021-05-11,192.64695739746094
2021-05-12,185.60806274414062
2021-05-13,188.6642608642578
2021-05-14,192.8092803955078
2021-05-17,191.63458251953125
2021-05-18,190.24014282226562
2021-05-19,189.80081176757812
2021-05-20,194.02220153808594
2021-05-21,193.03851318359375
2021-05-24,193.7261505126953
2021-05-25,194.69076538085938
2021-05-26,193.5542449951172
2021-05-27,194.44247436523438
2021-05-28,196.0851593017578
2021-06-01,195.92279052734375
2021-06-02,198.2627410888672
2021-06-03,200.42120361328125
2021-06-04,200.51670837402344
2021-06-07,198.3582000732422
2021-06-08,200.95602416992188
2021-06-09,199.72398376464844
2021-06-10,203.02850341796875
2021-06-11,202.77064514160156
2021-06-14,202.5789794921875
2021-06-15,202.13819885253906
2021-06-16,200.94992065429688
2021-06-17,202.08070373535156
2021-06-18,198.39134216308594
2021-06-21,202.4927978515625
2021-06-22,205.02259826660156
2021-06-23,204.4188995361328
2021-06-24,205.60716247558594
2021-06-25,206.6228790283203
2021-06-28,206.13418579101562
2021-06-29,207.9549102783203
2021-06-30,207.8015899658203
2021-07-01,209.61270141601562
2021-07-02,211.79757690429688
2021-07-06,213.7045440673828
2021-07-07,215.08448791503906
2021-07-08,213.0337371826172
2021-07-09,215.15158081054688
2021-07-12,213.9153594970703
2021-07-13,212.92835998535156
2021-07-14,213.6087188720703
2021-07-15,213.3404541015625
2021-07-16,210.81056213378906
2021-07-19,207.56202697753906
2021-07-20,209.45941162109375
2021-07-21,210.26434326171875
2021-07-22,210.93515014648438
2021-07-23,212.44920349121094
2021-07-26,213.3787384033203
2021-07-27,212.40130615234375
2021-07-28,212.23837280273438
2021-07-29,214.4424285888672
2021-07-30,214.57656860351562
2021-08-02,214.5861358642578
2021-08-03,215.60194396972656
2021-08-04,213.47457885742188
2021-08-05,212.9954376220703
2021-08-06,218.98464965820312
2021-08-09,218.6492462158203
2021-08-10,220.1345672607422
2021-08-11,217.6717987060547
2021-08-12,220.92034912109375
2021-08-13,223.30645751953125
2021-08-16,225.09840393066406
2021-08-17,224.62890625
2021-08-18,224.1497344970703
2021-08-19,227.50369262695312
2021-08-20,229.98561096191406
2021-08-23,229.0560760498047
2021-08-24,229.14234924316406
2021-08-25,231.2601318359375
2021-08-26,232.90834045410156
2021-08-27,232.67835998535156
2021-08-30,234.3553466796875
2021-08-31,234.02951049804688
2021-09-01,233.30128479003906
2021-09-02,235.76402282714844
2021-09-03,234.63323974609375
2021-09-07,234.65240478515625
2021-09-08,236.15687561035156
2021-09-09,233.81871032714844
2021-09-10,232.55380249023438
2021-09-13,231.66258239746094
2021-09-14,231.4415283203125
2021-09-15,234.47862243652344
2021-09-16,232.89279174804688
2021-09-17,228.18345642089844
2021-09-20,225.13674926757812
2021-09-21,226.36695861816406
2021-09-22,229.8461151123047
2021-09-23,230.8649139404297
2021-09-24,231.40313720703125
2021-09-27,229.56739807128906
2021-09-28,224.5792999267578
2021-09-29,226.49192810058594
2021-09-30,223.2818603515625
2021-10-01,225.19444274902344
2021-10-04,222.46490478515625
2021-10-05,223.2337646484375
2021-10-06,224.66583251953125
2021-10-07,227.63560485839844
2021-10-08,227.54910278320312
2021-10-11,226.49192810058594
2021-10-12,230.00950622558594
2021-10-13,231.9124755859375
2021-10-14,235.57424926757812
2021-10-15,230.49964904785156
2021-10-18,233.61361694335938
2021-10-19,235.59349060058594
2021-10-20,236.84288024902344
2021-10-21,238.6401824951172
2021-10-22,239.82229614257812
2021-10-25,236.34312438964844
2021-10-26,236.23741149902344
2021-10-27,240.3220672607422
2021-10-28,238.47674560546875
2021-10-29,238.9188690185547
2021-11-01,235.49737548828125
2021-11-02,241.72525024414062
