,ORCL
2018-07-23,44.12245559692383
2018-07-24,44.12245559692383
2018-07-25,44.37629318237305
2018-07-26,44.30378341674805
2018-07-27,44.08620834350586
2018-07-30,43.27029037475586
2018-07-31,43.2249641418457
2018-08-01,42.92580032348633
2018-08-02,43.42441940307617
2018-08-03,43.941158294677734
2018-08-06,44.12245559692383
2018-08-07,43.95021438598633
2018-08-08,43.868621826171875
2018-08-09,44.00461196899414
2018-08-10,43.805171966552734
2018-08-13,43.52412796020508
2018-08-14,43.72357177734375
2018-08-15,43.370018005371094
2018-08-16,43.6057243347168
2018-08-17,43.84143829345703
2018-08-20,43.89582061767578
2018-08-21,43.88675308227539
2018-08-22,44.24032211303711
2018-08-23,44.385372161865234
2018-08-24,44.657325744628906
2018-08-27,44.72079849243164
2018-08-28,44.09526824951172
2018-08-29,44.32190704345703
2018-08-30,43.859561920166016
2018-08-31,44.04087448120117
2018-09-04,44.04087448120117
2018-09-05,43.551334381103516
2018-09-06,43.25215148925781
2018-09-07,43.34282302856445
2018-09-10,44.294708251953125
2018-09-11,44.34910202026367
2018-09-12,44.7298583984375
2018-09-13,44.385372161865234
2018-09-14,44.64826965332031
2018-09-17,44.584808349609375
2018-09-18,44.448822021484375
2018-09-19,44.811458587646484
2018-09-20,45.718013763427734
2018-09-21,46.325416564941406
2018-09-24,46.452335357666016
2018-09-25,46.887489318847656
2018-09-26,46.805904388427734
2018-09-27,46.86029052734375
2018-09-28,46.7424430847168
2018-10-01,46.96001052856445
2018-10-02,45.536705017089844
2018-10-03,45.1015625
2018-10-04,44.84770965576172
2018-10-05,44.73893356323242
2018-10-08,44.74799728393555
2018-10-09,44.30378341674805
2018-10-10,42.97114181518555
2018-10-11,42.4090576171875
2018-10-12,42.95299530029297
2018-10-15,42.88927459716797
2018-10-16,43.899627685546875
2018-10-17,43.562835693359375
2018-10-18,43.125938415527344
2018-10-19,43.31708526611328
2018-10-22,43.635658264160156
2018-10-23,43.68117141723633
2018-10-24,42.56160354614258
2018-10-25,43.65385818481445
2018-10-26,43.07132339477539
2018-10-29,42.79826354980469
2018-10-30,44.20909881591797
2018-10-31,44.45484924316406
2018-11-01,44.227291107177734
2018-11-02,44.445743560791016
2018-11-05,44.618675231933594
2018-11-06,44.82804489135742
2018-11-07,45.747352600097656
2018-11-08,45.902103424072266
2018-11-09,46.0659294128418
2018-11-12,44.80073165893555
2018-11-13,45.06468963623047
2018-11-14,44.45484924316406
2018-11-15,46.084136962890625
2018-11-16,46.575645446777344
2018-11-19,45.10109329223633
2018-11-20,43.990638732910156
2018-11-21,44.254608154296875
2018-11-23,44.327423095703125
2018-11-26,43.92691421508789
2018-11-27,43.1805534362793
2018-11-28,43.86321258544922
2018-11-29,43.5992431640625
2018-11-30,44.38202667236328
2018-12-03,45.355960845947266
2018-12-04,44.37293243408203
2018-12-06,42.488792419433594
2018-12-07,41.869842529296875
2018-12-10,42.47968673706055
2018-12-11,42.28853988647461
2018-12-12,43.07132339477539
2018-12-13,42.989410400390625
2018-12-14,42.41596221923828
2018-12-17,41.62408447265625
2018-12-18,41.733306884765625
2018-12-19,42.279441833496094
2018-12-20,42.08829879760742
2018-12-21,40.04941177368164
2018-12-24,38.857025146484375
2018-12-26,40.58644485473633
2018-12-27,40.93232345581055
2018-12-28,40.795780181884766
2018-12-31,41.096153259277344
2019-01-02,41.159881591796875
2019-01-03,40.75938034057617
2019-01-04,42.516090393066406
2019-01-07,43.18965530395508
2019-01-08,43.5810432434082
2019-01-09,43.490028381347656
2019-01-10,43.52644348144531
2019-01-11,43.954227447509766
2019-01-14,43.85411071777344
2019-01-15,44.21049880981445
2019-01-16,43.91808319091797
2019-01-17,44.39326477050781
2019-01-18,45.023807525634766
2019-01-22,44.72223663330078
2019-01-23,44.99637985229492
2019-01-24,44.95982360839844
2019-01-25,45.50812530517578
2019-01-28,45.25225067138672
2019-01-29,45.334495544433594
2019-01-30,46.01985549926758
2019-01-31,45.901065826416016
2019-02-01,46.43107604980469
2019-02-04,46.632118225097656
2019-02-05,46.824012756347656
2019-02-06,46.8422966003418
2019-02-07,45.89192581176758
2019-02-08,46.632118225097656
2019-02-11,46.81488037109375
2019-02-12,46.80574035644531
2019-02-13,46.988502502441406
2019-02-14,47.0433349609375
2019-02-15,47.262657165527344
2019-02-19,47.53679656982422
2019-02-20,47.30833053588867
2019-02-21,47.619041442871094
2019-02-22,47.957149505615234
2019-02-25,48.03025436401367
2019-02-26,48.06680679321289
2019-02-27,47.86575698852539
2019-02-28,47.63732147216797
2019-03-01,47.984561920166016
2019-03-04,47.555076599121094
2019-03-05,47.84749221801758
2019-03-06,47.83835220336914
2019-03-07,48.04854202270508
2019-03-08,48.2221565246582
2019-03-11,48.121639251708984
2019-03-12,48.24957275390625
2019-03-13,48.487159729003906
2019-03-14,48.47802734375
2019-03-15,48.37751007080078
2019-03-18,48.852691650390625
2019-03-19,49.38271713256836
2019-03-20,48.10335159301758
2019-03-21,49.38271713256836
2019-03-22,48.2221565246582
2019-03-25,48.19474792480469
2019-03-26,48.68819808959961
2019-03-27,48.25871276855469
2019-03-28,48.60594940185547
2019-03-29,49.081146240234375
2019-04-01,49.87617874145508
2019-04-02,49.48323440551758
2019-04-03,49.40098190307617
2019-04-04,49.18165969848633
2019-04-05,49.28218078613281
2019-04-08,49.09029006958008
2019-04-09,49.19080352783203
2019-04-10,49.53961181640625
2019-04-11,49.374393463134766
2019-04-12,50.02610397338867
2019-04-15,50.14542770385742
2019-04-16,50.10871124267578
2019-04-17,50.00774383544922
2019-04-18,50.04446029663086
2019-04-22,50.136260986328125
2019-04-23,50.42997360229492
2019-04-24,50.65027618408203
2019-04-25,50.494239807128906
2019-04-26,50.86140441894531
2019-04-29,50.55848693847656
2019-04-30,50.7879753112793
2019-05-01,50.374908447265625
2019-05-02,50.11789321899414
2019-05-03,50.29229736328125
2019-05-06,50.347373962402344
2019-05-07,49.56714630126953
2019-05-08,49.55797576904297
2019-05-09,49.79662322998047
2019-05-10,50.16379928588867
2019-05-13,49.0439453125
2019-05-14,49.686485290527344
2019-05-15,50.081180572509766
2019-05-16,50.15460968017578
2019-05-17,50.02610397338867
2019-05-20,49.25505828857422
2019-05-21,49.72319030761719
2019-05-22,49.75072479248047
2019-05-23,48.722679138183594
2019-05-24,48.43811798095703
2019-05-28,47.501853942871094
2019-05-29,47.44677734375
2019-05-30,47.47431564331055
2019-05-31,46.44625473022461
2019-06-03,46.11581039428711
2019-06-04,47.74968719482422
2019-06-05,47.82311248779297
2019-06-06,48.27289962768555
2019-06-07,48.88789367675781
2019-06-10,49.57632064819336
2019-06-11,49.51207733154297
2019-06-12,49.21834182739258
2019-06-13,49.42028045654297
2019-06-14,48.90625
2019-06-17,48.76856994628906
2019-06-18,48.55744934082031
2019-06-19,48.355506896972656
2019-06-20,52.31169891357422
2019-06-21,51.51311111450195
2019-06-24,52.08222579956055
2019-06-25,51.46722412109375
2019-06-26,52.008792877197266
2019-06-27,52.10976028442383
2019-06-28,52.29334259033203
2019-07-01,53.24796676635742
2019-07-02,53.66102600097656
2019-07-03,54.028194427490234
2019-07-05,54.41372299194336
2019-07-08,54.643192291259766
2019-07-09,54.70744323730469
2019-07-10,55.21230697631836
2019-07-11,55.0654296875
2019-07-12,54.90020751953125
2019-07-15,54.643192291259766
2019-07-16,54.01649475097656
2019-07-17,53.44507598876953
2019-07-18,53.56488800048828
2019-07-19,53.030338287353516
2019-07-22,53.08564376831055
2019-07-23,52.94740295410156
2019-07-24,53.5556755065918
2019-07-25,53.7215690612793
2019-07-26,53.91510009765625
2019-07-29,53.50959777832031
2019-07-30,52.98427200317383
2019-07-31,51.88753128051758
2019-08-01,51.50044631958008
2019-08-02,51.46359634399414
2019-08-05,49.54660415649414
2019-08-06,49.73092269897461
2019-08-07,49.15951156616211
2019-08-08,50.36684799194336
2019-08-09,49.675636291503906
2019-08-12,49.07658004760742
2019-08-13,49.74014663696289
2019-08-14,48.21946716308594
2019-08-15,48.46830368041992
2019-08-16,49.38991928100586
2019-08-19,49.64798355102539
2019-08-20,48.82773971557617
2019-08-21,49.06735610961914
2019-08-22,49.02127456665039
2019-08-23,47.53746032714844
2019-08-26,48.04436111450195
2019-08-27,48.283973693847656
2019-08-28,47.87846374511719
2019-08-29,48.07200241088867
2019-08-30,47.97984313964844
2019-09-03,47.82315444946289
2019-09-04,48.81852722167969
2019-09-05,49.62032699584961
2019-09-06,48.993629455566406
2019-09-09,50.26547622680664
2019-09-10,51.12258529663086
2019-09-11,51.87831115722656
2019-09-12,49.66641616821289
2019-09-13,49.53738784790039
2019-09-16,48.975189208984375
2019-09-17,48.72636032104492
2019-09-18,48.44064712524414
2019-09-19,49.187164306640625
2019-09-20,49.279335021972656
2019-09-23,49.786224365234375
2019-09-24,49.168731689453125
2019-09-25,49.62032699584961
2019-09-26,49.73092269897461
2019-09-27,49.85074234008789
2019-09-30,50.717063903808594
2019-10-01,49.583465576171875
2019-10-02,48.98441696166992
2019-10-03,49.638763427734375
2019-10-04,50.81844711303711
2019-10-07,50.505088806152344
2019-10-08,49.81387710571289
2019-10-09,50.48039627075195
2019-10-10,51.369110107421875
2019-10-11,52.66513442993164
2019-10-14,52.26707458496094
2019-10-15,52.16524124145508
2019-10-16,51.73014450073242
2019-10-17,50.97104263305664
2019-10-18,50.49891662597656
2019-10-21,51.03583908081055
