,SPG
2015-06-08,108.97631072998047
2015-06-09,108.33708953857422
2015-06-10,109.43553161621094
2015-06-11,109.99402618408203
2015-06-12,109.75819396972656
2015-06-15,109.09420013427734
2015-06-16,110.0002212524414
2015-06-17,111.43370056152344
2015-06-18,112.87344360351562
2015-06-19,111.37785339355469
2015-06-22,109.54719543457031
2015-06-23,108.7467041015625
2015-06-24,107.91513061523438
2015-06-25,106.95948028564453
2015-06-26,107.92134857177734
2015-06-29,106.11554718017578
2015-06-30,107.36905670166016
2015-07-01,108.4488525390625
2015-07-02,108.42404174804688
2015-07-06,109.08173370361328
2015-07-07,110.90623474121094
2015-07-08,110.67044830322266
2015-07-09,110.53389739990234
2015-07-10,110.98066711425781
2015-07-13,111.27235412597656
2015-07-14,111.69435119628906
2015-07-15,112.57555389404297
2015-07-16,113.8290786743164
2015-07-17,113.5994644165039
2015-07-20,113.51879119873047
2015-07-21,112.79273986816406
2015-07-22,113.17749786376953
2015-07-23,112.55693817138672
2015-07-24,114.58617401123047
2015-07-27,115.28118896484375
2015-07-28,115.64730072021484
2015-07-29,115.7155532836914
2015-07-30,115.51078033447266
2015-07-31,116.18097686767578
2015-08-03,116.90704345703125
2015-08-04,117.00633239746094
2015-08-05,117.09940338134766
2015-08-06,117.84408569335938
2015-08-07,118.95490264892578
2015-08-10,117.38489532470703
2015-08-11,118.86803436279297
2015-08-12,119.15972137451172
2015-08-13,119.33483123779297
2015-08-14,119.91665649414062
2015-08-17,121.08031463623047
2015-08-18,121.85604095458984
2015-08-19,120.861328125
2015-08-20,120.24823760986328
2015-08-21,118.84683227539062
2015-08-24,113.90457916259766
2015-08-25,110.78902435302734
2015-08-26,113.84199523925781
2015-08-27,116.19426727294922
2015-08-28,115.31217193603516
2015-08-31,112.18414306640625
2015-09-01,109.48773956298828
2015-09-02,110.81404113769531
2015-09-03,111.30829620361328
2015-09-04,109.43146514892578
2015-09-08,111.07056427001953
2015-09-09,109.23125457763672
2015-09-10,109.5190658569336
2015-09-11,112.07152557373047
2015-09-14,111.94641876220703
2015-09-15,113.28520202636719
2015-09-16,114.74911499023438
2015-09-17,115.66252899169922
2015-09-18,115.11199188232422
2015-09-21,116.23184204101562
2015-09-22,114.63655853271484
2015-09-23,114.79920959472656
2015-09-24,113.37901306152344
2015-09-25,114.35501098632812
2015-09-28,112.70963287353516
2015-09-29,114.1297607421875
2015-09-30,114.93679809570312
2015-10-01,116.30065155029297
2015-10-02,117.2890853881836
2015-10-05,119.99797821044922
2015-10-06,119.94792175292969
2015-10-07,121.50569152832031
2015-10-08,121.9623794555664
2015-10-09,122.04373931884766
2015-10-12,123.01970672607422
2015-10-13,121.96865844726562
2015-10-14,121.43064880371094
2015-10-15,123.61402893066406
2015-10-16,124.2458724975586
2015-10-19,126.7420425415039
2015-10-20,126.46051788330078
2015-10-21,127.14869689941406
2015-10-22,128.1434326171875
2015-10-23,127.02355194091797
2015-10-26,127.23004150390625
2015-10-27,128.99424743652344
2015-10-28,128.69390869140625
2015-10-29,127.86814880371094
2015-10-30,126.03511047363281
2015-11-02,128.7314910888672
2015-11-03,127.56156921386719
2015-11-04,127.46151733398438
2015-11-05,126.99849700927734
2015-11-06,121.93112182617188
2015-11-09,119.81029510498047
2015-11-10,121.65587615966797
2015-11-11,121.09281158447266
2015-11-12,120.53765869140625
2015-11-13,117.54756164550781
2015-11-16,118.36767578125
2015-11-17,117.8566665649414
2015-11-18,120.00778198242188
2015-11-19,120.51240539550781
2015-11-20,121.26309967041016
2015-11-23,120.54398345947266
2015-11-24,118.11530303955078
2015-11-25,118.90385437011719
2015-11-27,119.85635375976562
2015-11-30,117.48450469970703
2015-12-01,119.01106262207031
2015-12-02,115.45320892333984
2015-12-03,114.61425018310547
2015-12-04,118.1910171508789
2015-12-07,118.48750305175781
2015-12-08,118.56952667236328
2015-12-09,118.12163543701172
2015-12-10,116.72118377685547
2015-12-11,116.44994354248047
2015-12-14,117.31416320800781
2015-12-15,119.6671371459961
2015-12-16,121.96337890625
2015-12-17,122.0453109741211
2015-12-18,120.1844482421875
2015-12-21,121.01708221435547
2015-12-22,121.49652099609375
2015-12-23,122.39857482910156
2015-12-24,122.6004638671875
2015-12-28,122.43016815185547
2015-12-29,123.50884246826172
2015-12-30,123.1114501953125
2015-12-31,122.65725708007812
2016-01-04,121.3324966430664
2016-01-05,123.74858856201172
2016-01-06,123.44575500488281
2016-01-07,120.8404312133789
2016-01-08,117.39617156982422
2016-01-11,117.78097534179688
2016-01-12,117.04293060302734
2016-01-13,116.24179077148438
2016-01-14,117.11862182617188
2016-01-15,116.17866516113281
2016-01-19,117.58541107177734
2016-01-20,113.9518814086914
2016-01-21,115.2513656616211
2016-01-22,118.165771484375
2016-01-25,116.796875
2016-01-26,119.9447021484375
2016-01-27,117.3582992553711
2016-01-28,117.83142852783203
2016-01-29,117.50971984863281
2016-02-01,118.55060577392578
2016-02-02,117.40249633789062
2016-02-03,118.78398895263672
2016-02-04,118.32978820800781
2016-02-05,116.0588150024414
2016-02-08,115.11260223388672
2016-02-09,112.87318420410156
2016-02-10,115.34284210205078
2016-02-11,115.52108764648438
2016-02-12,116.81958770751953
2016-02-16,118.61453247070312
2016-02-17,119.0982894897461
2016-02-18,120.46682739257812
2016-02-19,120.58773803710938
2016-02-22,120.57498931884766
2016-02-23,120.73412322998047
2016-02-24,120.40949249267578
2016-02-25,122.17262268066406
2016-02-26,121.19244384765625
2016-02-29,120.76593017578125
2016-03-01,123.84033966064453
2016-03-02,124.30501556396484
2016-03-03,125.6544189453125
2016-03-04,126.36093139648438
2016-03-07,127.08013916015625
2016-03-08,125.83258056640625
2016-03-09,125.8835220336914
2016-03-10,126.04264068603516
2016-03-11,128.13674926757812
2016-03-14,126.72374725341797
2016-03-15,127.07386779785156
2016-03-16,127.64668273925781
2016-03-17,130.56829833984375
2016-03-18,130.46009826660156
2016-03-21,129.2125244140625
2016-03-22,128.8115234375
2016-03-23,128.2577362060547
2016-03-24,128.2195281982422
2016-03-28,129.257080078125
2016-03-29,131.72035217285156
2016-03-30,130.9501495361328
2016-03-31,132.19773864746094
2016-04-01,133.09524536132812
2016-04-04,132.87887573242188
2016-04-05,131.79037475585938
2016-04-06,132.815185546875
2016-04-07,131.6249237060547
2016-04-08,131.8222198486328
2016-04-11,131.55487060546875
2016-04-12,132.46511840820312
2016-04-13,132.1659393310547
2016-04-14,132.36325073242188
2016-04-15,132.31234741210938
