,NEE
2021-02-12,75.43423461914062
2021-02-16,73.6738510131836
2021-02-17,73.21106719970703
2021-02-18,73.25642395019531
2021-02-19,70.86990356445312
2021-02-22,68.14762878417969
2021-02-23,67.79373168945312
2021-02-24,66.93167114257812
2021-02-25,67.55651092529297
2021-02-26,67.0274429321289
2021-03-01,69.24407196044922
2021-03-02,68.90655517578125
2021-03-03,66.1517562866211
2021-03-04,65.02976989746094
2021-03-05,64.49156951904297
2021-03-08,64.63751220703125
2021-03-09,67.52002716064453
2021-03-10,67.92138671875
2021-03-11,68.28627014160156
2021-03-12,69.025146484375
2021-03-15,68.8883056640625
2021-03-16,68.76060485839844
2021-03-17,66.5531234741211
2021-03-18,64.88381958007812
2021-03-19,64.61927795410156
2021-03-22,65.39462280273438
2021-03-23,67.52002716064453
2021-03-24,66.43453979492188
2021-03-25,67.00009155273438
2021-03-26,67.55651092529297
2021-03-29,68.2315444946289
2021-03-30,67.70246124267578
2021-03-31,68.97042083740234
2021-04-01,69.11634826660156
2021-04-05,70.03767395019531
2021-04-06,70.74918365478516
2021-04-07,70.61237335205078
2021-04-08,70.9316177368164
2021-04-09,71.09581756591797
2021-04-12,70.82215118408203
2021-04-13,72.09920501708984
2021-04-14,72.1812973022461
2021-04-15,73.13909912109375
2021-04-16,73.83238220214844
2021-04-19,72.78333282470703
2021-04-20,73.4583511352539
2021-04-21,71.1231689453125
2021-04-22,71.44243621826172
2021-04-23,71.36944580078125
2021-04-26,71.086669921875
2021-04-27,70.49376678466797
2021-04-28,70.32044982910156
2021-04-29,70.43903350830078
2021-04-30,70.70355987548828
2021-05-03,69.96469116210938
2021-05-04,69.04338836669922
2021-05-05,67.30111694335938
2021-05-06,67.51091766357422
2021-05-07,67.9852523803711
2021-05-10,68.2315444946289
2021-05-11,67.56563568115234
2021-05-12,65.25778198242188
2021-05-13,66.25209045410156
2021-05-14,66.6990737915039
2021-05-17,65.58619689941406
2021-05-18,65.94194793701172
2021-05-19,66.27946472167969
2021-05-20,67.76632690429688
2021-05-21,67.90316009521484
2021-05-24,67.52915954589844
2021-05-25,66.92711639404297
2021-05-26,67.01834106445312
2021-05-27,66.58960723876953
2021-05-28,66.79029083251953
2021-06-01,66.13465118408203
2021-06-02,66.6756591796875
2021-06-03,66.36388397216797
2021-06-04,66.33635711669922
2021-06-07,66.45558166503906
2021-06-08,66.15296173095703
2021-06-09,66.43724060058594
2021-06-10,67.40927124023438
2021-06-11,67.39092254638672
2021-06-14,67.22587585449219
2021-06-15,67.33590698242188
2021-06-16,67.2166976928711
2021-06-17,68.39046478271484
2021-06-18,67.19835662841797
2021-06-21,68.16121673583984
2021-06-22,67.95947265625
2021-06-23,67.26254272460938
2021-06-24,66.83154296875
2021-06-25,67.73021697998047
2021-06-28,68.91315460205078
2021-06-29,67.93196868896484
2021-06-30,67.19835662841797
2021-07-01,68.03282928466797
2021-07-02,68.11537170410156
2021-07-06,68.89481353759766
2021-07-07,69.0782241821289
2021-07-08,68.89481353759766
2021-07-09,68.76643371582031
2021-07-12,68.8581314086914
2021-07-13,68.64723205566406
2021-07-14,69.4175033569336
2021-07-15,70.44457244873047
2021-07-16,71.45327758789062
2021-07-19,70.60045623779297
2021-07-20,70.76551818847656
2021-07-21,69.58258056640625
2021-07-22,69.80265808105469
2021-07-23,70.79303741455078
2021-07-26,70.52710723876953
2021-07-27,71.39825439453125
2021-07-28,71.38907623291016
2021-07-29,71.6733627319336
2021-07-30,71.4349365234375
2021-08-02,72.26941680908203
2021-08-03,72.82878875732422
2021-08-04,73.24142456054688
2021-08-05,73.80998229980469
2021-08-06,73.92002868652344
2021-08-09,73.8741683959961
2021-08-10,73.8466567993164
2021-08-11,75.53397369384766
2021-08-12,76.11165618896484
2021-08-13,76.52430725097656
2021-08-16,76.98282623291016
2021-08-17,76.99201202392578
2021-08-18,77.41381072998047
2021-08-19,77.53304290771484
2021-08-20,79.11946868896484
2021-08-23,77.39549255371094
2021-08-24,77.15705871582031
2021-08-25,77.51468658447266
2021-08-26,77.20608520507812
2021-08-27,76.83760833740234
2021-08-30,77.33505249023438
2021-08-31,77.3719253540039
2021-09-01,78.61553955078125
2021-09-02,79.66571807861328
2021-09-03,78.9379653930664
2021-09-07,78.3299560546875
2021-09-08,79.62885284423828
2021-09-09,79.07611083984375
2021-09-10,78.23784637451172
2021-09-13,77.91541290283203
2021-09-14,77.97069549560547
2021-09-15,77.94306182861328
2021-09-16,77.38111877441406
2021-09-17,75.20706939697266
2021-09-20,75.2531509399414
2021-09-21,75.46501159667969
2021-09-22,75.44659423828125
2021-09-23,74.86621856689453
2021-09-24,74.34114837646484
2021-09-27,72.55401611328125
2021-09-28,71.1814193725586
2021-09-29,72.17633056640625
2021-09-30,72.33290100097656
2021-10-01,72.96855163574219
2021-10-04,73.10673522949219
2021-10-05,73.21727752685547
2021-10-06,74.78333282470703
2021-10-07,74.5438232421875
2021-10-08,73.88976287841797
2021-10-11,71.6972885131836
2021-10-12,72.65534973144531
2021-10-13,73.87133026123047
2021-10-14,75.041259765625
2021-10-15,75.2347183227539
2021-10-18,74.6082992553711
2021-10-19,75.56636047363281
2021-10-20,77.30743408203125
2021-10-21,77.20608520507812
2021-10-22,77.76802825927734
2021-10-25,77.64827728271484
2021-10-26,78.73529052734375
2021-10-27,78.31153106689453
2021-10-28,79.61043548583984
2021-10-29,78.60633850097656
2021-11-01,78.8458251953125
2021-11-02,78.68923950195312
2021-11-03,78.52340698242188
2021-11-04,78.08123016357422
2021-11-05,78.79056549072266
2021-11-08,77.92462921142578
2021-11-09,78.24706268310547
2021-11-10,78.48655700683594
2021-11-11,78.64318084716797
2021-11-12,79.50908660888672
2021-11-15,80.45794677734375
2021-11-16,80.12630462646484
2021-11-17,80.86327362060547
2021-11-18,80.69744873046875
2021-11-19,81.35150146484375
2021-11-22,80.47635650634766
2021-11-23,80.43031311035156
2021-11-24,80.69400787353516
2021-11-26,79.6576919555664
2021-11-29,82.03567504882812
2021-11-30,80.296142578125
2021-12-01,81.27693176269531
2021-12-02,81.99866485595703
2021-12-03,81.45272827148438
2021-12-06,82.48905944824219
2021-12-07,83.65491485595703
2021-12-08,83.5716323852539
2021-12-09,83.19229125976562
2021-12-10,83.53462982177734
2021-12-13,84.88553619384766
2021-12-14,83.30331420898438
2021-12-15,85.1261215209961
2021-12-16,85.33894348144531
2021-12-17,84.14532470703125
2021-12-20,83.22003936767578
2021-12-21,83.6919174194336
2021-12-22,84.01577758789062
2021-12-23,83.92325592041016
2021-12-27,84.49691772460938
2021-12-28,85.01507568359375
2021-12-29,85.11686706542969
2021-12-30,85.83858489990234
2021-12-31,86.3844985961914
2022-01-03,84.8115234375
2022-01-04,83.90473175048828
2022-01-05,83.0257339477539
2022-01-06,79.36158752441406
2022-01-07,79.95378112792969
2022-01-10,77.99217224121094
2022-01-11,78.454833984375
2022-01-12,78.7323989868164
2022-01-13,78.55661010742188
2022-01-14,76.9836196899414
2022-01-18,75.1793212890625
2022-01-19,76.419189453125
2022-01-20,77.27046966552734
2022-01-21,76.42845153808594
2022-01-24,75.79925537109375
2022-01-25,69.48882293701172
2022-01-26,67.21261596679688
2022-01-27,67.09233856201172
2022-01-28,67.08308410644531
2022-01-31,72.28319549560547
2022-02-01,71.45967864990234
2022-02-02,71.92231750488281
2022-02-03,70.10874938964844
2022-02-04,70.3308334350586
2022-02-07,70.02548217773438
2022-02-08,69.82191467285156
2022-02-09,70.93226623535156
2022-02-10,69.81266021728516
2022-02-11,69.35929107666016
2022-02-14,69.32227325439453
2022-02-15,69.47956085205078
2022-02-16,69.60910034179688
2022-02-17,69.74790954589844
2022-02-18,68.60980224609375
2022-02-22,68.26744842529297
2022-02-23,66.91654205322266
2022-02-24,69.80342102050781
2022-02-25,71.39491271972656
2022-02-28,72.82307434082031
2022-03-01,72.05084991455078
2022-03-02,72.15319061279297
2022-03-03,73.3069076538086
2022-03-04,74.62808227539062
2022-03-07,78.3218002319336
2022-03-08,76.2469711303711
2022-03-09,74.73040771484375
2022-03-10,74.58155059814453
2022-03-11,73.78141021728516
2022-03-14,73.76280212402344
2022-03-15,76.27490997314453
2022-03-16,76.76801300048828
2022-03-17,76.93548583984375
2022-03-18,76.63774871826172
2022-03-21,76.10742950439453
2022-03-22,77.0843505859375
2022-03-23,76.8238296508789
2022-03-24,77.87520599365234
2022-03-25,78.09849548339844
2022-03-28,78.55439758300781
2022-03-29,78.73117065429688
2022-03-30,79.5499496459961
2022-03-31,78.81490325927734
2022-04-01,79.74532318115234
2022-04-04,79.66158294677734
2022-04-05,80.32217407226562
2022-04-06,80.4710464477539
2022-04-07,81.01996612548828
2022-04-08,80.098876953125
2022-04-11,78.6939697265625
2022-04-12,78.05197143554688
2022-04-13,77.73564147949219
2022-04-14,77.0471420288086
2022-04-18,76.02368927001953
2022-04-19,76.13533782958984
2022-04-20,75.83760070800781
2022-04-21,70.8785400390625
2022-04-22,68.8037109375
2022-04-25,68.887451171875
2022-04-26,68.45016479492188
2022-04-27,68.17102813720703
2022-04-28,68.37574005126953
2022-04-29,66.0776138305664
2022-05-02,65.00764465332031
2022-05-03,65.8357162475586
2022-05-04,67.97565460205078
2022-05-05,66.8405532836914
2022-05-06,67.42670440673828
2022-05-09,65.7891845703125
2022-05-10,65.11929321289062
2022-05-11,65.31468200683594
2022-05-12,63.742305755615234
2022-05-13,64.9425277709961
2022-05-16,65.2402572631836
2022-05-17,67.00801086425781
2022-05-18,66.05900573730469
2022-05-19,65.55658721923828
2022-05-20,66.26368713378906
2022-05-23,67.50115203857422
2022-05-24,69.47360229492188
2022-05-25,69.58525848388672
2022-05-26,69.81786346435547
2022-05-27,72.4518814086914
2022-05-31,70.8237533569336
2022-06-01,71.27288818359375
2022-06-02,73.47179412841797
2022-06-03,73.63086700439453
2022-06-06,75.03443908691406
2022-06-07,74.65079498291016
2022-06-08,73.4437255859375
2022-06-09,72.36766052246094
2022-06-10,71.02961730957031
2022-06-13,67.75463104248047
2022-06-14,66.88441467285156
2022-06-15,69.42018127441406
2022-06-16,66.31363677978516
2022-06-17,66.25749206542969
2022-06-21,68.05406188964844
2022-06-22,69.8880386352539
2022-06-23,72.23666381835938
2022-06-24,73.00394439697266
2022-06-27,72.88229370117188
2022-06-28,71.52552795410156
2022-06-29,71.11381530761719
2022-06-30,72.47994995117188
2022-07-01,75.38064575195312
2022-07-05,74.02387237548828
2022-07-06,74.45429229736328
2022-07-07,75.21221160888672
2022-07-08,75.09056854248047
2022-07-11,75.49293518066406
2022-07-12,74.80986022949219
2022-07-13,75.09992980957031
2022-07-14,74.97828674316406
2022-07-15,73.64958953857422
2022-07-18,72.52672576904297
2022-07-19,73.8554458618164
2022-07-20,73.28466033935547
2022-07-21,73.79930114746094
2022-07-22,75.09056854248047
2022-07-25,75.77364349365234
2022-07-26,74.7724380493164
2022-07-27,75.21221160888672
2022-07-28,79.10476684570312
2022-07-29,79.0579833984375
2022-08-01,79.82525634765625
2022-08-02,80.16211700439453
2022-08-03,80.90133666992188
2022-08-04,82.3236083984375
2022-08-05,82.3236083984375
2022-08-08,81.8931655883789
2022-08-09,83.20316314697266
2022-08-10,84.00787353515625
2022-08-11,83.68038177490234
2022-08-12,84.65351867675781
2022-08-15,85.14944458007812
2022-08-16,84.70964050292969
2022-08-17,84.40087127685547
2022-08-18,84.43829345703125
