,MGM
2016-05-04,20.278635025024414
2016-05-05,20.656444549560547
2016-05-06,20.78867530822754
2016-05-09,20.63755226135254
2016-05-10,21.327049255371094
2016-05-11,20.78867530822754
2016-05-12,20.722558975219727
2016-05-13,20.42975616455078
2016-05-16,20.854793548583984
2016-05-17,20.76034164428711
2016-05-18,20.495880126953125
2016-05-19,20.31641960144043
2016-05-20,20.55254364013672
2016-05-23,20.902019500732422
2016-05-24,21.412052154541016
2016-05-25,21.53483772277832
2016-05-26,21.26093292236328
2016-05-27,21.657625198364258
2016-05-31,21.582063674926758
2016-06-01,22.120437622070312
2016-06-02,22.76270294189453
2016-06-03,22.72492027282715
2016-06-06,23.046058654785156
2016-06-07,23.282180786132812
2016-06-08,23.584426879882812
2016-06-09,23.697771072387695
2016-06-10,23.187732696533203
2016-06-13,22.781597137451172
2016-06-14,22.71547508239746
2016-06-15,23.159400939941406
2016-06-16,22.819372177124023
2016-06-17,23.244401931762695
2016-06-20,22.93271255493164
2016-06-21,23.168840408325195
2016-06-22,22.97049331665039
2016-06-23,23.121618270874023
2016-06-24,21.63873863220215
2016-06-27,20.344757080078125
2016-06-28,20.86423683166504
2016-06-29,21.47817039489746
2016-06-30,21.3742733001709
2016-07-01,21.515949249267578
2016-07-05,21.2987117767334
2016-07-06,21.676509857177734
2016-07-07,21.704851150512695
2016-07-08,21.685964584350586
2016-07-11,21.71429443359375
2016-07-12,21.978755950927734
2016-07-13,21.846527099609375
2016-07-14,21.997652053833008
2016-07-15,22.044878005981445
2016-07-18,22.09210205078125
2016-07-19,21.86541748046875
2016-07-20,22.195993423461914
2016-07-21,21.88431167602539
2016-07-22,21.9031982421875
2016-07-25,22.025981903076172
2016-07-26,22.677698135375977
2016-07-27,22.498239517211914
2016-07-28,22.8854923248291
2016-07-29,22.64935874938965
2016-08-01,22.630474090576172
2016-08-02,22.479347229003906
2016-08-03,22.46046257019043
2016-08-04,22.72492027282715
2016-08-05,23.093278884887695
2016-08-08,23.272741317749023
2016-08-09,23.518312454223633
2016-08-10,23.263288497924805
2016-08-11,23.508867263793945
2016-08-12,23.14051055908203
2016-08-15,23.461645126342773
2016-08-16,23.13106346130371
2016-08-17,23.074392318725586
2016-08-18,23.008277893066406
2016-08-19,22.819372177124023
2016-08-22,22.8854923248291
2016-08-23,22.96105194091797
2016-08-24,22.24322509765625
2016-08-25,22.34712028503418
2016-08-26,22.441566467285156
2016-08-29,22.441566467285156
2016-08-30,22.48879623413086
2016-08-31,22.56435775756836
2016-09-01,23.282180786132812
2016-09-02,23.216066360473633
2016-09-06,23.348302841186523
2016-09-07,23.773330688476562
2016-09-08,23.896116256713867
2016-09-09,23.386079788208008
2016-09-12,23.688323974609375
2016-09-13,23.480533599853516
2016-09-14,23.820554733276367
2016-09-15,24.122798919677734
2016-09-16,24.028348922729492
2016-09-19,23.556093215942383
2016-09-20,23.584426879882812
2016-09-21,23.688323974609375
2016-09-22,24.35892677307129
2016-09-23,24.22669792175293
2016-09-26,23.95278549194336
2016-09-27,24.151132583618164
2016-09-28,24.887849807739258
2016-09-29,24.415597915649414
2016-09-30,24.585607528686523
2016-10-03,24.736732482910156
2016-10-04,24.774513244628906
2016-10-05,25.16175651550293
2016-10-06,25.312881469726562
2016-10-07,24.953968048095703
2016-10-10,25.303434371948242
2016-10-11,25.076759338378906
2016-10-12,24.868967056274414
2016-10-13,24.613941192626953
2016-10-14,24.321142196655273
2016-10-17,24.538387298583984
2016-10-18,24.42504119873047
2016-10-19,24.64227867126465
2016-10-20,24.670623779296875
2016-10-21,24.651723861694336
2016-10-24,24.821739196777344
2016-10-25,24.632831573486328
2016-10-26,24.680055618286133
2016-10-27,24.538387298583984
2016-10-28,24.623390197753906
2016-10-31,24.717838287353516
2016-11-01,24.935077667236328
2016-11-02,24.5006046295166
2016-11-03,24.340042114257812
2016-11-04,24.94452667236328
2016-11-07,25.671796798706055
2016-11-08,26.446290969848633
2016-11-09,26.7485408782959
2016-11-10,26.32351303100586
2016-11-11,25.97403907775879
2016-11-14,25.85124969482422
2016-11-15,26.285730361938477
2016-11-16,26.172386169433594
2016-11-17,26.474634170532227
2016-11-18,26.852432250976562
2016-11-21,27.362472534179688
2016-11-22,27.11689567565918
2016-11-23,26.890214920043945
2016-11-25,27.079120635986328
2016-11-28,27.135786056518555
2016-11-29,27.268016815185547
2016-11-30,27.11689567565918
2016-12-01,26.93743896484375
2016-12-02,27.400245666503906
2016-12-05,27.362472534179688
2016-12-06,27.985855102539062
2016-12-07,28.28809356689453
2016-12-08,27.060224533081055
2016-12-09,27.64582061767578
2016-12-12,27.570261001586914
2016-12-13,28.13697052001953
2016-12-14,28.07085418701172
2016-12-15,27.362472534179688
2016-12-16,27.258577346801758
2016-12-19,27.00356101989746
2016-12-20,27.04133415222168
2016-12-21,27.655271530151367
2016-12-22,27.702495574951172
2016-12-23,27.7308292388916
2016-12-27,27.400245666503906
2016-12-28,27.126344680786133
2016-12-29,26.918550491333008
2016-12-30,27.23023796081543
2017-01-03,27.844167709350586
2017-01-04,27.825279235839844
2017-01-05,27.740276336669922
2017-01-06,27.881948471069336
2017-01-09,27.541933059692383
2017-01-10,27.976396560668945
2017-01-11,27.419137954711914
2017-01-12,27.04133415222168
2017-01-13,27.03189468383789
2017-01-17,27.06966781616211
2017-01-18,27.02244758605957
2017-01-19,27.098005294799805
2017-01-20,27.145227432250977
2017-01-23,26.918550491333008
2017-01-24,27.400245666503906
2017-01-25,27.957515716552734
2017-01-26,27.844167709350586
2017-01-27,28.13697052001953
2017-01-30,27.49470329284668
2017-01-31,27.201904296875
2017-02-01,26.975221633911133
2017-02-02,27.201904296875
2017-02-03,27.258577346801758
2017-02-06,27.438032150268555
2017-02-07,26.975221633911133
2017-02-08,27.050783157348633
2017-02-09,27.03189468383789
2017-02-10,26.94688606262207
2017-02-13,27.541933059692383
2017-02-14,27.060224533081055
2017-02-15,27.957515716552734
2017-02-16,25.369556427001953
2017-02-17,25.123981475830078
2017-02-21,25.45455551147461
2017-02-22,24.991748809814453
2017-02-23,24.72728729248047
2017-02-24,24.925630569458008
2017-02-27,25.00119400024414
2017-02-28,24.8311824798584
2017-03-01,25.341211318969727
2017-03-02,24.85007095336914
2017-03-03,24.991748809814453
2017-03-06,25.076759338378906
2017-03-07,24.31170082092285
2017-03-08,24.359134674072266
2017-03-09,24.12198829650879
2017-03-10,24.18838119506836
2017-03-13,24.615238189697266
2017-03-14,24.994665145874023
2017-03-15,25.440492630004883
2017-03-16,25.412033081054688
2017-03-17,26.161399841308594
2017-03-20,25.250778198242188
2017-03-21,24.785978317260742
2017-03-22,24.69112777709961
2017-03-23,24.5867862701416
2017-03-24,24.387588500976562
2017-03-27,25.21283531188965
2017-03-28,25.772489547729492
2017-03-29,25.886316299438477
2017-03-30,25.924264907836914
2017-03-31,25.990663528442383
2017-04-03,26.32265853881836
2017-04-04,26.389060974121094
2017-04-05,26.180376052856445
2017-04-06,26.967679977416992
2017-04-07,26.664138793945312
2017-04-10,26.34163475036621
2017-04-11,26.28471565246582
2017-04-12,26.15191650390625
2017-04-13,25.79146385192871
2017-04-17,25.725061416625977
2017-04-18,26.32265853881836
2017-04-19,26.57876968383789
2017-04-20,26.996131896972656
2017-04-21,26.948713302612305
2017-04-24,27.50836753845215
2017-04-25,27.840364456176758
2017-04-26,28.257728576660156
2017-04-27,29.41497230529785
2017-04-28,29.13040542602539
2017-05-01,29.377037048339844
2017-05-02,29.36754608154297
2017-05-03,29.50983428955078
2017-05-04,29.139890670776367
2017-05-05,29.263206481933594
2017-05-08,28.855323791503906
2017-05-09,29.36754608154297
2017-05-10,29.623661041259766
2017-05-11,29.386516571044922
2017-05-12,29.547773361206055
2017-05-15,30.050514221191406
2017-05-16,30.54376983642578
2017-05-17,29.547773361206055
2017-05-18,29.36754608154297
2017-05-19,29.642635345458984
2017-05-22,29.946170806884766
2017-05-23,29.6900577545166
2017-05-24,29.585721969604492
2017-05-25,29.974634170532227
2017-05-26,30.18330955505371
2017-05-30,30.230741500854492
2017-05-31,30.088459014892578
2017-06-01,30.60068130493164
2017-06-02,30.84731101989746
2017-06-05,30.534278869628906
2017-06-06,30.81885528564453
2017-06-07,31.180522918701172
2017-06-08,31.19005012512207
