,EMR
2017-12-19,57.789276123046875
2017-12-20,58.143402099609375
2017-12-21,58.66615676879883
2017-12-22,58.73360824584961
2017-12-26,58.624000549316406
2017-12-27,58.80949020385742
2017-12-28,59.00341033935547
2017-12-29,58.75889587402344
2018-01-02,59.64421463012695
2018-01-03,60.192256927490234
2018-01-04,60.27657699584961
2018-01-05,61.069114685058594
2018-01-08,60.87519073486328
2018-01-09,60.97636795043945
2018-01-10,61.204017639160156
2018-01-11,62.29167175292969
2018-01-12,62.31697463989258
2018-01-16,61.406368255615234
2018-01-17,61.60873031616211
2018-01-18,61.929134368896484
2018-01-19,61.66774368286133
2018-01-22,61.768924713134766
2018-01-23,61.650882720947266
2018-01-24,61.23774337768555
2018-01-25,61.279911041259766
2018-01-26,62.43501281738281
2018-01-29,61.54130172729492
2018-01-30,61.10285186767578
2018-01-31,60.90047836303711
2018-02-01,61.19559097290039
2018-02-02,59.5008659362793
2018-02-05,57.7049560546875
2018-02-06,58.387916564941406
2018-02-07,58.143402099609375
2018-02-08,55.984947204589844
2018-02-09,58.23613739013672
2018-02-12,59.28165817260742
2018-02-13,59.34067153930664
2018-02-14,60.12479019165039
2018-02-15,60.697818756103516
2018-02-16,61.96272277832031
2018-02-20,60.332786560058594
2018-02-21,60.960975646972656
2018-02-22,61.19865798950195
2018-02-23,61.28358840942383
2018-02-26,62.42112350463867
2018-02-27,62.047584533691406
2018-02-28,60.32428741455078
2018-03-01,59.06789779663086
2018-03-02,58.88113021850586
2018-03-05,59.551788330078125
2018-03-06,59.82344436645508
2018-03-07,59.07637023925781
2018-03-08,59.60269546508789
2018-03-09,61.35149002075195
2018-03-12,60.629886627197266
2018-03-13,60.46861267089844
2018-03-14,60.05263900756836
2018-03-15,60.21395492553711
2018-03-16,61.44487380981445
2018-03-19,60.04415512084961
2018-03-20,59.891353607177734
2018-03-21,60.40069580078125
2018-03-22,58.38025665283203
2018-03-23,57.18328857421875
2018-03-26,59.008453369140625
2018-03-27,57.658668518066406
2018-03-28,57.132354736328125
2018-03-29,57.981285095214844
2018-04-02,56.26645278930664
2018-04-03,57.59925842285156
2018-04-04,57.83695983886719
2018-04-05,58.07466506958008
2018-04-06,56.291927337646484
2018-04-09,56.1900520324707
2018-04-10,57.35306167602539
2018-04-11,56.94560241699219
2018-04-12,57.896392822265625
2018-04-13,58.0831184387207
2018-04-16,58.414222717285156
2018-04-17,58.906593322753906
2018-04-18,59.95076370239258
2018-04-19,59.993221282958984
2018-04-20,59.59421920776367
2018-04-23,59.339561462402344
2018-04-24,57.981285095214844
2018-04-25,58.329315185546875
2018-04-26,57.29365158081055
2018-04-27,57.573787689208984
2018-04-30,56.37680435180664
2018-05-01,58.55854415893555
2018-05-02,57.387020111083984
2018-05-03,57.234214782714844
2018-05-04,58.0831184387207
2018-05-07,58.830204010009766
2018-05-08,59.22071838378906
2018-05-09,61.06285858154297
2018-05-10,61.511558532714844
2018-05-11,61.53720474243164
2018-05-14,61.6739387512207
2018-05-15,61.39188766479492
2018-05-16,61.494468688964844
2018-05-17,62.36625289916992
2018-05-18,62.511531829833984
2018-05-21,63.31493377685547
2018-05-22,62.61410903930664
2018-05-23,62.40042495727539
2018-05-24,62.60555648803711
2018-05-25,61.955997467041016
2018-05-29,60.485931396484375
2018-05-30,61.2380485534668
2018-05-31,60.54575729370117
2018-06-01,60.998748779296875
2018-06-04,61.118408203125
2018-06-05,62.10986328125
2018-06-06,62.63974380493164
2018-06-07,62.7081298828125
2018-06-08,62.52007293701172
2018-06-11,62.54573059082031
2018-06-12,62.57136917114258
2018-06-13,62.20383834838867
2018-06-14,62.30642318725586
2018-06-15,61.77652359008789
2018-06-18,61.656864166259766
2018-06-19,60.30645751953125
2018-06-20,60.16115951538086
2018-06-21,59.14408493041992
2018-06-22,59.716712951660156
2018-06-25,59.10136032104492
2018-06-26,58.9304313659668
2018-06-27,58.58855056762695
2018-06-28,58.62271499633789
2018-06-29,59.092796325683594
2018-07-02,59.349205017089844
2018-07-03,58.77656936645508
2018-07-05,59.12699508666992
2018-07-06,59.21245193481445
2018-07-09,60.54575729370117
2018-07-10,60.673980712890625
2018-07-11,59.0329704284668
2018-07-12,60.0244255065918
2018-07-13,60.32356643676758
2018-07-16,59.238101959228516
2018-07-17,59.3834114074707
2018-07-18,59.56288528442383
2018-07-19,59.656890869140625
2018-07-20,59.21245193481445
2018-07-23,58.02444839477539
2018-07-24,58.8620491027832
2018-07-25,59.998756408691406
2018-07-26,60.90474319458008
2018-07-27,60.90474319458008
2018-07-30,60.280826568603516
2018-07-31,61.77652359008789
2018-08-01,60.938934326171875
2018-08-02,60.92181396484375
2018-08-03,61.09275817871094
2018-08-06,61.212425231933594
2018-08-07,63.81064224243164
2018-08-08,63.280765533447266
2018-08-09,63.289310455322266
