,BAX
2021-08-30,69.9912109375
2021-08-31,70.19381713867188
2021-09-01,71.4647216796875
2021-09-02,74.9214859008789
2021-09-03,76.446533203125
2021-09-07,77.03807067871094
2021-09-08,76.49275207519531
2021-09-09,75.53150939941406
2021-09-10,74.79210662841797
2021-09-13,74.52405548095703
2021-09-14,75.57772064208984
2021-09-15,77.24140930175781
2021-09-16,76.91793060302734
2021-09-17,77.27838897705078
2021-09-20,76.0583724975586
2021-09-21,75.74410247802734
2021-09-22,74.91224670410156
2021-09-23,74.67194366455078
2021-09-24,74.7273941040039
2021-09-27,74.46858978271484
2021-09-28,74.6164779663086
2021-09-29,75.61470031738281
2021-09-30,74.3392105102539
2021-10-01,75.13406372070312
2021-10-04,74.3299560546875
2021-10-05,74.73663330078125
2021-10-06,74.73663330078125
2021-10-07,74.47785186767578
2021-10-08,74.12661743164062
2021-10-11,72.94355010986328
2021-10-12,72.74945068359375
2021-10-13,72.83264923095703
2021-10-14,73.840087890625
2021-10-15,73.66448974609375
2021-10-18,72.25958251953125
2021-10-19,73.64598083496094
2021-10-20,75.09709930419922
2021-10-21,75.29120635986328
2021-10-22,75.9659194946289
2021-10-25,75.19878387451172
2021-10-26,75.5962142944336
2021-10-27,75.73484802246094
2021-10-28,72.65702819824219
2021-10-29,72.98052215576172
2021-11-01,73.77540588378906
2021-11-02,74.20980834960938
2021-11-03,73.97872924804688
2021-11-04,72.37975311279297
2021-11-05,72.13018798828125
2021-11-08,72.77717590332031
2021-11-09,71.81592559814453
2021-11-10,73.03596496582031
2021-11-11,73.16539001464844
2021-11-12,73.44265747070312
2021-11-15,73.52584838867188
2021-11-16,73.30402374267578
2021-11-17,73.55358123779297
2021-11-18,73.11917114257812
2021-11-19,73.25780487060547
2021-11-22,73.2485580444336
2021-11-23,72.47216796875
2021-11-24,71.74200439453125
2021-11-26,70.51271057128906
2021-11-29,70.27240753173828
2021-11-30,68.92296600341797
2021-12-01,69.39434814453125
2021-12-02,70.72100830078125
2021-12-03,72.40947723388672
2021-12-06,73.51348114013672
2021-12-07,74.10723114013672
2021-12-08,74.78446197509766
2021-12-09,74.73808288574219
2021-12-10,75.01640319824219
2021-12-13,77.18729400634766
2021-12-14,76.54715728759766
2021-12-15,76.72341918945312
2021-12-16,77.84598541259766
2021-12-17,77.58621215820312
2021-12-20,76.54715728759766
2021-12-21,77.80887603759766
2021-12-22,79.1540756225586
2021-12-23,79.36746215820312
2021-12-27,80.34158325195312
2021-12-28,80.48074340820312
2021-12-29,80.88894653320312
2021-12-30,80.20242309570312
2021-12-31,79.63648986816406
2022-01-03,80.59208679199219
2022-01-04,81.6404037475586
2022-01-05,81.5105209350586
2022-01-06,80.50858306884766
2022-01-07,81.13014221191406
2022-01-10,80.07252502441406
2022-01-11,80.1189193725586
2022-01-12,80.1931381225586
2022-01-13,79.68287658691406
2022-01-14,79.54373168945312
2022-01-18,79.6550521850586
2022-01-19,79.41385650634766
2022-01-20,79.77566528320312
2022-01-21,80.04470825195312
2022-01-24,79.74784088134766
2022-01-25,78.92214965820312
2022-01-26,78.1799545288086
2022-01-27,78.51395416259766
2022-01-28,79.12625122070312
2022-01-31,79.26541137695312
2022-02-01,78.79226684570312
2022-02-02,79.36746215820312
2022-02-03,79.87769317626953
2022-02-04,80.44363403320312
2022-02-07,80.59208679199219
2022-02-08,82.02079772949219
2022-02-09,82.98560333251953
2022-02-10,81.40847778320312
2022-02-11,79.70146179199219
2022-02-14,79.27469635009766
2022-02-15,79.4045639038086
2022-02-16,78.97782135009766
2022-02-17,76.81620025634766
2022-02-18,76.39873504638672
2022-02-22,78.35623931884766
2022-02-23,79.54373168945312
2022-02-24,78.78981018066406
2022-02-25,80.2883529663086
2022-02-28,79.08765411376953
2022-03-01,78.31511688232422
2022-03-02,79.32966613769531
2022-03-03,79.29242706298828
2022-03-04,80.06494903564453
2022-03-07,79.09696197509766
2022-03-08,74.88056945800781
2022-03-09,74.21971130371094
2022-03-10,73.51233673095703
2022-03-11,71.52978515625
2022-03-14,72.59085845947266
2022-03-15,73.22379302978516
2022-03-16,73.49369812011719
2022-03-17,73.94048309326172
2022-03-18,73.64263916015625
2022-03-21,73.57749938964844
2022-03-22,72.6094970703125
2022-03-23,71.73455810546875
2022-03-24,72.30232238769531
2022-03-25,71.86486053466797
2022-03-28,73.45647430419922
2022-03-29,74.00564575195312
2022-03-30,73.88463592529297
2022-03-31,72.17201232910156
2022-04-01,73.14002227783203
2022-04-04,70.24533081054688
2022-04-05,71.1947021484375
2022-04-06,71.66940307617188
2022-04-07,72.6094970703125
2022-04-08,74.46170806884766
2022-04-11,73.3168716430664
2022-04-12,72.66532897949219
2022-04-13,73.00971984863281
2022-04-14,71.14817810058594
2022-04-18,69.77993774414062
2022-04-19,71.21331787109375
2022-04-20,73.12142181396484
2022-04-21,72.5815658569336
2022-04-22,68.02078247070312
2022-04-25,67.86256408691406
2022-04-26,65.64730834960938
2022-04-27,66.14993286132812
2022-04-28,65.89862060546875
2022-04-29,66.14064025878906
2022-05-02,65.72177124023438
2022-05-03,67.06209564208984
2022-05-04,68.1324691772461
2022-05-05,67.93701171875
2022-05-06,67.75086975097656
2022-05-09,68.52339935302734
2022-05-10,67.44369506835938
2022-05-11,67.01554107666016
2022-05-12,67.62055969238281
2022-05-13,67.9742431640625
2022-05-16,68.58856201171875
2022-05-17,69.19355010986328
2022-05-18,67.12722778320312
2022-05-19,67.57401275634766
2022-05-20,68.160400390625
2022-05-23,68.29070281982422
2022-05-24,68.78401184082031
2022-05-25,69.98471069335938
2022-05-26,70.50593566894531
2022-05-27,70.88756561279297
2022-05-31,70.7851791381836
2022-06-01,69.31455993652344
2022-06-02,69.3893051147461
2022-06-03,67.78211975097656
2022-06-06,67.74473571777344
2022-06-07,67.81950378417969
2022-06-08,68.07178497314453
2022-06-09,67.3055648803711
2022-06-10,68.3240737915039
2022-06-13,66.87574768066406
2022-06-14,63.05400085449219
2022-06-15,63.381046295166016
2022-06-16,61.007652282714844
2022-06-17,59.643409729003906
2022-06-21,59.82094192504883
2022-06-22,60.50306701660156
2022-06-23,60.81142044067383
2022-06-24,62.39992141723633
2022-06-27,62.334510803222656
2022-06-28,60.970272064208984
2022-06-29,61.493534088134766
2022-06-30,60.01717758178711
2022-07-01,61.19451904296875
2022-07-05,61.1010856628418
2022-07-06,60.839454650878906
2022-07-07,60.93288803100586
2022-07-08,60.90486526489258
2022-07-11,60.27880859375
2022-07-12,60.437652587890625
2022-07-13,59.596683502197266
2022-07-14,59.260292053222656
2022-07-15,60.65257263183594
2022-07-18,60.138648986816406
2022-07-19,61.035682678222656
2022-07-20,61.287967681884766
2022-07-21,61.69910430908203
2022-07-22,61.82059097290039
2022-07-25,61.914024353027344
2022-07-26,62.3625373840332
2022-07-27,62.41860580444336
2022-07-28,55.597408294677734
2022-07-29,54.81250762939453
2022-08-01,54.82185363769531
2022-08-02,55.0180778503418
2022-08-03,54.36398696899414
2022-08-04,54.11170196533203
2022-08-05,54.747100830078125
2022-08-08,55.793636322021484
2022-08-09,55.083492279052734
2022-08-10,55.97117614746094
2022-08-11,56.036582946777344
2022-08-12,56.494441986083984
2022-08-15,57.952125549316406
2022-08-16,57.783935546875
2022-08-17,57.354103088378906
2022-08-18,57.04574203491211
2022-08-19,57.23263168334961
2022-08-22,55.756263732910156
2022-08-23,54.81250762939453
2022-08-24,54.859222412109375
2022-08-25,55.989864349365234
2022-08-26,53.42023468017578
2022-08-29,53.252044677734375
2022-08-30,52.77549362182617
2022-08-31,53.69121551513672
2022-09-01,53.30615997314453
2022-09-02,52.78963088989258
2022-09-06,51.333946228027344
2022-09-07,55.156288146972656
2022-09-08,55.128116607666016
2022-09-09,55.90760803222656
2022-09-12,56.142391204833984
2022-09-13,54.59279251098633
2022-09-14,55.51315689086914
2022-09-15,55.381683349609375
2022-09-16,54.63975143432617
2022-09-19,54.87454605102539
2022-09-20,53.137115478515625
2022-09-21,52.094661712646484
2022-09-22,52.00074005126953
2022-09-23,52.03831100463867
2022-09-26,51.568729400634766
2022-09-27,50.995845794677734
2022-09-28,52.17918395996094
2022-09-29,51.935001373291016
2022-09-30,50.5826301574707
2022-10-03,52.23553466796875
2022-10-04,53.95417022705078
2022-10-05,54.19835662841797
2022-10-06,52.82719802856445
2022-10-07,52.23553466796875
2022-10-10,51.63447570800781
2022-10-11,52.41396713256836
2022-10-12,51.653255462646484
2022-10-13,52.66754150390625
2022-10-14,51.183677673339844
2022-10-17,51.88804244995117
2022-10-18,52.216739654541016
2022-10-19,51.95378112792969
2022-10-20,51.653255462646484
2022-10-21,52.996238708496094
2022-10-24,52.996238708496094
2022-10-25,53.63486099243164
2022-10-26,54.12322235107422
2022-10-27,50.68593215942383
2022-10-28,51.653255462646484
2022-10-31,51.04281234741211
2022-11-01,50.46992874145508
2022-11-02,48.77006530761719
2022-11-03,47.370731353759766
2022-11-04,47.50221633911133
2022-11-07,49.15511703491211
2022-11-08,49.446250915527344
2022-11-09,48.507102966308594
2022-11-10,50.460533142089844
2022-11-11,51.54055404663086
2022-11-14,50.413578033447266
2022-11-15,51.033424377441406
2022-11-16,51.59690475463867
2022-11-17,51.0146369934082
2022-11-18,51.653255462646484
2022-11-21,52.43275451660156
2022-11-22,51.95378112792969
2022-11-23,52.8741455078125
2022-11-25,52.592411041259766
2022-11-28,51.83169174194336
2022-11-29,51.97256851196289
2022-11-30,53.09015655517578
2022-12-01,49.44634246826172
2022-12-02,50.23929977416992
2022-12-05,48.42683029174805
2022-12-06,48.625064849853516
2022-12-07,49.418025970458984
2022-12-08,49.67290496826172
2022-12-09,49.44634246826172
2022-12-12,49.682342529296875
2022-12-13,50.19209671020508
2022-12-14,49.370819091796875
2022-12-15,47.917076110839844
2022-12-16,46.92588806152344
2022-12-19,47.15243911743164
2022-12-20,47.1335563659668
2022-12-21,47.51115798950195
2022-12-22,47.3317985534668
2022-12-23,47.3601188659668
2022-12-27,47.99259567260742
2022-12-28,47.53948211669922
2022-12-29,48.25691223144531
2022-12-30,48.11531066894531
2023-01-03,48.181396484375
2023-01-04,49.39914321899414
2023-01-05,49.625701904296875
2023-01-06,45.7364501953125
2023-01-09,42.196475982666016
2023-01-10,43.17823028564453
2023-01-11,42.8950309753418
2023-01-12,42.56463623046875
2023-01-13,42.32863998413086
2023-01-17,42.23423385620117
2023-01-18,41.535682678222656
2023-01-19,41.195838928222656
2023-01-20,41.42240524291992
2023-01-23,42.61183166503906
2023-01-24,42.39471435546875
2023-01-25,43.55582809448242
2023-01-26,43.574703216552734
2023-01-27,43.42367172241211
2023-01-30,42.61183166503906
2023-01-31,43.13103103637695
2023-02-01,43.68798065185547
2023-02-02,44.37710189819336
2023-02-03,44.065582275390625
2023-02-06,42.630714416503906
2023-02-07,43.05551528930664
2023-02-08,43.1215934753418
2023-02-09,37.89186477661133
2023-02-10,38.65650939941406
2023-02-13,38.23170852661133
2023-02-14,37.67475891113281
2023-02-15,37.81635284423828
2023-02-16,37.570919036865234
2023-02-17,38.70370101928711
2023-02-21,38.42050552368164
2023-02-22,38.71314239501953
2023-02-23,38.513492584228516
2023-02-24,38.180747985839844
2023-02-27,37.85749816894531
2023-02-28,37.98109436035156
2023-03-01,37.13495635986328
2023-03-02,37.6673583984375
2023-03-03,37.971588134765625
2023-03-06,37.75292205810547
2023-03-07,37.06840515136719
2023-03-08,37.4962272644043
2023-03-09,37.06840515136719
2023-03-10,36.14621353149414
2023-03-13,36.982845306396484
2023-03-14,37.4296760559082
2023-03-15,36.345863342285156
2023-03-16,36.478965759277344
2023-03-17,35.72789764404297
2023-03-20,36.30783462524414
2023-03-21,37.6578483581543
2023-03-22,37.23003387451172
2023-03-23,36.24128341674805
2023-03-24,37.296573638916016
2023-03-27,38.09518051147461
2023-03-28,37.886024475097656
2023-03-29,38.542015075683594
2023-03-30,38.3233528137207
2023-03-31,38.56102752685547
2023-04-03,38.009613037109375
2023-04-04,38.50398635864258
2023-04-05,40.17724609375
2023-04-06,40.21527862548828
2023-04-10,40.091678619384766
2023-04-11,40.77619552612305
2023-04-12,40.567039489746094
2023-04-13,41.05190658569336
2023-04-14,40.928306579589844
2023-04-17,40.85225296020508
2023-04-18,40.70964813232422
2023-04-19,41.470218658447266
2023-04-20,41.11845779418945
2023-04-21,43.05791091918945
2023-04-24,43.16249465942383
2023-04-25,43.200523376464844
2023-04-26,43.80898666381836
2023-04-27,44.493499755859375
2023-04-28,45.33012390136719
2023-05-01,45.04490661621094
2023-05-02,44.69314193725586
2023-05-03,44.208282470703125
2023-05-04,43.05791091918945
2023-05-05,43.78045654296875
2023-05-08,43.362144470214844
2023-05-09,40.95683670043945
2023-05-10,41.679378509521484
2023-05-11,41.24204635620117
2023-05-12,40.37689971923828
2023-05-15,40.70964813232422
2023-05-16,40.89027786254883
2023-05-17,40.67161560058594
2023-05-18,40.909297943115234
2023-05-19,40.87126922607422
2023-05-22,40.48147964477539
2023-05-23,40.40541458129883
2023-05-24,40.04414367675781
2023-05-25,39.30258560180664
2023-05-26,39.25505065917969
2023-05-30,38.34236145019531
2023-05-31,38.7131462097168
2023-06-01,39.47917175292969
2023-06-02,39.574928283691406
2023-06-05,39.88134002685547
2023-06-06,39.22063446044922
2023-06-07,40.35052490234375
2023-06-08,39.584503173828125
2023-06-09,40.18775177001953
2023-06-12,40.896324157714844
2023-06-13,41.624053955078125
2023-06-14,41.604896545410156
2023-06-15,42.57200622558594
2023-06-16,43.43379592895508
2023-06-20,43.03162384033203
2023-06-21,42.935874938964844
2023-06-22,43.32846450805664
2023-06-23,43.12738037109375
2023-06-26,42.8113899230957
2023-06-27,43.47209548950195
2023-06-28,43.16568374633789
2023-06-29,42.801815032958984
2023-06-30,43.62529754638672
2023-07-03,42.78266906738281
2023-07-05,43.2231330871582
2023-07-06,43.67317199707031
2023-07-07,43.37633514404297
2023-07-10,43.711483001708984
2023-07-11,44.075340270996094
2023-07-12,44.41047668457031
2023-07-13,44.73603820800781
2023-07-14,44.87009811401367
2023-07-17,44.57326126098633
2023-07-18,45.052024841308594
2023-07-19,45.81805419921875
2023-07-20,47.19690704345703
2023-07-21,46.49790954589844
2023-07-24,46.22978973388672
2023-07-25,46.72771072387695
2023-07-26,46.87134552001953
2023-07-27,43.5486946105957
2023-07-28,45.01372146606445
2023-07-31,43.3093147277832
2023-08-01,43.089080810546875
2023-08-02,42.04536819458008
2023-08-03,42.074092864990234
2023-08-04,42.05493927001953
2023-08-07,41.69108200073242
2023-08-08,40.953773498535156
2023-08-09,41.15485763549805
2023-08-10,41.16443634033203
2023-08-11,41.40381622314453
2023-08-14,40.99208068847656
2023-08-15,40.551612854003906
2023-08-16,40.29307556152344
2023-08-17,39.977088928222656
2023-08-18,40.01538848876953
2023-08-21,40.24519348144531
2023-08-22,39.84303665161133
2023-08-23,39.65153121948242
2023-08-24,39.69940185546875
2023-08-25,39.76642608642578
2023-08-28,39.88134002685547
2023-08-29,40.532466888427734
2023-08-30,40.18775177001953
2023-08-31,39.14641189575195
2023-09-01,39.14641189575195
2023-09-05,37.59406280517578
2023-09-06,38.220787048339844
2023-09-07,37.57476806640625
2023-09-08,37.2855110168457
2023-09-11,37.31443786621094
2023-09-12,36.95768356323242
2023-09-13,37.70976257324219
2023-09-14,37.748329162597656
2023-09-15,37.68083190917969
2023-09-18,37.34336471557617
2023-09-19,37.565128326416016
2023-09-20,37.092674255371094
2023-09-21,36.74556350708008
2023-09-22,36.350242614746094
2023-09-25,36.15740203857422
2023-09-26,35.983848571777344
2023-09-27,35.993492126464844
2023-09-28,36.19597244262695
2023-09-29,36.38880920410156
2023-10-02,36.01277160644531
2023-10-03,35.46317672729492
2023-10-04,35.63673782348633
2023-10-05,35.694583892822266
2023-10-06,35.30890655517578
2023-10-09,35.183563232421875
2023-10-10,35.983848571777344
2023-10-11,31.567825317382812
2023-10-12,30.57469940185547
2023-10-13,30.70004653930664
2023-10-16,30.835031509399414
2023-10-17,30.70004653930664
2023-10-18,30.912166595458984
2023-10-19,31.442476272583008
2023-10-20,31.519607543945312
2023-10-23,31.673885345458984
2023-10-24,31.403907775878906
