,FANG
2017-09-18,76.0428237915039
2017-09-19,75.34751892089844
2017-09-20,77.77706146240234
2017-09-21,77.80902862548828
2017-09-22,76.51433563232422
2017-09-25,77.34547424316406
2017-09-26,77.64118194580078
2017-09-27,77.4254150390625
2017-09-28,77.63321685791016
2017-09-29,78.28852844238281
2017-10-02,79.91889190673828
2017-10-03,79.98280334472656
2017-10-04,80.5182876586914
2017-10-05,79.7190933227539
2017-10-06,79.19161224365234
2017-10-09,79.87094116210938
2017-10-10,80.5262680053711
2017-10-11,81.1336669921875
2017-10-12,80.81396484375
2017-10-13,81.01376342773438
2017-10-16,81.99677276611328
2017-10-17,82.00475311279297
2017-10-18,81.66908264160156
2017-10-19,81.18958282470703
2017-10-20,81.9408187866211
2017-10-23,80.1986083984375
2017-10-24,79.65513610839844
2017-10-25,80.63016510009766
2017-10-26,80.62217712402344
2017-10-27,83.5711669921875
2017-10-30,84.87385559082031
2017-10-31,85.64109802246094
2017-11-01,87.73491668701172
2017-11-02,87.08760833740234
2017-11-03,88.829833984375
2017-11-06,90.85979461669922
2017-11-07,89.34932708740234
2017-11-08,87.9427261352539
2017-11-09,88.73394012451172
2017-11-10,89.39727020263672
2017-11-13,88.68597412109375
2017-11-14,86.52816772460938
2017-11-15,85.20951080322266
2017-11-16,85.1375732421875
2017-11-17,85.94476318359375
2017-11-20,86.28842163085938
2017-11-21,87.23147583007812
2017-11-22,87.31138610839844
2017-11-24,88.15052032470703
2017-11-27,85.72100067138672
2017-11-28,86.49620819091797
2017-11-29,86.43226623535156
2017-11-30,87.35932159423828
2017-12-01,88.63804626464844
2017-12-04,87.12757873535156
2017-12-05,87.1595230102539
2017-12-06,84.97774505615234
2017-12-07,87.0716323852539
2017-12-08,88.52615356445312
2017-12-11,88.9497299194336
2017-12-12,89.13352966308594
2017-12-13,89.18148803710938
2017-12-14,88.73394012451172
2017-12-15,87.52716827392578
2017-12-18,87.63105010986328
2017-12-19,89.3572998046875
2017-12-20,93.69689178466797
2017-12-21,98.380126953125
2017-12-22,99.39512634277344
2017-12-26,100.67382049560547
2017-12-27,98.4520492553711
2017-12-28,100.31419372558594
2017-12-29,100.8976058959961
2018-01-02,102.20026397705078
2018-01-03,103.23121643066406
2018-01-04,103.99844360351562
2018-01-05,103.87857055664062
2018-01-08,104.68576049804688
2018-01-09,101.88858795166016
2018-01-10,101.7287368774414
2018-01-11,103.81462860107422
2018-01-12,104.00643920898438
2018-01-16,102.3121566772461
2018-01-17,101.84861755371094
2018-01-18,101.68079376220703
2018-01-19,101.95252227783203
2018-01-22,105.66075897216797
2018-01-23,105.74067687988281
2018-01-24,104.18223571777344
2018-01-25,101.37710571289062
2018-01-26,103.96646881103516
2018-01-29,103.13531494140625
2018-01-30,100.91357421875
2018-01-31,100.2981948852539
2018-02-01,101.20925903320312
2018-02-02,97.86865234375
2018-02-05,96.11844635009766
2018-02-06,97.4211196899414
2018-02-07,94.70387268066406
2018-02-08,88.97372436523438
2018-02-09,88.31836700439453
2018-02-12,92.71389770507812
2018-02-13,91.9306869506836
2018-02-14,98.16437530517578
2018-02-15,100.01847076416016
2018-02-16,99.00350952148438
2018-02-20,98.14836883544922
2018-02-21,96.68587493896484
2018-02-22,98.54798889160156
2018-02-23,102.2402114868164
2018-02-26,102.0723876953125
2018-02-27,100.83364868164062
2018-02-28,99.61089324951172
2018-03-01,101.02546691894531
2018-03-02,103.15929412841797
2018-03-05,104.09435272216797
2018-03-06,101.56893157958984
2018-03-07,100.91357421875
2018-03-08,100.05844116210938
2018-03-09,103.04740142822266
