,ABT
2021-06-24,104.7896499633789
2021-06-25,105.7465591430664
2021-06-28,108.54219818115234
2021-06-29,109.95878601074219
2021-06-30,108.75797271728516
2021-07-01,109.91188049316406
2021-07-02,110.73744201660156
2021-07-06,111.46918487548828
2021-07-07,112.4542236328125
2021-07-08,111.88196563720703
2021-07-09,112.33226013183594
2021-07-12,111.45979309082031
2021-07-13,111.30968475341797
2021-07-14,110.3397445678711
2021-07-15,109.85946655273438
2021-07-16,110.65991973876953
2021-07-19,111.86530303955078
2021-07-20,111.80879211425781
2021-07-21,112.04422760009766
2021-07-22,111.35677337646484
2021-07-23,113.75813293457031
2021-07-26,112.55272674560547
2021-07-27,112.82585144042969
2021-07-28,113.49445343017578
2021-07-29,114.0312271118164
2021-07-30,113.9276351928711
2021-08-02,113.87113189697266
2021-08-03,115.00119018554688
2021-08-04,114.48324584960938
2021-08-05,115.08595275878906
2021-08-06,115.04824829101562
2021-08-09,115.9805679321289
2021-08-10,115.54737091064453
2021-08-11,114.37965393066406
2021-08-12,115.65094757080078
2021-08-13,115.8863754272461
2021-08-16,117.39311218261719
2021-08-17,118.36307525634766
2021-08-18,116.7056655883789
2021-08-19,118.39131927490234
2021-08-20,118.95635986328125
2021-08-23,118.50431823730469
2021-08-24,118.18415069580078
2021-08-25,117.46844482421875
2021-08-26,118.1559066772461
2021-08-27,117.32719421386719
2021-08-30,118.59850311279297
2021-08-31,119.00343322753906
2021-09-01,119.97339630126953
2021-09-02,120.9998550415039
2021-09-03,121.42362976074219
2021-09-07,120.90567779541016
2021-09-08,121.53662872314453
2021-09-09,120.51957702636719
2021-09-10,121.29180145263672
2021-09-13,119.23884582519531
2021-09-14,119.64379119873047
2021-09-15,120.05815124511719
2021-09-16,120.01104736328125
2021-09-17,119.39894104003906
2021-09-20,117.59086608886719
2021-09-21,117.8357162475586
2021-09-22,117.38369750976562
2021-09-23,117.99581909179688
2021-09-24,117.1200180053711
2021-09-27,113.55094909667969
2021-09-28,111.8182144165039
2021-09-29,112.4962387084961
2021-09-30,111.24376678466797
2021-10-01,110.37741088867188
2021-10-04,108.79534149169922
2021-10-05,109.12492370605469
2021-10-06,109.69937133789062
2021-10-07,111.0365982055664
2021-10-08,111.48860168457031
2021-10-11,110.06663513183594
2021-10-12,110.4809799194336
2021-10-13,110.17964935302734
2021-10-14,111.1438980102539
2021-10-15,111.06826782226562
2021-10-18,110.43489074707031
2021-10-19,112.81714630126953
2021-10-20,116.57015991210938
2021-10-21,118.21505737304688
2021-10-22,119.79379272460938
2021-10-25,119.66142272949219
2021-10-26,121.1267318725586
2021-10-27,120.72967529296875
2021-10-28,120.72967529296875
2021-10-29,121.84516906738281
2021-11-01,121.89244842529297
2021-11-02,120.72967529296875
2021-11-03,121.66554260253906
2021-11-04,122.03423309326172
2021-11-05,117.57221984863281
2021-11-08,119.86941528320312
2021-11-09,119.51961517333984
2021-11-10,120.83366394042969
2021-11-11,120.29479217529297
2021-11-12,121.4292221069336
2021-11-15,122.36511993408203
2021-11-16,123.73584747314453
2021-11-17,121.58992767333984
2021-11-18,120.66349029541016
2021-11-19,119.90721893310547
2021-11-22,118.41358947753906
2021-11-23,117.67620086669922
2021-11-24,118.23395538330078
2021-11-26,118.99967956542969
2021-11-29,121.03217315673828
2021-11-30,118.89569854736328
2021-12-01,119.81266784667969
2021-12-02,121.36305236816406
2021-12-03,123.1497573852539
2021-12-06,125.22949981689453
2021-12-07,125.18222045898438
2021-12-08,125.13495635986328
2021-12-09,125.28620910644531
2021-12-10,127.02561950683594
2021-12-13,128.5287322998047
2021-12-14,125.67379760742188
2021-12-15,128.15060424804688
2021-12-16,128.651611328125
2021-12-17,129.61585998535156
2021-12-20,127.60231018066406
2021-12-21,127.8764419555664
2021-12-22,131.39312744140625
2021-12-23,131.5538330078125
2021-12-27,133.72816467285156
2021-12-28,132.79225158691406
2021-12-29,133.472900390625
2021-12-30,133.29324340820312
2021-12-31,133.0474853515625
2022-01-03,131.44036865234375
2022-01-04,128.34912109375
2022-01-05,127.77245330810547
2022-01-06,127.75355529785156
2022-01-07,128.15060424804688
2022-01-10,127.86698150634766
2022-01-11,128.28294372558594
2022-01-12,126.41118621826172
2022-01-13,122.99591064453125
2022-01-14,121.5824203491211
2022-01-18,120.07400512695312
2022-01-19,119.5807113647461
2022-01-20,118.30947875976562
2022-01-21,119.37199401855469
2022-01-24,117.46516418457031
2022-01-25,116.94337463378906
2022-01-26,113.9076156616211
2022-01-27,114.25862884521484
2022-01-28,118.91663360595703
2022-01-31,120.9183349609375
2022-02-01,120.67168426513672
2022-02-02,123.36591339111328
2022-02-03,123.43231964111328
2022-02-04,123.05286407470703
2022-02-07,121.47805786132812
2022-02-08,122.0472640991211
2022-02-09,123.79283142089844
2022-02-10,121.20293426513672
2022-02-11,119.04943084716797
2022-02-14,116.4785385131836
2022-02-15,117.61695098876953
2022-02-16,117.33233642578125
2022-02-17,114.3914566040039
2022-02-18,110.79595947265625
2022-02-22,111.47901153564453
2022-02-23,111.23233795166016
2022-02-24,112.62690734863281
2022-02-25,116.12752532958984
2022-02-28,114.42938232421875
2022-03-01,112.1051254272461
2022-03-02,114.1827392578125
2022-03-03,114.76142883300781
2022-03-04,115.17884063720703
2022-03-07,112.75971221923828
2022-03-08,110.15084838867188
2022-03-09,112.31383514404297
2022-03-10,110.99517059326172
2022-03-11,108.16812133789062
2022-03-14,109.59113311767578
2022-03-15,111.4505386352539
2022-03-16,113.347900390625
2022-03-17,114.97962188720703
