,CMI
2016-12-20,111.15865325927734
2016-12-21,111.72251892089844
2016-12-22,111.34394073486328
2016-12-23,111.35202026367188
2016-12-27,111.2231216430664
2016-12-28,109.918212890625
2016-12-29,109.88600158691406
2016-12-30,110.08734893798828
2017-01-03,112.60053253173828
2017-01-04,112.4716567993164
2017-01-05,110.95728302001953
2017-01-06,111.73863220214844
2017-01-09,110.69145965576172
2017-01-10,112.41525268554688
2017-01-11,113.34156036376953
2017-01-12,111.60978698730469
2017-01-13,112.75357055664062
2017-01-17,111.89972686767578
2017-01-18,112.6890869140625
2017-01-19,113.55101776123047
2017-01-20,114.04236602783203
2017-01-23,113.95375061035156
2017-01-24,116.80524444580078
2017-01-25,119.1008529663086
2017-01-26,118.77059173583984
2017-01-27,118.5208969116211
2017-01-30,118.41619873046875
2017-01-31,118.41619873046875
2017-02-01,118.66592407226562
2017-02-02,117.86845397949219
2017-02-03,118.29541015625
2017-02-06,117.90876007080078
2017-02-07,118.69009399414062
2017-02-08,117.34487915039062
2017-02-09,120.93743133544922
2017-02-10,121.27571868896484
2017-02-13,123.12034606933594
2017-02-14,122.4034194946289
2017-02-15,122.3873291015625
2017-02-16,122.5806655883789
2017-02-17,123.16863250732422
2017-02-21,124.45742797851562
2017-02-22,123.45600891113281
2017-02-23,120.90985870361328
2017-02-24,121.58287048339844
2017-02-27,121.55857849121094
2017-02-28,120.40715026855469
2017-03-01,123.94256591796875
2017-03-02,122.31269073486328
2017-03-03,123.20465087890625
2017-03-06,123.6019515991211
2017-03-07,123.3343734741211
2017-03-08,122.58023834228516
2017-03-09,120.69091033935547
2017-03-10,122.8478775024414
2017-03-13,123.90199279785156
2017-03-14,122.34510040283203
2017-03-15,125.15885925292969
2017-03-16,124.866943359375
2017-03-17,125.28857421875
2017-03-20,125.11022186279297
2017-03-21,122.20726776123047
2017-03-22,123.13978576660156
2017-03-23,123.4316635131836
2017-03-24,122.25590515136719
2017-03-27,121.35584259033203
2017-03-28,123.00192260742188
2017-03-29,123.01814270019531
2017-03-30,123.2208480834961
2017-03-31,122.60459899902344
2017-04-03,121.40444946289062
2017-04-04,121.72074890136719
2017-04-05,121.48560333251953
2017-04-06,121.61531066894531
2017-04-07,121.17745971679688
2017-04-10,120.9341812133789
2017-04-11,122.02074432373047
2017-04-12,119.13401794433594
2017-04-13,117.22846221923828
2017-04-17,119.19889831542969
2017-04-18,117.63391876220703
2017-04-19,117.04198455810547
2017-04-20,118.50153350830078
2017-04-21,118.03125762939453
2017-04-24,120.90174102783203
2017-04-25,123.34248352050781
2017-04-26,123.31005096435547
2017-04-27,122.49107360839844
2017-04-28,122.39373779296875
2017-05-01,122.70999908447266
2017-05-02,130.19435119628906
2017-05-03,128.62942504882812
2017-05-04,126.52924346923828
2017-05-05,126.07511138916016
2017-05-08,126.73194122314453
2017-05-09,127.91583251953125
2017-05-10,129.12405395507812
2017-05-11,128.80776977539062
2017-05-12,127.29143524169922
2017-05-15,126.98335266113281
2017-05-16,127.64827728271484
2017-05-17,125.1302719116211
2017-05-18,123.93048095703125
2017-05-19,126.42800903320312
2017-05-22,126.82795715332031
2017-05-23,126.75450897216797
2017-05-24,126.574951171875
2017-05-25,127.2115707397461
2017-05-26,127.84823608398438
2017-05-30,128.41949462890625
2017-05-31,128.7133331298828
2017-06-01,131.10484313964844
2017-06-02,129.07249450683594
2017-06-05,127.40748596191406
2017-06-06,128.27259826660156
2017-06-07,127.55438232421875
2017-06-08,129.26019287109375
2017-06-09,129.96218872070312
2017-06-12,130.95787048339844
2017-06-13,130.908935546875
2017-06-14,130.1743927001953
2017-06-15,131.9781036376953
2017-06-16,131.86387634277344
2017-06-19,133.93702697753906
2017-06-20,132.62294006347656
2017-06-21,129.92950439453125
2017-06-22,129.74176025390625
2017-06-23,129.88870239257812
2017-06-26,129.69276428222656
2017-06-27,129.12152099609375
2017-06-28,131.87200927734375
2017-06-29,130.6885528564453
2017-06-30,132.4025421142578
2017-07-03,133.33303833007812
2017-07-05,133.93702697753906
2017-07-06,134.02684020996094
2017-07-07,134.42674255371094
2017-07-10,134.73681640625
2017-07-11,134.4838409423828
2017-07-12,134.93275451660156
2017-07-13,134.8103485107422
2017-07-14,135.3734893798828
2017-07-17,135.60203552246094
2017-07-18,134.52468872070312
2017-07-19,134.37770080566406
2017-07-20,134.2063446044922
2017-07-21,134.85108947753906
2017-07-24,135.87136840820312
2017-07-25,136.87525939941406
2017-07-26,135.46328735351562
2017-07-27,135.30819702148438
2017-07-28,136.4835205078125
2017-07-31,137.03860473632812
2017-08-01,128.5338592529297
2017-08-02,128.7786407470703
2017-08-03,128.7460174560547
2017-08-04,130.7212371826172
2017-08-07,130.61508178710938
2017-08-08,130.44369506835938
2017-08-09,130.1009063720703
2017-08-10,127.18707275390625
2017-08-11,127.04017639160156
2017-08-14,127.52174377441406
2017-08-15,126.99120330810547
2017-08-16,126.88439178466797
2017-08-17,124.33643341064453
2017-08-18,123.93376159667969
2017-08-21,124.9775161743164
2017-08-22,125.83234405517578
2017-08-23,125.2405776977539
2017-08-24,124.76387786865234
2017-08-25,125.01045989990234
2017-08-28,125.51177215576172
2017-08-29,127.262451171875
2017-08-30,129.6870574951172
2017-08-31,130.9938507080078
2017-09-01,130.97738647460938
2017-09-05,130.7390899658203
2017-09-06,131.07601928710938
2017-09-07,133.02394104003906
2017-09-08,133.82118225097656
2017-09-11,135.34165954589844
2017-09-12,136.03207397460938
2017-09-13,136.85397338867188
2017-09-14,136.99366760253906
2017-09-15,135.8019256591797
2017-09-18,137.2073516845703
2017-09-19,137.66763305664062
2017-09-20,137.4375
2017-09-21,136.82931518554688
2017-09-22,138.06210327148438
2017-09-25,137.89776611328125
2017-09-26,137.9142303466797
2017-09-27,138.36627197265625
2017-09-28,138.3498077392578
2017-09-29,138.10325622558594
2017-10-02,139.17172241210938
2017-10-03,140.3963623046875
2017-10-04,141.1606903076172
2017-10-05,141.12782287597656
2017-10-06,141.4566192626953
2017-10-09,141.15248107910156
2017-10-10,142.15521240234375
2017-10-11,141.63743591308594
2017-10-12,141.29220581054688
2017-10-13,141.87574768066406
2017-10-16,143.1168212890625
2017-10-17,143.60171508789062
2017-10-18,143.84829711914062
2017-10-19,144.086669921875
2017-10-20,145.557861328125
2017-10-23,145.66470336914062
2017-10-24,146.62631225585938
2017-10-25,145.40992736816406
2017-10-26,146.8235626220703
2017-10-27,147.53042602539062
2017-10-30,148.22900390625
2017-10-31,145.3770294189453
2017-11-01,142.04832458496094
2017-11-02,142.4264373779297
2017-11-03,142.24559020996094
2017-11-06,141.85110473632812
2017-11-07,141.2510986328125
2017-11-08,140.85659790039062
2017-11-09,138.0457305908203
2017-11-10,138.8594207763672
2017-11-13,139.0648651123047
2017-11-14,138.99911499023438
2017-11-15,137.1251983642578
2017-11-16,138.25852966308594
2017-11-17,131.87213134765625
2017-11-20,132.1947479248047
2017-11-21,132.88966369628906
2017-11-22,135.1645965576172
2017-11-24,132.90618896484375
2017-11-27,133.31982421875
2017-11-28,136.09939575195312
2017-11-29,136.09939575195312
2017-11-30,138.4818572998047
2017-12-01,136.5047149658203
2017-12-04,136.4634246826172
2017-12-05,136.3640899658203
2017-12-06,136.8108367919922
2017-12-07,140.0536651611328
2017-12-08,141.36077880859375
2017-12-11,141.2696990966797
2017-12-12,139.98748779296875
2017-12-13,140.28530883789062
2017-12-14,139.4332275390625
2017-12-15,140.32667541503906
2017-12-18,142.32034301757812
2017-12-19,143.94175720214844
2017-12-20,144.89305114746094
2017-12-21,144.48776245117188
2017-12-22,145.39768981933594
2017-12-26,145.71206665039062
2017-12-27,145.79478454589844
2017-12-28,146.58897399902344
2017-12-29,146.12570190429688
2018-01-02,146.47314453125
2018-01-03,148.08627319335938
2018-01-04,150.3529815673828
2018-01-05,150.11305236816406
2018-01-08,150.65902709960938
2018-01-09,150.52667236328125
2018-01-10,149.36849975585938
2018-01-11,152.1315460205078
2018-01-12,152.36322021484375
2018-01-16,151.0147247314453
2018-01-17,151.9578094482422
2018-01-18,151.9825897216797
2018-01-19,156.41668701171875
2018-01-22,156.83035278320312
2018-01-23,155.87896728515625
2018-01-24,155.81280517578125
2018-01-25,156.681396484375
2018-01-26,159.24591064453125
2018-01-29,157.84780883789062
2018-01-30,154.90281677246094
2018-01-31,155.5233154296875
2018-02-01,156.49114990234375
2018-02-02,152.4707489013672
2018-02-05,148.08627319335938
2018-02-06,144.62835693359375
2018-02-07,142.89942932128906
2018-02-08,137.100341796875
2018-02-09,135.7106170654297
2018-02-12,137.13348388671875
2018-02-13,137.01768493652344
2018-02-14,137.32374572753906
2018-02-15,136.5130157470703
2018-02-16,136.9928436279297
2018-02-20,138.00205993652344
2018-02-21,137.55535888671875
2018-02-22,139.07077026367188
2018-02-23,141.1608123779297
2018-02-26,142.91766357421875
2018-02-27,141.60208129882812
2018-02-28,140.02833557128906
2018-03-01,133.96661376953125
2018-03-02,132.34292602539062
2018-03-05,134.00823974609375
2018-03-06,133.76675415039062
2018-03-07,132.60105895996094
2018-03-08,132.5594024658203
2018-03-09,135.19891357421875
2018-03-12,133.27548217773438
2018-03-13,133.51695251464844
2018-03-14,132.90081787109375
2018-03-15,133.35874938964844
2018-03-16,135.365478515625
2018-03-19,132.90081787109375
2018-03-20,134.0581817626953
2018-03-21,134.45785522460938
2018-03-22,131.18553161621094
2018-03-23,129.4119110107422
2018-03-26,133.82504272460938
2018-03-27,132.18472290039062
2018-03-28,132.95074462890625
2018-03-29,134.96575927734375
2018-04-02,132.16802978515625
2018-04-03,133.3087921142578
2018-04-04,134.01654052734375
2018-04-05,135.24057006835938
2018-04-06,131.4769287109375
2018-04-09,130.31124877929688
2018-04-10,134.8242645263672
2018-04-11,132.27626037597656
2018-04-12,134.71595764160156
2018-04-13,135.21554565429688
2018-04-16,138.77938842773438
2018-04-17,139.4455108642578
2018-04-18,142.2432403564453
2018-04-19,141.15243530273438
2018-04-20,140.5279083251953
2018-04-23,140.7361297607422
2018-04-24,134.33294677734375
2018-04-25,135.00743103027344
2018-04-26,134.8824920654297
2018-04-27,133.90834045410156
2018-04-30,133.10897827148438
2018-05-01,127.6301040649414
2018-05-02,121.668212890625
2018-05-03,119.52830505371094
2018-05-04,120.3609619140625
