,MPWR
2016-11-25,79.0052490234375
2016-11-28,78.42447662353516
2016-11-29,77.84368896484375
2016-11-30,76.85073852539062
2016-12-01,71.6611557006836
2016-12-02,71.80166625976562
2016-12-05,73.04752349853516
2016-12-06,73.32857513427734
2016-12-07,74.33086395263672
2016-12-08,75.69852447509766
2016-12-09,75.2489013671875
2016-12-12,75.01471710205078
2016-12-13,77.78746795654297
2016-12-14,77.6001205444336
2016-12-15,78.88346862792969
2016-12-16,78.00292205810547
2016-12-19,78.789794921875
2016-12-20,80.02629852294922
2016-12-21,79.23006439208984
2016-12-22,78.97713470458984
2016-12-23,79.21133422851562
2016-12-27,79.6422119140625
2016-12-28,78.14929962158203
2016-12-29,78.13993072509766
2016-12-30,76.92866516113281
2017-01-03,78.50607299804688
2017-01-04,77.96150970458984
2017-01-05,77.70799255371094
2017-01-06,78.81595611572266
2017-01-09,80.18681335449219
2017-01-10,80.34646606445312
2017-01-11,81.0506820678711
2017-01-12,80.70326232910156
2017-01-13,81.82061004638672
2017-01-17,79.97087097167969
2017-01-18,81.1727523803711
2017-01-19,80.38401794433594
2017-01-20,82.1961898803711
2017-01-23,82.93795776367188
2017-01-24,85.02245330810547
2017-01-25,84.56234741210938
2017-01-26,82.9098129272461
2017-01-27,84.2994384765625
2017-01-30,83.614013671875
2017-01-31,81.91452026367188
2017-02-01,83.49195098876953
2017-02-02,82.88163757324219
2017-02-03,83.6328125
2017-02-06,83.1351547241211
2017-02-07,83.91448974609375
2017-02-08,84.4215316772461
2017-02-09,83.57645416259766
2017-02-10,83.00367736816406
2017-02-13,80.66569519042969
2017-02-14,79.9333267211914
2017-02-15,80.76898193359375
2017-02-16,80.90043640136719
2017-02-17,81.23846435546875
2017-02-21,82.83468627929688
2017-02-22,83.37928771972656
2017-02-23,82.7971420288086
2017-02-24,83.3980712890625
2017-02-27,83.66096496582031
2017-02-28,82.59996032714844
2017-03-01,83.98021697998047
2017-03-02,83.49195098876953
2017-03-03,83.16333770751953
2017-03-06,82.77835083007812
2017-03-07,82.95674896240234
2017-03-08,82.97551727294922
2017-03-09,82.93795776367188
2017-03-10,83.80181884765625
2017-03-13,85.4074478149414
2017-03-14,85.81118774414062
2017-03-15,87.05998992919922
2017-03-16,86.68437194824219
2017-03-17,87.28533172607422
2017-03-20,88.00835418701172
2017-03-21,86.08348083496094
2017-03-22,86.46843719482422
2017-03-23,85.55765533447266
2017-03-24,85.84872436523438
2017-03-27,85.51069641113281
2017-03-28,87.01301574707031
2017-03-29,86.44845581054688
2017-03-30,86.50491333007812
2017-03-31,86.66487884521484
2017-04-03,86.09087371826172
2017-04-04,87.06949615478516
2017-04-05,85.61096954345703
2017-04-06,85.67684173583984
2017-04-07,86.31671905517578
2017-04-10,85.8462142944336
2017-04-11,85.22518157958984
2017-04-12,84.12421417236328
2017-04-13,83.7196044921875
2017-04-17,85.08403778076172
2017-04-18,85.7332992553711
2017-04-19,86.3825912475586
2017-04-20,88.27395629882812
2017-04-21,87.85990142822266
2017-04-24,89.62901306152344
2017-04-25,90.53231811523438
2017-04-26,88.17986297607422
2017-04-27,88.88560485839844
2017-04-28,86.10028839111328
2017-05-01,86.43904876708984
2017-05-02,85.7332992553711
2017-05-03,85.46039581298828
2017-05-04,87.28593444824219
2017-05-05,87.94461822509766
2017-05-08,87.21066284179688
2017-05-09,88.18926239013672
2017-05-10,89.76072692871094
2017-05-11,89.9018783569336
2017-05-12,89.21495819091797
2017-05-15,90.41943359375
2017-05-16,92.41431427001953
2017-05-17,87.47411346435547
2017-05-18,88.29279327392578
2017-05-19,89.48785400390625
2017-05-22,89.60075378417969
2017-05-23,89.43135833740234
2017-05-24,91.68032836914062
2017-05-25,91.89677429199219
2017-05-26,92.22611236572266
2017-05-30,92.04732513427734
2017-05-31,92.4048843383789
2017-06-01,92.7718734741211
2017-06-02,94.85148620605469
2017-06-05,95.049072265625
2017-06-06,94.87969207763672
2017-06-07,95.78304290771484
2017-06-08,97.25096130371094
2017-06-09,92.15083312988281
2017-06-12,91.59564971923828
2017-06-13,92.28257751464844
2017-06-14,90.767578125
2017-06-15,90.72052764892578
2017-06-16,91.45450592041016
2017-06-19,92.52723693847656
2017-06-20,90.71112823486328
2017-06-21,91.80265045166016
2017-06-22,91.3321533203125
2017-06-23,92.7624740600586
2017-06-26,93.6375732421875
2017-06-27,91.1251449584961
2017-06-28,93.37877655029297
2017-06-29,91.57776641845703
2017-06-30,90.89884185791016
2017-07-03,88.86209869384766
2017-07-05,90.2765121459961
2017-07-06,89.86161804199219
2017-07-07,92.43583679199219
2017-07-10,92.2000961303711
2017-07-11,93.08646392822266
2017-07-12,94.43485260009766
2017-07-13,94.3028335571289
2017-07-14,95.03832244873047
2017-07-17,95.26463317871094
2017-07-18,95.83036804199219
2017-07-19,97.69741821289062
2017-07-20,99.00808715820312
2017-07-21,97.82942199707031
2017-07-24,98.86663818359375
2017-07-25,98.94208526611328
2017-07-26,100.69595336914062
2017-07-27,98.6120376586914
2017-07-28,96.7638931274414
2017-07-31,96.48101043701172
2017-08-01,97.31078338623047
2017-08-02,96.04727935791016
2017-08-03,95.65123748779297
2017-08-04,95.75495147705078
2017-08-07,96.90536499023438
2017-08-08,96.6601791381836
2017-08-09,96.32072448730469
2017-08-10,94.73660278320312
2017-08-11,95.33063507080078
2017-08-14,95.96240234375
2017-08-15,95.97181701660156
2017-08-16,95.6795425415039
