,BX
2016-03-23,17.973770141601562
2016-03-24,17.633760452270508
2016-03-28,17.540430068969727
2016-03-29,18.387115478515625
2016-03-30,18.627126693725586
2016-03-31,18.700462341308594
2016-04-01,18.75379180908203
2016-04-04,18.267112731933594
2016-04-05,18.227113723754883
2016-04-06,18.393781661987305
2016-04-07,17.93377113342285
2016-04-08,17.78043556213379
2016-04-11,17.68709373474121
2016-04-12,18.11377716064453
2016-04-13,19.06046485900879
2016-04-14,19.340473175048828
2016-04-15,19.1871280670166
2016-04-18,19.353805541992188
2016-04-19,19.593809127807617
2016-04-20,19.627147674560547
2016-04-21,18.820457458496094
2016-04-22,18.96712875366211
2016-04-25,18.86046028137207
2016-04-26,19.113800048828125
2016-04-27,19.227136611938477
2016-04-28,18.702030181884766
2016-04-29,18.47313117980957
2016-05-02,18.60777473449707
2016-05-03,18.20384979248047
2016-05-04,17.900894165039062
2016-05-05,18.01534652709961
2016-05-06,17.96148681640625
2016-05-09,18.028810501098633
2016-05-10,18.143253326416016
2016-05-11,18.028810501098633
2016-05-12,17.739328384399414
2016-05-13,17.369049072265625
2016-05-16,17.456573486328125
2016-05-17,17.544086456298828
2016-05-18,17.025711059570312
2016-05-19,16.689098358154297
2016-05-20,17.133426666259766
2016-05-23,16.985315322875977
2016-05-24,17.624874114990234
2016-05-25,17.981685638427734
2016-05-26,17.840301513671875
2016-05-27,18.035541534423828
2016-05-31,17.631608963012695
2016-06-01,17.67873191833496
2016-06-02,17.692201614379883
2016-06-03,17.564287185668945
2016-06-06,17.974950790405273
2016-06-07,17.988414764404297
2016-06-08,18.123064041137695
2016-06-09,17.840301513671875
2016-06-10,17.550817489624023
2016-06-13,17.328659057617188
2016-06-14,16.864137649536133
2016-06-15,16.965120315551758
2016-06-16,16.77662467956543
2016-06-17,16.76988983154297
2016-06-20,17.160356521606445
2016-06-21,17.0459041595459
2016-06-22,16.94492530822754
2016-06-23,17.422914505004883
2016-06-24,16.473674774169922
2016-06-27,15.699468612670898
2016-06-28,16.063005447387695
2016-06-29,16.662174224853516
2016-06-30,16.520797729492188
2016-07-01,16.493871688842773
2016-07-05,15.65234375
2016-07-06,15.457109451293945
2016-07-07,15.760062217712402
2016-07-08,16.157258987426758
2016-07-11,16.224584579467773
2016-07-12,16.54099464416504
2016-07-13,16.695838928222656
2016-07-14,16.877605438232422
2016-07-15,16.83048439025879
2016-07-18,16.917991638183594
2016-07-19,17.032445907592773
2016-07-20,17.395986557006836
2016-07-21,18.062469482421875
2016-07-22,18.459667205810547
2016-07-25,18.63470458984375
2016-07-26,18.62796974182129
2016-07-27,18.513525009155273
2016-07-28,18.41119956970215
2016-07-29,18.308881759643555
2016-08-01,18.056486129760742
2016-08-02,17.70176887512207
2016-08-03,18.18608856201172
2016-08-04,18.165632247924805
2016-08-05,18.547630310058594
2016-08-08,18.8477783203125
2016-08-09,19.025135040283203
2016-08-10,18.984209060668945
2016-08-11,19.03195571899414
2016-08-12,18.827312469482422
2016-08-15,19.05924415588379
2016-08-16,19.011497497558594
2016-08-17,19.025135040283203
2016-08-18,19.318452835083008
2016-08-19,19.229785919189453
2016-08-22,19.236604690551758
2016-08-23,19.25706672668457
2016-08-24,19.209314346313477
2016-08-25,18.97739028930664
2016-08-26,18.71817398071289
2016-08-29,18.827312469482422
2016-08-30,18.81367301940918
2016-08-31,18.704526901245117
2016-09-01,18.370271682739258
2016-09-02,18.336162567138672
2016-09-06,18.213380813598633
2016-09-07,18.158811569213867
2016-09-08,18.274776458740234
2016-09-09,17.851839065551758
2016-09-12,17.954160690307617
2016-09-13,17.585800170898438
2016-09-14,17.45619773864746
2016-09-15,17.592628479003906
2016-09-16,17.572160720825195
2016-09-19,17.619901657104492
2016-09-20,17.708587646484375
2016-09-21,17.974626541137695
2016-09-22,17.769981384277344
2016-09-23,17.619901657104492
2016-09-26,17.367517471313477
2016-09-27,17.053730010986328
2016-09-28,17.13558578491211
2016-09-29,17.09465217590332
2016-09-30,17.415260314941406
2016-10-03,17.183330535888672
2016-10-04,17.115116119384766
2016-10-05,17.149229049682617
2016-10-06,16.910476684570312
2016-10-07,16.83544158935547
2016-10-10,16.821792602539062
2016-10-11,16.57621955871582
2016-10-12,16.480722427368164
2016-10-13,16.26243019104004
2016-10-14,16.153289794921875
2016-10-17,16.044143676757812
2016-10-18,16.10553741455078
2016-10-19,16.173757553100586
2016-10-20,16.11236000061035
2016-10-21,16.419326782226562
2016-10-24,16.910476684570312
2016-10-25,17.081010818481445
2016-10-26,17.312942504882812
2016-10-27,17.285655975341797
2016-10-28,17.394804000854492
2016-10-31,17.07419204711914
2016-11-01,16.99915313720703
2016-11-02,16.617151260375977
2016-11-03,16.540828704833984
2016-11-04,16.332685470581055
2016-11-07,16.554706573486328
2016-11-08,16.679594039916992
2016-11-09,16.43675994873047
2016-11-10,17.019569396972656
2016-11-11,16.79060935974121
2016-11-14,17.533002853393555
2016-11-15,17.97011375427246
2016-11-16,17.734209060668945
2016-11-17,17.97011375427246
2016-11-18,18.455787658691406
2016-11-21,18.282333374023438
2016-11-22,18.379472732543945
2016-11-23,18.06031036376953
2016-11-25,18.42109489440918
2016-11-28,17.907665252685547
2016-11-29,18.032556533813477
2016-11-30,17.859098434448242
2016-12-01,18.14356803894043
2016-12-02,17.942359924316406
2016-12-05,18.31702423095703
2016-12-06,18.42109489440918
2016-12-07,19.8226318359375
2016-12-08,20.682971954345703
2016-12-09,20.48176383972168
2016-12-12,20.322187423706055
2016-12-13,20.349937438964844
2016-12-14,20.19036102294922
2016-12-15,20.280555725097656
2016-12-16,20.100162506103516
2016-12-19,20.176481246948242
2016-12-20,20.058528900146484
2016-12-21,19.774063110351562
2016-12-22,19.420207977294922
2016-12-23,19.5242862701416
2016-12-27,19.246753692626953
2016-12-28,18.962284088134766
2016-12-29,18.837398529052734
2016-12-30,18.75413703918457
2017-01-03,19.510408401489258
2017-01-04,20.676036834716797
2017-01-05,21.106210708618164
2017-01-06,21.16865348815918
2017-01-09,21.140897750854492
2017-01-10,20.86336898803711
2017-01-11,20.96050262451172
2017-01-12,20.953567504882812
2017-01-13,20.877246856689453
2017-01-17,20.585840225219727
2017-01-18,20.523395538330078
2017-01-19,20.3360595703125
2017-01-20,20.523395538330078
2017-01-23,20.51645851135254
2017-01-24,21.029888153076172
2017-01-25,21.244970321655273
2017-01-26,21.65433120727539
2017-01-27,21.716777801513672
2017-01-30,21.522502899169922
2017-01-31,21.251911163330078
2017-02-01,21.6196346282959
2017-02-02,21.690086364746094
2017-02-03,21.654861450195312
2017-02-06,21.57032585144043
2017-02-07,21.521015167236328
2017-02-08,21.506929397583008
2017-02-09,21.25332260131836
2017-02-10,21.380126953125
2017-02-13,21.450572967529297
2017-02-14,21.450572967529297
2017-02-15,21.795757293701172
2017-02-16,21.41535186767578
2017-02-17,21.28854751586914
2017-02-21,21.521015167236328
2017-02-22,21.358993530273438
2017-02-23,21.013811111450195
2017-02-24,20.809518814086914
2017-02-27,20.985633850097656
2017-02-28,20.809518814086914
2017-03-01,21.13356590270996
2017-03-02,20.90814208984375
2017-03-03,20.894054412841797
2017-03-06,20.79543113708496
2017-03-07,20.7038516998291
2017-03-08,20.499563217163086
2017-03-09,20.16142463684082
2017-03-10,20.38684844970703
2017-03-13,21.380126953125
2017-03-14,21.30263900756836
2017-03-15,21.492843627929688
2017-03-16,21.556241989135742
2017-03-17,21.549196243286133
2017-03-20,21.506929397583008
2017-03-21,21.14061164855957
2017-03-22,21.119476318359375
2017-03-23,21.056076049804688
2017-03-24,20.90814208984375
2017-03-27,20.844743728637695
2017-03-28,20.86587905883789
2017-03-29,20.647491455078125
2017-03-30,20.915185928344727
2017-03-31,20.922237396240234
2017-04-03,20.809518814086914
2017-04-04,20.87996482849121
2017-04-05,20.760208129882812
2017-04-06,20.96450424194336
2017-04-07,20.7038516998291
2017-04-10,20.739076614379883
2017-04-11,20.598182678222656
2017-04-12,20.612274169921875
2017-04-13,20.330493927001953
2017-04-17,20.6052303314209
2017-04-18,20.851787567138672
2017-04-19,21.17583656311035
2017-04-20,21.28854751586914
2017-04-21,21.330820083618164
2017-04-24,21.43648338317871
2017-04-25,21.760534286499023
2017-04-26,22.02822494506836
2017-04-27,22.44125747680664
2017-04-28,22.34705352783203
2017-05-01,22.34705352783203
2017-05-02,22.28183937072754
2017-05-03,22.310823440551758
2017-05-04,21.926774978637695
2017-05-05,21.941272735595703
2017-05-08,21.825334548950195
2017-05-09,21.731136322021484
2017-05-10,21.752872467041016
2017-05-11,21.738380432128906
2017-05-12,21.673158645629883
2017-05-15,21.81808853149414
2017-05-16,21.890541076660156
2017-05-17,21.245643615722656
2017-05-18,21.216663360595703
2017-05-19,21.644176483154297
2017-05-22,23.100648880004883
2017-05-23,23.528167724609375
2017-05-24,23.57164764404297
2017-05-25,23.528167724609375
2017-05-26,23.607877731323242
2017-05-30,23.810771942138672
2017-05-31,23.825260162353516
2017-06-01,24.238290786743164
2017-06-02,24.41219711303711
2017-06-05,24.144092559814453
2017-06-06,23.991920471191406
2017-06-07,24.12235450744629
2017-06-08,24.12235450744629
2017-06-09,24.180322647094727
2017-06-12,23.644105911254883
2017-06-13,23.86149787902832
2017-06-14,23.745553970336914
2017-06-15,23.578893661499023
2017-06-16,23.665849685668945
2017-06-19,23.96293830871582
2017-06-20,23.868736267089844
2017-06-21,23.88322639465332
2017-06-22,23.955690383911133
2017-06-23,24.01365852355957
2017-06-26,24.02090835571289
2017-06-27,23.875988006591797
2017-06-28,24.158586502075195
2017-06-29,24.107868194580078
2017-06-30,24.165830612182617
2017-07-03,23.99916648864746
2017-07-05,23.933956146240234
2017-07-06,23.825260162353516
2017-07-07,23.90497398376465
2017-07-10,24.129602432250977
2017-07-11,24.296262741088867
2017-07-12,24.397706985473633
2017-07-13,24.54262924194336
2017-07-14,24.955659866333008
2017-07-17,25.035369873046875
2017-07-18,25.006380081176758
2017-07-19,25.202028274536133
2017-07-20,24.839717864990234
2017-07-21,24.941164016723633
2017-07-24,24.890443801879883
2017-07-25,25.035369873046875
2017-07-26,24.991897583007812
2017-07-27,24.859386444091797
2017-07-28,24.68271255493164
2017-07-31,24.623821258544922
2017-08-01,24.660627365112305
2017-08-02,24.447147369384766
2017-08-03,24.425065994262695
2017-08-04,24.866744995117188
2017-08-07,24.918270111083984
2017-08-08,24.874107360839844
2017-08-09,24.587013244628906
2017-08-10,23.77725601196289
2017-08-11,23.519615173339844
2017-08-14,23.872961044311523
2017-08-15,23.747814178466797
2017-08-16,23.681560516357422
2017-08-17,23.26197052001953
2017-08-18,23.203073501586914
2017-08-21,23.085289001464844
2017-08-22,23.37974739074707
2017-08-23,23.409194946289062
2017-08-24,23.276691436767578
2017-08-25,23.23987579345703
2017-08-28,23.519615173339844
2017-08-29,23.512250900268555
2017-08-30,23.946575164794922
2017-08-31,24.09379768371582
2017-09-01,24.07907485961914
2017-09-05,23.585866928100586
2017-09-06,23.563783645629883
2017-09-07,23.276691436767578
2017-09-08,23.269323348999023
2017-09-11,23.666839599609375
2017-09-12,23.703649520874023
2017-09-13,23.578500747680664
2017-09-14,23.6226749420166
2017-09-15,23.7699031829834
2017-09-18,23.799346923828125
2017-09-19,23.85823631286621
2017-09-20,24.0128231048584
2017-09-21,24.07907485961914
2017-09-22,24.417699813842773
2017-09-25,24.388259887695312
2017-09-26,24.167417526245117
2017-09-27,24.24103355407715
2017-09-28,24.53548240661621
2017-09-29,24.56492805480957
2017-10-02,24.292560577392578
2017-10-03,24.461864471435547
2017-10-04,24.70479965209961
2017-10-05,24.74896240234375
2017-10-06,24.616456985473633
2017-10-09,24.48395538330078
2017-10-10,24.351451873779297
2017-10-11,24.432418823242188
2017-10-12,24.292560577392578
2017-10-13,24.24103355407715
2017-10-16,24.48395538330078
2017-10-17,24.454509735107422
2017-10-18,24.65326499938965
2017-10-19,25.036056518554688
2017-10-20,25.367313385009766
2017-10-23,25.558712005615234
2017-10-24,25.4630184173584
2017-10-25,25.153837203979492
2017-10-26,24.859386444091797
2017-10-27,24.986183166503906
2017-10-30,24.65054702758789
2017-10-31,24.829551696777344
2017-11-01,24.531208038330078
2017-11-02,24.247779846191406
2017-11-03,24.531208038330078
2017-11-06,24.63562774658203
2017-11-07,24.643085479736328
2017-11-08,24.352201461791992
2017-11-09,24.18811798095703
2017-11-10,23.964357376098633
2017-11-13,23.688386917114258
2017-11-14,23.27071189880371
2017-11-15,23.06186866760254
2017-11-16,23.546676635742188
2017-11-17,23.703306198120117
2017-11-20,23.740602493286133
2017-11-21,23.777889251708984
2017-11-22,23.755516052246094
2017-11-24,23.621261596679688
2017-11-27,23.352752685546875
2017-11-28,23.487016677856445
2017-11-29,23.5168399810791
2017-11-30,23.658559799194336
2017-12-01,23.554134368896484
2017-12-04,23.94944190979004
2017-12-05,23.971820831298828
2017-12-06,23.688386917114258
2017-12-07,23.815183639526367
2017-12-08,24.009111404418945
2017-12-11,23.994190216064453
2017-12-12,23.904691696166992
2017-12-13,23.85993766784668
2017-12-14,23.658559799194336
2017-12-15,23.42734146118164
2017-12-18,23.718223571777344
2017-12-19,23.643644332885742
2017-12-20,23.85993766784668
2017-12-21,24.53866958618164
2017-12-22,24.434246063232422
2017-12-26,24.1135311126709
2017-12-27,24.247779846191406
2017-12-28,24.068775177001953
2017-12-29,23.882312774658203
2018-01-02,24.255239486694336
2018-01-03,24.613252639770508
2018-01-04,24.807178497314453
2018-01-05,24.620712280273438
2018-01-08,24.82208824157715
2018-01-09,25.165189743041992
2018-01-10,25.493364334106445
2018-01-11,25.754413604736328
2018-01-12,26.39584732055664
2018-01-16,26.119888305664062
2018-01-17,26.07512664794922
2018-01-18,26.0378360748291
2018-01-19,25.881210327148438
2018-01-22,26.104961395263672
2018-01-23,26.72402572631836
2018-01-24,26.910484313964844
2018-01-25,27.111867904663086
2018-01-26,27.432580947875977
2018-01-29,27.26850128173828
2018-01-30,26.94777488708496
2018-01-31,27.26103973388672
2018-02-01,27.111867904663086
2018-02-02,26.32872200012207
2018-02-05,25.53811264038086
