,OTIS
2022-03-03,76.16134643554688
2022-03-04,74.98786926269531
2022-03-07,71.46739959716797
2022-03-08,70.69789123535156
2022-03-09,72.39080047607422
2022-03-10,70.98644256591797
2022-03-11,69.63983154296875
2022-03-14,69.23584747314453
2022-03-15,70.8421630859375
2022-03-16,72.62165069580078
2022-03-17,73.47772216796875
2022-03-18,75.0071029663086
2022-03-21,74.38187408447266
2022-03-22,74.57424926757812
2022-03-23,73.52581787109375
2022-03-24,74.46844482421875
2022-03-25,74.29530334472656
2022-03-28,75.03594207763672
2022-03-29,75.65155029296875
2022-03-30,74.7858657836914
2022-03-31,74.016357421875
2022-04-01,73.37190246582031
2022-04-04,73.71818542480469
2022-04-05,72.28499603271484
2022-04-06,73.32381439208984
2022-04-07,74.5838851928711
2022-04-08,74.29530334472656
2022-04-11,73.45848846435547
2022-04-12,72.99677276611328
2022-04-13,72.94868469238281
2022-04-14,71.9002456665039
2022-04-18,70.81331634521484
2022-04-19,72.4966049194336
2022-04-20,72.64087677001953
2022-04-21,72.34270477294922
2022-04-22,70.62094116210938
2022-04-25,71.75594329833984
2022-04-26,69.6109848022461
2022-04-27,70.76522064208984
2022-04-28,73.16990661621094
2022-04-29,70.06305694580078
2022-05-02,70.16885375976562
2022-05-03,70.52474975585938
2022-05-04,73.67971801757812
2022-05-05,71.83290100097656
2022-05-06,71.73672485351562
2022-05-09,70.51512908935547
2022-05-10,69.99571990966797
2022-05-11,70.12075805664062
2022-05-12,70.21696472167969
2022-05-13,72.24652099609375
2022-05-16,71.50587463378906
2022-05-17,72.58317565917969
2022-05-18,69.45706939697266
2022-05-19,70.10411834716797
2022-05-20,70.92500305175781
2022-05-23,71.34029388427734
2022-05-24,72.90482330322266
2022-05-25,71.0119400024414
2022-05-26,72.50885009765625
2022-05-27,73.68708038330078
2022-05-31,71.85213470458984
2022-06-01,71.4368667602539
2022-06-02,72.66336822509766
2022-06-03,72.61508178710938
2022-06-06,72.62474060058594
2022-06-07,73.87056732177734
2022-06-08,73.7257080078125
2022-06-09,73.39735412597656
2022-06-10,70.7801513671875
2022-06-13,68.6651611328125
2022-06-14,66.8398666381836
2022-06-15,67.37104034423828
2022-06-16,65.6230239868164
2022-06-17,65.555419921875
2022-06-21,67.47728729248047
2022-06-22,66.40528869628906
2022-06-23,66.24109649658203
2022-06-24,68.43336486816406
2022-06-27,67.52556610107422
2022-06-28,67.40001678466797
2022-06-29,67.39034271240234
2022-06-30,68.2498779296875
2022-07-01,69.43775939941406
2022-07-05,68.92591094970703
2022-07-06,68.81967163085938
2022-07-07,67.68973541259766
2022-07-08,67.49658966064453
2022-07-11,66.6370620727539
2022-07-12,66.48253631591797
2022-07-13,66.0576171875
2022-07-14,66.62740325927734
2022-07-15,67.12960052490234
2022-07-18,66.59843444824219
2022-07-19,69.37981414794922
2022-07-20,70.181396484375
2022-07-21,70.4518051147461
2022-07-22,69.43775939941406
2022-07-25,69.91097259521484
2022-07-26,70.22968292236328
2022-07-27,73.82229614257812
2022-07-28,74.2182388305664
2022-07-29,75.49303436279297
2022-08-01,75.5992660522461
2022-08-02,74.80734252929688
2022-08-03,76.51673126220703
2022-08-04,76.7774887084961
2022-08-05,76.60365295410156
2022-08-08,76.56501770019531
2022-08-09,76.15940856933594
2022-08-10,77.16380310058594
2022-08-11,77.8398208618164
2022-08-12,78.950439453125
2022-08-15,78.75729370117188
2022-08-16,78.53516387939453
2022-08-17,77.82050323486328
2022-08-18,77.93682098388672
2022-08-19,76.96758270263672
2022-08-22,74.9515609741211
2022-08-23,74.53478240966797
2022-08-24,74.99031829833984
2022-08-25,75.77540588378906
2022-08-26,72.91614532470703
2022-08-29,71.79182434082031
2022-08-30,70.61902618408203
2022-08-31,69.99872589111328
2022-09-01,70.48334503173828
2022-09-02,69.51409912109375
2022-09-06,69.86302185058594
2022-09-07,71.1521224975586
2022-09-08,70.66749572753906
2022-09-09,71.14242553710938
2022-09-12,71.5301284790039
2022-09-13,68.93254852294922
2022-09-14,67.70160675048828
2022-09-15,66.80990600585938
2022-09-16,65.71466827392578
2022-09-19,66.15082550048828
2022-09-20,65.54019927978516
2022-09-21,64.96834564208984
2022-09-22,63.43694686889648
2022-09-23,63.75678634643555
2022-09-26,63.35940933227539
2022-09-27,63.12678527832031
2022-09-28,63.747093200683594
2022-09-29,62.51616668701172
2022-09-30,61.83769226074219
2022-10-03,63.42726135253906
2022-10-04,64.98773193359375
2022-10-05,65.35604095458984
2022-10-06,64.74542236328125
2022-10-07,63.2527961730957
2022-10-10,63.01048278808594
2022-10-11,62.75848007202149
2022-10-12,62.59370422363281
2022-10-13,63.01048278808594
2022-10-14,62.14785385131836
2022-10-17,63.35940933227539
2022-10-18,64.65819549560547
2022-10-19,64.24141693115234
2022-10-20,62.75848007202149
2022-10-21,64.73573303222656
2022-10-24,65.01681518554688
2022-10-25,66.73236083984375
2022-10-26,66.23806762695312
2022-10-27,67.85668182373047
2022-10-28,69.48502349853516
2022-10-31,68.46731567382812
2022-11-01,69.31056213378906
2022-11-02,68.05054473876953
2022-11-03,68.05054473876953
2022-11-04,70.96796417236328
2022-11-07,71.47195434570312
2022-11-08,70.90980529785156
2022-11-09,70.37671661376953
2022-11-10,73.2747573852539
2022-11-11,74.99031829833984
2022-11-14,75.37800598144531
2022-11-15,76.28910064697266
2022-11-16,75.98863220214844
2022-11-17,75.24927520751953
2022-11-18,75.64815521240234
2022-11-21,76.06646728515625
2022-11-22,76.12483215332031
2022-11-23,75.9789047241211
2022-11-25,76.53343200683594
2022-11-28,74.2667007446289
2022-11-29,74.79204559326172
2022-11-30,75.96918487548828
2022-12-01,76.6890869140625
2022-12-02,77.58409118652344
2022-12-05,76.3486099243164
2022-12-06,77.03931427001953
2022-12-07,76.8544692993164
2022-12-08,77.5743637084961
2022-12-09,76.32913970947266
2022-12-12,78.35264587402344
2022-12-13,78.75151824951172
2022-12-14,78.07051086425781
2022-12-15,76.67935180664062
2022-12-16,76.46533203125
2022-12-19,75.75516510009766
2022-12-20,75.80378723144531
2022-12-21,76.88365173339844
2022-12-22,76.01782989501953
2022-12-23,76.23184967041016
2022-12-27,76.37777709960938
2022-12-28,75.29792022705078
2022-12-29,76.92256164550781
2022-12-30,76.18319702148438
2023-01-03,76.9712142944336
2023-01-04,78.57640075683594
2023-01-05,77.95376586914062
2023-01-06,79.62705993652344
2023-01-09,79.25739288330078
2023-01-10,79.45195007324219
