,LVS
2016-05-20,35.84873580932617
2016-05-23,35.896549224853516
2016-05-24,36.29495620727539
2016-05-25,36.89256286621094
2016-05-26,36.19136428833008
2016-05-27,36.80491638183594
2016-05-31,36.84475326538086
2016-06-01,36.940372467041016
2016-06-02,37.267066955566406
2016-06-03,37.25114440917969
2016-06-06,37.13957595825195
2016-06-07,37.75312423706055
2016-06-08,37.92842483520508
2016-06-09,37.66547393798828
2016-06-10,36.852725982666016
2016-06-13,36.6614875793457
2016-06-14,37.37065124511719
2016-06-15,37.41846466064453
2016-06-16,37.03599166870117
2016-06-17,37.41846466064453
2016-06-20,35.856666564941406
2016-06-21,36.56877517700195
2016-06-22,36.358375549316406
2016-06-23,37.35373306274414
2016-06-24,35.04745101928711
2016-06-27,33.84170150756836
2016-06-28,34.383888244628906
2016-06-29,35.306396484375
2016-06-30,35.19309997558594
2016-07-01,35.37112045288086
2016-07-05,34.634742736816406
2016-07-06,35.28211975097656
2016-07-07,35.2497444152832
2016-07-08,35.71101379394531
2016-07-11,37.159515380859375
2016-07-12,37.65313720703125
2016-07-13,37.086692810058594
2016-07-14,37.23234176635742
2016-07-15,37.36989974975586
2016-07-18,37.98491668701172
2016-07-19,37.4993782043457
2016-07-20,38.0010986328125
2016-07-21,37.79880142211914
2016-07-22,38.29242706298828
2016-07-25,38.68085861206055
2016-07-26,40.96285629272461
2016-07-27,40.61488723754883
2016-07-28,41.08424758911133
2016-07-29,40.98713684082031
2016-08-01,40.655357360839844
2016-08-02,40.28310775756836
2016-08-03,40.43686294555664
2016-08-04,40.61488723754883
2016-08-05,40.35594177246094
2016-08-08,41.23798370361328
2016-08-09,41.95011520385742
2016-08-10,41.85300827026367
2016-08-11,42.14433288574219
2016-08-12,41.917747497558594
2016-08-15,42.53275680541992
2016-08-16,42.370906829833984
2016-08-17,42.476104736328125
2016-08-18,42.17669677734375
2016-08-19,42.24951934814453
2016-08-22,42.5489387512207
2016-08-23,42.25761795043945
2016-08-24,40.75246810913086
