,ECL
2017-02-06,109.77023315429688
2017-02-07,110.27462005615234
2017-02-08,110.3571548461914
2017-02-09,110.60476684570312
2017-02-10,111.14579772949219
2017-02-13,111.65934753417969
2017-02-14,112.64974975585938
2017-02-15,113.1633071899414
2017-02-16,113.05325317382812
2017-02-17,113.66768646240234
2017-02-21,113.74105834960938
2017-02-22,112.88819122314453
2017-02-23,112.57640075683594
2017-02-24,115.08909606933594
2017-02-27,113.56683349609375
2017-02-28,113.68604278564453
2017-03-01,115.42842864990234
2017-03-02,114.7131118774414
2017-03-03,114.8598403930664
2017-03-06,114.68560028076172
2017-03-07,114.37378692626953
2017-03-08,114.17203521728516
2017-03-09,113.42926788330078
2017-03-10,113.94278717041016
2017-03-13,114.41967010498047
2017-03-14,113.42012023925781
2017-03-15,114.96988677978516
2017-03-16,114.80480194091797
2017-03-17,115.34749603271484
2017-03-20,115.0899658203125
2017-03-21,114.23458099365234
2017-03-22,114.27135467529297
2017-03-23,114.21617889404297
2017-03-24,113.89425659179688
2017-03-27,114.15177154541016
2017-03-28,114.85082244873047
2017-03-29,114.7680435180664
2017-03-30,115.28311157226562
2017-03-31,115.28311157226562
2017-04-03,115.77977752685547
2017-04-04,115.02556610107422
2017-04-05,114.81403350830078
2017-04-06,115.16353607177734
2017-04-07,115.2003173828125
2017-04-10,115.77057647705078
2017-04-11,115.57740783691406
2017-04-12,114.93358612060547
2017-04-13,114.48290252685547
2017-04-17,115.35668182373047
2017-04-18,115.2555160522461
2017-04-19,115.62339782714844
2017-04-20,116.21206665039062
2017-04-21,116.07410430908203
2017-04-24,117.0858154296875
2017-04-25,117.9596176147461
2017-04-26,118.46548461914062
2017-04-27,118.98974609375
2017-04-28,118.7322006225586
2017-05-01,118.87937927246094
2017-05-02,115.20951843261719
2017-05-03,115.49467468261719
2017-05-04,116.09247589111328
2017-05-05,116.32242584228516
2017-05-08,115.8441162109375
2017-05-09,115.53144073486328
2017-05-10,116.49720001220703
2017-05-11,116.56157684326172
2017-05-12,116.35922241210938
2017-05-15,117.05824279785156
2017-05-16,117.15943145751953
2017-05-17,116.24885559082031
2017-05-18,116.57077026367188
2017-05-19,116.89269256591797
2017-05-22,117.56410217285156
2017-05-23,117.77568054199219
2017-05-24,118.93456268310547
2017-05-25,119.85429382324219
2017-05-26,120.76488494873047
2017-05-30,121.00406646728516
2017-05-31,122.18135070800781
2017-06-01,123.04595184326172
2017-06-02,123.5517578125
2017-06-05,122.93550872802734
2017-06-06,122.65037536621094
2017-06-07,122.80677032470703
2017-06-08,122.08013916015625
2017-06-09,123.07349395751953
2017-06-12,122.49402618408203
2017-06-13,123.698974609375
2017-06-14,123.13790893554688
2017-06-15,123.11026000976562
2017-06-16,123.84811401367188
2017-06-19,124.15245819091797
2017-06-20,123.69135284423828
2017-06-21,121.87439727783203
2017-06-22,121.45012664794922
2017-06-23,121.43170928955078
2017-06-26,121.76370239257812
2017-06-27,121.54232788085938
2017-06-28,122.57535552978516
2017-06-29,121.23798370361328
2017-06-30,122.4369888305664
2017-07-03,122.61222076416016
2017-07-05,122.91658782958984
2017-07-06,121.91127014160156
2017-07-07,122.31707763671875
2017-07-10,121.79136657714844
2017-07-11,121.64380645751953
2017-07-12,122.70442199707031
2017-07-13,121.80060577392578
2017-07-14,122.4093017578125
2017-07-17,121.90200805664062
2017-07-18,122.16029357910156
2017-07-19,122.71367645263672
2017-07-20,122.16029357910156
2017-07-21,122.71367645263672
2017-07-24,121.78214263916016
2017-07-25,122.57535552978516
2017-07-26,122.16029357910156
2017-07-27,121.57923126220703
2017-07-28,121.67147064208984
2017-07-31,121.4408950805664
2017-08-01,121.21958923339844
2017-08-02,122.57535552978516
2017-08-03,122.31707763671875
2017-08-04,122.57535552978516
2017-08-07,121.69914245605469
2017-08-08,121.0443344116211
2017-08-09,122.0772933959961
2017-08-10,120.11277770996094
2017-08-11,119.72540283203125
2017-08-14,121.24722290039062
2017-08-15,120.96129608154297
2017-08-16,122.12338256835938
2017-08-17,120.11277770996094
2017-08-18,120.0020980834961
2017-08-21,120.26953887939453
2017-08-22,121.26566314697266
2017-08-23,120.62006378173828
2017-08-24,120.20500183105469
2017-08-25,120.85986328125
2017-08-28,121.24722290039062
2017-08-29,120.7030258178711
2017-08-30,120.80449676513672
2017-08-31,122.94429779052734
