,CRM
2016-08-31,79.06898498535156
2016-09-01,75.57450103759766
2016-09-02,74.76807403564453
2016-09-06,75.08666229248047
2016-09-07,74.67848205566406
2016-09-08,74.5490493774414
2016-09-09,73.8720474243164
2016-09-12,74.0313491821289
2016-09-13,72.7370834350586
2016-09-14,73.49373626708984
2016-09-15,73.66297912597656
2016-09-16,72.96607971191406
2016-09-19,72.6773681640625
2016-09-20,72.58776092529297
2016-09-21,73.85214233398438
2016-09-22,74.26033020019531
2016-09-23,70.07888793945312
2016-09-26,69.87977600097656
2016-09-27,69.74040222167969
2016-09-28,71.30345916748047
2016-09-29,70.88531494140625
2016-09-30,71.01473999023438
2016-10-03,70.20832061767578
2016-10-04,72.30899810791016
2016-10-05,68.11759948730469
2016-10-06,70.9450454711914
2016-10-07,70.59660339355469
2016-10-10,74.76807403564453
2016-10-11,72.09992218017578
2016-10-12,71.9107666015625
2016-10-13,70.31783294677734
2016-10-14,73.94174194335938
2016-10-17,72.50811767578125
2016-10-18,72.44837188720703
2016-10-19,72.49815368652344
2016-10-20,72.26917266845703
2016-10-21,73.67294311523438
2016-10-24,74.7282485961914
2016-10-25,74.7282485961914
2016-10-26,74.61873626708984
2016-10-27,74.40966796875
2016-10-28,74.79793548583984
2016-10-31,74.82781219482422
2016-11-01,75.11653137207031
2016-11-02,74.66852569580078
2016-11-03,73.81232452392578
2016-11-04,74.04130554199219
2016-11-07,75.96277618408203
2016-11-08,76.211669921875
2016-11-09,75.5645523071289
2016-11-10,73.30457305908203
2016-11-11,74.26033020019531
2016-11-14,72.43842315673828
2016-11-15,73.6928482055664
2016-11-16,72.9859848022461
2016-11-17,74.85768127441406
2016-11-18,77.42627716064453
2016-11-21,75.81343841552734
2016-11-22,75.23600006103516
2016-11-23,73.62315368652344
2016-11-25,73.40413665771484
2016-11-28,72.60767364501953
2016-11-29,72.60767364501953
2016-11-30,71.6817855834961
2016-12-01,68.15742492675781
2016-12-02,68.1076431274414
2016-12-05,70.4870834350586
2016-12-06,70.3078842163086
2016-12-07,71.46275329589844
2016-12-08,71.54239654541016
2016-12-09,70.8554458618164
2016-12-12,70.0689468383789
2016-12-13,71.29350280761719
2016-12-14,71.01473999023438
2016-12-15,69.91960144042969
2016-12-16,69.55123138427734
2016-12-19,69.20278930664062
2016-12-20,69.55123138427734
2016-12-21,69.80013275146484
2016-12-22,69.591064453125
2016-12-23,69.56119537353516
2016-12-27,69.54127502441406
2016-12-28,68.78463745117188
2016-12-29,68.8443832397461
2016-12-30,68.15742492675781
2017-01-03,70.22823333740234
2017-01-04,72.4782485961914
2017-01-05,72.4682846069336
2017-01-06,73.47383117675781
2017-01-09,73.63311004638672
2017-01-10,73.65303039550781
2017-01-11,75.43511199951172
2017-01-12,74.87759399414062
2017-01-13,75.3056869506836
2017-01-17,74.68843078613281
2017-01-18,75.445068359375
2017-01-19,75.23600006103516
2017-01-20,75.69396209716797
2017-01-23,75.82339477539062
2017-01-24,76.76919555664062
2017-01-25,78.12318420410156
2017-01-26,77.60547637939453
2017-01-27,77.86433410644531
2017-01-30,78.36212158203125
2017-01-31,78.75039672851562
2017-02-01,78.23269653320312
2017-02-02,79.77584075927734
2017-02-03,79.85549926757812
2017-02-06,79.39752197265625
2017-02-07,79.85549926757812
2017-02-08,80.34332275390625
2017-02-09,80.671875
2017-02-10,80.2835922241211
2017-02-13,80.55239868164062
2017-02-14,80.56234741210938
2017-02-15,81.30904388427734
2017-02-16,80.46279907226562
2017-02-17,81.10992431640625
2017-02-21,81.81678771972656
2017-02-22,81.71723175048828
2017-02-23,81.707275390625
2017-02-24,81.41854858398438
2017-02-27,81.17961120605469
2017-02-28,80.9904556274414
2017-03-01,83.4395751953125
2017-03-02,82.30461883544922
2017-03-03,81.85661315917969
2017-03-06,82.1353759765625
2017-03-07,82.6032943725586
2017-03-08,83.11104583740234
2017-03-09,82.91192626953125
2017-03-10,83.14090728759766
2017-03-13,83.24046325683594
2017-03-14,83.14090728759766
2017-03-15,83.11104583740234
2017-03-16,83.15086364746094
2017-03-17,82.66303253173828
2017-03-20,82.53360748291016
2017-03-21,81.1895751953125
2017-03-22,81.51811218261719
2017-03-23,81.15969848632812
2017-03-24,81.24930572509766
2017-03-27,81.24930572509766
2017-03-28,81.77696228027344
2017-03-29,82.01589965820312
2017-03-30,82.19510650634766
2017-03-31,82.12541961669922
2017-04-03,81.94620513916016
2017-04-04,82.6032943725586
2017-04-05,84.96282196044922
2017-04-06,84.62432098388672
2017-04-07,84.0070571899414
2017-04-10,83.86768341064453
2017-04-11,83.48936462402344
2017-04-12,83.00152587890625
2017-04-13,82.76258087158203
2017-04-17,83.82785034179688
2017-04-18,83.34002685546875
2017-04-19,83.13095092773438
2017-04-20,83.67852020263672
2017-04-21,83.41967010498047
2017-04-24,83.79798889160156
