,DAL
2022-11-25,34.556705474853516
2022-11-28,33.345741271972656
2022-11-29,34.07429122924805
2022-11-30,34.82252883911133
2022-12-01,34.83237075805664
2022-12-02,35.157264709472656
2022-12-05,35.236026763916016
2022-12-06,35.354164123535156
2022-12-07,33.79862594604492
2022-12-08,33.01100540161133
2022-12-09,33.276824951171875
2022-12-12,34.23181915283203
2022-12-13,32.86333084106445
2022-12-14,33.778934478759766
2022-12-15,32.735347747802734
2022-12-16,32.59750747680664
2022-12-19,32.41044998168945
2022-12-20,32.39076232910156
2022-12-21,33.14883804321289
2022-12-22,32.41044998168945
2022-12-23,32.646732330322266
2022-12-27,32.39076232910156
2022-12-28,31.494844436645508
2022-12-29,32.223392486572266
2022-12-30,32.35137939453125
2023-01-03,32.10524368286133
2023-01-04,33.857696533203125
2023-01-05,34.684696197509766
2023-01-06,35.47230911254883
2023-01-09,36.20085525512695
2023-01-10,37.500423431396484
2023-01-11,37.58903503417969
2023-01-12,38.98705291748047
2023-01-13,37.60873031616211
2023-01-17,37.667789459228516
2023-01-18,37.78593444824219
2023-01-19,37.75640106201172
2023-01-20,38.425880432128906
2023-01-23,38.475101470947266
2023-01-24,38.199432373046875
2023-01-25,38.77045822143555
2023-01-26,38.612937927246094
2023-01-27,38.13051986694336
2023-01-30,37.80562973022461
2023-01-31,38.494789123535156
2023-02-01,39.27256393432617
2023-02-02,39.282413482666016
2023-02-03,38.96736526489258
2023-02-06,39.026432037353516
2023-02-07,38.97720718383789
2023-02-08,38.82952880859375
2023-02-09,38.40618133544922
2023-02-10,37.579185485839844
2023-02-13,38.002532958984375
2023-02-14,38.494789123535156
2023-02-15,38.4160270690918
2023-02-16,37.68748474121094
2023-02-17,37.7662467956543
2023-02-21,36.52574157714844
2023-02-22,36.4371452331543
2023-02-23,36.949092864990234
2023-02-24,36.78172302246094
2023-02-27,37.254302978515625
2023-02-28,37.74655532836914
2023-03-01,37.91392517089844
2023-03-02,37.825313568115234
2023-03-03,38.248661041259766
2023-03-06,37.86469650268555
2023-03-07,38.46525573730469
2023-03-08,39.11503982543945
2023-03-09,37.89423370361328
2023-03-10,36.67342758178711
2023-03-13,35.12773132324219
2023-03-14,34.92097854614258
2023-03-15,32.71565246582031
2023-03-16,33.1882209777832
2023-03-17,32.449825286865234
2023-03-20,32.627037048339844
2023-03-21,33.36543655395508
2023-03-22,32.26276779174805
2023-03-23,31.64252281188965
2023-03-24,31.101036071777344
2023-03-27,31.63267707824707
2023-03-28,31.9674129486084
2023-03-29,32.804256439208984
2023-03-30,33.58203125
