,LYB
2017-11-06,71.38127136230469
2017-11-07,70.99920654296875
2017-11-08,70.95897674560547
2017-11-09,69.83958435058594
2017-11-10,69.88650512695312
2017-11-13,69.83958435058594
2017-11-14,69.53792572021484
2017-11-15,68.70674133300781
2017-11-16,69.17597198486328
2017-11-17,69.6451644897461
2017-11-20,69.89320373535156
2017-11-21,69.5915756225586
2017-11-22,69.32344055175781
2017-11-24,69.94010925292969
2017-11-27,69.9669418334961
2017-11-28,70.3423080444336
2017-11-29,70.38922119140625
2017-11-30,70.18142700195312
2017-12-01,69.77925109863281
2017-12-04,70.19168853759766
2017-12-05,70.71234130859375
2017-12-06,70.7867202758789
2017-12-07,72.01731872558594
2017-12-08,72.44328308105469
2017-12-11,72.69346618652344
2017-12-12,72.34186553955078
2017-12-13,72.68671417236328
2017-12-14,71.28707885742188
2017-12-15,71.6927719116211
2017-12-18,74.07958984375
2017-12-19,73.6671371459961
2017-12-20,74.32301330566406
2017-12-21,74.5664291381836
2017-12-22,74.36358642578125
2017-12-26,74.32978057861328
2017-12-27,74.39738464355469
2017-12-28,75.16144561767578
2017-12-29,74.5934829711914
2018-01-02,75.88493347167969
2018-01-03,75.90522003173828
2018-01-04,76.27034759521484
2018-01-05,77.33192443847656
2018-01-08,77.15611267089844
2018-01-09,77.85930633544922
2018-01-10,77.77816772460938
2018-01-11,79.58349609375
2018-01-12,79.56997680664062
2018-01-16,78.3596420288086
2018-01-17,79.02906036376953
2018-01-18,79.03582000732422
2018-01-19,81.0845718383789
2018-01-22,80.42192840576172
2018-01-23,80.07707977294922
2018-01-24,80.42192840576172
2018-01-25,81.6390151977539
2018-01-26,82.14613342285156
2018-01-29,81.75397491455078
2018-01-30,80.36106872558594
2018-01-31,81.03048706054688
2018-02-01,79.48883819580078
2018-02-02,75.84435272216797
2018-02-05,73.5454330444336
2018-02-06,76.96002197265625
2018-02-07,74.55966186523438
2018-02-08,71.53047943115234
2018-02-09,72.34186553955078
2018-02-12,74.17425537109375
2018-02-13,74.13370513916016
2018-02-14,75.72943115234375
2018-02-15,74.35682678222656
2018-02-16,73.437255859375
2018-02-20,73.42371368408203
2018-02-21,73.7618179321289
2018-02-22,74.93831634521484
2018-02-23,75.45894622802734
2018-02-26,74.72193145751953
2018-02-27,74.14720153808594
2018-02-28,73.17353820800781
2018-03-01,73.1126937866211
2018-03-02,73.16729736328125
2018-03-05,74.16370391845703
2018-03-06,74.89392852783203
2018-03-07,74.64825439453125
2018-03-08,74.64142608642578
2018-03-09,76.62739562988281
2018-03-12,75.84938049316406
2018-03-13,75.30340576171875
2018-03-14,74.2182846069336
2018-03-15,73.34474182128906
2018-03-16,73.14683532714844
2018-03-19,72.86700439453125
2018-03-20,73.34474182128906
2018-03-21,75.89717102050781
2018-03-22,72.75099182128906
2018-03-23,71.35193634033203
2018-03-26,71.72047424316406
2018-03-27,71.07210540771484
2018-03-28,70.39647674560547
2018-03-29,72.12310028076172
2018-04-02,70.7786636352539
2018-04-03,71.07210540771484
2018-04-04,70.10986328125
2018-04-05,71.55667114257812
2018-04-06,68.78585815429688
2018-04-09,67.85770416259766
2018-04-10,69.84367370605469
2018-04-11,69.75496673583984
2018-04-12,70.77183532714844
2018-04-13,70.32140350341797
2018-04-16,71.34512329101562
2018-04-17,72.36880493164062
2018-04-18,74.30020141601562
2018-04-19,73.43346405029297
2018-04-20,73.4880599975586
2018-04-23,73.92483520507812
2018-04-24,72.30056762695312
2018-04-25,71.9251937866211
2018-04-26,72.67591094970703
2018-04-27,72.79877471923828
2018-04-30,72.15723419189453
2018-05-01,70.83324432373047
2018-05-02,71.4884262084961
2018-05-03,70.94245910644531
2018-05-04,71.51573944091797
2018-05-07,71.38603973388672
2018-05-08,71.34512329101562
2018-05-09,75.00312805175781
2018-05-10,76.72293090820312
2018-05-11,76.8253173828125
2018-05-14,76.42266845703125
