,MCO
2017-04-26,110.47737884521484
2017-04-27,111.11000061035156
2017-04-28,110.07730865478516
2017-05-01,109.68659973144531
2017-05-02,110.57039642333984
2017-05-03,110.38433837890625
2017-05-04,111.08208465576172
2017-05-05,109.99359893798828
2017-05-08,108.55157470703125
2017-05-09,108.57948303222656
2017-05-10,108.4864273071289
2017-05-11,107.5188980102539
2017-05-12,106.7746353149414
2017-05-15,108.02129364013672
2017-05-16,107.20259094238281
2017-05-17,105.0814208984375
2017-05-18,105.84687042236328
2017-05-19,107.11638641357422
2017-05-22,107.32176971435547
2017-05-23,107.24708557128906
2017-05-24,107.39643859863281
2017-05-25,108.78732299804688
2017-05-26,109.31939697265625
2017-05-30,108.99266815185547
2017-05-31,110.57025909423828
2017-06-01,111.08366394042969
2017-06-02,110.9156494140625
2017-06-05,110.95296478271484
2017-06-06,109.93548583984375
2017-06-07,109.84215545654297
2017-06-08,109.57142639160156
2017-06-09,109.0487060546875
2017-06-12,109.3940658569336
2017-06-13,111.00900268554688
2017-06-14,112.02648162841797
2017-06-15,113.02527618408203
2017-06-16,114.11746978759766
2017-06-19,114.05213928222656
2017-06-20,113.12799072265625
2017-06-21,111.02764892578125
2017-06-22,110.82228088378906
2017-06-23,112.07315826416016
2017-06-26,112.59590911865234
2017-06-27,112.4092025756836
2017-06-28,114.08946990966797
2017-06-29,113.29601287841797
2017-06-30,113.58539581298828
2017-07-03,113.90277099609375
2017-07-05,115.73237609863281
2017-07-06,114.04280090332031
2017-07-07,115.20964813232422
2017-07-10,114.84558868408203
2017-07-11,114.4535140991211
2017-07-12,116.01244354248047
2017-07-13,116.38581085205078
2017-07-14,116.77787780761719
2017-07-17,117.0299072265625
2017-07-18,117.47798919677734
2017-07-19,118.1781005859375
2017-07-20,118.71018981933594
2017-07-21,123.75094604492188
2017-07-24,124.68438720703125
2017-07-25,123.91898345947266
2017-07-26,124.41368865966797
2017-07-27,123.11618041992188
2017-07-28,123.41488647460938
2017-07-31,122.87350463867188
2017-08-01,122.83611297607422
2017-08-02,120.76384735107422
2017-08-03,120.15705871582031
2017-08-04,120.68914031982422
2017-08-07,120.48377990722656
2017-08-08,119.20492553710938
2017-08-09,119.50361633300781
2017-08-10,118.46746826171875
2017-08-11,119.26091766357422
2017-08-14,121.84664916992188
2017-08-15,123.405517578125
2017-08-16,123.30286407470703
2017-08-17,121.5572509765625
2017-08-18,122.16580200195312
2017-08-21,122.46539306640625
2017-08-22,124.12249755859375
2017-08-23,123.59820556640625
2017-08-24,123.76669311523438
2017-08-25,123.94458770751953
2017-08-28,124.21611022949219
2017-08-29,124.54376220703125
2017-08-30,125.86383819580078
2017-08-31,125.47998809814453
2017-09-01,125.22718048095703
2017-09-05,124.57185363769531
