,PFG
2021-08-02,54.79459762573242
2021-08-03,55.6695442199707
2021-08-04,54.64435958862305
2021-08-05,56.20865249633789
2021-08-06,57.32221984863281
2021-08-09,57.40176010131836
2021-08-10,58.06459426879883
2021-08-11,59.17817306518555
2021-08-12,59.37260055541992
2021-08-13,59.16049575805664
2021-08-16,58.904197692871094
2021-08-17,58.40043640136719
2021-08-18,57.89668273925781
2021-08-19,57.08359909057617
2021-08-20,57.47246551513672
2021-08-23,58.28553771972656
2021-08-24,59.0986328125
2021-08-25,59.87636184692383
2021-08-26,58.91304016113281
2021-08-27,60.20335388183594
2021-08-30,59.35492706298828
2021-08-31,59.60472869873047
2021-09-01,58.80180358886719
2021-09-02,59.22109603881836
2021-09-03,58.8820915222168
2021-09-07,58.26649475097656
2021-09-08,57.94532012939453
2021-09-09,58.221893310546875
2021-09-10,57.87395477294922
2021-09-13,58.82856369018555
2021-09-14,58.114837646484375
2021-09-15,58.95345687866211
2021-09-16,58.650123596191406
2021-09-17,58.13268280029297
2021-09-20,55.29563903808594
2021-09-21,55.05475616455078
2021-09-22,55.82200241088867
2021-09-23,57.29405212402344
2021-09-24,57.49924087524414
2021-09-27,59.35491943359375
2021-09-28,58.54307556152344
2021-09-29,58.30218505859375
2021-09-30,57.45464324951172
2021-10-01,58.55198287963867
2021-10-04,58.096988677978516
2021-10-05,59.46198654174805
2021-10-06,59.93482208251953
2021-10-07,60.63963317871094
2021-10-08,61.48715591430664
2021-10-11,60.77344512939453
2021-10-12,60.28276824951172
2021-10-13,59.79207992553711
2021-10-14,61.050018310546875
2021-10-15,61.24628829956055
2021-10-18,61.210601806640625
2021-10-19,61.58531188964844
2021-10-20,62.24550247192383
2021-10-21,61.56745910644531
2021-10-22,61.951087951660156
2021-10-25,62.1295166015625
2021-10-26,62.013545989990234
2021-10-27,59.3014030456543
2021-10-28,59.69395065307617
2021-10-29,59.85453414916992
2021-11-01,60.523643493652344
2021-11-02,60.916175842285156
2021-11-03,61.701297760009766
2021-11-04,61.07677459716797
2021-11-05,61.51393127441406
2021-11-08,61.35334014892578
2021-11-09,60.942955017089844
2021-11-10,61.07677459716797
2021-11-11,61.74589157104492
2021-11-12,62.08491897583008
2021-11-15,63.95844650268555
2021-11-16,64.33314514160156
2021-11-17,63.86920928955078
2021-11-18,63.53911209106445
2021-11-19,63.22687530517578
2021-11-22,64.5204849243164
2021-11-23,65.60891723632812
2021-11-24,65.95686340332031
2021-11-26,63.26255798339844
2021-11-29,63.2714729309082
2021-11-30,61.741004943847656
2021-12-01,61.002777099609375
2021-12-02,63.08241653442383
2021-12-03,62.281166076660156
2021-12-06,63.001399993896484
2021-12-07,64.11775207519531
2021-12-08,64.47784423828125
2021-12-09,64.40583038330078
2021-12-10,64.81095123291016
2021-12-13,64.1717529296875
2021-12-14,64.81995391845703
2021-12-15,65.15304565429688
2021-12-16,65.87328338623047
2021-12-17,64.49585723876953
2021-12-20,60.246543884277344
2021-12-21,63.316497802734375
2021-12-22,63.172454833984375
2021-12-23,64.44184112548828
2021-12-27,65.67520904541016
2021-12-28,65.12605285644531
2021-12-29,65.07202911376953
2021-12-30,64.91899108886719
2021-12-31,65.11705017089844
2022-01-03,65.90929412841797
2022-01-04,68.0789566040039
2022-01-05,66.81857299804688
2022-01-06,67.5387954711914
2022-01-07,68.65513610839844
2022-01-10,68.25000762939453
2022-01-11,69.1593017578125
2022-01-12,68.88919830322266
2022-01-13,68.94322204589844
2022-01-14,69.1593017578125
2022-01-18,68.24100494384766
2022-01-19,67.15167999267578
2022-01-20,66.29640197753906
2022-01-21,64.81995391845703
2022-01-24,64.96400451660156
2022-01-25,65.37812805175781
2022-01-26,65.77424621582031
2022-01-27,65.18907165527344
2022-01-28,64.90997314453125
2022-01-31,65.77424621582031
2022-02-01,66.78255462646484
2022-02-02,66.63851165771484
2022-02-03,65.45014953613281
2022-02-04,67.31371307373047
2022-02-07,67.4667739868164
2022-02-08,70.3926773071289
2022-02-09,71.07688903808594
2022-02-10,70.75279235839844
2022-02-11,68.45709228515625
2022-02-14,66.79156494140625
2022-02-15,68.21399688720703
2022-02-16,68.10597229003906
2022-02-17,65.55817413330078
2022-02-18,65.2520980834961
2022-02-22,64.00969696044922
2022-02-23,62.62327194213867
2022-02-24,61.668983459472656
2022-02-25,64.5408706665039
2022-02-28,63.59557342529297
2022-03-01,60.74170684814453
2022-03-02,62.45222854614258
2022-03-03,62.12811279296875
2022-03-04,60.372589111328125
2022-03-07,57.95083999633789
2022-03-08,58.418983459472656
2022-03-09,60.16472244262695
2022-03-10,59.61009216308594
2022-03-11,59.15547180175781
2022-03-14,60.201107025146484
2022-03-15,61.35585021972656
2022-03-16,63.247066497802734
2022-03-17,63.683502197265625
2022-03-18,63.67441177368164
2022-03-21,63.501651763916016
2022-03-22,64.5382080078125
2022-03-23,64.3654556274414
2022-03-24,65.3292465209961
2022-03-25,66.9204330444336
2022-03-28,66.7113037109375
2022-03-29,67.8205795288086
2022-03-30,67.79329681396484
2022-03-31,66.74767303466797
2022-04-01,67.1841049194336
2022-04-04,66.74767303466797
2022-04-05,67.62963104248047
2022-04-06,67.25685119628906
2022-04-07,66.42942810058594
2022-04-08,66.93861389160156
2022-04-11,66.64765167236328
2022-04-12,66.35669708251953
2022-04-13,67.28413391113281
2022-04-14,67.23865509033203
2022-04-18,67.21138000488281
2022-04-19,68.34793853759766
2022-04-20,69.29354858398438
2022-04-21,68.21155548095703
2022-04-22,65.7747802734375
2022-04-25,65.3292465209961
2022-04-26,63.51984405517578
2022-04-27,63.57439422607422
2022-04-28,64.22905731201172
2022-04-29,61.95594024658203
2022-05-02,62.53786087036133
2022-05-03,63.51984405517578
2022-05-04,66.74767303466797
2022-05-05,65.02011108398438
2022-05-06,63.883541107177734
2022-05-09,62.72880554199219
2022-05-10,62.85609817504883
2022-05-11,61.892295837402344
2022-05-12,61.4831428527832
2022-05-13,63.66533279418945
2022-05-16,63.71989059448242
2022-05-17,66.16573333740234
2022-05-18,64.95645141601562
2022-05-19,63.41981887817383
2022-05-20,62.956111907958984
2022-05-23,64.12903594970703
2022-05-24,63.956275939941406
2022-05-25,64.52001953125
2022-05-26,65.44744873046875
2022-05-27,66.32032775878906
2022-05-31,66.31121826171875
2022-06-01,65.67829895019531
2022-06-02,66.21949005126953
2022-06-03,65.0178451538086
2022-06-06,65.79754638671875
2022-06-07,66.22866821289062
2022-06-08,65.69664001464844
2022-06-09,64.47663879394531
2022-06-10,60.844154357910156
2022-06-13,58.330772399902344
2022-06-14,58.651817321777344
2022-06-15,59.58746337890625
2022-06-16,57.642791748046875
2022-06-17,58.57843780517578
2022-06-21,60.064453125
2022-06-22,60.09197998046875
2022-06-23,59.80760192871094
2022-06-24,62.88055419921875
2022-06-27,62.174232482910156
2022-06-28,62.47693634033203
2022-06-29,61.76145553588867
2022-06-30,61.26611328125
2022-07-01,62.16505432128906
2022-07-05,61.064300537109375
2022-07-06,60.844154357910156
2022-07-07,61.5137825012207
2022-07-08,61.38534927368164
2022-07-11,60.72489929199219
2022-07-12,60.29378128051758
2022-07-13,58.23904037475586
2022-07-14,56.07421875
2022-07-15,57.50519561767578
2022-07-18,57.35843276977539
2022-07-19,58.587615966796875
2022-07-20,58.936180114746094
2022-07-21,59.32143783569336
2022-07-22,58.624298095703125
2022-07-25,59.54159927368164
2022-07-26,58.64264678955078
2022-07-27,59.52324676513672
2022-07-28,59.54159927368164
2022-07-29,61.40370559692383
2022-08-01,61.56882858276367
2022-08-02,60.71573257446289
2022-08-03,62.42190170288086
2022-08-04,62.357696533203125
2022-08-05,62.57783126831055
2022-08-08,63.1007080078125
2022-08-09,67.5954360961914
2022-08-10,69.86116790771484
2022-08-11,71.08116149902344
2022-08-12,72.9341049194336
2022-08-15,72.58551788330078
2022-08-16,72.44794464111328
2022-08-17,72.20944213867188
2022-08-18,72.73229217529297
2022-08-19,71.68656921386719
2022-08-22,70.0629653930664
2022-08-23,69.80612182617188
2022-08-24,70.62251281738281
2022-08-25,71.9067153930664
2022-08-26,70.27394104003906
2022-08-29,69.4483871459961
2022-08-30,69.06311798095703
2022-08-31,68.57695770263672
2022-09-01,68.50357055664062
2022-09-02,68.28340911865234
2022-09-06,68.27422332763672
2022-09-07,69.68063354492188
2022-09-08,71.05924987792969
2022-09-09,72.43787384033203
2022-09-12,73.81649017333984
2022-09-13,71.62364196777344
2022-09-14,71.78095245361328
2022-09-15,71.67916107177734
2022-09-16,71.2535400390625
2022-09-19,71.64214324951172
2022-09-20,71.09626007080078
2022-09-21,70.37456512451172
2022-09-22,69.78240966796875
2022-09-23,66.99739837646484
2022-09-26,66.00736999511719
2022-09-27,66.1276626586914
2022-09-28,67.46002197265625
2022-09-29,66.08139038085938
2022-09-30,66.75682830810547
2022-10-03,69.90267944335938
2022-10-04,73.09479522705078
2022-10-05,72.65992736816406
2022-10-06,72.46562957763672
2022-10-07,70.3560562133789
2022-10-10,70.4300765991211
2022-10-11,70.05072021484375
2022-10-12,70.3560562133789
2022-10-13,72.8912353515625
2022-10-14,70.8834457397461
2022-10-17,72.37310791015625
2022-10-18,73.90900421142578
2022-10-19,72.88198852539062
2022-10-20,71.7624282836914
2022-10-21,72.94674682617188
2022-10-24,74.04780578613281
2022-10-25,74.14957427978516
2022-10-26,74.83426666259766
2022-10-27,75.7225112915039
2022-10-28,81.43131256103516
2022-10-31,81.54234313964844
2022-11-01,81.71813201904297
2022-11-02,80.30249786376953
2022-11-03,80.04341888427734
2022-11-04,83.1615219116211
2022-11-07,83.30030059814453
2022-11-08,83.87397003173828
2022-11-09,82.78217315673828
2022-11-10,86.62196350097656
