,VLO
2015-10-21,40.707969665527344
2015-10-22,41.43564224243164
2015-10-23,42.38983917236328
2015-10-26,42.492801666259766
2015-10-27,42.87723159790039
2015-10-28,43.536251068115234
2015-10-29,45.17692184448242
2015-10-30,45.2524299621582
2015-11-02,46.70087814331055
2015-11-03,47.778656005859375
2015-11-04,48.80836868286133
2015-11-05,49.378143310546875
2015-11-06,49.39187240600586
2015-11-09,48.38963317871094
2015-11-10,48.95939254760742
2015-11-11,48.85642623901367
2015-11-12,47.64823913574219
2015-11-13,47.33932113647461
2015-11-16,47.826725006103516
2015-11-17,48.05324935913086
2015-11-18,48.50631332397461
2015-11-19,49.18387222290039
2015-11-20,49.764625549316406
2015-11-23,50.24856948852539
2015-11-24,50.49055099487305
2015-11-25,50.42142105102539
2015-11-27,50.4283332824707
2015-11-30,49.6816520690918
2015-12-01,50.17251968383789
2015-12-02,49.564109802246094
2015-12-03,48.3888053894043
2015-12-04,49.35670471191406
2015-12-07,48.94189453125
2015-12-08,48.762123107910156
2015-12-09,48.312744140625
2015-12-10,49.34979248046875
2015-12-11,46.674198150634766
2015-12-14,46.701866149902344
2015-12-15,47.227294921875
2015-12-16,48.53397750854492
2015-12-17,49.557212829589844
2015-12-18,48.416446685791016
2015-12-21,49.163116455078125
2015-12-22,49.4189338684082
2015-12-23,49.660911560058594
2015-12-24,49.73004150390625
2015-12-28,48.82435989379883
2015-12-29,49.14930725097656
2015-12-30,49.48807144165039
2015-12-31,48.88657760620117
2016-01-04,48.35422897338867
2016-01-05,49.197696685791016
2016-01-06,48.85200881958008
2016-01-07,49.84067153930664
2016-01-08,47.192726135253906
2016-01-11,47.75273513793945
2016-01-12,49.21842956542969
2016-01-13,44.95960235595703
2016-01-14,46.542842864990234
2016-01-15,45.9136962890625
2016-01-19,46.00358581542969
2016-01-20,45.27073287963867
2016-01-21,43.853431701660156
2016-01-22,46.91617965698242
2016-01-25,45.035667419433594
2016-01-26,46.81247329711914
2016-01-27,45.62331771850586
2016-01-28,44.62084197998047
2016-01-29,46.92311096191406
2016-02-01,47.496925354003906
2016-02-02,45.13245391845703
2016-02-03,42.131919860839844
2016-02-04,42.719581604003906
2016-02-05,39.87813186645508
2016-02-08,38.27239227294922
2016-02-09,38.27239227294922
2016-02-10,38.31427764892578
2016-02-11,38.795997619628906
2016-02-12,40.31795883178711
2016-02-16,40.038700103759766
2016-02-17,40.33191680908203
2016-02-18,38.78902816772461
2016-02-19,39.829254150390625
2016-02-22,40.96723556518555
2016-02-23,40.13643264770508
2016-02-24,42.31465530395508
2016-02-25,42.370513916015625
2016-02-26,41.651424407958984
2016-02-29,41.94464111328125
2016-03-01,42.99884796142578
2016-03-02,43.340938568115234
2016-03-03,44.56965637207031
2016-03-04,44.604576110839844
2016-03-07,44.15776824951172
2016-03-08,43.515464782714844
2016-03-09,45.239891052246094
2016-03-10,44.807037353515625
2016-03-11,45.6378288269043
2016-03-14,44.953651428222656
2016-03-15,45.3376350402832
2016-03-16,46.035789489746094
2016-03-17,44.807037353515625
2016-03-18,45.4912223815918
2016-03-21,45.972930908203125
2016-03-22,46.12653350830078
2016-03-23,45.3097038269043
2016-03-24,45.96595001220703
2016-03-28,45.54706954956055
2016-03-29,45.57500457763672
2016-03-30,44.66740036010742
2016-03-31,44.77911376953125
2016-04-01,43.92039489746094
2016-04-04,44.185691833496094
2016-04-05,44.08095932006836
2016-04-06,43.061668395996094
2016-04-07,43.04771423339844
2016-04-08,44.02511978149414
2016-04-11,42.40542221069336
2016-04-12,42.51712417602539
2016-04-13,43.66905975341797
2016-04-14,42.977901458740234
2016-04-15,41.53273391723633
2016-04-18,42.38447570800781
2016-04-19,41.965576171875
2016-04-20,42.04237747192383
2016-04-21,42.34258270263672
2016-04-22,42.754486083984375
2016-04-25,43.1245002746582
2016-04-26,43.152435302734375
2016-04-27,43.417724609375
2016-04-28,42.52410125732422
2016-04-29,41.099876403808594
2016-05-02,41.76310729980469
2016-05-03,40.234188079833984
2016-05-04,39.200923919677734
2016-05-05,38.823936462402344
2016-05-06,38.649383544921875
2016-05-09,38.38408660888672
2016-05-10,39.09619903564453
2016-05-11,39.00543975830078
2016-05-12,38.24446105957031
2016-05-13,38.474853515625
2016-05-16,38.530696868896484
2016-05-17,38.57258987426758
2016-05-18,39.40338897705078
2016-05-19,38.67731475830078
2016-05-20,39.18696594238281
2016-05-23,38.43186950683594
2016-05-24,39.059932708740234
2016-05-25,38.54479217529297
2016-05-26,38.17076873779297
2016-05-27,38.50950241088867
2016-05-31,38.60123825073242
2016-06-01,39.34221649169922
2016-06-02,39.321044921875
2016-06-03,38.918800354003906
2016-06-06,38.75649642944336
2016-06-07,39.26458740234375
2016-06-08,38.382469177246094
2016-06-09,37.97317123413086
2016-06-10,37.70500564575195
2016-06-13,36.00429916381836
2016-06-14,35.84199523925781
2016-06-15,36.1948356628418
2016-06-16,36.54768753051758
2016-06-17,36.491214752197266
2016-06-20,36.47004699707031
2016-06-21,37.02756118774414
2016-06-22,37.26748275756836
2016-06-23,37.90260696411133
2016-06-24,37.091060638427734
2016-06-27,36.081932067871094
2016-06-28,36.5759162902832
2016-06-29,36.639408111572266
2016-06-30,35.99018096923828
2016-07-01,36.29364013671875
2016-07-05,35.17157745361328
2016-07-06,34.3388786315918
2016-07-07,33.3367919921875
2016-07-08,33.68258285522461
2016-07-11,34.21890640258789
2016-07-12,34.75522994995117
2016-07-13,34.95988464355469
