,GRMN
2015-04-24,34.34149932861328
2015-04-27,34.51992416381836
2015-04-28,35.30802536010742
2015-04-29,33.85822677612305
2015-04-30,33.598018646240234
2015-05-01,34.09614944458008
2015-05-04,33.977195739746094
2015-05-05,33.672359466552734
2015-05-06,33.67979431152344
2015-05-07,33.76158142089844
2015-05-08,34.155616760253906
2015-05-11,34.73555374145508
2015-05-12,34.155616760253906
2015-05-13,34.28944778442383
2015-05-14,34.326622009277344
2015-05-15,34.34893798828125
2015-05-18,34.28944778442383
2015-05-19,34.244842529296875
2015-05-20,34.237403869628906
2015-05-21,34.155616760253906
2015-05-22,34.163063049316406
2015-05-26,33.58314514160156
2015-05-27,33.79874801635742
2015-05-28,34.36379623413086
2015-05-29,33.81361770629883
2015-06-01,33.80619430541992
2015-06-02,33.88797378540039
2015-06-03,34.229976654052734
2015-06-04,33.82851028442383
2015-06-05,33.91770935058594
2015-06-08,33.80619430541992
2015-06-09,33.99205780029297
2015-06-10,34.51992416381836
2015-06-11,34.222530364990234
2015-06-12,33.6737174987793
2015-06-15,33.237667083740234
2015-06-16,34.02705383300781
2015-06-17,33.99699020385742
2015-06-18,35.004432678222656
2015-06-19,35.222450256347656
2015-06-22,35.35026550292969
2015-06-23,35.515655517578125
2015-06-24,34.62100601196289
2015-06-25,34.38041687011719
2015-06-26,34.2601318359375
2015-06-29,33.064754486083984
2015-06-30,33.027164459228516
2015-07-01,33.087310791015625
2015-07-02,33.14744186401367
2015-07-06,32.55350875854492
2015-07-07,32.83168411254883
2015-07-08,32.61365509033203
2015-07-09,32.748985290527344
2015-07-10,33.20759963989258
2015-07-13,34.861576080322266
2015-07-14,34.88412857055664
2015-07-15,34.88412857055664
2015-07-16,32.40314483642578
2015-07-17,32.245269775390625
2015-07-20,31.959583282470703
2015-07-21,32.07986831665039
2015-07-22,32.20016098022461
2015-07-23,32.267826080322266
2015-07-24,31.93702507019043
2015-07-27,31.65885353088379
2015-07-28,32.17008972167969
2015-07-29,32.094913482666016
2015-07-30,31.718992233276367
2015-07-31,31.50849723815918
2015-08-03,31.162654876708984
2015-08-04,30.83186149597168
2015-08-05,31.14762306213379
2015-08-06,30.606313705444336
2015-08-07,30.53864097595215
2015-08-10,30.884490966796875
2015-08-11,30.252965927124023
2015-08-12,30.32814598083496
2015-08-13,30.03493881225586
2015-08-14,29.99735450744629
2015-08-17,30.388286590576172
2015-08-18,30.29056167602539
2015-08-19,29.9672794342041
2015-08-20,29.320709228515625
2015-08-21,28.764371871948242
2015-08-24,27.824607849121094
2015-08-25,27.591550827026367
2015-08-26,28.358402252197266
2015-08-27,28.68919563293457
2015-08-28,28.561386108398438
2015-08-31,28.27569580078125
2015-09-01,27.67425537109375
2015-09-02,27.982494354248047
2015-09-03,28.012561798095703
2015-09-04,27.44118309020996
2015-09-08,28.320804595947266
2015-09-09,27.576515197753906
2015-09-10,27.3359317779541
2015-09-11,27.366430282592773
2015-09-14,27.30542755126953
2015-09-15,27.55705451965332
2015-09-16,27.99167823791504
2015-09-17,27.88493537902832
2015-09-18,27.625686645507812
2015-09-21,27.862062454223633
2015-09-22,27.374055862426758
2015-09-23,27.16055679321289
2015-09-24,27.168170928955078
2015-09-25,27.030929565429688
2015-09-28,26.847925186157227
2015-09-29,26.832674026489258
2015-09-30,27.358800888061523
2015-10-01,26.977554321289062
2015-10-02,27.335927963256836
2015-10-05,27.938310623168945
2015-10-06,27.839189529418945
2015-10-07,28.136566162109375
2015-10-08,28.19756507873535
2015-10-09,28.26618766784668
2015-10-12,28.1746883392334
2015-10-13,28.075559616088867
2015-10-14,28.18231201171875
2015-10-15,24.6137752532959
2015-10-16,25.99391746520996
2015-10-19,25.948162078857422
2015-10-20,25.7117919921875
2015-10-21,26.001541137695312
2015-10-22,26.73354721069336
