,PH
2015-09-28,81.1452865600586
2015-09-29,82.53946685791016
2015-09-30,83.2237319946289
2015-10-01,82.15458679199219
2015-10-02,83.94220733642578
2015-10-05,87.35498809814453
2015-10-06,87.65434265136719
2015-10-07,88.98866271972656
2015-10-08,91.35791778564453
2015-10-09,90.5453872680664
2015-10-12,90.94737243652344
2015-10-13,88.5781021118164
2015-10-14,87.50039672851562
2015-10-15,87.56025695800781
2015-10-16,86.06340789794922
2015-10-19,85.57589721679688
2015-10-20,87.3635025024414
2015-10-21,87.02993774414062
2015-10-22,86.19172668457031
2015-10-23,88.15898132324219
2015-10-26,87.06414794921875
2015-10-27,86.80758666992188
2015-10-28,88.08200073242188
2015-10-29,89.39067840576172
2015-10-30,89.55316925048828
2015-11-02,91.34937286376953
2015-11-03,91.63162994384766
2015-11-04,90.49403381347656
2015-11-05,90.82762908935547
2015-11-06,90.23392486572266
2015-11-09,88.2807388305664
2015-11-10,87.93655395507812
2015-11-11,88.25493621826172
2015-11-12,85.44988250732422
2015-11-13,85.91453552246094
2015-11-16,87.67843627929688
2015-11-17,86.79217529296875
2015-11-18,88.23772430419922
2015-11-19,89.23580169677734
2015-11-20,89.25305938720703
2015-11-23,88.86583709716797
2015-11-24,89.13256072998047
2015-11-25,89.2702407836914
2015-11-27,89.22722625732422
2015-11-30,90.05325317382812
2015-12-01,89.05514526367188
2015-12-02,87.721435546875
2015-12-03,87.17076110839844
2015-12-04,88.14306640625
2015-12-07,86.24153137207031
2015-12-08,84.10761260986328
2015-12-09,84.04736328125
2015-12-10,84.32269287109375
2015-12-11,82.22325897216797
2015-12-14,82.16302490234375
2015-12-15,82.3351058959961
2015-12-16,84.94223022460938
2015-12-17,81.90489196777344
2015-12-18,80.55401611328125
2015-12-21,81.03587341308594
2015-12-22,83.02347564697266
2015-12-23,85.5961685180664
2015-12-24,85.91453552246094
2015-12-28,84.86479949951172
2015-12-29,85.63057708740234
2015-12-30,84.61527252197266
2015-12-31,83.44509887695312
2016-01-04,83.16974639892578
2016-01-05,81.7930679321289
2016-01-06,80.70889282226562
2016-01-07,79.34078979492188
2016-01-08,77.91249084472656
2016-01-11,77.7575912475586
2016-01-12,77.87805938720703
2016-01-13,77.19829559326172
2016-01-14,77.99854278564453
2016-01-15,75.70977020263672
2016-01-19,75.60649871826172
2016-01-20,74.43631744384766
2016-01-21,75.67533874511719
2016-01-22,77.28435516357422
2016-01-25,75.82164764404297
2016-01-26,78.96219635009766
2016-01-27,78.89337921142578
2016-01-28,80.9498291015625
2016-01-29,83.5999755859375
2016-02-01,82.92020416259766
2016-02-02,82.0253677368164
2016-02-03,84.09042358398438
2016-02-04,87.01588439941406
2016-02-05,87.34285736083984
2016-02-08,87.52466583251953
2016-02-09,86.34717559814453
2016-02-10,83.17830657958984
2016-02-11,83.88829803466797
2016-02-12,84.1999740600586
2016-02-16,86.27791595458984
2016-02-17,87.47274017333984
2016-02-18,87.23896026611328
2016-02-19,86.4857406616211
2016-02-22,88.97923278808594
2016-02-23,87.24761199951172
2016-02-24,87.59394073486328
2016-02-25,87.99221801757812
2016-02-26,88.4943618774414
2016-02-29,87.61991882324219
2016-03-01,90.53770446777344
2016-03-02,91.56800079345703
2016-03-03,92.36454010009766
2016-03-04,92.0875015258789
2016-03-07,93.81909942626953
2016-03-08,92.22602844238281
2016-03-09,92.84077453613281
2016-03-10,92.35589599609375
2016-03-11,93.85372924804688
2016-03-14,93.90570068359375
2016-03-15,93.70655822753906
2016-03-16,95.18709564208984
2016-03-17,97.42088317871094
2016-03-18,97.2996597290039
2016-03-21,97.24768829345703
2016-03-22,97.0399169921875
2016-03-23,95.7758560180664
2016-03-24,96.06158447265625
2016-03-28,95.498779296875
2016-03-29,96.20008850097656
2016-03-30,96.09619140625
2016-03-31,96.17412567138672
2016-04-01,96.81483459472656
2016-04-04,95.04856872558594
2016-04-05,94.24337005615234
2016-04-06,94.7974624633789
2016-04-07,94.39920043945312
2016-04-08,95.16111755371094
2016-04-11,95.66329193115234
2016-04-12,96.563720703125
2016-04-13,97.15245819091797
2016-04-14,97.20441436767578
2016-04-15,98.4598388671875
2016-04-18,98.16545867919922
2016-04-19,98.7455825805664
2016-04-20,98.26071166992188
2016-04-21,97.70661163330078
2016-04-22,98.71092224121094
2016-04-25,98.19146728515625
2016-04-26,99.01394653320312
2016-04-27,101.23043060302734
2016-04-28,99.94903564453125
2016-04-29,100.45120239257812
2016-05-02,100.00098419189453
2016-05-03,98.42521667480469
2016-05-04,96.1914291381836
2016-05-05,96.92737579345703
2016-05-06,98.0331802368164
2016-05-09,96.6922607421875
2016-05-10,98.66876983642578
2016-05-11,98.26825714111328
2016-05-12,97.98963165283203
2016-05-13,95.57776641845703
2016-05-16,97.73711395263672
2016-05-17,97.44110107421875
2016-05-18,96.19598388671875
2016-05-19,94.90730285644531
2016-05-20,95.31654357910156
2016-05-23,95.42973327636719
2016-05-24,96.47459411621094
2016-05-25,98.35531616210938
2016-05-26,98.9474105834961
2016-05-27,99.24343872070312
2016-05-31,99.99226379394531
2016-06-01,100.4798583984375
2016-06-02,100.8978042602539
2016-06-03,101.00227355957031
2016-06-06,101.22865295410156
2016-06-07,101.10678100585938
2016-06-08,101.52471160888672
2016-06-09,100.44505310058594
2016-06-10,98.12893676757812
2016-06-13,97.14502716064453
2016-06-14,97.42367553710938
2016-06-15,97.18859100341797
2016-06-16,97.09280395507812
2016-06-17,97.67617797851562
2016-06-20,99.06929016113281
2016-06-21,98.72972869873047
2016-06-22,98.39886474609375
2016-06-23,99.26954650878906
2016-06-24,92.2168197631836
2016-06-27,87.53244018554688
2016-06-28,89.1606216430664
2016-06-29,90.60600280761719
2016-06-30,94.08013916015625
2016-07-01,95.20332336425781
2016-07-05,93.22684478759766
2016-07-06,94.37617492675781
2016-07-07,94.22815704345703
2016-07-08,96.93606567382812
2016-07-11,97.42367553710938
2016-07-12,98.60781860351562
2016-07-13,98.45982360839844
2016-07-14,99.10414123535156
2016-07-15,98.98224639892578
2016-07-18,98.47721862792969
2016-07-19,97.90254974365234
2016-07-20,98.5120620727539
2016-07-21,97.76325225830078
2016-07-22,98.5120620727539
2016-07-25,97.95480346679688
2016-07-26,99.93131256103516
2016-07-27,100.07063293457031
2016-07-28,99.67011260986328
2016-07-29,99.4262924194336
2016-08-01,98.60781860351562
2016-08-02,98.41630554199219
2016-08-03,99.06929016113281
2016-08-04,103.57958984375
2016-08-05,105.45161437988281
2016-08-08,106.80992126464844
2016-08-09,106.16558837890625
2016-08-10,106.37456512451172
2016-08-11,107.62837219238281
2016-08-12,106.93180084228516
2016-08-15,108.07244873046875
2016-08-16,108.06373596191406
2016-08-17,108.28141021728516
2016-08-18,108.0027847290039
2016-08-19,108.29012298583984
2016-08-22,108.02891540527344
2016-08-23,108.41201782226562
2016-08-24,107.37589263916016
2016-08-25,108.13729858398438
2016-08-26,107.85722351074219
2016-08-29,108.29481506347656
2016-08-30,107.82219696044922
2016-08-31,107.2358627319336
2016-09-01,107.52465057373047
2016-09-02,108.09352111816406
2016-09-06,107.83970642089844
2016-09-07,108.6448745727539
2016-09-08,108.82868194580078
2016-09-09,105.70429992675781
2016-09-12,107.52465057373047
2016-09-13,105.75678253173828
2016-09-14,105.76555633544922
2016-09-15,107.26211547851562
2016-09-16,106.35191345214844
2016-09-19,107.11332702636719
2016-09-20,106.79828643798828
2016-09-21,108.041015625
2016-09-22,108.4873275756836
2016-09-23,106.71073913574219
