,IEX
2016-10-28,78.27195739746094
2016-10-31,78.48079681396484
2016-11-01,77.44575500488281
2016-11-02,77.14614868164062
2016-11-03,77.34589385986328
2016-11-04,77.2641830444336
2016-11-07,79.48858642578125
2016-11-08,79.82451629638672
2016-11-09,82.23960876464844
2016-11-10,84.06449890136719
2016-11-11,83.98279571533203
2016-11-14,84.26424407958984
2016-11-15,84.10990905761719
2016-11-16,83.82842254638672
2016-11-17,83.55608367919922
2016-11-18,83.50160217285156
2016-11-21,84.0009536743164
2016-11-22,84.8907241821289
2016-11-23,84.90887451171875
2016-11-25,85.09048461914062
2016-11-28,84.92704772949219
2016-11-29,84.86347961425781
2016-11-30,84.99060821533203
2016-12-01,86.83367156982422
2016-12-02,86.2162857055664
2016-12-05,86.47049713134766
2016-12-06,86.49772644042969
2016-12-07,86.07101440429688
2016-12-08,85.5988998413086
2016-12-09,85.09956359863281
2016-12-12,84.8997802734375
2016-12-13,84.8997802734375
2016-12-14,83.6014404296875
2016-12-15,83.36540222167969
2016-12-16,82.7571029663086
2016-12-19,83.36540222167969
2016-12-20,83.12934875488281
2016-12-21,82.53011322021484
2016-12-22,82.4937973022461
2016-12-23,82.4302749633789
2016-12-27,82.71172332763672
2016-12-28,81.3861312866211
2016-12-29,81.64035034179688
2016-12-30,81.76747131347656
2017-01-03,82.82064056396484
2017-01-04,83.20198059082031
2017-01-05,82.45748138427734
2017-01-06,82.25775146484375
2017-01-09,81.28627014160156
2017-01-10,82.44841003417969
2017-01-11,83.28681945800781
2017-01-12,82.53954315185547
2017-01-13,83.58755493164062
2017-01-17,82.44841766357422
2017-01-18,82.5851058959961
2017-01-19,82.70355987548828
2017-01-20,83.05901336669922
2017-01-23,82.33904266357422
2017-01-24,83.97032165527344
2017-01-25,84.72674560546875
2017-01-26,84.43511199951172
2017-01-27,84.29842376708984
2017-01-30,83.8609848022461
2017-01-31,82.16590881347656
2017-02-01,81.53707122802734
2017-02-02,81.41859436035156
2017-02-03,82.95874786376953
2017-02-06,82.12944030761719
2017-02-07,82.1385498046875
2017-02-08,82.04741668701172
2017-02-09,82.14765930175781
2017-02-10,82.86762237548828
2017-02-13,83.8062973022461
2017-02-14,83.33240509033203
2017-02-15,84.20729064941406
2017-02-16,84.0432357788086
2017-02-17,84.1890640258789
2017-02-21,85.31912994384766
2017-02-22,85.0001449584961
2017-02-23,84.28929138183594
2017-02-24,84.234619140625
2017-02-27,85.3464584350586
2017-02-28,84.0158920288086
2017-03-01,87.61567687988281
2017-03-02,86.29421997070312
2017-03-03,85.83856964111328
2017-03-06,85.66539764404297
2017-03-07,85.2370834350586
2017-03-08,84.2254867553711
2017-03-09,83.72427368164062
2017-03-10,84.06148529052734
2017-03-13,84.5444564819336
2017-03-14,83.64227294921875
2017-03-15,85.12773895263672
2017-03-16,84.49890899658203
2017-03-17,84.41690063476562
2017-03-20,83.90653228759766
2017-03-21,82.79471588134766
2017-03-22,83.04989624023438
2017-03-23,83.4964370727539
2017-03-24,83.35971069335938
2017-03-27,83.24125671386719
2017-03-28,84.06148529052734
2017-03-29,83.92475891113281
2017-03-30,84.67207336425781
2017-03-31,85.2188491821289
2017-04-03,84.63560485839844
2017-04-04,84.83609008789062
2017-04-05,84.0432357788086
2017-04-06,85.15506744384766
2017-04-07,85.05481719970703
2017-04-10,85.28266143798828
2017-04-11,85.94793701171875
2017-04-12,84.14347839355469
2017-04-13,83.58755493164062
2017-04-17,84.99102020263672
2017-04-18,85.2370834350586
2017-04-19,85.66539764404297
2017-04-20,91.27922821044922
2017-04-21,92.58243560791016
2017-04-24,93.03811645507812
2017-04-25,94.29574584960938
