,FCX
2017-06-08,11.105985641479492
2017-06-09,11.38225269317627
2017-06-12,11.363836288452148
2017-06-13,11.38225269317627
2017-06-14,11.133611679077148
2017-06-15,10.59028434753418
2017-06-16,10.51661205291748
2017-06-19,10.67316722869873
2017-06-20,10.350851058959961
2017-06-21,10.323224067687988
2017-06-22,10.544240951538086
2017-06-23,10.829718589782715
2017-06-26,10.88497257232666
2017-06-27,10.79288101196289
2017-06-28,11.041522026062012
2017-06-29,11.124404907226562
2017-06-30,11.059940338134766
2017-07-03,11.234911918640137
2017-07-05,11.207282066345215
2017-07-06,10.949435234069824
2017-07-07,10.958642959594727
2017-07-10,11.529598236083984
2017-07-11,11.58485221862793
2017-07-12,11.299373626708984
2017-07-13,11.49276065826416
2017-07-14,11.60326862335205
2017-07-17,11.971626281738281
2017-07-18,11.971626281738281
2017-07-19,12.07292366027832
2017-07-20,12.008462905883789
2017-07-21,11.980835914611816
2017-07-24,11.934788703918457
2017-07-25,13.69369888305664
2017-07-26,13.868670463562012
2017-07-27,13.352967262268066
2017-07-28,13.44505786895752
2017-07-31,13.463475227355957
2017-08-01,13.343758583068848
2017-08-02,13.233251571655273
2017-08-03,13.233251571655273
2017-08-04,13.270085334777832
2017-08-07,13.537147521972656
2017-08-08,13.325338363647461
2017-08-09,13.435848236083984
2017-08-10,13.030654907226562
2017-08-11,12.855685234069824
2017-08-14,13.030654907226562
2017-08-15,12.864893913269043
2017-08-16,13.601609230041504
2017-08-17,13.076701164245605
2017-08-18,13.030654907226562
2017-08-21,13.564772605895996
2017-08-22,13.877877235412598
2017-08-23,14.080474853515625
2017-08-24,14.26465129852295
2017-08-25,14.080474853515625
2017-08-28,14.30148983001709
2017-08-29,14.00680160522461
2017-08-30,13.408219337463379
2017-08-31,13.610817909240723
2017-09-01,13.877877235412598
2017-09-05,13.620026588439941
2017-09-06,13.868670463562012
2017-09-07,14.00680160522461
2017-09-08,13.11353588104248
2017-09-11,13.251670837402344
2017-09-12,13.168787002563477
2017-09-13,12.837268829345703
2017-09-14,12.763593673706055
2017-09-15,12.782012939453125
2017-09-18,13.012236595153809
2017-09-19,13.334547996520996
2017-09-20,13.058282852172852
2017-09-21,12.874103546142578
2017-09-22,12.947774887084961
2017-09-25,12.791220664978027
2017-09-26,12.883313179016113
2017-09-27,12.892521858215332
2017-09-28,13.279297828674316
2017-09-29,12.929354667663574
2017-10-02,13.2056245803833
2017-10-03,13.481892585754395
2017-10-04,13.380593299865723
2017-10-05,13.58319091796875
2017-10-06,13.196413040161133
2017-10-09,13.18720817565918
2017-10-10,13.270085334777832
2017-10-11,13.288505554199219
2017-10-12,13.362176895141602
2017-10-13,13.58319091796875
2017-10-16,14.062056541442871
2017-10-17,13.748954772949219
2017-10-18,13.656862258911133
2017-10-19,13.638447761535645
2017-10-20,13.656862258911133
2017-10-23,13.638447761535645
2017-10-24,14.025219917297363
2017-10-25,13.537147521972656
2017-10-26,13.527935981750488
2017-10-27,13.012236595153809
2017-10-30,12.837268829345703
2017-10-31,12.874103546142578
2017-11-01,13.242459297180176
2017-11-02,13.104325294494629
2017-11-03,13.030654907226562
2017-11-06,13.481892585754395
2017-11-07,13.39901065826416
2017-11-08,13.684489250183105
2017-11-09,13.555564880371094
2017-11-10,13.270085334777832
2017-11-13,13.288505554199219
2017-11-14,12.708340644836426
2017-11-15,12.551789283752441
2017-11-16,12.542579650878906
2017-11-17,12.763593673706055
2017-11-20,12.846474647521973
2017-11-21,13.030654907226562
2017-11-22,13.11353588104248
2017-11-24,13.214835166931152
2017-11-27,12.975400924682617
2017-11-28,13.08591079711914
2017-11-29,12.90173053741455
2017-11-30,12.818849563598633
2017-12-01,12.993818283081055
2017-12-04,13.168787002563477
2017-12-05,12.993818283081055
2017-12-06,13.214835166931152
2017-12-07,13.6660737991333
2017-12-08,13.785786628723145
2017-12-11,13.831832885742188
2017-12-12,14.467249870300293
2017-12-13,15.0289945602417
2017-12-14,14.909283638000488
2017-12-15,15.6367826461792
2017-12-18,15.977519035339355
2017-12-19,15.95910358428955
2017-12-20,16.262996673583984
2017-12-21,16.741859436035156
2017-12-22,16.668188095092773
2017-12-26,17.19310188293457
2017-12-27,17.211519241333008
2017-12-28,17.745635986328125
2017-12-29,17.460155487060547
2018-01-02,18.20608139038086
2018-01-03,17.9298095703125
2018-01-04,18.178449630737305
2018-01-05,18.3257999420166
2018-01-08,18.2429141998291
2018-01-09,17.423316955566406
2018-01-10,17.966650009155273
2018-01-11,18.307376861572266
2018-01-12,18.187660217285156
2018-01-16,17.791675567626953
2018-01-17,18.20608139038086
2018-01-18,17.865352630615234
2018-01-19,18.38105010986328
2018-01-22,18.40868377685547
2018-01-23,18.003482818603516
2018-01-24,18.04952621459961
2018-01-25,18.252124786376953
2018-01-26,17.994272232055664
2018-01-29,18.077152252197266
2018-01-30,17.616708755493164
2018-01-31,17.957441329956055
2018-02-01,17.911394119262695
2018-02-02,16.5484676361084
2018-02-05,16.2537841796875
2018-02-06,17.257558822631836
2018-02-07,16.447174072265625
2018-02-08,15.802546501159668
2018-02-09,16.180118560791016
2018-02-12,16.180118560791016
2018-02-13,16.39192008972168
2018-02-14,17.607500076293945
2018-02-15,17.607500076293945
2018-02-16,17.248353958129883
2018-02-20,16.972082138061523
2018-02-21,17.248353958129883
2018-02-22,17.64433479309082
2018-02-23,18.003482818603516
2018-02-26,17.985063552856445
2018-02-27,17.57987403869629
2018-02-28,17.128633499145508
2018-03-01,17.073383331298828
2018-03-02,16.870779037475586
2018-03-05,16.751070022583008
2018-03-06,17.220722198486328
2018-03-07,16.686607360839844
2018-03-08,16.45638656616211
2018-03-09,16.972082138061523
2018-03-12,17.091798782348633
2018-03-13,17.018129348754883
2018-03-14,17.183883666992188
2018-03-15,16.95366096496582
2018-03-16,16.907621383666992
2018-03-19,16.62213897705078
2018-03-20,17.027339935302734
2018-03-21,17.662757873535156
2018-03-22,16.62213897705078
2018-03-23,16.13407325744629
2018-03-26,16.34587287902832
2018-03-27,15.876221656799316
2018-03-28,15.424981117248535
2018-03-29,16.180118560791016
2018-04-02,15.78412914276123
2018-04-03,16.005144119262695
2018-04-04,15.968308448791504
2018-04-05,16.677396774291992
2018-04-06,15.95910358428955
