,EA
2015-03-02,56.12574005126953
2015-03-03,55.36371612548828
2015-03-04,55.88149642944336
2015-03-05,56.05734634399414
2015-03-06,55.06086349487305
2015-03-09,55.36371612548828
2015-03-10,53.78105926513672
2015-03-11,53.820133209228516
2015-03-12,53.79082489013672
2015-03-13,54.02529525756836
2015-03-16,54.53330993652344
2015-03-17,52.92133331298828
2015-03-18,54.34768295288086
2015-03-19,54.670074462890625
2015-03-20,55.95965576171875
2015-03-23,55.949886322021484
2015-03-24,56.62397766113281
2015-03-25,54.79709243774414
2015-03-26,54.78731918334961
2015-03-27,56.897518157958984
2015-03-30,58.09917068481445
2015-03-31,57.46415710449219
2015-04-01,55.95965576171875
2015-04-02,56.32112503051758
2015-04-06,55.80333709716797
2015-04-07,56.46766662597656
2015-04-08,56.809608459472656
2015-04-09,56.17458724975586
2015-04-10,57.01475143432617
2015-04-13,56.00850296020508
2015-04-14,55.754493713378906
2015-04-15,55.54933547973633
2015-04-16,55.54933547973633
2015-04-17,54.738460540771484
2015-04-20,55.969417572021484
2015-04-21,57.669307708740234
2015-04-22,58.431331634521484
2015-04-23,58.499725341796875
2015-04-24,58.509490966796875
2015-04-27,58.46064758300781
2015-04-28,57.747474670410156
2015-04-29,57.26877212524414
2015-04-30,56.7509765625
2015-05-01,57.96240997314453
2015-05-04,57.94287109375
2015-05-05,57.79631805419922
2015-05-06,59.525516510009766
2015-05-07,58.88072967529297
2015-05-08,60.45362091064453
2015-05-11,61.147254943847656
2015-05-12,61.02024459838867
2015-05-13,60.30707931518555
2015-05-14,61.63572692871094
2015-05-15,61.43057632446289
2015-05-18,61.840885162353516
2015-05-19,61.16679000854492
2015-05-20,60.805335998535156
2015-05-21,61.244956970214844
2015-05-22,61.11795425415039
2015-05-26,61.08863067626953
2015-05-27,62.38798141479492
2015-05-28,61.81158447265625
2015-05-29,61.313331604003906
2015-06-01,61.44034194946289
2015-06-02,61.528255462646484
2015-06-03,61.90927505493164
2015-06-04,61.18632888793945
2015-06-05,61.450103759765625
2015-06-08,60.23868942260742
2015-06-09,60.35591506958008
2015-06-10,61.08863067626953
2015-06-11,61.147254943847656
2015-06-12,61.30356216430664
2015-06-15,60.15077209472656
2015-06-16,61.411033630371094
2015-06-17,62.993690490722656
2015-06-18,63.765480041503906
2015-06-19,64.4298095703125
2015-06-22,65.08436584472656
2015-06-23,65.04528045654297
2015-06-24,66.11993408203125
2015-06-25,65.89523315429688
2015-06-26,66.0710678100586
2015-06-29,64.6935806274414
2015-06-30,64.96713256835938
2015-07-01,66.43255615234375
2015-07-02,66.2371597290039
2015-07-06,66.44232177734375
2015-07-07,68.27897644042969
2015-07-08,67.40948486328125
2015-07-09,68.87493133544922
2015-07-10,70.40872955322266
2015-07-13,71.8448486328125
2015-07-14,70.5845947265625
2015-07-15,70.82881164550781
2015-07-16,71.2879867553711
2015-07-17,71.77645874023438
2015-07-20,73.06603240966797
2015-07-21,71.98162078857422
2015-07-22,71.2391357421875
2015-07-23,70.15473175048828
2015-07-24,70.62364959716797
2015-07-27,69.57833099365234
2015-07-28,70.14497375488281
2015-07-29,70.51618194580078
2015-07-30,70.63343811035156
2015-07-31,69.9007339477539
2015-08-03,69.3340835571289
2015-08-04,70.14497375488281
2015-08-05,73.4275131225586
2015-08-06,72.30400848388672
2015-08-07,71.66900634765625
2015-08-10,72.26493072509766
2015-08-11,72.11839294433594
2015-08-12,72.02069091796875
2015-08-13,71.68852233886719
2015-08-14,71.14144134521484
2015-08-17,72.00116729736328
2015-08-18,72.14772033691406
2015-08-19,69.95934295654297
2015-08-20,66.14923858642578
2015-08-21,64.01948547363281
2015-08-24,62.231666564941406
2015-08-25,62.075355529785156
2015-08-26,64.81082153320312
2015-08-27,65.61192321777344
2015-08-28,66.3446273803711
2015-08-31,64.62519836425781
2015-09-01,61.96788787841797
2015-09-02,63.17930221557617
2015-09-03,64.27349853515625
2015-09-04,64.84011840820312
2015-09-08,66.92102813720703
2015-09-09,66.21761322021484
2015-09-10,67.15548706054688
2015-09-11,67.32157897949219
2015-09-14,66.77447509765625
2015-09-15,67.78073120117188
2015-09-16,68.65998077392578
2015-09-17,69.42201232910156
2015-09-18,68.454833984375
2015-09-21,68.95307159423828
2015-09-22,67.10665893554688
2015-09-23,67.8589096069336
2015-09-24,67.22386932373047
2015-09-25,67.88819885253906
2015-09-28,64.92805480957031
2015-09-29,64.47865295410156
2015-09-30,66.18830871582031
2015-10-01,65.65099334716797
2015-10-02,64.95735168457031
2015-10-05,66.03199768066406
2015-10-06,65.01597595214844
2015-10-07,64.58612060546875
2015-10-08,64.28327178955078
2015-10-09,63.54079055786133
2015-10-12,66.5400161743164
2015-10-13,66.84285736083984
2015-10-14,68.94332122802734
2015-10-15,69.3340835571289
2015-10-16,70.05703735351562
2015-10-19,70.62364959716797
2015-10-20,70.63343811035156
2015-10-21,71.11215209960938
2015-10-22,72.82180786132812
2015-10-23,73.19304656982422
