,NRG
2021-11-02,35.7720947265625
2021-11-03,36.18825149536133
2021-11-04,32.17136001586914
2021-11-05,32.822750091552734
2021-11-08,32.23468780517578
2021-11-09,31.565202713012695
2021-11-10,31.6375789642334
2021-11-11,31.764240264892578
2021-11-12,32.29801940917969
2021-11-15,33.18463134765625
2021-11-16,33.130348205566406
2021-11-17,32.96749496459961
2021-11-18,32.614662170410156
2021-11-19,32.83179473876953
2021-11-22,33.05796813964844
2021-11-23,33.35651397705078
2021-11-24,33.709354400634766
2021-11-26,32.79560470581055
2021-11-29,33.139400482177734
2021-11-30,32.58751678466797
2021-12-01,32.20754623413086
2021-12-02,33.0670166015625
2021-12-03,33.07606887817383
2021-12-06,34.46026611328125
2021-12-07,35.156883239746094
2021-12-08,35.111656188964844
2021-12-09,34.804054260253906
2021-12-10,35.156883239746094
2021-12-13,36.16110610961914
2021-12-14,36.124935150146484
2021-12-15,36.2425422668457
2021-12-16,36.052547454833984
2021-12-17,36.63155746459961
2021-12-20,36.47776412963867
2021-12-21,37.563411712646484
2021-12-22,38.06098937988281
2021-12-23,38.178611755371094
2021-12-27,38.3324089050293
2021-12-28,38.61286544799805
2021-12-29,38.802852630615234
2021-12-30,38.820945739746094
2021-12-31,38.97475051879883
2022-01-03,38.86618423461914
2022-01-04,38.55858612060547
2022-01-05,37.472938537597656
2022-01-06,36.76726531982422
2022-01-07,36.694889068603516
2022-01-10,36.532047271728516
2022-01-11,36.98439407348633
2022-01-12,37.39152145385742
2022-01-13,37.00249481201172
2022-01-14,36.993438720703125
2022-01-18,36.4234733581543
2022-01-19,36.070648193359375
2022-01-20,34.858333587646484
2022-01-21,35.455440521240234
2022-01-24,36.02540588378906
2022-01-25,35.9258918762207
2022-01-26,35.94397735595703
2022-01-27,35.24735641479492
2022-01-28,36.09778594970703
2022-01-31,36.444618225097656
2022-02-01,35.367610931396484
2022-02-02,36.39897537231445
2022-02-03,35.97000503540039
2022-02-04,35.92436981201172
2022-02-07,36.417232513427734
2022-02-08,36.34422302246094
2022-02-09,37.31169509887695
2022-02-10,36.62715148925781
2022-02-11,36.225563049316406
2022-02-14,35.30372619628906
2022-02-15,35.55015563964844
2022-02-16,35.677940368652344
2022-02-17,34.97514343261719
2022-02-18,35.07554626464844
2022-02-22,34.02592468261719
2022-02-23,33.62434005737305
2022-02-24,34.84737014770508
2022-02-25,34.673954010009766
2022-02-28,34.53704071044922
2022-03-01,33.350521087646484
2022-03-02,34.436649322509766
2022-03-03,34.1171989440918
2022-03-04,34.281490325927734
2022-03-07,34.69220733642578
2022-03-08,34.171958923339844
2022-03-09,34.59181213378906
2022-03-10,34.36362838745117
2022-03-11,35.121185302734375
2022-03-14,35.31284713745117
2022-03-15,35.52277755737305
2022-03-16,35.77833938598633
2022-03-17,35.30372619628906
2022-03-18,34.600929260253906
2022-03-21,33.943782806396484
2022-03-22,34.29061508178711
2022-03-23,33.1314697265625
2022-03-24,33.26837921142578
2022-03-25,33.797752380371094
2022-03-28,34.32712173461914
2022-03-29,34.819984436035156
2022-03-30,34.701332092285156
2022-03-31,35.011653900146484
2022-04-01,35.04816818237305
2022-04-04,34.38188171386719
2022-04-05,34.33625030517578
2022-04-06,35.7874641418457
2022-04-07,35.632301330566406
2022-04-08,36.09778594970703
2022-04-11,35.17594528198242
2022-04-12,35.477142333984375
2022-04-13,35.385868072509766
2022-04-14,35.769203186035156
2022-04-18,36.35334396362305
2022-04-19,36.24382019042969
2022-04-20,37.66764831542969
2022-04-21,36.271202087402344
2022-04-22,34.600929260253906
2022-04-25,34.32712173461914
2022-04-26,34.01679611206055
2022-04-27,33.368778228759766
2022-04-28,33.90727233886719
2022-04-29,33.07802200317383
2022-05-02,33.94413375854492
2022-05-03,34.18368911743164
2022-05-04,35.2432975769043
2022-05-05,34.74574661254883
2022-05-06,38.14567947387695
2022-05-09,38.1733283996582
2022-05-10,38.412879943847656
2022-05-11,38.505035400390625
2022-05-12,38.13646697998047
2022-05-13,38.96572494506836
2022-05-16,40.605804443359375
2022-05-17,41.646976470947266
2022-05-18,42.162960052490234
2022-05-19,42.57758712768555
2022-05-20,42.126102447509766
2022-05-23,42.5499382019043
2022-05-24,42.209022521972656
2022-05-25,43.16727066040039
2022-05-26,43.03828048706055
2022-05-27,42.79872131347656
2022-05-31,42.42095184326172
2022-06-01,41.9141845703125
2022-06-02,42.31038284301758
2022-06-03,41.904972076416016
2022-06-06,42.59601593017578
2022-06-07,42.513092041015625
2022-06-08,42.05238342285156
2022-06-09,41.941829681396484
2022-06-10,40.5505256652832
2022-06-13,37.36250305175781
2022-06-14,36.321319580078125
2022-06-15,36.03569412231445
2022-06-16,33.96255874633789
2022-06-17,33.47422409057617
2022-06-21,34.091548919677734
2022-06-22,33.612430572509766
2022-06-23,34.79180908203125
2022-06-24,35.307796478271484
2022-06-27,35.57499694824219
2022-06-28,34.84709930419922
2022-06-29,34.84709930419922
2022-06-30,35.169578552246094
2022-07-01,35.78691482543945
2022-07-05,34.63517379760742
2022-07-06,34.36797332763672
2022-07-07,34.74574661254883
2022-07-08,34.85630798339844
2022-07-11,34.55225372314453
2022-07-12,34.72731018066406
2022-07-13,34.202125549316406
2022-07-14,33.40971755981445
2022-07-15,33.1517333984375
2022-07-18,32.79239273071289
2022-07-19,32.93060302734375
2022-07-20,33.02273178100586
2022-07-21,33.20701599121094
2022-07-22,32.82924270629883
2022-07-25,33.12409210205078
2022-07-26,33.50186538696289
2022-07-27,33.612430572509766
2022-07-28,34.56146240234375
2022-07-29,35.11021041870117
2022-08-01,34.98929977416992
2022-08-02,34.67307662963867
2022-08-03,34.75678253173828
2022-08-04,36.40300750732422
2022-08-05,35.77055740356445
2022-08-08,36.030982971191406
2022-08-09,35.64965057373047
2022-08-10,36.49601364135742
2022-08-11,37.60280227661133
2022-08-12,38.75608825683594
2022-08-15,39.295528411865234
