,KKR
2022-04-29,49.64019012451172
2022-05-02,51.55878448486328
2022-05-03,52.87356948852539
2022-05-04,55.853736877441406
2022-05-05,53.915653228759766
2022-05-06,52.15287780761719
2022-05-09,48.55915069580078
2022-05-10,49.825233459472656
2022-05-11,48.841583251953125
2022-05-12,47.03984832763672
2022-05-13,50.386234283447266
2022-05-16,49.770694732666016
2022-05-17,51.861568450927734
2022-05-18,49.59482192993164
2022-05-19,49.30171203613281
2022-05-20,50.571868896484375
2022-05-23,50.75750732421875
2022-05-24,48.84249496459961
2022-05-25,49.43849563598633
2022-05-26,53.19034957885742
2022-05-27,54.75362014770508
2022-05-31,53.551856994628906
2022-06-01,53.20988464355469
2022-06-02,55.0565071105957
2022-06-03,54.05015182495117
2022-06-06,55.212833404541016
2022-06-07,55.642730712890625
2022-06-08,53.590938568115234
2022-06-09,51.949501037597656
2022-06-10,49.87816619873047
2022-06-13,45.686641693115234
2022-06-14,46.018836975097656
2022-06-15,47.57233810424805
2022-06-16,44.02566146850586
2022-06-17,44.142913818359375
2022-06-21,45.305599212646484
2022-06-22,44.76822280883789
2022-06-23,45.325138092041016
2022-06-24,47.45509338378906
2022-06-27,47.35738754272461
2022-06-28,47.44532775878906
2022-06-29,46.263092041015625
2022-06-30,45.2274284362793
2022-07-01,45.657325744628906
2022-07-05,46.55621337890625
2022-07-06,46.25333023071289
2022-07-07,47.57233810424805
2022-07-08,46.4585075378418
2022-07-11,46.184940338134766
2022-07-12,45.59870529174805
2022-07-13,45.11018753051758
2022-07-14,44.777984619140625
2022-07-15,47.132667541503906
2022-07-18,47.591880798339844
2022-07-19,49.62413787841797
2022-07-20,50.42530822753906
2022-07-21,51.24603271484375
2022-07-22,50.1517448425293
2022-07-25,50.943145751953125
2022-07-26,49.9270133972168
2022-07-27,51.42190170288086
2022-07-28,54.16740036010742
2022-07-29,54.18693923950195
2022-08-01,54.25532913208008
2022-08-02,51.04085159301758
2022-08-03,52.06675338745117
2022-08-04,52.01789093017578
2022-08-05,51.21672439575195
2022-08-08,51.597774505615234
2022-08-09,50.56209945678711
2022-08-10,54.22602081298828
2022-08-11,55.359397888183594
2022-08-12,55.96192169189453
2022-08-15,56.35381317138672
2022-08-16,56.04029846191406
2022-08-17,55.39368438720703
2022-08-18,54.69807434082031
2022-08-19,52.99335479736328
2022-08-22,51.84707260131836
2022-08-23,51.7588996887207
2022-08-24,52.08221435546875
2022-08-25,53.31666564941406
2022-08-26,50.583229064941406
2022-08-29,50.11296463012695
2022-08-30,49.67208480834961
2022-08-31,49.53492736816406
2022-09-01,49.113651275634766
2022-09-02,48.2514762878418
2022-09-06,47.53628921508789
2022-09-07,48.427833557128906
2022-09-08,49.05486297607422
2022-09-09,50.45586013793945
2022-09-12,51.611942291259766
2022-09-13,48.98627853393555
2022-09-14,49.123435974121094
2022-09-15,48.633575439453125
2022-09-16,47.53628921508789
2022-09-19,48.50621032714844
2022-09-20,46.71331024169922
2022-09-21,45.184940338134766
2022-09-22,44.19541931152344
2022-09-23,43.000152587890625
2022-09-26,42.77481460571289
2022-09-27,43.039344787597656
2022-09-28,44.107242584228516
2022-09-29,42.42211151123047
2022-09-30,42.128196716308594
2022-10-03,43.078529357910156
2022-10-04,46.42919158935547
2022-10-05,46.33122253417969
2022-10-06,46.0862922668457
2022-10-07,43.989681243896484
2022-10-10,44.077857971191406
2022-10-11,43.24508285522461
2022-10-12,43.480220794677734
2022-10-13,44.59710693359375
2022-10-14,43.42144012451172
2022-10-17,44.263999938964844
2022-10-18,45.49845886230469
2022-10-19,44.842037200927734
2022-10-20,43.99947738647461
2022-10-21,45.40047836303711
2022-10-24,45.32209777832031
2022-10-25,46.311622619628906
2022-10-26,47.261962890625
2022-10-27,47.74202346801758
2022-10-28,48.378849029541016
2022-10-31,47.64405822753906
2022-11-01,48.46702575683594
2022-11-02,48.82952117919922
2022-11-03,47.49709701538086
2022-11-04,50.28931427001953
2022-11-07,51.47477722167969
2022-11-08,51.59234619140625
2022-11-09,49.476139068603516
2022-11-10,55.406986236572266
2022-11-11,56.094913482666016
2022-11-14,52.69461441040039
2022-11-15,53.23512649536133
2022-11-16,52.222904205322266
2022-11-17,51.04361343383789
2022-11-18,50.94533920288086
2022-11-21,50.44414138793945
2022-11-22,50.955162048339844
2022-11-23,51.18119430541992
2022-11-25,50.955162048339844
2022-11-28,49.6776008605957
2022-11-29,49.6776008605957
2022-11-30,51.02396011352539
2022-12-01,51.64308166503906
2022-12-02,51.3482666015625
2022-12-05,48.71451187133789
2022-12-06,48.203487396240234
2022-12-07,46.53282165527344
2022-12-08,47.436954498291016
2022-12-09,47.171607971191406
2022-12-12,47.495914459228516
2022-12-13,49.07813262939453
2022-12-14,48.49830627441406
2022-12-15,46.650760650634766
2022-12-16,45.77611541748047
2022-12-19,45.20612335205078
2022-12-20,45.432159423828125
2022-12-21,46.82765579223633
2022-12-22,45.80559539794922
2022-12-23,46.06111145019531
2022-12-27,45.098026275634766
2022-12-28,44.41992950439453
2022-12-29,45.933353424072266
2022-12-30,45.618873596191406
2023-01-03,45.874393463134766
2023-01-04,47.2698860168457
2023-01-05,46.58196258544922
2023-01-06,47.348506927490234
2023-01-09,48.783302307128906
2023-01-10,49.26485061645508
2023-01-11,51.328609466552734
2023-01-12,52.74375534057617
2023-01-13,53.068058013916016
2023-01-17,52.606170654296875
2023-01-18,52.09513854980469
2023-01-19,49.62846755981445
2023-01-20,52.26221466064453
2023-01-23,52.959957122802734
2023-01-24,52.448936462402344
2023-01-25,52.64548110961914
2023-01-26,54.36528015136719
2023-01-27,54.542171478271484
2023-01-30,53.49063491821289
2023-01-31,54.846824645996094
2023-02-01,56.006465911865234
2023-02-02,57.008853912353516
2023-02-03,56.1636962890625
2023-02-06,55.053199768066406
2023-02-07,57.92280578613281
2023-02-08,57.26436996459961
2023-02-09,56.7042121887207
2023-02-10,56.98920440673828
2023-02-13,58.080039978027344
2023-02-14,57.58866882324219
2023-02-15,57.88349151611328
2023-02-16,56.70602035522461
2023-02-17,56.34144973754883
2023-02-21,54.883155822753906
2023-02-22,54.69593811035156
2023-02-23,55.08021545410156
2023-02-24,54.22298049926758
2023-02-27,54.833885192871094
2023-02-28,55.52362060546875
2023-03-01,55.12948989868164
2023-03-02,54.991539001464844
2023-03-03,56.12467575073242
2023-03-06,56.242916107177734
2023-03-07,55.03095626831055
2023-03-08,56.164093017578125
2023-03-09,53.651485443115234
2023-03-10,49.57219696044922
2023-03-13,49.099239349365234
2023-03-14,50.12398147583008
2023-03-15,49.099239349365234
2023-03-16,49.01055145263672
2023-03-17,47.72962188720703
2023-03-20,47.88727569580078
2023-03-21,50.28163528442383
2023-03-22,49.62146759033203
2023-03-23,49.82838439941406
2023-03-24,49.316009521484375
2023-03-27,49.68058395385742
2023-03-28,49.611610412597656
2023-03-29,50.38017654418945
2023-03-30,50.59695053100586
2023-03-31,51.749786376953125
2023-04-03,51.16843795776367
2023-04-04,50.26192855834961
2023-04-05,49.07952880859375
2023-04-06,48.58686065673828
2023-04-10,49.66087341308594
2023-04-11,50.744747161865234
2023-04-12,50.5378303527832
2023-04-13,51.23741149902344
2023-04-14,51.14873123168945
2023-04-17,51.55271911621094
2023-04-18,52.2523078918457
2023-04-19,53.12925720214844
2023-04-20,52.1833381652832
2023-04-21,51.749786376953125
2023-04-24,51.7202262878418
2023-04-25,50.2914924621582
2023-04-26,49.562347412109375
2023-04-27,50.6068000793457
2023-04-28,52.29172134399414
2023-05-01,52.46908187866211
2023-05-02,50.46885299682617
2023-05-03,50.55753707885742
2023-05-04,48.87260818481445
2023-05-05,50.75459671020508
2023-05-08,48.58686065673828
2023-05-09,48.291259765625
2023-05-10,48.458770751953125
2023-05-11,47.89712905883789
2023-05-12,47.77889633178711
2023-05-15,48.389793395996094
2023-05-16,47.08915328979492
