,CE
2015-12-24,55.85462188720703
2015-12-28,55.38379669189453
2015-12-29,55.87113952636719
2015-12-30,55.7059326171875
2015-12-31,55.61507034301758
2016-01-04,54.62386703491211
2016-01-05,55.2846565246582
2016-01-06,53.83916091918945
2016-01-07,51.5676383972168
2016-01-08,51.36113739013672
2016-01-11,51.460262298583984
2016-01-12,52.30277633666992
2016-01-13,51.86500549316406
2016-01-14,52.04672622680664
2016-01-15,51.17116165161133
2016-01-19,50.089080810546875
2016-01-20,48.89963912963867
2016-01-21,48.965721130371094
2016-01-22,50.45252227783203
2016-01-25,49.26307678222656
2016-01-26,50.791194915771484
2016-01-27,50.93161392211914
2016-01-28,51.31157684326172
2016-01-29,52.59188461303711
2016-02-01,50.77466583251953
2016-02-02,49.29611587524414
2016-02-03,49.956932067871094
2016-02-04,50.27080154418945
2016-02-05,48.74270248413086
2016-02-08,46.5950813293457
2016-02-09,47.52845764160156
2016-02-10,47.03285217285156
2016-02-11,46.34364318847656
2016-02-12,47.589210510253906
2016-02-16,48.735130310058594
2016-02-17,49.374534606933594
2016-02-18,49.117103576660156
2016-02-19,48.9925651550293
2016-02-22,50.76957702636719
2016-02-23,48.71852111816406
2016-02-24,49.175235748291016
2016-02-25,49.78141403198242
2016-02-26,50.694828033447266
2016-02-29,50.10526657104492
2016-03-01,50.94394302368164
2016-03-02,51.33424377441406
2016-03-03,52.15631866455078
2016-03-04,52.770790100097656
2016-03-07,53.269039154052734
2016-03-08,51.34253692626953
2016-03-09,51.907196044921875
2016-03-10,51.6414794921875
2016-03-11,53.883506774902344
2016-03-14,53.09464645385742
2016-03-15,52.69606399536133
2016-03-16,53.908424377441406
2016-03-17,55.311767578125
2016-03-18,55.635616302490234
2016-03-21,55.619014739990234
2016-03-22,55.46123123168945
2016-03-23,54.25717544555664
2016-03-24,53.941627502441406
2016-03-28,53.908424377441406
2016-03-29,54.56443405151367
2016-03-30,54.83015060424805
2016-03-31,54.390045166015625
2016-04-01,55.32838439941406
2016-04-04,54.98792266845703
2016-04-05,54.705589294433594
2016-04-06,55.75187683105469
2016-04-07,54.473079681396484
2016-04-08,55.619014739990234
2016-04-11,55.668819427490234
2016-04-12,56.74003601074219
2016-04-13,57.46243667602539
2016-04-14,57.57041549682617
2016-04-15,57.55380630493164
2016-04-18,58.01051330566406
2016-04-19,57.91084671020508
2016-04-20,59.39725112915039
2016-04-21,58.724647521972656
2016-04-22,60.02003860473633
2016-04-25,58.799373626708984
2016-04-26,59.289283752441406
2016-04-27,59.37236022949219
2016-04-28,59.105255126953125
2016-04-29,59.0051155090332
