,HII
2017-05-12,166.8889617919922
2017-05-15,169.6491241455078
2017-05-16,168.76344299316406
2017-05-17,164.36097717285156
2017-05-18,163.6644744873047
2017-05-19,168.09280395507812
2017-05-22,168.47116088867188
2017-05-23,168.55711364746094
2017-05-24,168.40185546875
2017-05-25,170.29071044921875
2017-05-26,169.32470703125
2017-05-30,167.39268493652344
2017-05-31,168.8848419189453
2017-06-01,167.57382202148438
2017-06-02,167.142578125
2017-06-05,164.89144897460938
2017-06-06,162.8646240234375
2017-06-07,163.770263671875
2017-06-08,166.03858947753906
2017-06-09,166.86660766601562
2017-06-12,167.98785400390625
2017-06-13,169.62655639648438
2017-06-14,169.7128448486328
2017-06-15,168.66920471191406
2017-06-16,160.40650939941406
2017-06-19,161.42425537109375
2017-06-20,160.6566619873047
2017-06-21,160.9240264892578
2017-06-22,160.02700805664062
2017-06-23,161.14820861816406
2017-06-26,160.67385864257812
2017-06-27,161.26040649414062
2017-06-28,161.59677124023438
2017-06-29,159.7510528564453
2017-06-30,160.56175231933594
2017-07-03,165.2020263671875
2017-07-05,166.435302734375
2017-07-06,165.06402587890625
2017-07-07,166.3749237060547
2017-07-10,166.70272827148438
2017-07-11,168.0827178955078
2017-07-12,171.9811248779297
2017-07-13,171.1100616455078
2017-07-14,170.90309143066406
2017-07-17,171.01513671875
2017-07-18,170.2389373779297
2017-07-19,171.19635009765625
2017-07-20,171.80006408691406
2017-07-21,173.6630401611328
2017-07-24,173.93045043945312
2017-07-25,175.62088012695312
2017-07-26,175.50877380371094
2017-07-27,174.94821166992188
2017-07-28,177.37179565429688
2017-07-31,177.7685089111328
2017-08-01,178.1824951171875
2017-08-02,179.5797576904297
2017-08-03,184.51324462890625
2017-08-04,184.5304412841797
2017-08-07,184.17681884765625
2017-08-08,184.5735626220703
2017-08-09,185.2290496826172
2017-08-10,183.78012084960938
2017-08-11,183.8490753173828
2017-08-14,185.44471740722656
2017-08-15,184.8582305908203
2017-08-16,181.8308868408203
2017-08-17,179.7781219482422
2017-08-18,177.0008544921875
2017-08-21,175.87962341308594
2017-08-22,179.16574096679688
2017-08-23,178.91490173339844
2017-08-24,181.1033172607422
2017-08-25,180.7314453125
2017-08-28,178.29214477539062
2017-08-29,180.6103057861328
2017-08-30,182.12399291992188
2017-08-31,185.0736541748047
2017-09-01,185.9991912841797
2017-09-05,184.5373077392578
2017-09-06,183.03224182128906
2017-09-07,181.58773803710938
2017-09-08,182.0202178955078
2017-09-11,183.1879425048828
2017-09-12,184.72764587402344
2017-09-13,182.0202178955078
2017-09-14,181.7780303955078
2017-09-15,183.73289489746094
2017-09-18,186.46630859375
2017-09-19,187.76377868652344
2017-09-20,188.67201232910156
2017-09-21,189.58885192871094
2017-09-22,190.6182403564453
2017-09-25,190.71340942382812
2017-09-26,192.20985412597656
2017-09-27,193.2910614013672
2017-09-28,192.945068359375
2017-09-29,195.86874389648438
2017-10-02,198.88755798339844
2017-10-03,200.67807006835938
2017-10-04,202.52919006347656
2017-10-05,202.54647827148438
2017-10-06,203.9910125732422
2017-10-09,204.086181640625
2017-10-10,203.16928100585938
2017-10-11,202.34750366210938
2017-10-12,203.65365600585938
2017-10-13,202.7541046142578
2017-10-16,204.0774688720703
2017-10-17,203.47203063964844
2017-10-18,203.1779327392578
2017-10-19,203.10873413085938
2017-10-20,203.63636779785156
2017-10-23,202.90975952148438
2017-10-24,204.0774688720703
2017-10-25,202.40805053710938
2017-10-26,200.52239990234375
2017-10-27,201.9410400390625
