,J
2020-02-27,74.90728759765625
2020-02-28,74.12065887451172
2020-03-02,77.77288818359375
2020-03-03,78.34281158447266
2020-03-04,81.30474853515625
2020-03-05,78.06990051269531
2020-03-06,75.50932312011719
2020-03-09,71.39149475097656
2020-03-10,74.07249450683594
2020-03-11,70.636962890625
2020-03-12,63.509029388427734
2020-03-13,69.64161682128906
2020-03-16,63.308380126953125
2020-03-17,64.68901062011719
2020-03-18,63.75788497924805
2020-03-19,59.953125
2020-03-20,52.696781158447266
2020-03-23,50.577674865722656
2020-03-24,55.77912521362305
2020-03-25,58.7972412109375
2020-03-26,64.0709457397461
2020-03-27,60.105628967285156
2020-03-30,62.60200881958008
2020-03-31,63.629425048828125
2020-04-01,63.589324951171875
2020-04-02,65.16259765625
2020-04-03,63.38862609863281
2020-04-06,66.96063995361328
2020-04-07,65.7244644165039
2020-04-08,64.96992492675781
2020-04-09,65.2669448852539
2020-04-13,64.07896423339844
2020-04-14,65.66828155517578
2020-04-15,64.2314682006836
2020-04-16,63.452850341796875
2020-04-17,67.58671569824219
2020-04-20,64.77731323242188
2020-04-21,62.77859878540039
2020-04-22,63.82209396362305
2020-04-23,64.01475524902344
2020-04-24,64.21541595458984
2020-04-27,64.04684448242188
2020-04-28,67.02484130859375
2020-04-29,66.40677642822266
2020-04-30,66.42282104492188
2020-05-01,64.84152221679688
2020-05-04,65.0422134399414
2020-05-05,65.45156860351562
2020-05-06,62.8909797668457
2020-05-07,63.05150604248047
2020-05-08,64.19134521484375
2020-05-11,63.06757736206055
2020-05-12,59.92903518676758
2020-05-13,57.85006332397461
2020-05-14,57.47280502319336
2020-05-15,57.88217544555664
2020-05-18,62.10432434082031
2020-05-19,59.79979705810547
2020-05-20,61.51457595825195
2020-05-21,61.96540451049805
2020-05-22,62.070064544677734
2020-05-26,64.89581298828125
2020-05-27,67.8021011352539
2020-05-28,67.85845184326172
2020-05-29,67.64109802246094
2020-06-01,68.50249481201172
2020-06-02,68.71985626220703
2020-06-03,70.69225311279297
2020-06-04,70.51512908935547
2020-06-05,71.69857788085938
2020-06-08,72.06084442138672
2020-06-09,71.32020568847656
2020-06-10,68.32537841796875
2020-06-11,64.50938415527344
2020-06-12,64.79922485351562
2020-06-15,66.32881164550781
2020-06-16,68.52664184570312
2020-06-17,68.76817321777344
2020-06-18,68.54273223876953
2020-06-19,68.8969955444336
2020-06-22,68.96135711669922
2020-06-23,68.68763732910156
2020-06-24,66.72329711914062
2020-06-25,67.33514404296875
2020-06-26,66.4173812866211
2020-06-29,68.29318237304688
2020-06-30,68.2690200805664
2020-07-01,67.54447174072266
2020-07-02,68.96135711669922
2020-07-06,68.35758209228516
2020-07-07,67.2385482788086
2020-07-08,65.69284057617188
2020-07-09,63.478919982910156
2020-07-10,63.25351333618164
2020-07-13,63.38230514526367
2020-07-14,63.63188934326172
2020-07-15,65.338623046875
2020-07-16,66.51396942138672
2020-07-17,67.2385482788086
2020-07-20,66.80381774902344
2020-07-21,67.5927734375
2020-07-22,67.93896484375
2020-07-23,68.2939682006836
2020-07-24,67.72916412353516
2020-07-27,67.94701385498047
2020-07-28,67.5435791015625
2020-07-29,69.9722671508789
2020-07-30,68.89105987548828
2020-07-31,68.86685180664062
2020-08-03,73.02227020263672
2020-08-04,74.52304077148438
2020-08-05,74.32939147949219
2020-08-06,72.99806213378906
2020-08-07,73.68390655517578
2020-08-10,73.52252197265625
2020-08-11,73.4095687866211
