,SWK
2017-02-17,104.451171875
2017-02-21,104.94601440429688
2017-02-22,104.9789810180664
2017-02-23,104.83879089355469
2017-02-24,105.37486267089844
2017-02-27,105.73112487792969
2017-02-28,105.34174346923828
2017-03-01,107.12296295166016
2017-03-02,106.12879180908203
2017-03-03,106.07908630371094
2017-03-06,106.5099105834961
2017-03-07,105.97138977050781
2017-03-08,106.26964569091797
2017-03-09,105.73939514160156
2017-03-10,107.03184509277344
2017-03-13,108.2828369140625
2017-03-14,107.4460678100586
2017-03-15,108.58939361572266
2017-03-16,108.64739227294922
2017-03-17,108.80480194091797
2017-03-20,108.70537567138672
2017-03-21,107.34667205810547
2017-03-22,108.20001220703125
2017-03-23,108.6639404296875
2017-03-24,108.3656997680664
2017-03-27,108.37396240234375
2017-03-28,109.4427261352539
2017-03-29,109.36813354492188
2017-03-30,109.89009094238281
2017-03-31,110.08061981201172
2017-04-03,109.6912841796875
2017-04-04,109.3101806640625
2017-04-05,108.61425018310547
2017-04-06,109.69956970214844
2017-04-07,109.58357238769531
2017-04-10,109.79070281982422
2017-04-11,109.84040069580078
2017-04-12,109.5752944946289
2017-04-13,108.1751480102539
2017-04-17,108.6722412109375
2017-04-18,108.70537567138672
2017-04-19,108.57283782958984
2017-04-20,109.94811248779297
2017-04-21,113.96622467041016
2017-04-24,113.84197998046875
2017-04-25,113.39457702636719
2017-04-26,112.93062591552734
2017-04-27,113.79224395751953
2017-04-28,112.79808807373047
2017-05-01,112.76497650146484
2017-05-02,113.49401092529297
2017-05-03,112.90579986572266
2017-05-04,114.4798812866211
2017-05-05,114.83617401123047
2017-05-08,114.87760162353516
2017-05-09,115.03499603271484
2017-05-10,115.22554779052734
2017-05-11,114.41363525390625
2017-05-12,113.49401092529297
2017-05-15,113.85853576660156
2017-05-16,113.45257568359375
2017-05-17,111.38138580322266
2017-05-18,111.82048797607422
2017-05-19,113.12947082519531
2017-05-22,112.94721221923828
2017-05-23,112.16014862060547
2017-05-24,112.82290649414062
2017-05-25,112.9637680053711
2017-05-26,113.32828521728516
2017-05-30,113.41117095947266
2017-05-31,114.03253936767578
2017-06-01,115.01012420654297
2017-06-02,115.36638641357422
2017-06-05,115.15006256103516
2017-06-06,113.85224914550781
2017-06-07,114.52616882324219
2017-06-08,114.73410034179688
2017-06-09,116.46453857421875
2017-06-12,115.36637115478516
2017-06-13,117.787353515625
2017-06-14,117.787353515625
2017-06-15,117.27156066894531
2017-06-16,117.47952270507812
2017-06-19,118.2282943725586
2017-06-20,118.87722778320312
2017-06-21,118.88552856445312
2017-06-22,118.25325775146484
2017-06-23,119.01032257080078
2017-06-26,118.53611755371094
2017-06-27,116.88053131103516
2017-06-28,117.66254425048828
2017-06-29,116.16504669189453
2017-06-30,117.0801773071289
2017-07-03,117.95374298095703
2017-07-05,118.98535919189453
2017-07-06,118.37802124023438
2017-07-07,120.5577621459961
2017-07-10,121.3647232055664
2017-07-11,120.82396697998047
2017-07-12,121.61431884765625
2017-07-13,121.77239990234375
2017-07-14,121.66423797607422
2017-07-17,122.0053482055664
2017-07-18,121.67252349853516
2017-07-19,122.96208190917969
2017-07-20,122.01364135742188
2017-07-21,122.121826171875
2017-07-24,119.55108642578125
2017-07-25,118.34476470947266
2017-07-26,116.70580291748047
2017-07-27,117.42127227783203
2017-07-28,116.37303924560547
2017-07-31,117.04692077636719
2017-08-01,116.03195190429688
2017-08-02,117.82061767578125
2017-08-03,118.36141204833984
2017-08-04,118.42797088623047
2017-08-07,118.24496459960938
2017-08-08,117.27156066894531
2017-08-09,116.75572967529297
2017-08-10,115.05860137939453
2017-08-11,115.76569366455078
2017-08-14,117.09687805175781
2017-08-15,115.99034881591797
2017-08-16,117.02196502685547
2017-08-17,114.9088134765625
2017-08-18,114.3929672241211
2017-08-21,114.03526306152344
2017-08-22,115.39967346191406
2017-08-23,114.09349060058594
2017-08-24,114.11013793945312
2017-08-25,115.49949645996094
2017-08-28,115.36637115478516
2017-08-29,115.64924621582031
2017-08-30,116.8193130493164
2017-08-31,120.34606170654297
2017-09-01,119.20945739746094
2017-09-05,118.42386627197266
2017-09-06,119.11754608154297
2017-09-07,120.91437530517578
2017-09-08,122.89508819580078
2017-09-11,123.23770141601562
2017-09-12,123.27117919921875
2017-09-13,122.87837982177734
2017-09-14,123.45503234863281
2017-09-15,123.72244262695312
2017-09-18,125.20169830322266
2017-09-19,126.4051742553711
2017-09-20,127.28270721435547
2017-09-21,127.0068588256836
2017-09-22,126.380126953125
2017-09-25,125.69476318359375
2017-09-26,124.54145812988281
2017-09-27,124.23223876953125
2017-09-28,124.95940399169922
2017-09-29,126.17115783691406
2017-10-02,129.14639282226562
2017-10-03,129.89852905273438
2017-10-04,130.96827697753906
2017-10-05,130.4835662841797
2017-10-06,129.9486846923828
2017-10-09,130.93487548828125
2017-10-10,130.2244873046875
2017-10-11,130.78445434570312
2017-10-12,132.28036499023438
2017-10-13,132.63973999023438
2017-10-16,132.58961486816406
2017-10-17,130.90977478027344
2017-10-18,131.08535766601562
2017-10-19,131.3444061279297
2017-10-20,133.81813049316406
2017-10-23,132.20518493652344
2017-10-24,138.51504516601562
2017-10-25,136.6680145263672
2017-10-26,137.64584350585938
