,TAP
2018-11-29,55.32777404785156
2018-11-30,56.58385467529297
2018-12-03,56.90217590332031
2018-12-04,55.8095588684082
2018-12-06,55.45682907104492
2018-12-07,54.51906204223633
2018-12-10,53.977054595947266
2018-12-11,53.804996490478516
2018-12-12,54.26096725463867
2018-12-13,54.372802734375
2018-12-14,53.34041213989258
2018-12-17,52.110137939453125
2018-12-18,51.01752471923828
2018-12-19,49.70121765136719
2018-12-20,49.245243072509766
2018-12-21,47.74827575683594
2018-12-24,47.44715118408203
2018-12-26,48.31609344482422
2018-12-27,48.64301300048828
2018-12-28,48.12682342529297
2018-12-31,48.31609344482422
2019-01-02,49.11619186401367
2019-01-03,49.78724670410156
2019-01-04,51.37025833129883
2019-01-07,51.258419036865234
2019-01-08,52.62633514404297
2019-01-09,52.480072021484375
2019-01-10,54.08030700683594
2019-01-11,54.493255615234375
2019-01-14,53.6501350402832
2019-01-15,53.71035385131836
2019-01-16,52.70376205444336
2019-01-17,53.15113830566406
2019-01-18,54.73414611816406
2019-01-22,55.147098541259766
2019-01-23,55.42240905761719
2019-01-24,54.536277770996094
2019-01-25,55.40521240234375
2019-01-28,55.190128326416016
2019-01-29,55.70631790161133
2019-01-30,56.20531463623047
2019-01-31,57.3065299987793
2019-02-01,56.78173828125
2019-02-04,56.652679443359375
2019-02-05,57.220497131347656
2019-02-06,56.49781799316406
2019-02-07,56.41179275512695
2019-02-08,55.86978530883789
2019-02-11,56.23112106323242
2019-02-12,50.922889709472656
2019-02-13,51.344451904296875
2019-02-14,51.482112884521484
2019-02-15,52.40264892578125
2019-02-19,52.5747184753418
2019-02-20,52.81561279296875
2019-02-21,53.40924072265625
2019-02-22,53.280189514160156
2019-02-25,52.51449966430664
2019-02-26,52.51449966430664
2019-02-27,52.5747184753418
2019-02-28,53.047908782958984
2019-03-01,53.18647003173828
2019-03-04,53.047908782958984
2019-03-05,52.909324645996094
2019-03-06,52.10386657714844
2019-03-07,51.99993896484375
2019-03-08,51.48894500732422
2019-03-11,52.05189895629883
2019-03-12,52.14717102050781
2019-03-13,52.476287841796875
2019-03-14,52.38966751098633
2019-03-15,52.67548370361328
