,AMT
2016-04-12,87.19945526123047
2016-04-13,87.24874877929688
2016-04-14,86.40277862548828
2016-04-15,86.87914276123047
2016-04-18,86.6820068359375
2016-04-19,86.64917755126953
2016-04-20,86.0906753540039
2016-04-21,84.24271392822266
2016-04-22,85.5732421875
2016-04-25,85.56499481201172
2016-04-26,86.04957580566406
2016-04-27,85.81961822509766
2016-04-28,85.5239486694336
2016-04-29,86.13993835449219
2016-05-02,86.65739440917969
2016-05-03,85.54859161376953
2016-05-04,86.65739440917969
2016-05-05,87.3144302368164
2016-05-06,87.52799224853516
2016-05-09,87.59367370605469
2016-05-10,88.02899169921875
2016-05-11,86.83805084228516
2016-05-12,87.5197525024414
2016-05-13,86.81340789794922
2016-05-16,87.45406341552734
2016-05-17,86.53416442871094
2016-05-18,85.868896484375
2016-05-19,85.22827911376953
2016-05-20,85.42539978027344
2016-05-23,85.54859161376953
2016-05-24,86.48492431640625
2016-05-25,87.19945526123047
2016-05-26,86.48492431640625
2016-05-27,87.10909271240234
2016-05-31,86.87914276123047
2016-06-01,86.62452697753906
2016-06-02,87.5197525024414
2016-06-03,87.85649108886719
2016-06-06,88.04541778564453
2016-06-07,88.59571075439453
2016-06-08,88.34107208251953
2016-06-09,89.58126831054688
2016-06-10,89.35130310058594
2016-06-13,89.46629333496094
2016-06-14,88.38213348388672
2016-06-15,88.50593566894531
2016-06-16,88.88561248779297
2016-06-17,88.2665786743164
2016-06-20,88.66276550292969
2016-06-21,90.33006286621094
2016-06-22,90.29703521728516
2016-06-23,92.00557708740234
2016-06-24,89.36436462402344
2016-06-27,89.8760757446289
2016-06-28,91.45257568359375
2016-06-29,93.2684097290039
2016-06-30,93.77191162109375
2016-07-01,93.76365661621094
2016-07-05,93.95350646972656
2016-07-06,92.77318572998047
2016-07-07,92.60809326171875
2016-07-08,93.81318664550781
2016-07-11,94.6468276977539
2016-07-12,95.82709503173828
2016-07-13,95.75283813476562
2016-07-14,96.56998443603516
2016-07-15,96.42140197753906
2016-07-18,95.99220275878906
2016-07-19,96.8753433227539
2016-07-20,97.17250061035156
2016-07-21,97.02392578125
2016-07-22,97.2632827758789
2016-07-25,96.46266174316406
2016-07-26,96.54520416259766
2016-07-27,97.0734634399414
2016-07-28,96.28108215332031
2016-07-29,95.55474853515625
2016-08-01,96.60296630859375
2016-08-02,96.3553466796875
2016-08-03,95.52172088623047
2016-08-04,96.09123229980469
2016-08-05,96.2232894897461
2016-08-08,95.52172088623047
2016-08-09,95.67853546142578
2016-08-10,95.94266510009766
2016-08-11,95.65380859375
2016-08-12,96.15726470947266
2016-08-15,95.57124328613281
2016-08-16,94.1928482055664
2016-08-17,94.55601501464844
2016-08-18,94.38270568847656
2016-08-19,93.77191162109375
2016-08-22,94.60556030273438
2016-08-23,95.10079193115234
2016-08-24,94.56427764892578
2016-08-25,94.30014038085938
2016-08-26,93.45826721191406
2016-08-29,93.96173858642578
2016-08-30,93.45001220703125
2016-08-31,93.58208465576172
2016-09-01,93.94525909423828
2016-09-02,94.99348449707031
2016-09-06,96.69375610351562
2016-09-07,96.42963409423828
2016-09-08,95.95092010498047
2016-09-09,90.9490966796875
2016-09-12,91.84051513671875
2016-09-13,89.23229217529297
2016-09-14,89.4468765258789
2016-09-15,90.03292083740234
2016-09-16,89.14151763916016
2016-09-19,90.13198852539062
2016-09-20,89.6780014038086
2016-09-21,90.87479400634766
2016-09-22,92.67415618896484
2016-09-23,93.26016235351562
2016-09-26,93.0125503540039
2016-09-27,92.9217529296875
2016-09-28,93.41943359375
2016-09-29,94.12445068359375
2016-09-30,94.00003814697266
2016-10-03,93.1042251586914
2016-10-04,91.74395751953125
2016-10-05,89.11466217041016
2016-10-06,90.00216674804688
2016-10-07,90.00216674804688
2016-10-10,90.76521301269531
2016-10-11,90.35880279541016
2016-10-12,92.51534271240234
2016-10-13,93.47747802734375
2016-10-14,94.01661682128906
2016-10-17,94.0083236694336
2016-10-18,94.68018341064453
2016-10-19,95.65060424804688
2016-10-20,95.24420166015625
2016-10-21,95.97407531738281
2016-10-24,96.83671569824219
2016-10-25,96.83671569824219
2016-10-26,95.94091796875
2016-10-27,95.71694946289062
2016-10-28,96.32244110107422
2016-10-31,97.20166778564453
2016-11-01,95.50960540771484
2016-11-02,93.65167999267578
2016-11-03,93.95026397705078
2016-11-04,93.70975494384766
2016-11-07,95.54278564453125
