,ATO
2016-10-21,58.87005615234375
2016-10-24,58.97673797607422
2016-10-25,59.21479034423828
2016-10-26,59.41180419921875
2016-10-27,58.98496627807617
2016-10-28,59.08346176147461
2016-10-31,61.0616569519043
2016-11-01,59.058834075927734
2016-11-02,58.18055725097656
2016-11-03,58.574554443359375
2016-11-04,58.25442886352539
2016-11-07,59.71549987792969
2016-11-08,60.060245513916016
2016-11-09,59.1573486328125
2016-11-10,57.84400177001953
2016-11-11,57.92608642578125
2016-11-14,58.2051887512207
2016-11-15,58.648414611816406
2016-11-16,58.50889587402344
2016-11-17,58.500667572021484
2016-11-18,58.796173095703125
2016-11-21,59.78936767578125
2016-11-22,59.41180419921875
2016-11-23,59.09791564941406
2016-11-25,60.204715728759766
2016-11-28,60.04779052734375
2016-11-29,61.245445251464844
2016-11-30,58.742774963378906
2016-12-01,57.94984436035156
2016-12-02,59.031864166259766
2016-12-05,58.76753616333008
2016-12-06,58.69320297241211
2016-12-07,59.72566223144531
2016-12-08,60.3781623840332
2016-12-09,60.485572814941406
2016-12-12,61.09676742553711
2016-12-13,61.080238342285156
2016-12-14,59.80827331542969
2016-12-15,60.29558563232422
2016-12-16,61.25371551513672
2016-12-19,61.212406158447266
2016-12-20,61.46847152709961
2016-12-21,61.34456253051758
2016-12-22,61.666709899902344
2016-12-23,61.62540817260742
2016-12-27,61.724517822265625
2016-12-28,60.86550521850586
2016-12-29,61.65843200683594
2016-12-30,61.245445251464844
2017-01-03,61.575836181640625
2017-01-04,61.92273712158203
2017-01-05,61.61712646484375
2017-01-06,61.261959075927734
2017-01-09,60.46902847290039
2017-01-10,60.535118103027344
2017-01-11,61.195892333984375
2017-01-12,61.542781829833984
2017-01-13,61.83187484741211
2017-01-17,61.73278045654297
2017-01-18,62.145751953125
2017-01-19,61.33631896972656
2017-01-20,61.70799255371094
2017-01-23,61.44366455078125
2017-01-24,62.06315612792969
2017-01-25,61.93099594116211
2017-01-26,62.52568817138672
2017-01-27,62.22834396362305
2017-01-30,61.79883575439453
2017-01-31,62.92214584350586
2017-02-01,61.58408737182617
2017-02-02,62.01360321044922
2017-02-03,62.674373626708984
2017-02-06,62.145751953125
2017-02-07,62.74869155883789
2017-02-08,62.3439826965332
2017-02-09,62.07141876220703
2017-02-10,62.31919860839844
2017-02-13,62.46788024902344
2017-02-14,62.145751953125
2017-02-15,62.51743698120117
2017-02-16,62.690879821777344
2017-02-17,62.8065071105957
2017-02-21,63.632484436035156
2017-02-22,63.805938720703125
2017-02-23,64.62014770507812
2017-02-24,64.95245361328125
2017-02-27,65.02720642089844
2017-02-28,65.04383850097656
2017-03-01,65.31803131103516
2017-03-02,65.50077056884766
2017-03-03,65.13520812988281
2017-03-06,64.91090393066406
2017-03-07,64.81121826171875
2017-03-08,63.66468811035156
2017-03-09,63.348995208740234
2017-03-10,64.66166687011719
2017-03-13,64.91922760009766
2017-03-14,65.07707977294922
2017-03-15,66.4229736328125
2017-03-16,66.01588439941406
2017-03-17,66.4063491821289
2017-03-20,65.35954284667969
2017-03-21,66.3814468383789
2017-03-22,66.35649871826172
2017-03-23,66.5891342163086
2017-03-24,66.5808334350586
2017-03-27,66.72206115722656
2017-03-28,66.79684448242188
2017-03-29,66.33988189697266
2017-03-30,65.63370513916016
2017-03-31,65.6253890991211
2017-04-03,65.5506362915039
2017-04-04,66.17375946044922
2017-04-05,66.48944091796875
2017-04-06,66.75530242919922
2017-04-07,66.564208984375
2017-04-10,66.66390991210938
2017-04-11,66.87161254882812
