,BALL
2021-12-14,88.76190185546875
2021-12-15,88.31962585449219
2021-12-16,88.78111267089844
2021-12-17,89.21376037597656
2021-12-20,86.53130340576172
2021-12-21,86.52168273925781
2021-12-22,86.56015014648438
2021-12-23,86.53130340576172
2021-12-27,88.3772964477539
2021-12-28,90.66558837890625
2021-12-29,91.55974578857422
2021-12-30,91.77125549316406
2021-12-31,92.55965423583984
2022-01-03,89.66566467285156
2022-01-04,86.54092407226562
2022-01-05,87.89657592773438
2022-01-06,88.03118896484375
2022-01-07,87.02164459228516
2022-01-10,86.47362518310547
2022-01-11,86.3870849609375
2022-01-12,87.43506622314453
2022-01-13,87.51199340820312
2022-01-14,87.09857177734375
2022-01-18,86.09866333007812
2022-01-19,88.21385955810547
2022-01-20,87.05048370361328
2022-01-21,84.92567443847656
2022-01-24,83.8680648803711
2022-01-25,83.07005310058594
2022-01-26,83.23350524902344
2022-01-27,90.36750793457031
2022-01-28,89.89641571044922
2022-01-31,93.357666015625
2022-02-01,92.84809112548828
2022-02-02,90.81941223144531
2022-02-03,89.53105926513672
2022-02-04,90.0694808959961
2022-02-07,88.84842681884766
2022-02-08,89.84833526611328
2022-02-09,90.42522430419922
2022-02-10,89.09839630126953
2022-02-11,88.87728118896484
2022-02-14,88.72343444824219
2022-02-15,88.3003921508789
2022-02-16,88.49267578125
2022-02-17,87.41585540771484
2022-02-18,87.1177978515625
2022-02-22,86.56976318359375
2022-02-23,85.14681243896484
2022-02-24,84.46415710449219
2022-02-25,87.3677749633789
2022-02-28,86.47164154052734
2022-03-01,83.6772689819336
2022-03-02,84.95882415771484
2022-03-03,86.8570785522461
2022-03-04,86.9148941040039
2022-03-07,86.4234848022461
2022-03-08,84.59266662597656
2022-03-09,83.26292419433594
2022-03-10,83.88925170898438
2022-03-11,82.44389343261719
2022-03-14,85.2190170288086
2022-03-15,87.44485473632812
2022-03-16,87.10760498046875
2022-03-17,88.23500061035156
2022-03-18,89.61292266845703
2022-03-21,90.17179107666016
2022-03-22,90.75958251953125
2022-03-23,88.08082580566406
2022-03-24,89.56475067138672
2022-03-25,90.7981185913086
2022-03-28,89.88272094726562
