,META
2021-11-29,336.7436218261719
2021-11-30,323.2253112792969
2021-12-01,309.4180603027344
2021-12-02,309.2088623046875
2021-12-03,305.6723327636719
2021-12-06,316.66033935546875
2021-12-07,321.5815734863281
2021-12-08,329.30206298828125
2021-12-09,328.5649108886719
2021-12-10,328.49517822265625
2021-12-13,333.2171325683594
2021-12-14,332.469970703125
2021-12-15,340.35986328125
2021-12-16,333.6255798339844
2021-12-17,332.5198059082031
2021-12-20,324.2115783691406
2021-12-21,332.9282531738281
2021-12-22,329.1925048828125
2021-12-23,333.9642639160156
2021-12-27,344.8626403808594
2021-12-28,344.90252685546875
2021-12-29,341.6349792480469
2021-12-30,343.049560546875
2021-12-31,335.070068359375
2022-01-03,337.251708984375
2022-01-04,335.2493591308594
2022-01-05,322.9364013671875
2022-01-06,331.1948547363281
2022-01-07,330.5274353027344
2022-01-10,326.82159423828125
2022-01-11,333.09759521484375
2022-01-12,331.9918212890625
2022-01-13,325.23760986328125
2022-01-14,330.6369934082031
2022-01-18,316.9393310546875
2022-01-19,318.37384033203125
2022-01-20,315.3553771972656
2022-01-21,302.0163269042969
2022-01-24,307.53521728515625
2022-01-25,299.0078125
2022-01-26,293.5087890625
2022-01-27,293.518798828125
2022-01-28,300.5618591308594
2022-01-31,312.06793212890625
2022-02-01,317.78607177734375
2022-02-02,321.7708435058594
2022-02-03,236.855224609375
2022-02-04,236.18777465820312
2022-02-07,224.05413818359375
2022-02-08,219.3421173095703
2022-02-09,231.11712646484375
2022-02-10,227.2021026611328
2022-02-11,218.7145233154297
2022-02-14,216.87156677246094
2022-02-15,220.1590118408203
2022-02-16,215.71597290039062
2022-02-17,206.91958618164062
2022-02-18,205.37548828125
2022-02-22,201.3109893798828
2022-02-23,197.69480895996094
2022-02-24,206.80999755859375
2022-02-25,209.67904663085938
2022-02-28,210.22695922851562
2022-03-01,202.71563720703125
2022-03-02,207.31805419921875
2022-03-03,202.1976318359375
2022-03-04,199.29867553710938
2022-03-07,186.75660705566406
2022-03-08,189.56585693359375
2022-03-09,197.74464416503906
2022-03-10,194.4671630859375
2022-03-11,186.89605712890625
2022-03-14,185.91981506347656
2022-03-15,191.29922485351562
2022-03-16,202.85511779785156
2022-03-17,207.04908752441406
2022-03-18,215.66616821289062
2022-03-21,210.68521118164062
2022-03-22,215.82554626464844
2022-03-23,212.647705078125
2022-03-24,218.7344512939453
2022-03-25,220.9759063720703
2022-03-28,222.7391357421875
2022-03-29,228.98529052734375
2022-03-30,226.98294067382812
2022-03-31,221.5138397216797
2022-04-01,223.99436950683594
2022-04-04,232.9999542236328
2022-04-05,230.95774841308594
2022-04-06,222.45025634765625
2022-04-07,222.10159301757812
2022-04-08,221.4839630126953
2022-04-11,215.63629150390625
2022-04-12,213.3251190185547
2022-04-13,214.17189025878906
2022-04-14,209.38018798828125
2022-04-18,209.9679412841797
2022-04-19,216.4830322265625
2022-04-20,199.65733337402344
2022-04-21,187.35430908203125
2022-04-22,183.40939331054688
2022-04-25,186.27842712402344
2022-04-26,180.26141357421875
2022-04-27,174.28424072265625
2022-04-28,204.94712829589844
2022-04-29,199.70713806152344
2022-05-02,210.3265838623047
2022-05-03,211.22312927246094
2022-05-04,222.55984497070312
2022-05-05,207.48741149902344
2022-05-06,202.9945831298828
2022-05-09,195.46334838867188
2022-05-10,196.89785766601562
2022-05-11,188.02178955078125
2022-05-12,190.51226806640625
2022-05-13,197.86416625976562
2022-05-16,199.27877807617188
2022-05-17,201.8489532470703
2022-05-18,191.50845336914062
2022-05-19,190.5620574951172
2022-05-20,192.80349731445312
2022-05-23,195.48326110839844
2022-05-24,180.59014892578125
2022-05-25,183.1304473876953
2022-05-26,190.9007568359375
2022-05-27,194.387451171875
2022-05-31,192.90313720703125
2022-06-01,187.92214965820312
2022-06-02,198.10325622558594
2022-06-03,190.0540008544922
2022-06-06,193.5107879638672
2022-06-07,194.9054718017578
2022-06-08,195.89170837402344
2022-06-09,183.29978942871094
2022-06-10,174.90188598632812
2022-06-13,163.63491821289062
2022-06-14,163.10693359375
2022-06-15,168.70556640625
2022-06-16,160.25782775878906
2022-06-17,163.1168975830078
2022-06-21,156.45236206054688
2022-06-22,155.2569580078125
2022-06-23,158.14588928222656
2022-06-24,169.51248168945312
2022-06-27,168.84503173828125
2022-06-28,160.0685272216797
2022-06-29,163.316162109375
2022-06-30,160.63636779785156
2022-07-01,159.4210205078125
2022-07-05,167.5499725341797
2022-07-06,169.12396240234375
2022-07-07,171.5347442626953
2022-07-08,170.229736328125
2022-07-11,162.26016235351562
2022-07-12,162.64869689941406
2022-07-13,162.86785888671875
2022-07-14,157.44857788085938
2022-07-15,164.07325744628906
2022-07-18,166.59361267089844
2022-07-19,175.111083984375
2022-07-20,182.39324951171875
2022-07-21,182.47296142578125
2022-07-22,168.6258544921875
2022-07-25,166.0158233642578
2022-07-26,158.5443572998047
2022-07-27,168.9346923828125
2022-07-28,160.1083984375
2022-07-29,158.4945831298828
2022-08-01,159.32139587402344
2022-08-02,159.58041381835938
2022-08-03,168.15765380859375
2022-08-04,169.92091369628906
2022-08-05,166.4740753173828
2022-08-08,169.60211181640625
2022-08-09,167.88868713378906
2022-08-10,177.66134643554688
2022-08-11,176.81459045410156
2022-08-12,179.81312561035156
2022-08-15,180.20162963867188
2022-08-16,178.78704833984375
2022-08-17,174.18463134765625
2022-08-18,173.99534606933594
2022-08-19,167.3208465576172
2022-08-22,162.42953491210938
2022-08-23,160.49691772460938
2022-08-24,162.6387176513672
2022-08-25,168.13772583007812
2022-08-26,161.16436767578125
2022-08-29,158.56430053710938
2022-08-30,156.5619659423828
2022-08-31,162.3099822998047
2022-09-01,164.73074340820312
2022-09-02,159.70993041992188
2022-09-06,157.9366912841797
2022-09-07,159.7796630859375
2022-09-08,161.44329833984375
2022-09-09,168.50631713867188
2022-09-12,168.31704711914062
2022-09-13,152.54727172851562
2022-09-14,150.8936004638672
2022-09-15,148.98089599609375
2022-09-16,145.73330688476562
2022-09-19,147.4567108154297
2022-09-20,145.53407287597656
2022-09-21,141.57916259765625
2022-09-22,142.2765350341797
2022-09-23,139.8756866455078
2022-09-26,135.85105895996094
2022-09-27,133.88853454589844
2022-09-28,141.0711212158203
