,GS
2016-11-30,185.1951141357422
2016-12-01,191.39390563964844
2016-12-02,188.63233947753906
2016-12-05,193.015380859375
2016-12-06,195.4053955078125
2016-12-07,198.93548583984375
2016-12-08,203.90969848632812
2016-12-09,204.24752807617188
2016-12-12,200.29519653320312
2016-12-13,201.46060180664062
2016-12-14,202.6260223388672
2016-12-15,205.2187042236328
2016-12-16,201.75613403320312
2016-12-19,201.8997802734375
2016-12-20,205.2947235107422
2016-12-21,203.9012908935547
2016-12-22,202.78652954101562
2016-12-23,203.50439453125
2016-12-27,204.00262451171875
2016-12-28,203.23410034179688
2016-12-29,201.1481170654297
2016-12-30,202.22064208984375
2017-01-03,204.0110626220703
2017-01-04,205.32850646972656
2017-01-05,203.79991149902344
2017-01-06,206.82330322265625
2017-01-09,205.1258087158203
2017-01-10,204.8555908203125
2017-01-11,207.54959106445312
2017-01-12,205.92813110351562
2017-01-13,206.31661987304688
2017-01-17,199.08746337890625
2017-01-18,197.8629150390625
2017-01-19,195.43075561523438
2017-01-20,196.09791564941406
2017-01-23,196.4947967529297
2017-01-24,197.34780883789062
2017-01-25,200.3627166748047
2017-01-26,202.33045959472656
2017-01-27,200.109375
2017-01-30,197.53359985351562
2017-01-31,193.6656494140625
2017-02-01,194.8057861328125
2017-02-02,194.58624267578125
2017-02-03,203.4874725341797
2017-02-06,202.6682586669922
2017-02-07,202.36424255371094
2017-02-08,200.76808166503906
2017-02-09,203.99420166015625
2017-02-10,204.9822540283203
2017-02-13,207.9802703857422
2017-02-14,210.67431640625
2017-02-15,211.58644104003906
2017-02-16,210.65740966796875
2017-02-17,211.45130920410156
2017-02-21,212.6167449951172
2017-02-22,212.59136962890625
2017-02-23,212.13534545898438
2017-02-24,208.89242553710938
2017-02-27,210.5645294189453
2017-02-28,210.03953552246094
2017-03-01,213.97683715820312
2017-03-02,212.57974243164062
2017-03-03,214.12925720214844
2017-03-06,213.38418579101562
2017-03-07,212.4442596435547
2017-03-08,211.88543701171875
2017-03-09,211.83465576171875
2017-03-10,210.3105010986328
2017-03-13,210.12428283691406
2017-03-14,209.7516632080078
2017-03-15,208.95574951171875
2017-03-16,210.17506408691406
2017-03-17,206.55105590820312
2017-03-20,205.0269317626953
2017-03-21,197.28785705566406
2017-03-22,195.6536407470703
2017-03-23,196.35641479492188
2017-03-24,193.4013671875
2017-03-27,190.9204559326172
2017-03-28,194.1803741455078
2017-03-29,193.4352264404297
2017-03-30,195.78067016601562
2017-03-31,194.51058959960938
2017-04-03,193.86703491210938
2017-04-04,194.1210479736328
2017-04-05,192.76629638671875
2017-04-06,193.59609985351562
2017-04-07,192.95254516601562
2017-04-10,193.80776977539062
2017-04-11,192.83407592773438
2017-04-12,191.1490478515625
2017-04-13,189.09152221679688
2017-04-17,191.58090209960938
2017-04-18,182.5462646484375
2017-04-19,181.2761688232422
2017-04-20,184.63771057128906
2017-04-21,183.62168884277344
2017-04-24,189.0068359375
2017-04-25,191.89418029785156
2017-04-26,191.53009033203125
2017-04-27,191.19989013671875
2017-04-28,189.49795532226562
2017-05-01,190.3870391845703
2017-05-02,190.61561584472656
2017-05-03,191.62318420410156
2017-05-04,191.86029052734375
2017-05-05,192.0973663330078
2017-05-08,190.53936767578125
2017-05-09,189.46409606933594
2017-05-10,190.4124298095703
2017-05-11,190.31077575683594
2017-05-12,188.66810607910156
2017-05-15,190.61561584472656
2017-05-16,191.0220489501953
2017-05-17,180.9629364013672
2017-05-18,182.18218994140625
2017-05-19,182.37693786621094
2017-05-22,182.9103546142578
