,HST
2017-03-27,13.744612693786621
2017-03-28,13.859025955200195
2017-03-29,14.067258834838867
2017-03-30,14.298630714416504
2017-03-31,14.391175270080566
2017-04-03,14.167520523071289
2017-04-04,14.113532066345215
2017-04-05,14.082681655883789
2017-04-06,14.283202171325684
2017-04-07,14.113532066345215
2017-04-10,14.213791847229004
2017-04-11,14.321761131286621
2017-04-12,14.17523193359375
2017-04-13,14.22921371459961
2017-04-17,14.244641304016113
2017-04-18,14.35261344909668
2017-04-19,14.65339183807373
2017-04-20,14.691953659057617
2017-04-21,14.514571189880371
2017-04-24,14.65339183807373
2017-04-25,14.691953659057617
2017-04-26,14.861627578735352
2017-04-27,14.83848762512207
2017-04-28,13.843600273132324
2017-05-01,13.920721054077148
2017-05-02,14.221503257751465
2017-05-03,14.036410331726074
2017-05-04,13.88216781616211
2017-05-05,13.98242473602295
2017-05-08,13.72791576385498
2017-05-09,13.751051902770996
2017-05-10,13.889878273010254
2017-05-11,13.635372161865234
2017-05-12,13.481122016906738
2017-05-15,13.689355850219727
2017-05-16,13.635372161865234
2017-05-17,13.60451889038086
2017-05-18,13.905298233032227
2017-05-19,13.951571464538574
2017-05-22,13.966997146606445
2017-05-23,14.005558013916016
2017-05-24,14.044118881225586
2017-05-25,13.951571464538574
2017-05-26,13.936148643493652
2017-05-30,13.766475677490234
2017-05-31,13.874455451965332
2017-06-01,13.7896146774292
2017-06-02,14.013272285461426
2017-06-05,13.781904220581055
2017-06-06,13.766475677490234
2017-06-07,13.866735458374023
2017-06-08,13.990135192871094
2017-06-09,14.17523193359375
2017-06-12,14.36803913116455
2017-06-13,14.422026634216309
2017-06-14,14.321761131286621
2017-06-15,14.337189674377441
2017-06-16,14.452871322631836
2017-06-19,14.730517387390137
2017-06-20,14.591691017150879
2017-06-21,14.344900131225586
2017-06-22,14.398886680603027
2017-06-23,14.437451362609863
2017-06-26,14.614834785461426
2017-06-27,14.506857872009277
2017-06-28,14.499064445495605
2017-06-29,14.40552043914795
2017-06-30,14.241822242736816
2017-07-03,14.662761688232422
2017-07-05,14.584813117980957
2017-07-06,14.265209197998047
2017-07-07,14.234026908874512
2017-07-10,13.96899127960205
2017-07-11,14.046940803527832
2017-07-12,14.070326805114746
