,HUM
2015-08-20,174.14822387695312
2015-08-21,170.0680389404297
2015-08-24,163.9383544921875
2015-08-25,164.200439453125
2015-08-26,169.1322479248047
2015-08-27,172.9503631591797
2015-08-28,172.2017822265625
2015-08-31,171.06002807617188
2015-09-01,167.7471923828125
2015-09-02,170.03997802734375
2015-09-03,170.470458984375
2015-09-04,169.87156677246094
2015-09-08,173.10951232910156
2015-09-09,173.26856994628906
2015-09-10,173.3247528076172
2015-09-11,175.29934692382812
2015-09-14,174.99981689453125
2015-09-15,175.64561462402344
2015-09-16,175.58013916015625
2015-09-17,176.48785400390625
2015-09-18,175.83273315429688
2015-09-21,176.7218017578125
2015-09-22,176.54397583007812
2015-09-23,176.57205200195312
2015-09-24,174.0359649658203
2015-09-25,169.52528381347656
2015-09-28,163.24514770507812
2015-09-29,164.74485778808594
2015-09-30,167.78184509277344
2015-10-01,168.78480529785156
2015-10-02,172.00918579101562
2015-10-05,171.86862182617188
2015-10-06,167.68812561035156
2015-10-07,169.5814971923828
2015-10-08,169.0004425048828
2015-10-09,169.69400024414062
2015-10-12,170.13455200195312
2015-10-13,172.8903350830078
2015-10-14,171.08126831054688
2015-10-15,171.76547241210938
2015-10-16,172.65589904785156
2015-10-19,174.9711456298828
2015-10-20,174.26817321777344
2015-10-21,166.0477752685547
2015-10-22,154.76234436035156
2015-10-23,157.65872192382812
2015-10-26,159.57083129882812
2015-10-27,164.18252563476562
2015-10-28,166.84449768066406
2015-10-29,169.25344848632812
2015-10-30,167.43499755859375
2015-11-02,169.319091796875
2015-11-03,167.34127807617188
2015-11-04,165.79469299316406
2015-11-05,167.82867431640625
2015-11-06,166.13218688964844
2015-11-09,166.51644897460938
2015-11-10,165.3822784423828
2015-11-11,160.3769989013672
2015-11-12,158.45542907714844
2015-11-13,156.87135314941406
2015-11-16,158.44606018066406
2015-11-17,158.89599609375
2015-11-18,160.3582305908203
2015-11-19,153.9562530517578
2015-11-20,157.10565185546875
2015-11-23,157.53688049316406
2015-11-24,157.85556030273438
2015-11-25,157.83676147460938
2015-11-27,158.31483459472656
2015-11-30,158.08985900878906
2015-12-01,162.67340087890625
2015-12-02,162.27967834472656
2015-12-03,158.03363037109375
2015-12-04,160.06765747070312
2015-12-07,158.84912109375
2015-12-08,159.38340759277344
2015-12-09,160.0301055908203
2015-12-10,161.2393035888672
2015-12-11,161.95164489746094
2015-12-14,163.9293975830078
2015-12-15,164.65113830566406
2015-12-16,165.3073272705078
2015-12-17,165.79469299316406
2015-12-18,164.38870239257812
2015-12-21,165.0635986328125
2015-12-22,165.0635986328125
2015-12-23,167.9131317138672
2015-12-24,167.12570190429688
2015-12-28,166.98489379882812
2015-12-29,168.15843200683594
2015-12-30,168.05520629882812
2015-12-31,167.59512329101562
2016-01-04,168.75930786132812
2016-01-05,168.6466522216797
2016-01-06,165.81130981445312
2016-01-07,164.44058227539062
2016-01-08,162.33753967285156
2016-01-11,158.67601013183594
2016-01-12,158.50701904296875
2016-01-13,153.8690643310547
2016-01-14,157.00486755371094
2016-01-15,152.244873046875
2016-01-19,153.97230529785156
2016-01-20,154.66712951660156
2016-01-21,155.95335388183594
2016-01-22,156.0565948486328
2016-01-25,153.3057403564453
2016-01-26,154.59194946289062
2016-01-27,151.43743896484375
2016-01-28,150.0197296142578
2016-01-29,152.8363494873047
2016-02-01,157.33348083496094
2016-02-02,156.66680908203125
2016-02-03,156.58241271972656
2016-02-04,158.33798217773438
2016-02-05,154.7046356201172
2016-02-08,147.36285400390625
2016-02-09,149.77566528320312
2016-02-10,151.22152709960938
2016-02-11,148.35797119140625
2016-02-12,150.56427001953125
2016-02-16,156.45089721679688
2016-02-17,158.01878356933594
2016-02-18,157.49302673339844
2016-02-19,155.2304229736328
2016-02-22,161.24847412109375
