,FAST
2020-04-16,31.239850997924805
2020-04-17,31.68072509765625
2020-04-20,30.790164947509766
2020-04-21,30.102415084838867
2020-04-22,30.719627380371094
2020-04-23,30.790164947509766
2020-04-24,31.76889419555664
2020-04-27,32.718936920166016
2020-04-28,32.816619873046875
2020-04-29,32.62126922607422
2020-04-30,32.15956497192383
2020-05-01,31.69786262512207
2020-05-04,31.831045150756836
2020-05-05,32.52360153198242
2020-05-06,33.606834411621094
2020-05-07,33.89984130859375
2020-05-08,34.672306060791016
2020-05-11,35.28496551513672
2020-05-12,34.468101501464844
2020-05-13,34.04190444946289
2020-05-14,34.34379577636719
2020-05-15,34.556884765625
2020-05-18,34.69007873535156
2020-05-19,34.23725128173828
2020-05-20,34.707828521728516
2020-05-21,34.370426177978516
2020-05-22,34.34379577636719
2020-05-26,35.267208099365234
2020-05-27,35.99527359008789
2020-05-28,35.853214263916016
2020-05-29,36.634559631347656
2020-06-01,36.10182189941406
2020-06-02,36.57240676879883
2020-06-03,37.34488296508789
2020-06-04,37.02523422241211
2020-06-05,37.87761688232422
2020-06-08,38.07294845581055
2020-06-09,38.05519104003906
2020-06-10,37.72667694091797
2020-06-11,36.08406066894531
2020-06-12,35.569087982177734
2020-06-15,36.146217346191406
2020-06-16,37.12290573120117
2020-06-17,37.34488296508789
2020-06-18,37.28272247314453
2020-06-19,36.92756652832031
2020-06-22,37.27384567260742
2020-06-23,37.495819091796875
2020-06-24,36.70559310913086
2020-06-25,36.99860763549805
2020-06-26,36.39482879638672
2020-06-29,37.2205696105957
2020-06-30,38.03742980957031
2020-07-01,38.18837356567383
2020-07-02,39.10291290283203
2020-07-06,39.26272964477539
2020-07-07,39.12067413330078
2020-07-08,38.19725799560547
2020-07-09,38.26829147338867
2020-07-10,38.20613098144531
2020-07-13,38.51689147949219
2020-07-14,38.53465270996094
2020-07-15,39.08515548706055
2020-07-16,38.623443603515625
2020-07-17,39.244964599609375
2020-07-20,39.813236236572266
2020-07-21,40.43475341796875
2020-07-22,40.70111846923828
2020-07-23,40.638973236083984
2020-07-24,40.612335205078125
2020-07-27,41.26405715942383
2020-07-28,40.50519943237305
